日期,Open,High,Low,Close
2020-07-24,104.364,106.379,103.65,104.676
2020-07-31,104.64,106.058,103.035,104.471
2020-08-07,104.836,107.378,104.159,107.378
2020-08-14,107.512,109.983,107.512,108.342
2020-08-21,108.431,108.52,106.344,106.834
2020-08-28,107.387,109.733,107.022,109.653
2020-09-04,109.59,111.597,106.986,108.386
2020-09-11,107.815,108.431,105.907,106.683
2020-09-18,107.485,109.956,106.754,107.298
2020-09-25,105.746,105.786,101.918,104.359
2020-10-02,105.58,107.159,104.467,106.576
2020-10-09,107.303,111.233,107.123,110.632
2020-10-16,110.919,111.781,108.595,110.56
2020-10-23,110.632,111.143,108.801,110.713
2020-10-30,109.402,109.546,102.986,104.754
2020-11-06,106.145,111.26,105.301,110.408
2020-11-13,116.537,118.062,113.584,116.68
2020-11-20,119.032,119.041,116.043,116.824
2020-11-27,117.56,121.114,117.56,120.091
2020-12-04,119.651,122.361,118.511,122.334
2020-12-11,122.199,122.675,120.638,121.464
2020-12-18,122.577,122.604,120.207,121.802
2020-12-24,120.117,121.955,119.432,121.757
2020-12-31,122.595,123.407,121.361,123.244
2021-01-08,123.677,127.364,120.585,126.886
2021-01-15,125.813,128.617,125.759,126.742
2021-01-22,127.598,128.121,125.813,126.435
2021-01-29,125.994,126.94,121.586,122.082
2021-02-05,123.019,128.382,122.28,127.932
2021-02-12,128.418,130.437,128.193,130.401
2021-02-19,131.005,131.131,129.412,130.699
2021-02-26,129.897,133.845,128.833,129.401
2021-03-05,131.276,133.268,128.256,132.916
2021-03-12,133.574,137.301,133.15,137.279
2021-03-19,137.567,138.568,135.061,136.071
2021-03-26,135.846,138.155,132.996,138.028
2021-04-01,137.241,138.417,136.562,138.354
2021-04-09,139.431,140.164,138.734,140.137
2021-04-16,140.164,142.137,139.096,141.793
2021-04-23,141.848,142.346,139.549,141.947
2021-04-30,142.427,143.803,141.739,142.599
2021-05-07,143.368,146.6,142.228,146.428
2021-05-14,147.125,147.885,141.431,145.486
2021-05-21,145.269,145.649,141.232,144.464
2021-05-28,145.242,146.219,144.246,145.839
2021-06-04,146.98,147.152,145.36,146.989
2021-06-11,147.161,147.197,145.671,146.216
2021-06-18,146.034,146.207,140.139,140.166
2021-06-25,141.22,144.917,141.129,144.708
2021-07-02,144.781,145.562,143.5,145.398
2021-07-09,145.298,145.298,139.812,145.044
2021-07-16,144.744,145.726,142.855,143.046
2021-07-23,141.192,144.535,139.367,144.399
2021-07-30,144.19,146.311,143.818,145.317
2021-08-06,145.698,146.743,144.136,146.561
2021-08-13,146.416,148.51,145.862,148.242
2021-08-20,147.569,148.296,144.663,146.334
2021-08-27,147.006,148.806,147.006,148.614
2021-09-03,148.732,149.086,147.66,148.514
2021-09-10,148.378,148.378,145.444,145.453
2021-09-17,146.352,146.797,144.653,144.935
2021-09-24,142.891,146.493,141.156,145.966
2021-10-01,146.322,147.216,142.596,144.76
2021-10-08,144.632,147.627,143.144,146.596
2021-10-15,146.623,149.207,143.911,148.559
2021-10-22,147.828,151.161,147.463,150.841
2021-10-29,151.124,151.69,149.015,150.229
2021-11-05,150.768,153.105,150.375,152.275
2021-11-12,152.996,153.197,151.654,152.448
2021-11-19,152.841,152.991,149.545,149.627
2021-11-26,150.238,151.48,147.061,147.828
2021-12-03,149.28,149.298,143.455,146.203
2021-12-10,147.408,150.695,147.125,150.348
2021-12-17,149.969,152.536,148.703,149.519
2021-12-23,147.841,152.344,146.493,151.885
2021-12-31,152.16,154.994,151.848,153.994
2022-01-07,154.214,157.149,153.517,155.214
2022-01-14,155.177,157.195,153.242,155.461
2022-01-21,154.37,154.499,147.997,148.309
2022-01-28,146.456,150.084,143.513,148.676
2022-02-04,148.025,152.94,147.713,151.069
2022-02-11,151.307,154.526,149.758,150.244
2022-02-18,150.161,151.573,147.52,148.098
2022-02-25,147.905,149.556,141.605,149.336
2022-03-04,147.117,150.317,145.356,148.685
2022-03-11,148.098,148.208,144.1,145.365
2022-03-18,145.97,151.812,144.595,151.674
2022-03-25,151.94,154.193,151.152,154.156
2022-04-01,153.769,155.813,152.185,153.465
2022-04-08,153.465,154.368,151.135,153.769
2022-04-14,153.152,153.815,151.329,152.167
2022-04-22,151.863,156.274,148.962,149.109
2022-04-29,148.05,149.413,143.878,144.062
2022-05-06,144.403,149.459,141.487,145.103
2022-05-13,143.197,143.537,137.736,142.386
2022-05-20,142.082,145.039,137.026,139.798
2022-05-27,141.254,148.17,139.798,148.17
2022-06-03,147.166,148.092,144.551,146.125
2022-06-10,147.23,148.115,139.517,139.647
2022-06-17,136.484,137.012,129.42,130.372
2022-06-24,132.425,137.446,131.584,137.335
2022-07-01,137.659,139.277,132.601,135.726
2022-07-08,133.84,137.076,132.074,136.235
2022-07-15,135.31,135.902,130.585,135.042
2022-07-22,136.124,139.665,133.979,138.278
2022-07-29,138.547,143.216,137.65,142.893
2022-08-05,141.968,143.372,141.126,142.578
2022-08-12,143.198,148.237,142.245,148.182
2022-08-19,147.202,149.587,146.064,146.406
2022-08-26,144.659,146.184,141.764,141.811
2022-09-02,140.895,142.264,136.947,137.853
2022-09-09,138.362,143.262,136.66,142.948
2022-09-16,143.743,144.779,135.911,136.882
2022-09-23,135.624,137.779,128.162,129.762
2022-09-30,129.01,130.844,126.339,126.59
2022-10-07,128.117,134.54,127.447,129.252
2022-10-14,129.671,132.529,124.822,128.452
