日期,Open,High,Low,Close
2020-07-24,58.79,60.46,54.12,56.24
2020-07-31,56.32,59.61,56.28,59.15
2020-08-07,59.36,61.21,56.1,57.42
2020-08-14,56.98,58.88,55.26,57.42
2020-08-21,60.02,71.08,57.96,70.34
2020-08-28,72.35,76.81,70.37,75.32
2020-09-04,75.3,81.94,70.76,75.36
2020-09-11,71.36,73.53,68.69,69.54
2020-09-18,71.06,73.78,68.12,69.86
2020-09-25,68.12,72.18,67.12,70.03
2020-10-02,71.25,74.36,69.31,71.46
2020-10-09,72.24,75.51,70.95,75.15
2020-10-16,77.5,80.75,74.0,76.88
2020-10-23,77.36,79.82,74.68,76.7
2020-10-30,76.48,80.29,75.17,76.88
2020-11-06,78.2,88.13,73.54,87.85
2020-11-13,87.76,87.83,73.61,87.44
2020-11-20,83.86,84.95,79.5,83.1
2020-11-27,83.9,85.65,81.78,84.77
2020-12-04,83.6,83.83,78.15,80.55
2020-12-11,80.47,80.81,76.27,77.97
2020-12-18,76.87,78.73,74.43,76.89
2020-12-24,74.97,82.83,74.73,79.85
2020-12-31,78.04,84.92,76.42,83.26
2021-01-08,82.92,91.56,80.52,86.9
2021-01-15,85.4,87.81,82.57,83.13
2021-01-22,85.89,91.08,85.33,90.27
2021-01-29,94.66,97.04,84.0,84.05
2021-02-05,85.51,92.82,84.44,92.0
2021-02-12,91.04,95.83,89.44,94.67
2021-02-19,98.21,103.65,97.62,101.45
2021-02-26,97.51,97.81,86.23,89.23
2021-03-05,92.09,94.06,81.25,85.98
2021-03-12,82.36,89.76,78.64,79.38
2021-03-19,78.95,82.06,77.78,80.35
2021-03-26,80.66,81.24,71.47,77.43
2021-04-01,76.61,82.24,75.36,79.67
2021-04-09,80.504,80.93,75.11,75.77
2021-04-16,74.86,75.07,72.08,72.4
2021-04-23,72.37,73.27,68.17,72.11
2021-04-30,71.49,75.43,70.3,72.72
2021-05-07,72.56,74.25,70.3,70.87
2021-05-14,69.705,69.705,61.91,63.51
2021-05-21,63.6,70.51,61.92,68.11
2021-05-28,67.61,69.45,66.94,69.3
2021-06-04,71.46,74.2,70.07,70.79
2021-06-11,70.75,70.755,66.1,66.55
2021-06-18,66.56,69.43,65.77,66.98
2021-06-25,66.97,73.71,66.1,73.59
2021-07-02,73.44,75.63,70.91,71.59
2021-07-09,69.61,69.74,65.19,68.92
