日期,Open,High,Low,Close
2020-07-24,7.255,7.865,7.215,7.675
2020-07-31,8.075,8.635,7.675,8.625
2020-08-07,8.645,9.465,8.275,8.665
2020-08-14,8.735,9.055,7.655,7.965
2020-08-21,8.355,8.895,7.765,7.905
2020-08-28,8.015,8.265,7.565,8.145
2020-09-04,8.215,8.355,7.545,7.885
2020-09-11,7.635,8.585,7.495,8.055
2020-09-18,8.195,9.575,8.155,9.255
2020-09-25,8.915,9.235,7.305,8.005
2020-10-02,8.145,8.445,7.865,8.145
2020-10-09,8.195,8.565,7.695,8.385
2020-10-16,8.375,8.705,8.055,8.395
2020-10-23,8.475,8.595,7.805,7.895
2020-10-30,7.825,8.045,6.995,7.255
2020-11-06,7.415,8.255,7.185,8.025
2020-11-13,7.295,7.515,6.865,7.305
2020-11-20,7.205,7.315,6.665,6.805
2020-11-27,6.715,6.755,6.195,6.425
2020-12-04,6.375,6.805,6.275,6.515
2020-12-11,6.535,7.155,6.445,6.515
2020-12-18,6.435,7.035,6.165,6.945
2020-12-24,6.845,6.965,6.405,6.705
2020-12-31,6.835,6.935,6.555,6.655
2021-01-08,7.015,7.465,6.565,6.695
2021-01-15,6.545,6.725,6.265,6.275
2021-01-22,6.395,6.575,6.195,6.325
2021-01-29,6.425,6.665,6.075,6.295
2021-02-05,6.595,6.615,6.165,6.555
2021-02-12,6.675,6.915,6.375,6.695
2021-02-19,6.605,6.625,5.815,5.855
2021-02-26,5.965,6.265,5.515,5.545
2021-03-05,5.645,5.925,5.435,5.895
2021-03-12,5.875,6.175,5.745,6.075
2021-03-19,6.145,6.485,6.07,6.265
2021-03-26,6.285,6.355,5.83,6.065
2021-04-01,5.995,6.395,5.775,6.365
2021-04-09,6.405,6.835,6.285,6.755
2021-04-16,6.715,6.925,6.465,6.845
2021-04-23,6.825,7.125,6.685,6.695
2021-04-30,6.705,6.725,6.365,6.385
2021-05-07,6.535,7.175,6.51,7.085
2021-05-14,7.195,7.305,6.585,7.125
2021-05-21,7.155,7.685,7.135,7.385
2021-05-28,7.375,7.545,7.215,7.445
2021-06-04,7.525,7.605,7.205,7.355
2021-06-11,7.315,7.39,7.105,7.185
2021-06-18,7.065,7.175,5.795,5.795
2021-06-25,5.905,5.955,5.475,5.755
2021-07-02,5.765,5.925,5.525,5.815
2021-07-09,5.935,5.985,5.535,5.675
2021-07-16,5.665,5.905,5.555,5.575
2021-07-23,5.5,5.615,5.355,5.495
2021-07-30,5.495,6.055,5.455,5.935
2021-08-06,5.895,6.075,5.47,5.565
2021-08-13,5.455,5.54,5.215,5.455
2021-08-20,5.445,5.505,5.026,5.115
2021-08-27,5.235,5.515,5.175,5.455
2021-09-03,5.465,5.725,5.305,5.595
2021-09-10,5.515,5.545,5.095,5.115
2021-09-17,5.135,5.345,4.835,4.885
2021-09-24,4.825,5.035,4.655,4.685
2021-10-01,4.715,4.835,4.585,4.725
2021-10-08,4.715,5.235,4.695,5.075
2021-10-15,5.085,5.605,5.015,5.515
2021-10-22,5.495,5.955,5.42,5.725
2021-10-29,5.805,5.915,5.415,5.415
2021-11-05,5.425,5.62,5.225,5.615
2021-11-12,5.675,6.375,5.56,6.345
2021-11-19,6.325,6.535,6.005,6.075
2021-11-26,5.935,6.065,5.405,5.535
2021-12-03,5.455,5.705,5.135,5.275
2021-12-10,5.235,5.495,4.655,4.765
2021-12-17,4.745,5.065,4.335,4.985
2021-12-23,4.915,5.06,4.805,5.005
2021-12-31,4.965,5.275,4.935,5.245
2022-01-07,5.175,5.235,4.785,4.885
2022-01-14,4.835,5.245,4.775,5.025
2022-01-21,5.015,5.435,4.855,5.085
2022-01-28,4.985,5.135,4.585,4.685
2022-02-04,4.735,5.035,4.695,4.835
2022-02-11,4.925,5.225,4.845,5.145
2022-02-18,5.175,5.425,4.985,5.255
2022-02-25,5.255,5.285,4.635,4.965
2022-03-04,4.865,4.963,4.435,4.915
2022-03-11,4.845,5.275,4.765,5.095
2022-03-18,5.035,5.264,4.598,5.045
2022-03-25,5.055,5.28,5.045,5.195
2022-04-01,5.115,5.515,4.935,5.485
2022-04-08,5.515,5.695,5.165,5.675
2022-04-14,5.745,5.805,5.475,5.605
2022-04-22,5.645,5.735,4.91,4.955
2022-04-29,4.765,4.87,4.475,4.545
2022-05-06,4.445,4.675,4.295,4.385
2022-05-13,4.235,4.275,3.385,3.625
2022-05-20,3.615,4.06,3.615,3.965
2022-05-27,4.065,4.135,3.925,4.015
2022-06-03,3.995,4.225,3.875,4.045
2022-06-10,4.105,4.105,3.675,4.025
2022-06-17,3.905,3.965,3.455,3.595
2022-06-24,3.555,3.825,3.325,3.495
2022-07-01,3.535,3.635,2.995,3.195
2022-07-08,3.085,3.115,2.715,2.845
2022-07-15,2.805,2.945,2.495,2.585
2022-07-22,2.655,2.935,2.625,2.745
2022-07-29,2.765,2.955,2.575,2.905
2022-08-05,2.905,3.085,2.765,2.845
2022-08-12,2.915,3.145,2.865,3.095
2022-08-19,2.995,3.065,2.885,3.045
2022-08-26,2.975,3.215,2.905,2.945
2022-09-02,2.925,3.005,2.615,2.805
2022-09-09,2.855,3.095,2.75,3.075
2022-09-16,3.135,3.165,2.695,2.815
2022-09-23,2.815,3.195,2.765,2.835
2022-09-30,2.795,3.373,2.705,3.285
2022-10-07,3.375,3.595,3.255,3.265
2022-10-14,3.215,3.345,2.855,2.875
2022-10-21,2.985,3.145,2.825,3.105
2022-10-28,3.055,3.315,2.995,3.185
2022-11-04,3.135,3.425,2.895,3.385
2022-11-11,3.425,3.985,3.345,3.835
2022-11-18,3.775,3.845,3.525,3.625
2022-11-25,3.625,3.805,3.515,3.645
2022-12-02,3.665,3.995,3.455,3.895
2022-12-09,3.855,3.935,3.665,3.765
2022-12-16,3.735,4.04,3.585,3.645
2022-12-23,3.675,3.81,3.575,3.725
2022-12-30,3.745,3.845,3.595,3.645
2023-01-06,3.705,4.145,3.705,4.125
2023-01-13,4.185,4.335,4.055,4.295
2023-01-20,4.295,4.305,4.045,4.275
2023-01-27,4.245,4.455,4.055,4.345
2023-02-03,4.285,4.355,3.905,3.935
2023-02-10,3.925,3.995,3.695,3.745
2023-02-17,3.735,3.775,3.315,3.415
2023-02-24,3.375,3.445,3.125,3.175
2023-03-03,3.195,3.355,3.165,3.305
2023-03-10,3.275,3.31,2.985,3.085
2023-03-17,3.275,3.735,3.235,3.715
2023-03-24,3.755,3.985,3.675,3.945
2023-03-31,3.815,4.375,3.805,4.295
2023-04-06,4.315,4.695,4.246,4.625
2023-04-14,4.535,4.945,4.475,4.925
2023-04-21,4.865,4.895,4.495,4.545
2023-04-28,4.545,4.695,4.495,4.635
2023-05-05,4.695,5.085,4.555,4.905
2023-05-12,4.915,5.15,4.845,4.885
2023-05-19,4.925,5.025,4.555,4.735
2023-05-26,4.715,4.775,4.215,4.325
2023-06-02,4.345,4.565,4.205,4.465
2023-06-09,4.435,4.565,4.275,4.465
2023-06-16,4.445,4.6,4.407,4.495
2023-06-23,4.425,4.435,4.155,4.225
2023-06-30,4.265,4.425,4.155,4.385
2023-07-07,4.385,4.465,4.155,4.205
2023-07-14,4.215,4.77,4.195,4.675
2023-07-21,4.635,4.845,4.605,4.645
2023-07-28,4.655,4.705,4.365,4.475
2023-08-04,4.505,4.665,4.155,4.565
2023-08-11,4.555,4.745,4.415,4.695
2023-08-18,4.625,4.645,4.215,4.235
2023-08-25,4.275,4.635,4.235,4.455
2023-09-01,4.475,4.835,4.465,4.675
2023-09-08,4.595,4.665,4.375,4.415
2023-09-15,4.455,4.845,4.395,4.825
2023-09-22,4.845,4.945,4.625,4.625
2023-09-29,4.605,4.605,4.145,4.205
2023-10-06,4.135,4.275,3.965,4.245
2023-10-13,4.355,4.835,4.315,4.765
2023-10-20,4.695,5.145,4.675,4.985
2023-10-27,4.945,5.115,4.765,4.955
2023-11-03,4.995,5.245,4.805,5.195
2023-11-10,5.145,5.234,4.765,4.825
2023-11-17,4.805,5.205,4.775,4.965
2023-11-24,4.895,5.295,4.825,5.225
2023-12-01,5.305,5.65,5.255,5.615
2023-12-08,5.485,5.645,5.335,5.425
2023-12-15,5.335,5.925,5.255,5.705
2023-12-22,5.705,6.015,5.625,5.835
2023-12-29,5.875,5.995,5.64,5.725
2024-01-05,5.715,5.785,5.335,5.385
2024-01-12,5.305,5.635,5.225,5.565
2024-01-19,5.455,5.475,5.055,5.075
2024-01-26,5.025,5.405,4.975,5.215
2024-02-02,5.265,5.47,5.115,5.175
2024-02-09,5.085,5.155,4.825,4.835
2024-02-16,4.845,5.025,4.568,4.745
2024-02-23,4.775,4.855,4.545,4.655
2024-03-01,4.585,4.755,4.425,4.755
2024-03-08,4.845,5.235,4.815,5.075
2024-03-15,5.065,5.455,5.045,5.375
2024-03-22,5.355,5.665,5.145,5.355
2024-03-28,5.405,5.855,5.375,5.835
2024-04-05,5.975,6.225,5.835,6.105
2024-04-12,6.155,6.515,5.925,6.085
2024-04-19,6.155,6.52,5.905,6.475
2024-04-26,6.195,6.575,6.045,6.445
2024-05-03,6.475,6.555,6.125,6.295
2024-05-10,6.455,7.405,6.375,7.295
2024-05-17,7.265,7.725,7.225,7.705
2024-05-24,7.725,7.935,7.515,7.775
2024-05-31,7.875,7.98,7.655,7.865
2024-06-07,7.915,7.915,7.125,7.135
