日期,Open,High,Low,Close
2020-07-24,138.51,139.73,130.47,131.56
2020-07-31,131.62,137.43,120.76,122.31
2020-08-07,124.82,129.51,123.02,124.95
2020-08-14,124.95,125.51,121.91,122.85
2020-08-21,123.68,127.17,120.71,122.02
2020-08-28,122.81,124.07,119.74,120.1
2020-09-04,120.11,126.13,119.27,123.67
2020-09-11,123.71,126.88,118.48,120.85
2020-09-18,121.85,127.26,120.23,126.93
2020-09-25,125.93,126.42,120.13,123.02
2020-10-02,123.76,124.34,116.03,117.97
2020-10-09,117.83,129.91,116.69,129.64
2020-10-16,129.59,129.91,118.14,118.88
2020-10-23,119.76,120.17,113.56,115.14
2020-10-30,114.66,115.05,101.97,103.22
2020-11-06,105.3,124.74,102.75,115.5
2020-11-13,115.3,121.96,113.36,115.88
2020-11-20,116.56,120.59,112.11,118.99
2020-11-27,119.04,121.42,114.66,120.94
2020-12-04,119.84,122.22,116.63,121.95
2020-12-11,120.8,135.5,119.98,133.54
2020-12-18,134.19,147.4,131.33,144.9
2020-12-24,142.38,142.5,138.97,140.16
2020-12-31,140.71,142.64,138.71,142.34
2021-01-08,142.52,142.98,135.28,139.91
2021-01-15,158.5,165.28,150.94,164.27
2021-01-22,169.5,180.04,167.57,179.64
2021-01-29,181.74,191.5,177.96,181.47
2021-02-05,182.96,183.39,169.14,175.27
2021-02-12,175.88,182.57,173.82,181.64
2021-02-19,180.33,181.84,174.68,175.27
2021-02-26,173.53,181.34,172.31,179.24
2021-03-05,180.13,184.3,172.96,181.27
2021-03-12,181.35,186.51,176.63,182.43
2021-03-19,167.36,167.53,158.15,158.64
2021-03-26,158.4,161.005,154.17,159.66
2021-04-01,159.01,162.42,157.855,159.59
2021-04-09,159.94,160.25,155.57,158.84
2021-04-16,157.78,164.65,155.23,163.6
2021-04-23,163.59,167.85,161.1,163.07
2021-04-30,162.92,163.0,152.928,157.12
2021-05-07,157.34,170.617,157.27,169.77
2021-05-14,170.52,172.47,166.95,171.41
2021-05-21,171.68,177.12,168.31,175.08
2021-05-28,176.2,178.815,170.7,174.94
2021-06-04,175.52,179.65,171.88,177.22
2021-06-11,177.19,211.047,177.03,199.29
2021-06-18,199.43,201.86,193.52,193.75
2021-06-25,194.3,214.57,192.2,205.42
2021-07-02,204.2,209.41,202.078,209.16
2021-07-09,208.83,213.672,207.3,210.19
2021-07-16,210.37,213.2,205.89,207.66
2021-07-23,207.08,219.75,205.77,219.35
2021-07-30,217.77,223.6,217.44,218.7
2021-08-06,220.93,245.85,218.7,238.64
2021-08-13,239.78,248.24,237.54,240.26
2021-08-20,240.93,251.92,240.315,246.96
2021-08-27,248.35,248.96,234.63,235.8
2021-09-03,237.08,240.12,230.54,235.58
2021-09-10,235.05,236.87,214.62,215.55
2021-09-17,216.09,217.2,204.28,206.15
2021-09-24,204.14,211.435,203.34,207.73
2021-10-01,206.02,213.21,196.25,205.64
2021-10-08,203.85,211.86,200.27,209.99
2021-10-15,212.75,215.349,208.03,213.93
2021-10-22,214.0,221.95,212.75,219.8
2021-10-29,220.71,232.8,213.14,230.81
2021-11-05,231.16,247.16,224.1,241.05
2021-11-12,240.04,242.96,234.44,236.55
2021-11-19,236.29,247.7,232.89,237.6
2021-11-26,239.12,242.78,235.93,237.27
2021-12-03,236.92,239.22,219.98,222.48
2021-12-10,222.82,225.082,216.37,221.04
2021-12-17,222.41,260.805,222.36,244.32
2021-12-23,246.13,252.17,237.25,250.0
2021-12-31,251.94,257.55,251.62,253.12
2022-01-07,251.31,251.31,232.36,236.4
2022-01-14,235.09,239.31,219.8,221.02
2022-01-21,219.65,227.309,218.99,219.96
2022-01-28,219.45,222.12,209.58,222.0
2022-02-04,220.17,228.776,218.0,219.17
2022-02-11,219.31,221.36,211.75,212.64
2022-02-18,211.88,224.9,209.75,218.19
2022-02-25,217.09,230.78,211.88,228.73
2022-03-04,224.02,241.335,222.47,240.75
