日期,Open,High,Low,Close
2023-07-24,60.189,61.499,60.14,61.143
2023-07-25,61.143,62.678,61.045,62.264
2023-07-26,61.442,62.074,60.454,61.477
2023-07-27,64.74,68.834,64.572,67.435
2023-07-28,68.269,69.647,67.8,69.366
2023-07-31,69.386,69.893,68.612,69.089
2023-08-01,68.125,69.189,68.084,68.83
2023-08-02,67.76,67.965,65.6,65.828
2023-08-03,65.361,66.741,64.992,66.576
2023-08-04,66.576,67.503,65.893,66.286
2023-08-07,67.04,67.896,66.363,67.776
2023-08-08,66.801,67.083,65.908,66.84
2023-08-09,66.917,67.235,65.809,65.845
2023-08-10,66.403,67.338,65.328,65.879
2023-08-11,64.321,64.489,62.38,62.437
2023-08-14,62.34,63.966,61.94,63.96
2023-08-15,63.36,63.821,62.705,62.823
2023-08-16,63.186,63.227,61.809,61.869
2023-08-17,62.258,63.161,61.915,62.096
2023-08-18,61.503,62.913,61.187,62.534
2023-08-21,62.74,64.466,62.612,64.164
2023-08-22,64.98,65.295,63.655,63.922
2023-08-23,63.884,65.41,63.725,65.049
2023-08-24,66.306,66.412,62.526,62.833
2023-08-25,63.116,63.876,61.891,63.267
2023-08-28,64.216,64.716,63.405,63.872
2023-08-29,63.558,66.408,63.424,65.705
2023-08-30,65.615,66.166,64.47,65.893
2023-08-31,65.306,67.68,65.306,67.48
2023-09-01,68.168,68.431,67.05,67.436
2023-09-05,67.065,67.987,66.76,67.317
2023-09-06,66.956,68.085,66.014,66.864
2023-09-07,65.34,65.401,63.74,64.91
2023-09-08,64.59,65.286,63.891,64.128
2023-09-11,64.602,64.777,62.344,63.608
2023-09-12,62.859,63.893,62.629,62.71
2023-09-13,63.191,64.15,62.726,63.306
2023-09-14,64.164,64.19,62.54,63.083
2023-09-15,62.138,62.233,59.217,59.751
2023-09-18,59.517,61.089,59.261,61.005
2023-09-19,61.005,61.116,59.613,59.955
2023-09-20,60.19,60.714,59.17,59.326
2023-09-21,58.464,59.253,58.339,58.479
2023-09-22,59.437,60.334,58.99,59.351
2023-09-25,58.969,59.741,58.803,59.499
2023-09-26,58.634,58.992,57.792,58.04
2023-09-27,58.639,59.212,57.703,58.832
2023-09-28,58.537,60.493,58.203,60.192
2023-09-29,61.09,61.176,59.947,60.117
2023-10-02,60.165,61.54,59.742,60.528
2023-10-03,60.448,61.14,58.73,59.251
2023-10-04,59.88,60.84,59.642,60.678
2023-10-05,60.738,60.828,59.469,60.023
2023-10-06,59.507,60.648,58.362,60.251
2023-10-09,59.564,60.527,58.916,60.209
2023-10-10,60.786,61.735,60.268,60.878
2023-10-11,61.535,61.765,60.835,61.613
2023-10-12,61.975,63.94,61.961,62.936
2023-10-13,63.54,63.879,61.64,61.952
2023-10-16,62.222,63.003,61.852,62.51
2023-10-17,61.254,62.784,60.086,62.435
2023-10-18,61.24,61.955,60.068,61.664
2023-10-19,60.135,60.69,57.461,57.635
2023-10-20,57.81,58.261,57.282,57.475
2023-10-23,57.07,58.169,56.379,57.398
2023-10-24,57.962,58.574,57.334,57.842
2023-10-25,57.109,57.294,55.547,55.774
2023-10-26,56.35,57.898,55.792,55.953
2023-10-27,55.87,56.796,55.518,55.842
2023-10-30,55.681,56.777,55.159,55.79
2023-10-31,56.073,56.518,54.882,56.262
2023-11-01,56.727,58.204,56.317,58.106
2023-11-02,59.69,60.581,59.26,59.768
2023-11-03,60.36,61.381,60.129,60.848
2023-11-06,60.848,61.398,60.252,61.345
2023-11-07,61.44,62.149,61.109,61.566
2023-11-08,61.9,62.352,61.548,62.198
2023-11-09,62.44,64.29,62.291,62.466
2023-11-10,63.548,66.227,63.075,65.983
2023-11-13,65.44,65.441,64.495,64.783
2023-11-14,66.54,67.058,65.831,66.932
2023-11-15,67.26,67.396,66.593,67.23
2023-11-16,67.34,68.074,67.024,67.484
2023-11-17,66.596,67.596,66.24,67.474
2023-11-20,67.173,69.54,67.173,69.355
2023-11-21,69.043,69.043,67.788,68.177
2023-11-22,68.94,70.263,68.78,69.186
2023-11-24,69.088,69.653,68.94,69.19
2023-11-27,68.94,70.539,68.508,69.685
2023-11-28,68.673,69.183,67.889,68.479
2023-11-29,69.44,69.987,68.745,68.839
2023-11-30,69.32,69.32,68.077,69.032
2023-12-01,68.648,69.699,68.252,69.648
2023-12-04,69.0,69.095,67.645,68.446
2023-12-05,67.074,67.435,66.158,67.154
2023-12-06,68.339,68.438,66.787,66.927
2023-12-07,67.756,68.472,67.161,68.243
2023-12-08,67.386,68.557,67.342,67.757
2023-12-11,68.464,71.239,68.28,70.999
2023-12-12,70.94,71.52,70.351,70.764
2023-12-13,70.935,71.699,69.789,71.105
2023-12-14,71.676,74.768,71.518,74.361
2023-12-15,74.573,75.608,74.397,74.99
2023-12-18,75.2,75.54,73.391,74.632
2023-12-19,74.862,75.824,74.513,75.741
2023-12-20,74.845,75.69,73.082,73.133
2023-12-21,75.49,75.565,73.99,75.332
2023-12-22,75.332,76.05,75.002,75.639
2023-12-26,75.944,77.627,75.944,77.211
2023-12-27,77.54,77.769,76.67,77.133
2023-12-28,77.42,77.512,76.541,76.607
2023-12-29,76.391,76.649,75.44,75.966
2024-01-02,74.515,74.578,71.847,72.57
2024-01-03,70.84,71.94,70.606,71.333
2024-01-04,70.218,72.131,69.965,70.748
2024-01-05,71.097,71.865,70.5,70.88
2024-01-08,71.274,73.41,71.274,73.356
2024-01-09,72.273,73.324,72.105,72.842
2024-01-10,73.018,73.124,71.291,72.609
2024-01-11,72.601,73.777,71.857,73.66
2024-01-12,73.713,73.975,73.126,73.607
2024-01-16,73.069,74.53,72.442,73.754
2024-01-17,72.923,73.07,71.841,72.93
2024-01-18,75.23,76.479,74.818,76.205
2024-01-19,77.508,80.496,77.112,80.272
2024-01-22,80.553,82.301,80.407,80.994
2024-01-23,80.601,80.838,79.787,80.679
2024-01-24,82.64,83.504,81.486,82.456
2024-01-25,85.34,87.649,84.11,84.2
2024-01-26,82.94,83.64,81.303,81.544
2024-01-29,81.21,82.327,81.04,82.22
2024-01-30,81.749,82.639,80.837,81.219
2024-01-31,79.84,81.421,79.207,80.157
2024-02-01,80.825,81.247,80.044,80.861
2024-02-02,80.369,82.278,80.369,81.51
2024-02-05,81.519,83.373,80.889,82.772
2024-02-06,82.93,83.38,80.02,81.102
2024-02-07,81.412,83.439,80.962,82.494
2024-02-08,82.84,84.599,82.254,84.076
2024-02-09,85.64,89.022,85.126,88.798
2024-02-12,88.19,90.062,88.041,88.44
2024-02-13,85.17,87.752,84.837,86.899
2024-02-14,88.503,90.537,88.408,89.21
2024-02-15,89.415,89.794,88.295,89.018
2024-02-16,91.681,93.239,89.983,90.243
2024-02-20,89.532,90.181,86.741,87.684
2024-02-21,87.142,87.862,86.315,87.833
2024-02-22,90.64,92.573,90.167,92.076
2024-02-23,92.354,92.645,90.259,90.49
2024-02-26,91.3,92.335,90.942,91.516
2024-02-27,91.678,92.043,90.463,90.713
2024-02-28,89.364,90.05,88.925,89.907
2024-02-29,91.287,91.822,90.262,91.465
2024-03-01,92.14,95.885,92.005,95.793
2024-03-04,96.757,97.026,94.988,95.392
2024-03-05,94.639,95.54,92.83,93.95
2024-03-06,95.308,96.625,94.865,95.826
2024-03-07,96.541,98.379,96.425,97.097
2024-03-08,96.912,97.221,93.213,93.305
2024-03-11,91.951,92.025,89.702,90.76
2024-03-12,91.187,92.928,90.641,92.923
2024-03-13,91.541,91.91,89.931,90.511
2024-03-14,91.235,91.625,89.47,90.408
2024-03-15,88.728,89.861,88.4,88.849
2024-03-18,90.081,91.335,89.837,90.368
2024-03-19,89.239,91.128,88.751,90.945
2024-03-20,90.44,92.832,90.179,92.748
2024-03-21,96.15,98.27,95.44,96.097
2024-03-22,96.315,96.892,95.442,95.63
2024-03-25,94.068,96.092,94.068,94.986
2024-03-26,95.89,96.784,94.529,94.563
2024-03-27,95.122,95.388,93.32,94.407
2024-03-28,94.436,95.23,94.003,94.997
2024-04-01,95.043,97.332,94.94,96.019
2024-04-02,94.54,95.13,93.54,94.573
2024-04-03,94.025,96.653,93.843,95.677
2024-04-04,97.099,98.024,92.24,93.003
2024-04-05,94.43,95.613,93.89,94.698
2024-04-08,95.254,95.554,93.935,94.566
2024-04-09,95.871,96.038,93.642,95.174
2024-04-10,93.738,95.34,93.325,94.004
2024-04-11,94.243,96.359,93.908,96.188
2024-04-12,94.143,94.765,93.04,93.544
2024-04-15,95.428,95.963,91.589,92.457
2024-04-16,92.724,94.471,92.518,94.163
2024-04-17,92.84,93.089,88.866,89.066
2024-04-18,88.763,88.773,86.279,86.732
2024-04-19,87.334,87.808,84.035,84.865
2024-04-22,85.48,85.714,83.638,84.647
2024-04-23,85.64,87.27,84.65,86.582
2024-04-24,88.574,89.426,86.067,86.329
2024-04-25,88.773,89.087,86.497,87.987
2024-04-26,87.68,90.843,87.627,90.377
2024-04-29,89.994,90.868,89.35,90.721
2024-04-30,90.226,91.293,87.233,87.281
2024-05-01,86.148,87.83,84.235,84.65
2024-05-02,85.944,86.358,84.049,86.208
2024-05-03,87.68,89.102,87.395,88.693
2024-05-06,89.368,90.39,88.897,90.294
2024-05-07,90.601,90.84,89.174,89.331
2024-05-08,88.157,89.24,87.74,89.168
2024-05-09,89.542,89.542,87.936,88.594
2024-05-10,89.666,90.96,89.064,89.382
2024-05-13,89.906,89.906,88.085,88.219
2024-05-14,87.74,89.233,87.492,89.094
2024-05-15,90.28,92.684,89.552,92.615
2024-05-16,92.845,93.347,92.09,92.13
2024-05-17,93.083,93.325,88.422,89.047
2024-05-20,89.279,92.84,89.193,92.044
2024-05-21,95.006,95.213,92.023,94.24
2024-05-22,94.963,95.128,92.775,94.417
2024-05-23,96.962,97.106,93.085,93.653
2024-05-24,94.248,96.094,93.949,94.897
2024-05-28,95.34,95.412,93.699,94.966
2024-05-29,93.593,93.924,93.042,93.164
2024-05-30,93.04,93.958,91.987,92.91
2024-05-31,92.713,92.812,88.155,91.084
2024-06-03,92.537,93.079,88.968,91.403
2024-06-04,91.042,91.537,88.866,90.113
2024-06-05,92.724,95.096,92.561,95.012
2024-06-06,94.042,95.269,93.266,94.059
2024-06-07,95.066,95.066,93.386,94.112
2024-06-10,93.365,98.69,93.342,98.147
2024-06-11,97.744,97.94,95.795,97.815
2024-06-12,98.976,101.93,98.436,101.603
2024-06-13,100.557,102.32,100.034,101.69
2024-06-14,100.34,102.047,100.145,101.438
2024-06-17,100.84,105.179,100.84,105.01
2024-06-18,105.141,108.221,104.905,106.998
2024-06-20,107.232,107.379,103.062,104.171
2024-06-21,104.037,104.497,101.911,103.075
2024-06-24,102.832,103.744,100.247,100.482
2024-06-25,100.514,103.492,99.285,103.33
2024-06-26,103.4,104.952,102.267,103.616
2024-06-27,105.665,106.516,102.845,103.623
2024-06-28,104.545,106.713,103.338,104.525
2024-07-01,104.266,105.232,102.09,104.103
2024-07-02,102.932,105.382,102.694,105.322
2024-07-03,105.04,107.159,104.131,106.314
2024-07-05,107.076,107.487,105.548,106.82
2024-07-08,106.879,108.626,106.564,108.201
2024-07-09,108.65,109.908,108.064,109.295
2024-07-10,109.647,110.99,108.715,110.77
2024-07-11,111.017,111.04,103.989,104.034
2024-07-12,103.739,107.38,103.292,105.022
2024-07-15,105.022,106.231,104.299,104.951
2024-07-16,105.602,106.274,104.322,105.639
2024-07-17,99.955,99.955,94.759,94.808
2024-07-18,96.458,96.458,91.576,93.3
2024-07-19,93.994,94.74,89.59,89.751
2024-07-22,92.24,96.163,91.118,95.746
2024-07-23,94.416,95.768,93.641,94.009
2024-07-24,93.04,93.264,88.919,89.027
