日期,Open,High,Low,Close
2011-07-29,5.726,5.936,3.896,4.246
2011-08-31,4.346,4.456,2.101,2.911
2011-09-30,2.891,3.271,2.081,2.331
2011-10-31,2.311,3.571,1.441,2.841
2011-11-30,2.611,2.921,1.661,2.671
2011-12-30,2.591,3.005,2.415,2.875
2012-01-31,3.015,4.075,2.515,3.875
2012-02-29,3.995,4.345,2.965,3.28
2012-03-30,3.32,3.41,2.33,2.54
2012-04-30,2.52,2.8,2.06,2.58
2012-05-31,2.55,3.43,2.3,3.33
2012-06-29,3.2,3.73,2.89,3.53
2012-07-31,3.61,4.13,2.76,3.5
2012-08-31,3.5,3.84,3.13,3.26
2012-09-28,3.25,3.64,3.07,3.09
2012-10-31,3.1,3.49,3.0,3.14
2012-11-30,3.14,3.89,3.02,3.85
2012-12-31,3.9,4.94,3.74,4.57
2013-01-31,4.78,5.94,4.69,5.54
2013-02-28,5.62,6.22,5.48,6.03
2013-03-28,5.99,7.91,5.99,7.82
2013-04-30,7.81,8.11,6.78,8.04
2013-05-31,8.05,8.9,7.74,8.51
2013-06-28,8.56,8.66,7.17,7.27
2013-07-31,7.34,8.4,6.96,8.21
2013-08-30,8.29,8.62,7.06,7.23
2013-09-30,7.39,9.24,7.15,8.98
2013-10-31,9.0,11.76,8.9,11.64
2013-11-29,11.68,13.39,11.62,13.01
2013-12-31,13.04,13.46,12.15,13.3
2014-01-31,13.31,16.56,13.24,15.41
2014-02-28,15.44,17.08,14.69,16.9
2014-03-31,16.61,18.67,16.28,18.11
2014-04-30,18.23,18.95,16.85,18.67
2014-05-30,18.67,21.14,18.35,20.95
2014-06-30,21.04,22.26,20.03,21.42
2014-07-31,21.74,24.26,20.42,22.84
2014-08-29,22.77,27.05,21.98,26.63
2014-09-30,26.7,30.11,26.65,28.39
2014-10-31,27.59,29.97,23.02,29.1
2014-11-28,29.17,37.04,29.09,36.44
2014-12-31,36.86,37.86,33.41,37.0
2015-01-30,37.37,41.85,32.94,39.86
2015-02-27,39.62,40.17,36.87,37.92
2015-03-31,38.31,41.24,36.95,39.04
2015-04-30,38.81,38.93,34.84,35.3
2015-05-29,35.57,38.19,30.28,31.79
2015-06-30,31.925,33.115,27.835,27.905
2015-07-31,28.675,33.505,26.175,31.015
2015-08-31,31.475,35.76,27.83,31.59
2015-09-30,31.06,34.89,30.89,32.93
2015-10-30,32.71,41.84,31.89,41.18
2015-11-30,41.36,42.65,39.57,40.77
2015-12-31,40.89,46.23,37.625,38.025
2016-01-29,36.665,38.465,30.475,32.585
2016-02-29,32.585,37.825,28.925,36.915
2016-03-31,37.26,40.43,35.03,39.84
2016-04-29,39.44,43.04,38.13,39.65
2016-05-31,39.67,40.04,35.78,37.52
2016-06-30,37.54,39.47,31.89,34.35
2016-07-29,34.4,38.71,32.15,32.15
2016-08-31,32.3,33.17,30.56,32.12
2016-09-30,32.12,34.42,31.55,34.13
2016-10-31,34.09,38.17,32.15,35.29
2016-11-30,35.22,43.23,34.57,41.85
2016-12-30,41.6,46.65,41.42,45.18
2017-01-31,45.74,49.52,44.05,47.65
2017-02-28,47.89,53.91,47.52,53.14
2017-03-31,53.81,55.02,46.55,49.2
2017-04-28,49.16,53.28,48.32,51.66
2017-05-31,51.96,56.63,51.61,55.53
2017-06-30,55.62,58.315,53.195,57.705
2017-07-31,58.085,59.955,49.335,51.075
2017-08-31,51.435,52.415,46.18,47.83
2017-09-29,48.04,52.34,45.45,51.67
2017-10-31,51.71,55.58,49.23,49.55
2017-11-30,49.72,57.2,48.47,56.36
2017-12-29,56.2,62.795,55.2,61.265
2018-01-31,61.725,62.335,55.065,56.615
2018-02-28,56.325,56.935,49.825,53.655
2018-03-29,53.595,57.32,51.81,53.22
2018-04-30,53.13,53.13,46.94,48.77
2018-05-31,48.74,49.55,46.14,47.02
2018-06-29,47.14,49.64,46.03,46.98
2018-07-31,46.73,55.43,46.6,54.26
2018-08-31,54.22,58.46,51.71,57.56
2018-09-28,57.69,60.28,56.92,58.71
2018-10-31,58.87,59.46,43.36,45.36
2018-11-30,45.56,50.92,45.56,50.87
2018-12-31,51.16,51.94,40.7,42.9
2019-01-31,42.47,54.24,41.03,53.18
2019-02-28,53.41,55.19,49.73,52.46
2019-03-29,52.7,53.0,45.08,48.49
2019-04-30,48.85,51.44,47.96,50.81
2019-05-31,51.18,51.19,44.02,44.18
2019-06-28,44.18,49.51,43.98,47.54
2019-07-31,47.96,52.7,47.79,48.29
2019-08-30,48.29,50.13,44.85,49.26
2019-09-30,48.83,53.43,47.85,50.95
2019-10-31,51.23,54.84,48.13,53.07
2019-11-29,53.28,55.44,52.79,54.58
2019-12-31,54.54,54.74,50.55,51.1
2020-01-31,51.5,55.31,48.97,52.1
2020-02-28,52.53,55.95,42.1,43.31
2020-03-31,43.66,45.69,26.45,32.91
2020-04-30,31.35,34.61,25.55,28.55
2020-05-29,27.8,32.46,19.77,29.4
2020-06-30,29.6,39.65,28.24,31.48
2020-07-31,32.59,33.4,27.54,28.19
2020-08-31,28.05,36.36,27.6,34.88
2020-09-30,34.14,40.18,33.12,34.8
2020-10-30,35.26,40.69,33.35,36.83
2020-11-30,37.23,46.77,35.25,43.64
2020-12-31,43.85,46.83,41.75,43.91
2021-01-29,43.78,46.77,41.02,41.24
2021-02-26,41.64,56.94,41.39,55.43
2021-03-31,56.85,60.056,49.59,58.36
2021-04-30,58.57,62.05,56.211,60.08
2021-05-28,60.31,60.98,55.383,58.76
2021-06-30,59.24,59.56,49.85,50.39
2021-07-30,50.9,51.685,44.665,47.82
2021-08-31,47.9,49.318,44.25,47.08
2021-09-30,47.3,51.696,44.64,48.73
2021-10-29,51.07,53.63,43.74,44.58
2021-11-30,44.64,50.09,40.46,41.7
2021-12-31,42.29,44.26,35.96,40.14
2022-01-31,40.47,43.79,37.93,42.06
2022-02-28,42.3,45.04,38.5,41.1
2022-03-31,40.7,43.69,34.05,43.1
2022-04-29,43.22,47.4,38.34,44.02
2022-05-31,43.7,45.48,38.67,43.16
2022-06-30,43.7,43.76,31.66,33.42
2022-07-29,33.39,39.06,32.36,35.42
2022-08-31,35.3,37.69,33.98,34.0
2022-09-30,33.62,36.44,28.09,28.14
2022-10-31,28.14,33.86,27.5,33.65
2022-11-30,34.14,37.235,32.78,37.21
2022-12-30,37.3,37.68,29.49,30.97
2023-01-31,31.12,36.01,29.405,33.25
2023-02-28,32.98,34.79,30.51,31.06
2023-03-31,31.03,32.04,26.61,30.2
2023-04-28,29.73,30.6,26.47,27.95
2023-05-31,27.95,28.815,26.06,27.53
2023-06-30,27.75,34.08,26.74,34.05
2023-07-31,33.87,37.37,30.5,32.0
2023-08-31,31.7,31.97,28.705,29.44
2023-09-29,29.61,29.69,24.48,25.09
2023-10-31,25.13,25.68,19.94,20.25
2023-11-30,20.1,23.69,19.934,23.59
2023-12-29,23.63,28.51,23.56,27.08
2024-01-31,26.8,31.0,25.45,28.09
2024-02-29,28.29,33.38,27.61,32.47
2024-03-28,32.44,33.43,26.14,27.57
2024-04-30,27.69,28.35,24.305,24.32
2024-05-31,24.37,26.75,22.98,25.22
2024-06-28,25.64,28.73,25.38,27.17
2024-07-31,27.2,27.39,24.33,25.5
2024-08-30,25.56,28.005,22.14,27.48
2024-09-30,28.07,30.38,26.92,28.37
2024-10-31,28.29,30.94,27.32,29.32
2024-11-29,29.48,31.89,28.64,31.1
2024-12-31,31.11,34.86,31.06,32.54
2025-01-31,32.55,33.33,29.43,29.63
2025-02-28,29.09,30.27,28.21,29.98
2025-03-31,29.45,34.34,26.565,32.68
2025-04-30,31.82,32.26,22.915,27.06
2025-05-30,27.28,33.43,27.24,32.48
2025-06-30,32.55,33.718,30.0,31.72
2025-07-31,31.49,37.24,29.65,30.21
2025-08-29,29.56,32.92,28.255,32.18
2025-09-30,31.6,33.36,30.035,31.37
2025-10-31,31.45,34.435,29.375,29.76
2025-11-28,29.62,34.85,28.72,34.27
2025-12-31,33.99,43.0,33.74,40.97
2026-01-30,41.15,49.49,40.32,47.16
2026-02-27,48.41,54.75,47.74,48.9
2026-03-31,47.64,48.66,35.93,37.39
2026-04-30,37.28,44.74,35.55,37.74
2026-05-29,37.82,44.26,37.05,42.77
2026-06-30,42.19,53.13,40.635,51.42
2026-07-22,52.05,52.23,47.17,47.66
