日期,Open,High,Low,Close
2023-07-24,34.83,35.235,34.735,35.04
2023-07-25,33.74,33.93,32.66,33.37
2023-07-26,33.54,34.21,33.22,34.1
2023-07-27,31.66,31.66,30.5,30.86
2023-07-28,30.61,31.55,30.54,31.54
2023-07-31,31.28,32.335,31.28,32.0
2023-08-01,31.7,31.733,30.89,31.27
2023-08-02,30.89,31.45,30.89,31.21
2023-08-03,30.4,30.86,29.99,30.1
2023-08-04,30.37,30.77,30.175,30.57
2023-08-07,30.51,30.83,30.0,30.81
2023-08-08,30.45,31.775,30.39,31.58
2023-08-09,31.44,31.63,31.12,31.47
2023-08-10,31.75,31.97,31.19,31.68
2023-08-11,31.65,31.77,31.255,31.54
2023-08-14,31.37,31.533,31.195,31.37
2023-08-15,31.1,31.16,30.7,30.96
2023-08-16,30.83,31.61,30.75,30.76
2023-08-17,30.7,30.83,30.02,30.07
2023-08-18,29.82,30.205,29.74,29.99
2023-08-21,30.04,30.363,29.61,29.76
2023-08-22,29.84,29.92,29.18,29.34
2023-08-23,29.33,29.539,29.22,29.41
2023-08-24,29.14,29.594,29.06,29.06
2023-08-25,29.09,29.24,28.705,29.06
2023-08-28,29.23,29.585,28.72,28.93
2023-08-29,28.94,29.805,28.94,29.65
2023-08-30,29.56,29.67,29.28,29.47
2023-08-31,29.6,29.69,29.21,29.44
2023-09-01,29.61,29.69,29.095,29.26
2023-09-05,29.09,29.28,28.605,28.79
2023-09-06,27.92,28.875,27.765,27.99
2023-09-07,27.95,28.135,27.38,27.45
2023-09-08,27.52,27.6,27.09,27.55
2023-09-11,27.74,27.81,27.16,27.43
2023-09-12,27.52,27.635,27.18,27.3
2023-09-13,26.59,26.97,26.385,26.81
2023-09-14,27.08,27.13,26.6,26.96
2023-09-15,26.89,27.76,26.83,27.71
2023-09-18,27.52,27.64,27.08,27.1
2023-09-19,27.1,27.22,26.69,26.93
2023-09-20,27.18,27.25,26.53,26.54
2023-09-21,26.42,26.82,26.3,26.3
2023-09-22,26.33,26.418,26.05,26.07
2023-09-25,25.77,25.88,25.38,25.52
2023-09-26,25.29,25.63,24.565,24.58
2023-09-27,24.6,25.0,24.48,24.83
2023-09-28,24.76,25.45,24.645,25.24
2023-09-29,25.33,25.535,24.92,25.09
2023-10-02,25.13,25.38,24.98,25.21
2023-10-03,25.17,25.415,24.7,24.83
2023-10-04,24.9,25.68,24.88,25.22
2023-10-05,25.39,25.56,25.085,25.34
2023-10-06,25.14,25.495,24.795,25.1
2023-10-09,24.59,24.63,23.96,24.52
2023-10-10,24.91,25.25,24.6,24.67
2023-10-11,24.52,25.14,24.15,24.22
2023-10-12,24.23,24.27,23.3,23.47
2023-10-13,23.27,23.5,23.09,23.39
2023-10-16,23.47,23.74,23.29,23.63
2023-10-17,23.5,23.99,23.48,23.81
2023-10-18,23.53,23.54,22.68,22.72
2023-10-19,22.68,22.99,22.37,22.39
2023-10-20,22.27,22.55,22.14,22.22
2023-10-23,22.11,23.02,21.98,22.31
2023-10-24,22.38,22.49,21.85,21.92
2023-10-25,21.97,22.06,21.595,21.62
2023-10-26,21.52,22.11,20.84,21.41
2023-10-27,20.92,21.35,20.24,20.36
2023-10-30,20.44,20.58,20.03,20.53
2023-10-31,20.36,20.505,19.94,20.25
2023-11-01,20.1,20.49,19.934,20.25
2023-11-02,20.585,21.2,20.46,21.18
2023-11-03,21.6,21.96,21.41,21.72
2023-11-06,21.91,22.01,21.265,21.55
2023-11-07,21.62,21.71,21.27,21.58
2023-11-08,21.7,22.35,21.66,22.01
2023-11-09,22.175,22.268,21.33,21.37
2023-11-10,21.17,21.33,20.7,21.18
2023-11-13,20.72,21.27,20.6,21.11
2023-11-14,21.64,22.39,21.48,22.32
2023-11-15,22.45,23.07,22.41,22.96
2023-11-16,22.91,23.095,22.195,22.31
2023-11-17,22.51,22.87,22.26,22.83
2023-11-20,22.78,23.24,22.54,23.15
2023-11-21,22.97,23.1,22.525,22.65
2023-11-22,23.12,23.37,22.52,22.73
2023-11-24,22.84,22.96,22.675,22.89
2023-11-27,22.78,22.86,22.34,22.46
2023-11-28,22.44,22.88,22.24,22.84
2023-11-29,23.07,23.69,23.02,23.35
2023-11-30,23.49,23.64,23.085,23.59
2023-12-01,23.63,24.71,23.56,24.71
2023-12-04,24.68,25.34,24.44,25.32
2023-12-05,25.17,25.32,24.85,25.19
2023-12-06,25.67,26.45,25.49,26.01
2023-12-07,26.68,27.605,26.65,27.18
2023-12-08,26.97,27.22,26.67,27.09
2023-12-11,27.04,27.38,26.79,27.36
2023-12-12,27.47,28.51,27.33,28.33
2023-12-13,27.6,27.64,26.15,27.17
2023-12-14,27.37,28.26,27.25,27.78
2023-12-15,27.72,27.83,26.91,27.03
2023-12-18,26.9,27.07,26.4,26.99
2023-12-19,27.14,27.74,27.1,27.54
2023-12-20,27.37,27.965,27.21,27.27
2023-12-21,27.74,28.21,27.52,27.8
2023-12-22,27.85,28.06,27.56,27.7
2023-12-26,27.63,27.765,27.323,27.35
2023-12-27,27.38,27.49,27.08,27.41
2023-12-28,27.3,27.62,27.24,27.58
2023-12-29,27.46,27.46,27.04,27.08
2024-01-02,26.8,27.235,26.41,26.68
2024-01-03,26.06,26.21,25.45,25.51
2024-01-04,25.57,26.22,25.46,26.13
2024-01-05,26.05,27.38,26.01,27.35
2024-01-08,27.2,27.68,27.05,27.32
2024-01-09,27.245,27.78,27.08,27.52
2024-01-10,27.5,28.12,27.385,27.91
2024-01-11,27.77,28.08,27.27,28.04
2024-01-12,27.77,27.77,26.42,26.77
2024-01-16,26.6,27.015,25.77,26.92
2024-01-17,26.69,27.12,26.2,26.31
2024-01-18,26.45,28.27,26.37,28.23
2024-01-19,28.34,28.34,27.42,28.19
2024-01-22,28.31,28.7,28.175,28.36
2024-01-23,29.22,29.685,29.01,29.31
2024-01-24,29.52,29.59,29.1,29.31
2024-01-25,30.7,31.0,28.15,28.59
2024-01-26,28.73,29.35,27.885,28.29
2024-01-29,28.37,28.5,27.61,28.41
2024-01-30,28.01,28.68,28.01,28.39
2024-01-31,28.3,28.57,27.64,28.09
2024-02-01,28.29,28.575,27.61,28.38
2024-02-02,28.24,28.69,27.995,28.57
2024-02-05,28.13,28.25,27.72,27.95
2024-02-06,27.98,29.245,27.83,29.23
2024-02-07,29.16,29.555,28.86,28.94
2024-02-08,29.04,30.55,28.85,30.53
2024-02-09,30.48,30.84,30.0,30.69
2024-02-12,30.57,31.435,30.37,30.99
2024-02-13,30.59,30.94,30.115,30.73
2024-02-14,31.04,32.135,30.825,31.95
2024-02-15,32.18,32.92,32.06,32.41
2024-02-16,32.14,32.85,31.875,32.13
2024-02-20,32.51,33.262,32.014,32.06
2024-02-21,31.91,32.76,31.814,32.74
2024-02-22,32.97,33.38,32.405,32.44
2024-02-23,32.55,32.605,31.88,31.98
2024-02-26,32.07,32.77,31.99,32.35
2024-02-27,32.6,32.79,32.4,32.72
2024-02-28,32.4,32.755,32.36,32.67
2024-02-29,32.82,33.04,32.42,32.47
2024-03-01,32.44,32.564,31.84,32.16
2024-03-04,32.12,32.6,31.625,32.31
2024-03-05,32.07,32.86,31.99,32.79
2024-03-06,32.88,33.375,32.755,32.94
2024-03-07,32.99,33.28,32.89,33.21
2024-03-08,33.28,33.43,32.44,32.64
2024-03-11,32.71,32.71,31.86,32.16
2024-03-12,29.125,29.16,26.9,27.14
2024-03-13,27.11,27.36,26.52,26.66
2024-03-14,26.61,26.63,26.14,26.49
2024-03-15,26.4,26.75,26.34,26.73
2024-03-18,26.63,26.7,26.27,26.39
2024-03-19,26.4,26.605,26.289,26.55
2024-03-20,26.65,27.28,26.51,27.22
2024-03-21,27.14,27.31,26.67,27.06
2024-03-22,27.09,27.1,26.815,26.83
2024-03-25,26.8,27.11,26.63,26.89
2024-03-26,27.11,27.175,26.765,26.79
2024-03-27,26.96,27.68,26.89,27.65
2024-03-28,27.6,27.89,27.5,27.57
2024-04-01,27.69,27.79,27.48,27.56
2024-04-02,27.2,27.32,26.42,26.71
2024-04-03,26.61,26.66,26.35,26.41
2024-04-04,26.54,27.165,26.28,26.35
2024-04-05,26.22,26.805,26.18,26.72
2024-04-08,26.88,27.235,26.64,27.03
2024-04-09,27.04,27.44,26.74,27.43
2024-04-10,27.26,27.529,26.15,26.34
2024-04-11,26.23,27.01,26.14,26.9
2024-04-12,26.41,26.56,25.79,25.92
2024-04-15,26.24,26.57,26.025,26.22
2024-04-16,26.27,26.52,25.84,26.43
2024-04-17,26.81,27.41,26.79,27.16
2024-04-18,27.38,27.89,27.27,27.44
2024-04-19,27.54,28.04,27.49,27.76
2024-04-22,27.87,28.35,27.76,28.11
2024-04-23,27.69,28.2,27.43,27.84
2024-04-24,27.82,27.97,27.33,27.68
2024-04-25,25.26,25.86,24.38,25.64
2024-04-26,25.53,25.88,25.11,25.41
2024-04-29,24.86,25.32,24.71,25.22
2024-04-30,24.83,24.945,24.305,24.32
2024-05-01,24.37,24.58,23.945,24.05
