日期,Open,High,Low,Close
2011-07-29,13.93,19.34,13.92,16.25
2011-08-31,17.26,21.6,11.78,20.79
2011-09-30,20.65,21.47,14.03,18.2
2011-10-31,17.81,24.22,14.12,23.23
2011-11-30,22.69,26.62,21.6,26.6
2011-12-30,26.52,31.9,25.9,31.57
2012-01-31,32.41,33.3,28.78,30.13
2012-02-29,30.54,32.37,29.34,31.06
2012-03-30,31.06,32.22,26.91,29.88
2012-04-30,29.6,31.28,25.91,29.23
2012-05-31,29.01,29.79,21.28,21.82
2012-06-29,19.95,23.24,18.4,21.01
2012-07-31,20.89,25.8,20.1,21.84
2012-08-31,21.97,23.04,18.63,22.67
2012-09-28,22.69,27.18,21.88,24.93
2012-10-31,25.29,27.34,19.55,19.98
2012-11-30,20.18,21.31,16.49,20.99
2012-12-31,21.37,24.8,20.22,22.16
2013-01-31,23.35,29.24,23.2,29.24
2013-02-28,29.53,30.94,27.14,30.62
2013-03-28,30.4,34.5,29.59,34.41
2013-04-30,34.13,38.42,33.1,36.86
2013-05-31,36.7,38.06,32.06,32.06
2013-06-28,32.26,35.67,30.65,34.49
2013-07-31,34.84,37.3,31.79,33.57
2013-08-30,34.11,34.92,29.5,30.62
2013-09-30,31.36,35.25,30.38,32.47
2013-10-31,32.44,32.96,29.4,32.78
2013-11-29,32.78,35.53,32.58,34.44
2013-12-31,34.36,34.36,31.11,34.1
2014-01-31,33.88,34.15,29.94,31.24
2014-02-28,31.61,34.07,29.29,33.03
2014-03-31,32.12,36.95,31.88,35.91
2014-04-30,35.98,39.66,34.4,39.26
2014-05-30,38.56,41.66,38.21,40.12
2014-06-30,40.08,41.31,38.1,39.43
2014-07-31,39.12,40.05,33.25,33.25
2014-08-29,32.99,34.26,31.61,33.22
2014-09-30,32.74,36.8,30.03,34.31
2014-10-31,33.87,34.79,28.84,33.23
2014-11-28,33.28,37.75,32.52,37.16
2014-12-31,36.5,37.85,27.97,34.05
2015-01-30,34.48,35.35,29.12,32.79
2015-02-27,32.4,41.08,31.78,40.1
2015-03-31,39.82,42.29,36.14,38.64
2015-04-30,38.01,40.55,35.66,37.75
2015-05-29,37.93,42.28,36.77,37.98
2015-06-30,37.89,40.01,36.07,37.12
2015-07-31,37.15,43.15,36.78,41.91
2015-08-31,42.05,43.93,29.55,37.92
2015-09-30,35.67,41.87,35.5,41.43
2015-10-30,41.4,56.86,40.03,55.15
2015-11-30,55.36,58.28,52.5,57.95
2015-12-31,58.31,64.02,56.7,61.93
2016-01-29,61.04,68.14,56.79,67.57
2016-02-29,66.87,68.62,56.5,61.87
2016-03-31,62.59,71.64,60.0,70.36
2016-04-29,69.87,74.48,69.55,71.17
2016-05-31,71.33,76.64,66.3,66.74
2016-06-30,66.28,69.65,62.37,65.91
2016-07-29,65.29,74.17,63.0,63.22
2016-08-31,63.45,65.59,59.53,62.12
2016-09-30,61.97,65.7,60.59,61.82
2016-10-31,61.47,62.2,56.79,59.03
2016-11-30,59.11,68.33,57.29,66.67
2016-12-30,66.36,71.39,65.11,69.12
2017-01-31,69.26,70.74,65.58,69.97
2017-02-28,69.3,76.3,69.1,75.99
2017-03-31,76.36,78.53,75.68,77.95
2017-04-28,77.84,91.13,76.99,88.27
2017-05-31,88.2,99.48,88.18,99.23
2017-06-30,100.07,104.74,97.32,102.44
2017-07-31,102.72,109.25,101.05,104.42
2017-08-31,104.37,110.22,102.51,110.19
2017-09-29,110.09,111.94,103.49,106.9
2017-10-31,106.22,118.12,106.02,117.13
2017-11-30,115.94,124.4,113.74,123.2
2017-12-29,124.0,127.01,121.62,123.35
2018-01-31,124.96,129.93,121.5,122.37
2018-02-28,121.5,124.77,105.09,109.98
2018-03-29,110.04,115.47,99.08,108.62
2018-04-30,110.51,120.19,107.25,119.68
2018-05-31,118.62,119.54,111.32,112.25
2018-06-29,113.15,124.81,108.35,109.94
2018-07-31,109.24,114.23,107.96,110.79
2018-08-31,109.82,117.17,106.38,116.49
2018-09-28,116.07,122.09,110.82,121.55
2018-10-31,122.63,133.22,116.08,131.16
2018-11-30,130.93,145.14,128.26,143.93
2018-12-31,143.52,143.84,124.46,132.99
2019-01-31,130.83,144.84,129.59,134.2
2019-02-28,134.97,140.56,128.83,140.42
2019-03-29,141.17,147.1,134.85,146.48
2019-04-30,147.08,156.58,143.28,154.15
2019-05-31,152.45,157.77,149.9,156.01
2019-06-28,156.1,165.73,155.06,165.4
2019-07-31,166.6,176.7,163.93,168.46
2019-08-30,168.92,179.67,167.17,176.87
2019-09-30,176.83,179.74,166.23,173.61
2019-10-31,170.03,172.37,150.4,155.6
2019-11-29,156.68,156.87,146.45,154.63
2019-12-31,155.53,159.15,152.5,157.76
2020-01-31,158.15,177.25,157.96,174.12
2020-02-28,175.14,178.54,150.21,155.57
2020-03-31,155.21,168.56,85.63,126.75
2020-04-30,121.62,151.81,116.4,148.96
2020-05-29,145.4,152.06,129.25,148.97
2020-06-30,149.36,165.38,141.53,147.12
2020-07-31,147.6,165.17,145.27,156.93
2020-08-31,156.98,179.36,156.24,177.42
2020-09-30,174.74,190.62,174.48,183.39
2020-10-30,185.49,195.81,173.81,176.9
2020-11-30,179.78,191.75,171.07,182.63
2020-12-31,184.07,184.12,171.38,179.77
2021-01-29,179.68,181.31,168.3,173.03
2021-02-26,173.67,182.5,171.79,172.62
2021-03-31,173.83,194.355,169.21,190.62
2021-04-30,191.15,202.77,189.756,202.56
2021-05-28,204.47,204.66,194.05,201.66
2021-06-30,203.75,205.58,196.59,198.76
2021-07-30,199.18,214.82,194.19,210.48
2021-08-31,212.01,212.446,200.82,206.52
2021-09-30,206.94,217.96,205.01,210.17
2021-10-29,212.13,219.01,205.2,214.61
2021-11-30,214.86,226.85,214.39,215.04
2021-12-31,216.2,240.16,214.55,238.51
2022-01-31,239.93,241.59,215.69,229.89
2022-02-28,230.19,233.32,210.05,216.59
2022-03-31,214.12,223.17,189.495,219.1
2022-04-29,219.94,231.425,214.2,220.98
2022-05-31,222.68,226.6,200.16,224.03
