日期,Open,High,Low,Close
2023-07-24,84.19,85.35,82.84,83.48
2023-07-25,84.18,86.05,84.09,85.45
2023-07-26,83.92,84.27,82.475,82.94
2023-07-27,85.42,87.115,84.27,85.04
2023-07-28,86.42,88.01,85.14,87.71
2023-07-31,88.1,88.91,87.895,88.55
2023-08-01,87.23,88.32,86.51,87.96
2023-08-02,87.11,87.11,84.56,84.88
2023-08-03,83.31,85.24,82.32,84.13
2023-08-04,80.63,81.74,76.625,78.07
2023-08-07,78.3,79.46,78.02,79.42
2023-08-08,77.81,79.3,76.94,79.14
2023-08-09,79.33,79.95,78.2,78.67
2023-08-10,79.67,79.74,77.11,77.92
2023-08-11,76.98,77.64,76.23,76.38
2023-08-14,76.16,77.66,75.96,77.65
2023-08-15,76.96,77.28,75.44,75.5
2023-08-16,75.09,75.57,74.23,74.38
2023-08-17,74.46,74.58,73.45,73.71
2023-08-18,72.995,74.39,72.2,74.02
2023-08-21,74.72,75.83,74.08,75.54
2023-08-22,76.59,76.872,74.73,75.25
2023-08-23,73.65,76.52,73.531,75.61
2023-08-24,76.18,76.46,72.615,72.78
2023-08-25,73.1,74.69,72.24,74.39
2023-08-28,75.07,75.77,74.655,75.31
2023-08-29,74.84,77.255,74.64,76.99
2023-08-30,76.61,77.38,75.36,77.01
2023-08-31,77.33,77.78,76.57,76.86
2023-09-01,77.86,77.9,76.64,77.31
2023-09-05,76.71,77.36,75.95,76.58
2023-09-06,76.74,77.61,75.21,76.08
2023-09-07,74.14,74.47,73.11,74.12
2023-09-08,74.12,74.73,73.46,73.8
2023-09-11,75.02,75.15,73.06,74.48
2023-09-12,73.82,74.97,73.21,73.39
2023-09-13,73.66,74.8,73.4,73.69
2023-09-14,74.8,75.65,73.445,75.05
2023-09-15,74.74,74.74,72.19,72.65
2023-09-18,72.34,73.18,71.82,72.97
2023-09-19,72.6,73.17,71.84,72.8
2023-09-20,73.41,73.705,71.68,71.74
2023-09-21,70.82,72.39,70.69,71.11
2023-09-22,71.63,72.83,71.43,72.1
2023-09-25,71.53,72.57,71.23,72.45
2023-09-26,72.09,72.09,70.65,71.07
2023-09-27,71.76,71.96,70.26,71.52
2023-09-28,71.65,74.33,71.35,73.63
2023-09-29,74.47,74.6,72.68,73.07
2023-10-02,73.3,74.05,72.15,73.39
2023-10-03,72.28,73.61,71.18,71.77
2023-10-04,71.81,73.09,71.49,72.79
2023-10-05,72.77,73.205,71.31,72.37
2023-10-06,71.93,75.04,71.31,74.56
2023-10-09,73.69,74.57,73.155,74.45
2023-10-10,74.91,76.63,74.56,75.8
2023-10-11,76.04,76.64,74.97,76.25
2023-10-12,76.38,76.69,74.81,75.53
2023-10-13,75.88,76.18,72.25,72.48
2023-10-16,72.81,74.262,72.63,73.97
2023-10-17,72.42,74.97,72.075,73.93
2023-10-18,72.43,73.68,71.62,73.01
2023-10-19,73.14,73.7,71.5,71.81
2023-10-20,71.85,72.12,70.2,70.38
2023-10-23,69.94,70.76,68.82,69.41
2023-10-24,70.11,71.43,69.61,71.05
2023-10-25,69.16,69.24,65.93,66.4
2023-10-26,67.54,69.11,67.09,67.78
2023-10-27,68.73,68.73,66.96,67.28
2023-10-30,65.9,66.36,64.23,65.68
2023-10-31,65.52,66.48,65.23,66.31
2023-11-01,65.53,66.16,63.77,66.06
2023-11-02,67.37,69.01,66.94,68.62
2023-11-03,70.135,72.02,69.22,71.45
2023-11-06,71.34,71.44,69.1,70.14
2023-11-07,70.3,71.095,69.64,70.33
2023-11-08,71.06,71.19,70.11,70.38
2023-11-09,70.79,71.17,68.6,68.72
2023-11-10,69.19,72.793,68.94,72.58
2023-11-13,71.67,71.93,70.71,71.64
2023-11-14,74.37,76.87,74.25,76.3
2023-11-15,77.03,79.18,76.6,77.52
2023-11-16,77.37,77.68,76.19,77.18
2023-11-17,77.49,78.71,77.05,78.55
2023-11-20,78.25,80.15,78.23,79.73
2023-11-21,79.319,79.459,77.539,77.969
2023-11-22,78.899,79.634,77.809,77.919
2023-11-24,77.929,78.769,77.619,78.719
2023-11-27,77.849,78.079,76.969,77.219
2023-11-28,77.129,77.759,76.602,77.279
2023-11-29,78.759,80.149,78.268,78.439
2023-11-30,78.939,79.299,77.929,78.899
2023-12-01,78.569,80.259,78.299,80.119
2023-12-04,79.579,80.009,78.449,79.949
2023-12-05,79.349,79.409,78.349,79.009
2023-12-06,80.219,80.639,78.789,79.079
2023-12-07,79.759,81.789,79.229,81.269
2023-12-08,80.919,82.209,80.859,81.539
2023-12-11,82.639,84.929,82.379,84.369
2023-12-12,83.909,85.139,83.469,84.689
2023-12-13,84.819,86.319,83.429,85.319
2023-12-14,86.359,88.639,86.119,88.419
2023-12-15,88.879,89.599,87.519,87.659
2023-12-18,88.059,88.089,86.259,86.769
2023-12-19,87.099,87.519,86.549,86.849
2023-12-20,85.989,86.619,83.929,84.009
2023-12-21,85.409,85.819,84.349,85.339
2023-12-22,86.039,86.869,85.119,85.649
2023-12-26,85.989,87.239,85.979,86.769
2023-12-27,87.039,87.249,86.089,86.579
2023-12-28,86.939,87.229,86.224,86.299
2023-12-29,86.209,86.789,85.179,85.639
2024-01-02,84.599,84.979,81.289,82.019
2024-01-03,80.809,80.999,79.384,80.029
2024-01-04,77.529,79.689,77.269,78.859
2024-01-05,78.899,80.249,78.749,79.449
