日期,Open,High,Low,Close
2020-07-24,274.27,277.41,265.66,270.98
2020-07-31,271.28,276.83,258.02,262.6
2020-08-07,266.25,267.64,252.62,256.82
2020-08-14,254.85,265.05,249.49,262.35
2020-08-21,262.71,270.22,260.88,266.33
2020-08-28,268.3,277.01,265.34,276.25
2020-09-04,276.63,287.81,259.34,264.33
2020-09-11,259.83,272.76,256.1,266.8
2020-09-18,271.14,274.86,260.46,262.68
2020-09-25,258.9,263.86,254.47,262.35
2020-10-02,265.52,280.04,264.51,275.82
2020-10-09,277.74,279.79,267.88,276.59
2020-10-16,278.76,279.0,266.25,270.92
2020-10-23,271.53,274.93,252.05,253.74
2020-10-30,251.14,254.19,235.03,244.76
2020-11-06,248.41,275.6,245.48,272.49
2020-11-13,284.56,286.5,249.91,257.27
2020-11-20,258.89,259.88,252.88,255.36
2020-11-27,257.65,263.56,251.14,259.64
2020-12-04,262.68,270.79,259.41,268.08
2020-12-11,268.52,268.79,253.37,257.06
2020-12-18,259.2,267.14,256.89,265.79
2020-12-24,263.64,266.87,256.16,261.3
2020-12-31,263.58,272.86,259.24,272.66
2021-01-08,275.92,277.12,259.38,262.63
2021-01-15,261.07,261.37,248.95,249.07
2021-01-22,249.94,260.28,246.46,249.12
2021-01-29,249.44,256.71,243.8,248.68
2021-02-05,252.61,263.79,250.35,259.39
2021-02-12,260.93,267.41,257.42,261.09
2021-02-19,262.5,264.81,255.29,262.84
2021-02-26,260.6,265.76,255.64,257.93
2021-03-05,260.37,271.44,259.03,270.48
2021-03-12,271.05,277.04,270.33,274.68
2021-03-19,274.63,284.52,269.16,270.83
2021-03-26,270.83,287.29,269.18,287.16
2021-04-01,286.03,290.9,278.67,289.35
2021-04-09,289.22,297.67,289.16,297.33
2021-04-16,295.77,305.48,295.04,305.04
2021-04-23,303.74,312.08,302.45,310.77
2021-04-30,310.76,323.2,301.41,309.75
2021-05-07,310.57,317.72,307.57,317.54
2021-05-14,317.89,321.63,302.3,317.08
2021-05-21,315.19,315.78,302.59,312.54
2021-05-28,314.77,321.83,313.975,319.01
2021-06-04,321.72,322.66,314.035,319.31
2021-06-11,319.54,328.54,317.77,328.4
2021-06-18,328.06,340.9,326.545,332.42
2021-06-25,334.18,350.29,331.86,348.65
2021-07-02,349.4,352.21,344.68,351.5
2021-07-09,352.98,361.25,348.91,359.25
2021-07-16,360.19,363.54,355.65,361.62
2021-07-23,358.77,368.18,353.05,365.52
2021-07-30,363.91,366.37,357.94,359.66
2021-08-06,362.23,372.47,357.87,368.63
2021-08-13,369.52,371.19,359.94,364.31
2021-08-20,363.35,368.2,353.28,360.7
2021-08-27,361.04,366.775,357.78,362.13
2021-09-03,362.59,370.9,362.12,369.67
2021-09-10,372.02,372.02,363.76,366.81
2021-09-17,369.54,371.27,353.06,354.28
2021-09-24,350.28,362.89,349.67,360.55
2021-10-01,358.85,358.85,337.31,343.53
2021-10-08,341.91,351.36,331.16,346.55
2021-10-15,345.01,357.42,342.67,355.46
2021-10-22,355.39,366.78,351.8,365.94
2021-10-29,365.97,392.01,363.86,388.43
2021-11-05,391.1,392.22,366.73,371.39
2021-11-12,372.09,378.295,366.5,372.3
2021-11-19,372.43,387.82,370.78,371.7
2021-11-26,371.68,378.13,363.31,368.99
2021-12-03,374.8,384.61,364.49,369.68
2021-12-10,371.95,385.52,364.91,382.65
2021-12-17,382.94,385.63,372.67,378.54
2021-12-23,373.43,384.73,367.5,382.16
2021-12-31,383.87,388.63,373.44,375.48
2022-01-07,376.64,377.43,353.17,357.3
2022-01-14,353.29,361.33,333.2,338.45
2022-01-21,332.66,339.585,325.86,326.77
2022-01-28,320.5,329.46,306.965,321.41
2022-02-04,321.65,335.855,318.47,331.78
2022-02-11,331.18,339.71,314.7,317.19
2022-02-18,315.81,317.52,306.06,308.48
2022-02-25,305.83,314.25,295.86,309.3
2022-03-04,306.54,315.02,304.19,311.44
2022-03-11,311.44,313.8,287.64,290.07
2022-03-18,291.69,317.435,285.285,316.83
2022-03-25,314.09,317.95,308.52,316.11
2022-04-01,316.8,330.805,316.56,325.93
2022-04-08,326.11,331.82,323.76,328.29
2022-04-14,325.23,325.906,311.95,314.0
2022-04-22,313.11,324.875,307.685,308.02
2022-04-29,305.6,313.885,301.18,302.08
2022-05-06,273.63,304.21,272.61,286.04
2022-05-13,281.56,283.39,262.39,274.56
2022-05-20,272.86,279.6,263.38,275.57
2022-05-27,278.3,293.86,274.73,293.79
2022-06-03,291.43,292.52,255.77,271.58
2022-06-10,273.01,276.39,257.23,259.53
2022-06-17,254.1,256.1,237.31,242.17
2022-06-24,246.7,264.095,243.64,263.8
2022-07-01,264.43,265.962,254.38,261.21
2022-07-08,257.4,272.97,257.31,270.43
2022-07-15,270.32,272.14,255.95,267.91
2022-07-22,269.92,284.79,266.11,281.76
2022-07-29,281.01,297.83,269.421,296.55
