日期,Open,High,Low,Close
2020-07-24,188.0,196.94,180.51,184.3
2020-07-31,184.47,188.1,182.01,188.01
2020-08-07,194.52,200.64,193.31,195.48
2020-08-14,194.67,194.88,186.14,191.9
2020-08-21,192.6,199.76,191.92,196.53
2020-08-28,198.3,214.66,195.94,212.42
2020-09-04,210.51,216.37,188.7,197.76
2020-09-11,190.01,198.35,184.75,187.54
2020-09-18,187.75,194.16,179.76,183.9
2020-09-25,180.7,192.55,179.89,191.33
2020-10-02,194.39,197.5,189.05,189.7
2020-10-09,190.73,199.37,188.33,199.32
2020-10-16,202.3,208.72,199.52,203.17
2020-10-23,203.93,205.81,195.21,199.74
2020-10-30,197.36,199.85,183.13,185.98
2020-11-06,187.8,207.87,183.63,207.23
2020-11-13,207.95,211.63,193.23,200.02
2020-11-20,198.38,201.25,194.0,194.46
2020-11-27,195.02,200.34,192.23,199.3
2020-12-04,198.17,201.39,194.91,198.43
2020-12-11,198.44,201.02,193.18,197.33
2020-12-18,197.17,204.96,196.31,202.66
2020-12-24,201.62,209.7,201.35,206.82
2020-12-31,208.52,211.25,203.75,206.49
2021-01-08,206.6,207.07,196.01,203.69
2021-01-15,202.54,202.98,196.1,196.72
2021-01-22,197.82,214.14,196.7,210.02
2021-01-29,213.19,226.71,208.29,216.03
2021-02-05,219.13,229.16,216.5,226.27
2021-02-12,227.22,229.99,224.88,229.06
2021-02-19,229.1,230.2,224.81,225.6
2021-02-26,222.05,222.56,212.51,217.01
2021-03-05,220.53,222.1,208.89,216.23
2021-03-12,216.0,223.8,211.76,220.38
2021-03-19,219.59,224.685,213.98,214.98
2021-03-26,214.9,225.68,214.77,221.11
2021-04-01,221.22,227.47,215.73,226.98
2021-04-09,227.39,240.62,227.33,240.48
2021-04-16,239.34,245.63,239.25,245.37
2021-04-23,244.82,246.41,240.27,245.78
2021-04-30,246.29,247.82,233.63,236.81
2021-05-07,238.03,238.98,229.32,237.09
2021-05-14,235.5,236.36,222.7,232.78
2021-05-21,231.18,233.52,223.79,230.36
2021-05-28,232.975,238.13,232.7,234.87
2021-06-04,236.42,236.84,228.19,235.98
2021-06-11,235.17,243.677,235.0,243.08
2021-06-18,243.09,247.49,239.61,244.62
2021-06-25,245.01,253.04,243.11,250.21
2021-07-02,251.375,263.19,251.1,262.84
2021-07-09,263.22,265.885,259.49,263.13
2021-07-16,264.347,269.29,261.77,265.94
2021-07-23,264.124,275.18,259.64,274.86
2021-07-30,274.19,275.34,268.14,270.1
2021-08-06,271.55,274.82,268.93,274.65
2021-08-13,274.94,278.09,270.39,278.04
2021-08-20,278.38,291.59,274.39,290.11
2021-08-27,288.995,291.4,282.58,285.47
2021-09-03,286.865,290.94,285.93,286.89
2021-09-10,286.755,287.89,281.13,281.46
2021-09-17,283.3,291.07,279.83,285.62
2021-09-24,282.08,286.65,275.27,285.1
2021-10-01,281.89,282.22,267.04,274.85
2021-10-08,273.15,282.391,266.0,280.6
2021-10-15,278.67,290.2,278.1,289.96
2021-10-22,289.32,296.84,288.44,294.91
2021-10-29,295.11,317.75,292.21,317.37
2021-11-05,317.105,324.54,312.12,321.81
2021-11-12,323.05,324.47,315.67,322.47
2021-11-19,323.29,331.47,319.784,329.48
2021-11-26,330.99,336.04,314.49,316.05
2021-12-03,321.31,325.65,304.4,309.38
2021-12-10,310.32,329.37,305.6,328.91
2021-12-17,327.05,330.16,303.62,310.17
2021-12-23,306.42,322.76,303.94,321.06
2021-12-31,321.83,330.67,321.8,322.69
2022-01-07,321.72,324.37,296.47,300.41
2022-01-14,295.855,309.78,290.12,296.57
2022-01-21,290.44,300.279,281.98,282.4
2022-01-28,278.57,294.87,262.42,294.63
2022-02-04,295.32,301.49,286.33,292.31
2022-02-11,292.54,298.3,280.59,281.41
2022-02-18,280.14,287.86,273.295,274.92
2022-02-25,271.99,284.62,258.51,284.3
2022-03-04,281.3,290.12,274.155,276.85
2022-03-11,275.52,276.68,256.99,267.06
2022-03-18,267.33,287.99,262.81,287.42
2022-03-25,285.88,292.49,281.89,290.67
