日期,Open,High,Low,Close
2023-07-24,142.401,142.616,141.882,142.097
2023-07-25,141.863,143.496,141.863,143.154
2023-07-26,142.723,142.772,141.481,142.322
2023-07-27,143.8,144.015,141.677,141.97
2023-07-28,143.007,143.469,142.655,143.301
2023-07-31,143.379,143.721,143.085,143.565
2023-08-01,143.125,143.736,142.968,143.584
2023-08-02,142.616,142.821,140.989,141.207
2023-08-03,140.473,141.941,140.473,141.168
2023-08-04,141.775,142.909,140.928,141.06
2023-08-07,141.657,142.958,141.657,142.958
2023-08-08,142.41,142.929,141.941,142.675
2023-08-09,142.479,142.704,141.129,141.393
2023-08-10,141.784,143.203,140.894,141.471
2023-08-11,140.61,141.373,140.454,140.874
2023-08-14,140.571,142.587,140.571,142.587
2023-08-15,142.068,142.469,141.471,141.755
2023-08-16,141.491,142.117,140.356,140.356
2023-08-17,140.64,140.933,138.517,138.517
2023-08-18,137.499,139.231,137.499,138.889
2023-08-21,139.143,140.61,138.947,140.405
2023-08-22,140.874,141.021,139.642,139.808
2023-08-23,139.857,141.755,139.857,141.569
2023-08-24,142.352,142.792,139.241,139.251
2023-08-25,139.603,140.61,138.35,140.053
2023-08-28,140.786,141.383,140.474,141.256
2023-08-29,141.031,143.643,141.031,143.594
2023-08-30,143.535,144.455,143.467,144.044
2023-08-31,144.269,144.788,143.946,144.005
2023-09-01,144.749,144.954,143.467,144.064
2023-09-05,144.025,144.034,143.144,143.34
2023-09-06,143.095,143.271,142.117,142.939
2023-09-07,142.009,142.714,141.863,142.508
2023-09-08,142.489,143.281,142.415,142.714
2023-09-11,143.35,143.663,142.723,143.535
2023-09-12,142.596,143.03,142.097,142.195
2023-09-13,142.0,142.787,141.853,142.293
2023-09-14,142.948,143.623,142.518,143.457
2023-09-15,142.851,143.017,140.865,140.865
2023-09-18,140.464,141.608,140.464,141.158
2023-09-19,140.649,141.114,140.083,140.982
2023-09-20,141.158,141.598,139.524,139.554
2023-09-21,138.39,138.849,137.059,137.069
2023-09-22,137.402,138.338,137.255,137.362
2023-09-25,136.727,137.852,136.727,137.822
2023-09-26,136.791,137.321,136.104,136.32
2023-09-27,136.82,137.169,135.349,136.585
2023-09-28,136.487,138.287,136.487,137.694
2023-09-29,138.714,138.832,136.703,137.066
