日期,Open,High,Low,Close
2020-07-24,47.335,51.875,47.215,47.695
2020-07-31,48.275,49.385,46.785,47.735
2020-08-07,48.065,49.155,45.725,46.425
2020-08-14,46.525,47.415,42.975,43.275
2020-08-21,43.575,43.615,39.925,40.335
2020-08-28,40.795,43.495,40.565,43.365
2020-09-04,43.025,45.865,42.565,44.155
2020-09-11,42.665,44.155,42.125,43.765
2020-09-18,46.025,49.845,45.975,48.415
2020-09-25,47.285,49.285,45.455,46.815
2020-10-02,47.315,49.055,44.175,44.225
2020-10-09,44.665,48.275,44.655,47.565
2020-10-16,48.255,50.425,47.755,49.285
2020-10-23,49.645,52.525,48.975,50.525
2020-10-30,50.075,50.565,46.975,48.015
2020-11-06,48.465,53.085,47.115,52.835
2020-11-13,54.145,55.865,52.035,55.605
2020-11-20,57.395,60.315,57.285,59.075
2020-11-27,60.285,62.475,59.975,61.905
2020-12-04,62.235,72.055,61.255,71.015
2020-12-11,70.965,72.285,67.075,68.205
2020-12-18,69.075,72.025,68.705,69.135
2020-12-24,67.675,69.455,67.325,68.255
2020-12-31,69.465,73.355,66.815,72.855
2021-01-08,74.155,81.835,71.425,75.095
2021-01-15,74.265,79.885,74.095,78.395
2021-01-22,78.955,84.925,78.635,79.955
2021-01-29,80.865,81.175,72.005,75.945
2021-02-05,77.265,80.205,76.155,78.775
2021-02-12,79.42,85.99,78.975,85.685
2021-02-19,86.895,89.165,82.579,88.635
2021-02-26,87.205,90.775,80.115,89.205
2021-03-05,92.215,93.425,79.525,86.605
2021-03-12,86.248,87.895,82.545,85.445
2021-03-19,85.445,93.16,83.815,88.185
2021-03-26,89.505,90.095,78.165,85.665
2021-04-01,85.43,92.055,82.925,90.085
2021-04-09,91.602,94.065,90.145,92.975
2021-04-16,92.865,94.635,87.12,88.335
2021-04-23,88.34,88.355,81.575,83.705
2021-04-30,84.145,87.865,83.025,83.745
2021-05-07,84.645,84.685,79.705,83.655
2021-05-14,82.625,82.675,74.085,77.375
2021-05-21,76.77,79.665,73.835,78.395
2021-05-28,79.093,82.425,77.385,81.815
2021-06-04,82.595,83.43,79.565,81.435
2021-06-11,80.865,82.65,76.195,77.015
2021-06-18,77.175,80.785,73.805,74.625
2021-06-25,74.525,80.515,73.385,79.705
2021-07-02,80.305,83.075,76.565,78.005
2021-07-09,78.465,79.485,73.636,76.415
2021-07-16,76.425,78.435,72.515,72.685
2021-07-23,71.515,74.915,70.875,73.615
2021-07-30,73.485,75.79,70.185,75.255
2021-08-06,76.715,80.765,75.145,79.675
2021-08-13,79.405,79.715,66.485,68.595
2021-08-20,67.875,69.555,66.715,67.905
2021-08-27,68.515,74.705,66.575,71.675
2021-09-03,71.795,72.425,69.98,71.485
2021-09-10,71.43,73.3,68.785,71.175
2021-09-17,72.235,72.895,69.435,71.975
2021-09-24,70.275,72.465,68.865,71.725
2021-10-01,71.325,73.555,67.875,68.765
2021-10-08,68.375,69.445,66.805,67.895
2021-10-15,67.675,68.13,63.445,65.455
2021-10-22,64.785,66.975,64.065,65.285
2021-10-29,67.395,68.895,65.225,66.875
2021-11-05,66.745,71.515,66.715,70.695
2021-11-12,71.095,75.795,70.895,75.075
2021-11-19,75.535,81.635,72.965,80.805
2021-11-26,81.435,85.485,79.755,81.195
2021-12-03,82.155,86.825,78.415,79.395
2021-12-10,79.605,84.814,78.305,83.315
2021-12-17,84.385,85.155,78.715,80.775
2021-12-23,79.915,92.775,78.685,92.195
2021-12-31,91.495,94.52,89.835,91.025
2022-01-07,91.78,96.325,91.355,92.325
2022-01-14,92.135,95.98,88.915,95.235
2022-01-21,93.405,93.825,79.395,79.805
2022-01-28,78.145,82.66,73.395,77.145
2022-02-04,76.835,83.055,75.895,79.045
2022-02-11,79.235,92.515,78.355,87.635
2022-02-18,89.865,94.375,86.585,88.675
2022-02-25,87.715,91.845,81.665,87.975
2022-03-04,86.325,91.945,78.39,79.785
2022-03-11,79.635,80.845,70.51,70.695
2022-03-18,69.625,79.075,66.215,77.285
2022-03-25,76.865,77.765,72.95,75.975
2022-04-01,76.465,84.115,71.935,74.055
2022-04-08,74.775,76.055,68.805,70.115
2022-04-14,68.525,71.725,68.065,68.105
2022-04-22,68.225,74.205,67.285,67.385
2022-04-29,66.395,69.31,63.837,66.165
2022-05-06,66.135,71.875,65.555,68.325
2022-05-13,67.175,70.605,63.845,69.895
2022-05-20,69.485,72.705,64.085,66.875
2022-05-27,66.745,71.41,63.875,71.295
2022-06-03,71.445,73.385,67.085,67.915
2022-06-10,68.717,70.115,60.255,60.595
2022-06-17,57.995,58.935,51.575,53.725
2022-06-24,54.79,56.975,52.93,56.415
2022-07-01,57.55,58.565,49.375,51.625
2022-07-08,50.15,58.52,50.065,57.23
2022-07-15,56.2,59.79,55.41,59.62
2022-07-22,60.18,61.77,58.23,59.38
2022-07-29,59.44,60.48,57.64,59.95
2022-08-05,60.59,63.08,58.97,60.55
2022-08-12,60.08,63.505,55.83,63.13
2022-08-19,62.79,63.21,58.37,58.6
2022-08-26,57.652,59.36,55.45,55.72
2022-09-02,55.4,56.89,52.88,54.42
2022-09-09,54.42,55.77,51.83,55.53
2022-09-16,55.55,56.23,49.58,50.94
2022-09-23,50.06,50.86,46.54,48.19
2022-09-30,48.015,50.15,46.9,48.19
2022-10-07,49.1,53.29,48.73,51.115
2022-10-14,51.275,54.125,48.535,50.925
2022-10-21,52.805,54.485,49.865,54.255
2022-10-28,54.435,55.645,49.665,52.245
2022-11-04,52.115,55.115,50.115,54.365
2022-11-11,54.635,61.385,53.665,60.725
2022-11-18,60.145,62.645,54.715,56.785
2022-11-25,56.225,57.335,55.025,56.615
2022-12-02,55.525,56.125,50.815,52.885
2022-12-09,52.575,54.06,50.645,53.075
2022-12-16,51.725,56.095,49.825,50.275
2022-12-23,50.375,50.495,46.635,48.405
2022-12-30,47.815,49.29,46.722,48.3
2023-01-06,48.88,55.61,47.87,55.09
2023-01-13,55.14,56.785,53.97,55.25
2023-01-20,55.48,56.92,53.6,56.78
2023-01-27,57.24,62.66,57.18,62.19
2023-02-03,61.08,62.24,56.97,60.73
2023-02-10,59.26,60.705,57.57,58.14
2023-02-17,58.14,60.625,56.83,57.33
2023-02-24,56.66,58.068,55.145,56.5
2023-03-03,57.49,57.88,53.04,55.1
2023-03-10,55.6,56.968,52.85,53.25
2023-03-17,52.285,56.04,51.08,54.98
2023-03-24,55.02,60.1,54.4,59.48
2023-03-31,59.51,62.74,56.135,58.66
2023-04-06,58.125,58.415,54.33,56.995
2023-04-14,59.615,62.795,59.225,61.065
2023-04-21,60.655,61.885,58.305,59.565
2023-04-28,58.53,62.87,56.465,62.795
2023-05-05,62.325,62.535,58.335,59.665
2023-05-12,59.685,60.745,57.985,59.355
2023-05-19,60.665,67.025,60.235,66.605
2023-05-26,64.185,73.025,63.195,72.365
2023-06-02,72.82,73.205,66.355,67.605
2023-06-09,67.935,67.935,62.445,63.865
2023-06-16,64.275,68.935,64.225,66.095
2023-06-23,65.75,66.055,63.275,63.715
2023-06-30,64.065,66.385,61.335,61.545
2023-07-07,61.875,62.755,58.935,59.2
2023-07-14,59.375,64.09,59.13,62.63
2023-07-21,62.35,64.71,61.89,64.2
2023-07-28,63.91,70.89,63.55,69.75
2023-08-04,69.67,70.32,65.711,68.46
2023-08-11,68.4,68.779,62.62,62.92
2023-08-18,62.92,67.03,60.3,62.14
2023-08-25,62.23,64.79,61.175,62.27
2023-09-01,64.27,69.17,63.21,68.94
2023-09-08,68.46,69.71,67.65,68.73
2023-09-15,69.38,70.78,67.86,68.43
2023-09-22,69.2,70.855,66.34,67.43
2023-09-29,66.84,67.735,62.38,66.58
2023-10-06,66.79,68.99,65.61,68.625
2023-10-13,68.275,69.385,67.24,67.875
2023-10-20,67.675,68.695,65.8,65.885
2023-10-27,65.485,67.865,62.54,64.315
2023-11-03,65.02,71.855,63.835,71.245
2023-11-10,71.245,74.765,70.375,74.025
2023-11-17,72.815,76.605,72.055,76.225
2023-11-24,76.005,77.57,74.97,75.535
2023-12-01,75.535,77.685,72.65,74.595
2023-12-08,74.085,74.265,71.595,73.625
2023-12-15,75.855,81.655,75.63,80.075
2023-12-22,80.255,86.155,77.295,85.155
2023-12-29,85.36,86.535,83.81,84.12
2024-01-05,82.78,83.04,79.365,82.23
2024-01-12,82.67,84.29,80.44,81.17
2024-01-19,81.32,86.565,81.11,86.29
2024-01-26,87.05,88.825,85.07,86.83
2024-02-02,87.28,88.35,83.395,85.26
2024-02-09,85.52,86.0,81.25,84.34
2024-02-16,84.31,85.685,78.03,78.28
2024-02-23,78.115,85.6,77.93,84.78
2024-03-01,88.46,94.839,87.6,93.93
2024-03-08,95.71,100.63,92.055,96.4
2024-03-15,94.68,96.28,89.08,92.03
2024-03-22,95.6,112.28,89.78,108.99
2024-03-28,109.02,121.24,108.94,116.785
2024-04-05,118.09,129.438,117.895,122.475
2024-04-12,127.95,128.595,118.825,121.415
2024-04-19,122.525,123.675,104.615,105.665
2024-04-26,106.495,113.955,105.525,113.735
2024-05-03,112.705,115.175,107.645,113.595
2024-05-10,118.675,120.745,116.335,120.135
2024-05-17,121.825,129.025,120.545,124.185
2024-05-24,126.02,130.845,122.175,128.385
2024-05-31,130.65,132.195,119.905,123.895
2024-06-07,127.025,133.025,124.04,129.835
2024-06-14,128.605,143.115,128.605,140.255
2024-06-21,144.475,156.43,134.595,138.435
2024-06-28,141.335,142.965,129.645,130.425
2024-07-05,129.395,136.025,126.164,130.495
2024-07-12,130.305,135.51,129.08,132.56
2024-07-19,132.92,134.36,112.86,113.27
2024-07-26,114.37,115.345,104.05,108.42
2024-08-02,109.55,110.35,90.08,91.71
2024-08-09,86.64,93.54,83.92,92.09
2024-08-16,92.11,108.48,91.64,107.0
2024-08-23,106.255,110.01,99.32,101.86
2024-08-30,99.68,101.2,91.71,95.25
2024-09-06,92.64,92.89,84.27,85.39
2024-09-13,86.86,90.48,83.13,90.23
2024-09-20,86.25,89.98,84.93,89.91
