日期,Open,High,Low,Close
2013-06-28,31.09,31.67,28.0,30.31
2013-07-31,30.34,32.27,29.26,30.31
2013-08-30,30.5,32.93,28.28,31.09
2013-09-30,31.35,33.67,30.19,30.85
2013-10-31,30.86,33.5,28.57,32.02
2013-11-29,32.04,34.55,31.12,34.1
2013-12-31,34.05,35.97,31.5,35.47
2014-01-31,35.16,37.3,33.78,35.02
2014-02-28,35.02,36.7,31.65,34.27
2014-03-31,33.88,34.32,31.61,32.27
2014-04-30,32.45,33.66,29.08,32.77
2014-05-30,32.78,34.18,31.16,33.75
2014-06-30,33.74,34.14,31.04,31.7
2014-07-31,31.72,34.33,31.41,32.78
2014-08-29,32.72,34.5,31.38,33.31
2014-09-30,38.04,38.05,35.73,36.02
2014-10-31,36.15,39.51,30.44,39.0
2014-11-28,39.13,45.07,38.11,43.89
2014-12-31,43.77,48.16,42.28,46.76
2015-01-30,46.94,47.46,42.64,43.76
2015-02-27,43.73,50.09,42.55,49.32
2015-03-31,49.83,55.35,49.42,54.01
2015-04-30,54.22,55.38,48.08,48.51
2015-05-29,48.71,57.55,48.03,54.56
2015-06-30,54.75,57.0,53.68,56.04
2015-07-31,55.84,63.22,54.48,62.42
2015-08-31,62.97,62.97,50.0,57.6
2015-09-30,56.71,62.93,55.59,57.3
2015-10-30,57.0,64.1,56.0,63.62
2015-11-30,63.54,64.27,53.46,57.44
2015-12-31,57.35,60.13,55.71,58.6
2016-01-29,57.56,58.19,42.21,45.37
2016-02-29,44.96,50.16,37.01,49.13
2016-03-31,49.84,55.59,46.45,55.29
2016-04-29,54.71,55.25,47.78,48.89
2016-05-31,48.83,50.31,44.09,46.41
2016-06-30,46.18,46.66,38.17,39.84
2016-07-29,40.0,44.7,39.32,42.6
2016-08-31,42.5,43.57,35.36,35.89
2016-09-30,37.47,38.31,34.16,37.7
2016-10-31,37.69,39.19,35.57,38.87
2016-11-30,39.11,41.61,35.21,39.81
2016-12-30,39.87,45.5,38.66,42.53
2017-01-31,43.13,50.05,42.64,47.0
2017-02-28,47.3,52.5,46.83,50.7
2017-03-31,51.12,52.1,49.03,50.73
2017-04-28,50.74,54.87,46.96,53.93
2017-05-31,54.0,56.29,47.76,49.97
2017-06-30,50.23,56.26,49.52,54.29
2017-07-31,54.63,56.36,53.18,55.07
2017-08-31,56.49,61.48,54.15,59.46
2017-09-29,59.62,60.0,51.99,54.05
2017-10-31,53.94,59.66,53.45,55.75
2017-11-30,56.06,58.27,52.36,54.16
2017-12-29,53.94,56.84,52.58,53.25
2018-01-31,53.76,61.05,53.58,60.74
2018-02-28,60.77,61.18,54.25,56.9
2018-03-29,57.0,57.5,51.3,52.97
2018-04-30,53.0,57.37,50.98,53.47
2018-05-31,53.24,55.78,50.16,52.34
2018-06-29,52.55,55.11,47.06,47.25
2018-07-31,46.79,51.7,46.16,50.03
2018-08-31,50.03,54.55,47.78,53.61
2018-09-28,53.53,58.09,52.53,57.43
2018-10-31,57.6,57.86,41.61,44.07
2018-11-30,44.56,52.73,44.28,51.32
2018-12-31,52.0,52.88,39.36,42.39
2019-01-31,41.88,51.8,40.5,51.43
2019-02-28,51.4,56.43,50.66,55.53
2019-03-29,55.96,56.67,53.26,54.96
2019-04-30,55.47,59.71,55.42,56.39
2019-05-31,58.71,59.6,54.27,54.71
2019-06-28,54.64,54.87,49.88,53.63
2019-07-31,54.3,54.3,47.74,49.44
2019-08-30,49.48,51.65,45.64,50.75
2019-09-30,50.27,55.75,49.44,51.77
2019-10-31,52.0,53.15,46.96,50.76
2019-11-29,51.12,54.71,50.05,53.64
2019-12-31,53.7,59.34,52.1,58.41
2020-01-31,58.79,59.78,52.77,53.85
2020-02-28,54.19,55.85,33.18,37.26
2020-03-31,37.1,37.1,7.03,10.96
2020-04-30,10.5,17.48,8.08,16.4
2020-05-29,15.25,17.84,9.24,15.66
2020-06-30,15.88,26.91,14.5,16.43
2020-07-31,16.93,18.68,13.26,13.64
2020-08-31,13.31,17.84,12.56,17.11
2020-09-30,16.75,19.2,14.15,17.11
2020-10-30,17.4,18.91,14.77,16.63
2020-11-30,16.06,24.32,15.29,22.87
2020-12-31,23.55,28.98,21.82,25.43
2021-01-29,25.35,26.97,22.27,22.65
2021-02-26,22.85,32.66,21.88,29.56
2021-03-31,30.71,34.485,24.02,27.59
2021-04-30,27.89,33.075,25.79,31.05
2021-05-28,31.18,32.49,25.48,31.9
2021-06-30,32.535,33.95,28.67,29.41
2021-07-30,29.68,30.05,21.28,24.03
2021-08-31,24.06,26.4,22.34,25.84
2021-09-30,26.0,29.45,24.0,26.71
2021-10-29,27.79,28.62,24.91,25.72
2021-11-30,25.86,29.45,18.84,19.51
2021-12-31,20.0,23.38,17.78,20.74
2022-01-31,20.98,23.74,18.31,20.83
2022-02-28,20.92,23.9,17.31,19.49
2022-03-31,19.19,22.21,14.9,21.88
2022-04-29,21.96,23.43,19.46,20.03
2022-05-31,20.0,20.385,13.0,16.01
2022-06-30,16.13,16.305,10.31,11.12
2022-07-29,11.03,13.512,10.47,12.15
2022-08-31,11.98,14.8,11.54,13.08
2022-09-30,12.85,15.8,11.32,11.36
2022-10-31,11.55,17.08,10.83,16.89
2022-11-30,17.29,18.67,15.66,16.44
2022-12-30,16.51,17.05,12.04,12.24
2023-01-31,12.5,18.54,11.76,15.21
2023-02-28,15.24,18.12,14.45,14.82
2023-03-31,14.86,16.89,12.15,13.45
2023-04-28,13.3,13.76,12.41,13.35
2023-05-31,13.46,14.985,13.01,14.85
2023-06-30,14.85,21.9,14.73,21.77
2023-07-31,21.56,22.75,20.27,22.07
2023-08-31,19.66,20.11,16.47,16.57
2023-09-29,16.65,17.54,15.06,16.48
2023-10-31,16.26,16.98,13.13,13.6
2023-11-30,13.57,15.336,12.705,15.27
2023-12-29,15.19,21.26,15.11,20.04
2024-01-31,19.78,19.84,16.47,17.8
2024-02-29,18.1,19.75,15.86,19.39
2024-03-28,19.49,21.73,18.95,20.93
2024-04-30,20.97,21.158,16.98,18.92
2024-05-31,18.0,18.09,15.47,16.6
2024-06-28,16.7,18.88,16.18,18.79
2024-07-31,18.8,20.65,17.16,18.43
2024-08-30,18.99,19.0,14.69,17.89
2024-09-30,17.55,21.58,16.71,20.51
2024-10-31,20.5,26.73,19.28,25.34
2024-11-29,25.25,28.11,24.34,26.89
2024-12-31,27.29,28.64,24.89,25.73
2025-01-31,26.18,29.29,24.48,28.35
2025-02-28,27.08,28.91,22.28,22.72
2025-03-31,22.97,23.28,17.705,18.96
2025-04-30,18.95,19.585,14.21,16.03
2025-05-30,16.23,19.68,16.05,17.65
2025-06-30,17.5,20.44,17.205,20.28
2025-07-31,20.1,27.1,20.08,25.56
2025-08-29,24.99,25.59,23.125,24.84
2025-09-30,24.1,27.18,23.95,24.63
2025-10-31,24.28,24.94,21.84,22.42
2025-11-28,22.34,22.46,17.345,18.46
2025-12-31,18.22,24.32,18.12,22.32
2026-01-30,22.52,25.125,20.33,21.96
2026-02-27,22.12,25.1,21.07,24.79
2026-03-31,22.61,22.88,17.56,18.7
2026-04-30,19.1,22.22,17.28,18.18
2026-05-29,18.15,19.12,14.53,18.34
2026-06-30,17.88,21.95,17.695,21.11
2026-07-22,21.11,21.4,18.0,19.33
