日期,Open,High,Low,Close
2023-07-24,47.89,48.24,47.575,48.04
2023-07-25,48.02,48.35,47.885,48.06
2023-07-26,47.93,48.32,47.71,47.91
2023-07-27,47.87,48.54,47.12,47.26
2023-07-28,47.3,47.645,47.0,47.48
2023-07-31,47.68,47.7,47.265,47.48
2023-08-01,47.3,47.45,47.07,47.23
2023-08-02,46.82,47.06,46.49,46.66
2023-08-03,46.55,46.63,46.09,46.37
2023-08-04,46.52,47.299,46.37,46.44
2023-08-07,46.65,47.085,46.617,46.99
2023-08-08,46.66,47.27,46.385,47.03
2023-08-09,46.87,47.66,46.81,47.45
2023-08-10,47.62,48.785,47.53,48.5
2023-08-11,48.39,48.88,47.9,47.95
2023-08-14,47.95,48.32,47.9,48.07
2023-08-15,47.91,48.1,47.43,47.56
2023-08-16,47.29,48.13,47.17,47.84
2023-08-17,47.94,49.27,47.885,48.66
2023-08-18,48.31,48.89,48.18,48.79
2023-08-21,48.79,48.94,48.26,48.78
2023-08-22,48.94,49.088,48.62,48.95
2023-08-23,48.99,49.71,48.66,49.64
2023-08-24,49.69,50.425,49.29,49.32
2023-08-25,49.38,49.94,49.18,49.72
2023-08-28,49.81,50.48,49.74,50.16
2023-08-29,50.34,51.14,49.94,50.33
2023-08-30,50.27,50.47,49.47,49.65
2023-08-31,49.75,50.05,49.34,49.47
2023-09-01,49.64,49.71,48.8,48.93
2023-09-05,48.79,48.85,47.64,47.7
2023-09-06,47.85,49.02,47.67,48.57
2023-09-07,48.5,48.69,48.2,48.65
2023-09-08,48.65,48.75,48.26,48.42
2023-09-11,48.68,48.77,48.07,48.36
2023-09-12,48.23,48.575,48.2,48.46
2023-09-13,48.46,48.56,47.91,48.09
2023-09-14,48.3,48.705,48.09,48.68
2023-09-15,48.68,48.885,47.97,47.98
2023-09-18,47.87,48.36,47.74,48.23
2023-09-19,48.21,48.585,47.97,48.14
2023-09-20,48.35,48.535,47.74,47.78
2023-09-21,47.54,47.57,46.04,46.05
2023-09-22,46.09,46.39,45.83,45.88
2023-09-25,45.69,45.89,45.4,45.85
2023-09-26,45.37,45.715,45.09,45.19
2023-09-27,45.44,45.76,45.1,45.54
2023-09-28,45.6,46.51,45.6,46.13
2023-09-29,46.46,46.48,45.55,45.8
2023-10-02,45.74,45.75,45.28,45.63
2023-10-03,45.13,45.21,44.09,44.46
2023-10-04,44.59,46.08,44.59,45.99
2023-10-05,45.99,46.395,45.79,46.23
2023-10-06,46.11,47.02,46.07,46.82
2023-10-09,46.62,47.13,46.57,46.94
2023-10-10,47.06,47.305,46.44,47.08
2023-10-11,47.08,47.25,46.615,46.87
2023-10-12,46.93,47.16,46.335,46.53
2023-10-13,46.74,46.79,46.265,46.58
2023-10-16,46.96,47.59,46.87,47.51
2023-10-17,47.51,47.92,47.08,47.14
2023-10-18,48.5,50.514,48.08,49.13
2023-10-19,49.23,49.25,48.49,48.5
2023-10-20,48.51,48.75,47.595,47.81
2023-10-23,47.51,47.75,46.98,47.03
2023-10-24,47.28,47.59,46.33,46.67
2023-10-25,46.605,47.08,46.13,46.7
2023-10-26,46.83,47.74,46.83,46.91
2023-10-27,46.53,46.62,44.77,44.8
2023-10-30,44.99,46.255,44.93,46.12
2023-10-31,46.27,46.86,46.09,46.81
2023-11-01,47.0,47.07,45.675,45.92
2023-11-02,46.23,47.08,46.03,47.07
2023-11-03,47.36,47.72,47.035,47.43
2023-11-06,47.31,48.425,47.26,47.94
2023-11-07,48.13,48.79,47.805,48.4
2023-11-08,48.52,49.29,48.41,48.95
2023-11-09,49.21,49.24,48.51,48.63
2023-11-10,48.79,49.46,48.63,49.32
2023-11-13,49.09,49.399,48.925,49.3
2023-11-14,49.65,50.64,49.53,50.32
2023-11-15,50.61,50.96,50.385,50.53
2023-11-16,50.62,51.045,50.575,50.75
2023-11-17,50.82,50.99,50.57,50.69
2023-11-20,50.71,51.595,50.57,51.35
2023-11-21,51.27,51.97,51.13,51.83
2023-11-22,52.01,52.44,52.01,52.34
2023-11-24,52.37,52.61,52.22,52.51
2023-11-27,52.47,52.51,52.18,52.35
2023-11-28,52.28,53.08,52.25,52.79
2023-11-29,52.91,53.36,52.775,52.91
2023-11-30,53.02,53.14,52.36,53.05
2023-12-01,52.96,53.46,52.82,53.11
2023-12-04,52.92,53.82,52.92,53.44
2023-12-05,53.31,53.39,52.53,52.93
2023-12-06,53.11,53.53,52.93,53.05
2023-12-07,52.48,52.62,51.47,51.56
2023-12-08,51.49,51.82,51.045,51.4
2023-12-11,51.59,51.79,51.35,51.65
2023-12-12,51.82,51.88,51.3,51.6
2023-12-13,51.66,53.87,51.46,53.82
2023-12-14,54.36,55.15,53.375,53.54
2023-12-15,52.74,53.07,51.97,52.17
2023-12-18,52.43,52.99,52.05,52.81
2023-12-19,52.96,53.21,52.61,53.19
2023-12-20,53.175,53.605,52.55,52.58
2023-12-21,52.74,53.55,52.56,53.52
2023-12-22,53.79,54.575,53.6,54.47
2023-12-26,54.47,55.13,54.38,55.06
2023-12-27,55.02,55.45,54.85,55.42
2023-12-28,55.42,55.795,55.42,55.67
2023-12-29,55.63,55.775,55.22,55.57
2024-01-02,55.43,55.43,54.045,54.33
2024-01-03,53.94,54.21,53.28,53.42
2024-01-04,53.44,53.96,53.44,53.46
2024-01-05,53.44,53.625,52.87,53.1
2024-01-08,53.2,54.175,53.19,54.14
2024-01-09,53.99,54.1,53.685,53.8
2024-01-10,53.91,54.365,53.615,54.32
2024-01-11,54.4,54.53,53.71,53.97
2024-01-12,54.38,54.435,53.815,54.36
2024-01-16,53.93,54.77,53.76,53.89
2024-01-17,53.41,53.88,53.26,53.54
2024-01-18,53.67,54.32,53.325,54.26
2024-01-19,54.46,55.409,54.33,55.28
2024-01-22,55.56,55.88,55.12,55.59
2024-01-23,55.695,56.25,55.465,55.81
2024-01-24,56.16,56.29,55.585,55.63
2024-01-25,55.89,56.02,54.87,55.8
2024-01-26,55.83,56.14,55.525,56.05
2024-01-29,55.75,55.93,54.98,55.68
2024-01-30,55.54,56.04,55.505,55.88
2024-01-31,56.03,58.15,54.935,55.2
2024-02-01,54.97,55.17,53.71,54.52
2024-02-02,54.35,54.84,53.75,54.08
2024-02-05,53.67,53.82,53.16,53.41
2024-02-06,53.26,53.885,53.185,53.75
2024-02-07,54.17,54.485,53.75,54.34
2024-02-08,54.13,54.61,54.1,54.19
2024-02-09,54.31,54.775,54.08,54.68
2024-02-12,54.75,54.81,54.155,54.26
2024-02-13,53.65,53.665,52.605,53.13
2024-02-14,53.49,53.62,52.785,53.24
2024-02-15,53.36,53.74,52.45,52.92
2024-02-16,52.88,53.24,52.63,52.85
2024-02-20,52.43,53.03,52.33,52.97
2024-02-21,52.82,53.49,52.54,53.47
2024-02-22,53.69,54.24,53.67,53.99
2024-02-23,54.28,54.3,53.785,54.08
2024-02-26,53.9,54.06,53.25,53.62
2024-02-27,53.71,53.91,53.515,53.8
2024-02-28,53.74,54.073,53.63,53.75
2024-02-29,54.1,54.11,53.51,53.63
2024-03-01,53.72,54.105,52.945,53.96
2024-03-04,53.95,54.555,53.73,54.4
2024-03-05,54.43,55.89,54.33,54.36
2024-03-06,54.56,55.36,54.18,55.32
2024-03-07,55.73,56.64,55.58,56.56
2024-03-08,56.73,57.979,56.26,57.44
2024-03-11,57.52,57.84,56.94,57.46
2024-03-12,57.37,57.96,57.16,57.17
2024-03-13,57.36,57.48,56.79,57.19
2024-03-14,57.09,57.2,55.885,56.34
2024-03-15,55.61,57.505,55.61,57.33
2024-03-18,57.59,58.36,57.39,57.94
2024-03-19,58.13,60.21,57.87,60.11
2024-03-20,57.58,59.17,57.26,58.53
2024-03-21,58.81,60.7,58.61,59.49
2024-03-22,59.49,59.93,59.12,59.28
2024-03-25,59.16,59.47,58.66,58.71
2024-03-26,59.81,60.495,59.6,59.88
2024-03-27,60.24,60.73,59.785,60.65
2024-03-28,61.16,61.17,60.47,60.75
2024-04-01,60.62,60.69,59.86,59.94
2024-04-02,59.4,59.46,58.515,58.98
2024-04-03,59.05,59.64,58.95,59.23
2024-04-04,59.65,60.05,58.49,58.71
2024-04-05,58.7,59.71,58.57,59.69
2024-04-08,59.97,60.135,59.513,59.79
2024-04-09,61.38,61.9,60.26,61.21
