日期,Open,High,Low,Close
2023-07-24,69.373,70.163,68.866,68.993
2023-07-25,69.253,69.433,68.113,68.933
2023-07-26,68.383,69.683,67.375,67.863
2023-07-27,67.433,68.383,66.683,66.763
2023-07-28,67.243,67.873,65.973,66.343
2023-07-31,66.893,67.968,66.533,66.793
2023-08-01,66.813,67.303,65.583,65.663
2023-08-02,64.998,65.838,64.953,65.403
2023-08-03,64.693,64.993,63.553,63.593
2023-08-04,64.043,64.183,62.508,62.663
2023-08-07,62.993,63.218,62.103,62.133
2023-08-08,61.833,62.443,61.403,62.203
2023-08-09,62.283,63.073,62.003,62.413
2023-08-10,62.793,63.153,61.643,61.783
2023-08-11,61.793,62.433,61.653,62.413
2023-08-14,62.343,62.423,61.793,62.053
2023-08-15,61.643,61.723,60.663,60.843
2023-08-16,61.213,61.443,60.798,61.053
2023-08-17,60.833,61.643,60.783,61.003
2023-08-18,60.833,61.553,60.823,61.323
2023-08-21,61.243,61.293,60.168,60.573
2023-08-22,60.603,61.313,60.253,61.013
2023-08-23,61.563,61.633,60.793,61.383
2023-08-24,61.383,61.903,60.573,60.713
2023-08-25,60.793,61.708,60.723,61.453
2023-08-28,61.743,62.088,61.477,61.513
2023-08-29,61.74,61.81,61.07,61.47
2023-08-30,61.32,61.69,60.78,61.05
2023-08-31,61.46,61.745,60.69,60.76
2023-09-01,61.3,61.53,60.41,60.83
2023-09-05,60.78,61.23,59.765,60.16
2023-09-06,59.99,60.37,59.315,59.65
2023-09-07,60.24,60.93,59.83,60.21
2023-09-08,60.22,60.96,60.03,60.79
2023-09-11,60.96,61.85,60.91,61.49
2023-09-12,61.46,61.99,61.065,61.69
2023-09-13,61.84,62.73,61.84,62.39
2023-09-14,62.86,63.31,62.38,63.24
2023-09-15,63.3,63.85,62.56,62.6
2023-09-18,62.77,62.82,61.87,62.2
2023-09-19,62.01,62.12,61.305,61.55
2023-09-20,62.03,62.095,61.2,61.31
2023-09-21,61.07,61.67,60.73,60.87
2023-09-22,60.46,62.35,60.305,61.66
2023-09-25,61.18,61.455,60.74,61.43
2023-09-26,61.08,61.15,59.23,59.3
2023-09-27,58.66,58.95,53.49,53.92
2023-09-28,54.26,54.66,50.94,51.04
2023-09-29,51.63,52.715,50.94,51.25
2023-10-02,50.04,50.34,44.14,46.11
2023-10-03,46.03,47.07,44.455,46.74
2023-10-04,47.67,47.91,44.5,44.58
2023-10-05,43.77,44.09,42.195,43.41
2023-10-06,43.015,44.46,41.105,44.2
2023-10-09,43.65,44.38,42.34,43.28
2023-10-10,43.64,45.58,43.48,45.54
2023-10-11,46.01,47.53,45.66,47.5
2023-10-12,47.03,47.93,46.19,46.96
2023-10-13,47.49,49.21,47.46,48.45
2023-10-16,48.45,49.0,47.52,48.34
2023-10-17,47.54,48.797,47.51,48.13
2023-10-18,48.04,48.735,47.03,47.2
2023-10-19,47.24,47.95,46.34,46.35
2023-10-20,45.91,46.65,45.65,45.92
2023-10-23,45.23,46.52,44.91,45.48
2023-10-24,48.4,49.39,47.07,49.08
2023-10-25,49.57,50.9,48.87,50.42
2023-10-26,50.73,52.2,50.64,51.53
2023-10-27,51.32,51.981,49.89,50.2
2023-10-30,50.37,51.43,49.73,51.16
2023-10-31,51.52,52.45,51.35,52.26
2023-11-01,52.065,52.75,51.14,52.39
2023-11-02,52.48,54.425,52.46,53.87
2023-11-03,55.18,55.45,53.33,53.34
2023-11-06,53.36,53.839,52.82,53.0
2023-11-07,53.01,53.515,52.36,52.42
2023-11-08,52.13,52.13,50.74,51.46
2023-11-09,51.08,51.23,48.58,48.68
2023-11-10,48.96,49.325,48.47,49.1
2023-11-13,49.01,49.02,47.77,48.46
2023-11-14,50.04,51.695,49.41,51.51
2023-11-15,51.44,52.69,50.943,50.96
2023-11-16,51.38,51.73,50.54,50.56
2023-11-17,50.97,51.34,50.45,51.33
2023-11-20,50.96,51.64,50.265,51.3
2023-11-21,51.28,52.25,50.735,51.94
2023-11-22,52.408,52.738,51.413,51.898
2023-11-24,51.568,52.033,51.358,51.978
2023-11-27,51.928,52.128,51.298,52.008
2023-11-28,51.988,53.008,51.684,52.588
2023-11-29,52.958,53.658,52.403,52.788
2023-11-30,52.908,53.108,52.408,52.938
2023-12-01,52.978,53.968,52.098,53.598
2023-12-04,53.018,53.958,53.008,53.098
2023-12-05,53.108,53.288,52.298,52.658
2023-12-06,53.048,54.685,53.048,54.628
2023-12-07,54.808,54.988,53.868,54.278
2023-12-08,53.998,54.378,53.528,54.128
2023-12-11,52.958,54.363,52.958,54.138
2023-12-12,54.088,54.188,52.508,53.948
2023-12-13,54.028,57.028,53.76,56.938
2023-12-14,58.078,59.018,56.788,57.208
2023-12-15,56.528,57.338,55.449,55.928
2023-12-18,56.028,56.528,55.278,55.428
2023-12-19,55.788,56.258,55.301,55.998
2023-12-20,55.978,56.148,54.208,54.268
2023-12-21,54.558,55.078,53.488,54.028
2023-12-22,54.388,55.298,54.098,54.178
2023-12-26,54.108,54.988,54.048,54.638
2023-12-27,54.338,55.098,54.078,55.008
2023-12-28,54.548,55.528,54.548,55.448
2023-12-29,55.228,55.483,54.693,55.168
2024-01-02,54.978,56.578,54.608,55.998
2024-01-03,55.538,56.548,54.888,56.418
2024-01-04,56.598,57.183,56.153,56.228
2024-01-05,56.078,56.988,55.698,56.508
2024-01-08,56.208,57.483,56.019,57.348
2024-01-09,57.368,57.468,56.313,56.438
2024-01-10,56.448,57.153,56.328,56.708
2024-01-11,56.428,56.618,55.023,55.148
2024-01-12,55.608,56.088,55.343,55.468
2024-01-16,55.088,55.628,54.638,54.778
2024-01-17,53.888,54.438,52.228,52.698
2024-01-18,52.388,52.508,51.653,52.078
2024-01-19,52.148,52.213,51.003,51.688
2024-01-22,51.798,52.218,51.083,51.278
2024-01-23,51.708,51.938,51.318,51.808
2024-01-24,52.528,52.838,51.178,51.438
2024-01-25,53.378,53.788,51.488,52.408
2024-01-26,52.758,53.443,52.648,52.908
2024-01-29,52.898,54.218,52.638,53.998
2024-01-30,53.928,54.178,52.993,53.708
2024-01-31,54.128,54.408,52.853,53.058
2024-02-01,52.818,54.258,52.438,54.178
2024-02-02,53.318,53.458,52.408,52.578
2024-02-05,51.798,51.858,50.313,50.398
2024-02-06,50.428,51.008,49.938,50.658
2024-02-07,50.748,51.093,50.058,50.808
2024-02-08,50.848,50.848,49.813,50.718
2024-02-09,50.408,51.058,50.143,51.008
2024-02-12,51.018,52.058,50.928,51.978
2024-02-13,51.308,51.568,49.093,49.678
2024-02-14,49.818,50.493,49.518,50.438
2024-02-15,50.728,52.088,50.648,51.698
2024-02-16,51.288,51.848,50.758,51.458
2024-02-20,51.168,51.743,50.478,51.038
2024-02-21,51.448,51.763,51.068,51.528
2024-02-22,51.218,51.503,50.749,51.098
2024-02-23,51.228,51.888,50.938,51.208
2024-02-26,50.843,50.868,49.803,50.093
2024-02-27,50.383,50.928,49.733,50.503
2024-02-28,50.293,50.663,49.653,49.983
2024-02-29,50.433,50.803,49.907,50.133
2024-03-01,50.203,50.563,49.223,50.153
2024-03-04,49.723,50.013,48.893,49.913
2024-03-05,49.943,51.448,49.893,50.343
2024-03-06,50.923,51.853,50.203,50.473
2024-03-07,51.023,51.413,50.473,51.193
2024-03-08,51.663,53.103,51.253,52.753
2024-03-11,52.513,53.083,51.833,52.813
2024-03-12,52.613,52.943,51.493,52.093
2024-03-13,53.943,55.313,53.893,54.483
2024-03-14,54.143,55.183,54.053,54.483
2024-03-15,54.143,55.073,53.818,55.023
2024-03-18,55.023,56.078,54.383,55.113
2024-03-19,55.328,56.328,55.203,56.213
2024-03-20,56.393,57.353,56.303,57.143
2024-03-21,57.143,58.328,56.233,56.303
2024-03-22,57.163,57.433,56.663,56.723
2024-03-25,56.943,57.583,56.348,57.553
2024-03-26,57.563,57.853,56.243,56.373
2024-03-27,57.103,58.798,56.963,58.733
2024-03-28,58.613,59.203,58.333,58.853
