Date,Open,High,Low,Close
2021-08-01,89900.0,95610.0,83780.0,93580.0
2021-09-01,93400.0,97690.0,88920.0,90000.0
2021-10-01,89670.0,91600.0,84710.0,89420.0
2021-11-01,89170.0,99480.0,85830.0,89900.0
2021-12-01,92510.0,98270.0,88350.0,95170.0
2022-01-01,94600.0,95300.0,74640.0,80700.0
2022-02-01,81450.0,86980.0,68860.0,72570.0
2022-03-01,72980.0,75830.0,65530.0,70090.0
2022-04-01,71990.0,75600.0,66000.0,68730.0
2022-05-01,68500.0,69990.0,61630.0,67010.0
2022-06-01,66010.0,71040.0,64820.0,67050.0
2022-07-01,67050.0,73890.0,66580.0,72230.0
2022-08-01,72230.0,77750.0,69870.0,72230.0
2022-09-01,71700.0,72950.0,65820.0,67960.0
2022-10-01,66010.0,70600.0,65300.0,66980.0
2022-11-01,66980.0,71460.0,58060.0,64700.0
2022-12-01,66520.0,72350.0,65270.0,68000.0
2023-01-01,67530.0,73280.0,65310.0,71100.0
2023-02-01,71100.0,79490.0,70900.0,75600.0
2023-03-01,75460.0,80520.0,73140.0,80520.0
2023-04-01,83000.0,84110.0,72820.0,73400.0
2023-05-01,73400.0,75660.0,65960.0,75060.0
2023-06-01,77270.0,82970.0,73120.0,75700.0
2023-07-01,75980.0,80700.0,73000.0,79490.0
2023-08-01,80000.0,82600.0,72000.0,75200.0
2023-09-01,74760.0,75060.0,64200.0,64510.0
2023-10-01,64510.0,67210.0,60580.0,61360.0
2023-11-01,62120.0,73990.0,60390.0,71660.0
2023-12-01,69950.0,76130.0,69880.0,72500.0
2024-01-01,72500.0,81490.0,70040.0,75210.0
2024-02-01,75550.0,91430.0,75350.0,87670.0
2024-03-01,88310.0,98410.0,84450.0,95150.0
2024-04-01,95770.0,96300.0,83720.0,83740.0
2024-05-01,83330.0,85090.0,69310.0,70610.0
2024-06-01,68600.0,69970.0,56890.0,64400.0
2024-07-01,64990.0,69210.0,61760.0,68600.0
2024-08-01,69100.0,69300.0,58100.0,64780.0
2024-09-01,63490.0,64880.0,59240.0,64880.0
2024-10-01,64910.0,68850.0,61320.0,66010.0
2024-11-01,64820.0,79130.0,62080.0,65360.0
2024-12-01,66800.0,69990.0,61710.0,62120.0
2025-01-01,62000.0,62980.0,56600.0,59870.0
2025-02-01,59020.0,64100.0,51180.0,52290.0
2025-03-01,50300.0,59500.0,49840.0,56600.0
2025-04-01,57520.0,58500.0,51830.0,56850.0
2025-05-01,56850.0,62000.0,55160.0,59220.0
2025-06-01,59220.0,62740.0,55380.0,57150.0
2025-07-01,57250.0,59230.0,50570.0,53320.0
2025-08-01,52670.0,53900.0,45130.0,46050.0
2025-09-01,46470.0,51940.0,45200.0,48800.0
2025-10-01,48800.0,48800.0,42250.0,44160.0
2025-11-01,44700.0,45740.0,32350.0,34430.0
2025-12-01,34200.0,36390.0,33350.0,35710.0
2026-01-01,35710.0,37550.0,32930.0,33110.0
2026-02-01,32930.0,37340.0,29200.0,35500.0
2026-03-01,36700.0,41700.0,33460.0,34690.0
2026-04-01,34690.0,35690.0,28450.0,29760.0
2026-05-01,30420.0,37250.0,24440.0,25010.0
2026-06-01,25700.0,28220.0,24260.0,26760.0
2026-07-01,27000.0,31430.0,27000.0,27340.0
