日期,Open,High,Low,Close
2020-07-24,156.87,161.28,154.44,157.11
2020-07-31,156.57,163.98,154.31,162.31
2020-08-07,162.48,170.39,158.66,170.03
2020-08-14,172.04,182.76,171.47,177.65
2020-08-21,178.38,181.0,174.17,179.97
2020-08-28,183.16,186.41,180.77,186.07
2020-09-04,185.88,188.05,177.97,180.14
2020-09-11,178.92,190.17,176.58,188.59
2020-09-18,190.58,196.03,186.11,192.07
2020-09-25,188.24,191.37,181.86,190.2
2020-10-02,192.95,193.86,179.21,183.7
2020-10-09,186.55,191.76,184.27,189.43
2020-10-16,190.89,192.42,184.8,189.79
2020-10-23,189.6,190.86,182.71,186.44
2020-10-30,183.61,183.65,167.19,180.16
2020-11-06,182.88,200.32,179.93,195.14
2020-11-13,207.93,215.8,200.81,211.24
2020-11-20,213.32,219.96,209.73,212.78
2020-11-27,215.31,217.91,210.44,214.7
2020-12-04,213.82,216.47,208.58,212.17
2020-12-11,210.98,213.56,206.33,207.23
2020-12-18,208.96,209.02,198.67,204.37
2020-12-24,200.22,206.92,198.07,206.37
2020-12-31,208.2,210.45,204.43,209.59
2021-01-08,210.29,229.68,203.16,226.02
2021-01-15,224.21,230.15,220.08,224.93
2021-01-22,226.38,228.44,212.66,216.2
2021-01-29,214.24,219.12,202.13,208.6
2021-02-05,210.22,222.51,209.9,218.63
2021-02-12,219.05,228.95,213.75,227.81
2021-02-19,229.3,231.9,220.03,231.0
2021-02-26,230.47,237.08,224.38,225.03
2021-03-05,228.56,232.98,213.93,228.97
2021-03-12,230.3,237.83,228.795,234.41
2021-03-19,234.35,237.41,227.16,233.43
2021-03-26,240.79,246.03,231.3,245.88
2021-04-01,245.45,246.85,241.17,244.15
2021-04-09,246.31,249.125,240.01,245.46
2021-04-16,244.25,247.77,240.54,243.83
2021-04-23,243.52,256.475,241.17,254.97
2021-04-30,255.53,260.4,249.9,252.21
2021-05-07,254.48,264.215,254.325,263.77
2021-05-14,265.45,269.1,255.19,263.79
2021-05-21,263.23,264.11,248.13,251.3
2021-05-28,252.69,257.843,250.19,254.86
2021-06-04,257.28,258.24,251.175,253.26
2021-06-11,253.96,253.96,243.45,245.45
2021-06-18,245.27,248.53,235.27,235.39
2021-06-25,236.965,241.8,236.74,239.81
2021-07-02,240.62,245.84,235.11,244.87
2021-07-09,244.09,248.48,227.07,237.6
2021-07-16,235.14,238.26,233.735,234.51
2021-07-23,228.96,240.45,226.21,239.28
2021-07-30,238.74,241.05,227.66,231.79
2021-08-06,233.04,235.33,226.63,231.06
2021-08-13,230.39,245.02,229.75,243.97
2021-08-20,243.76,245.265,235.5,237.32
2021-08-27,238.04,241.65,232.41,235.86
2021-09-03,235.96,236.009,224.47,225.45
2021-09-10,225.3,226.34,221.73,222.2
2021-09-17,224.38,225.66,217.01,221.09
2021-09-24,218.1,221.75,213.67,220.12
2021-10-01,220.15,224.18,214.134,218.59
2021-10-08,221.02,240.93,220.55,239.93
2021-10-15,239.85,252.22,233.94,250.63
2021-10-22,249.24,263.9,248.175,261.59
2021-10-29,261.91,271.11,260.99,268.1
2021-11-05,268.42,269.36,258.01,260.04
2021-11-12,261.8,261.88,250.64,251.73
2021-11-19,253.64,254.38,248.73,249.86
2021-11-26,250.48,256.11,242.99,245.79
2021-12-03,248.57,262.74,240.74,257.38
2021-12-10,260.21,267.865,258.82,265.67
2021-12-17,264.33,268.02,258.14,260.93
2021-12-23,257.87,265.57,253.635,263.67
2021-12-31,264.76,275.335,263.93,273.85
2022-01-07,274.64,275.13,265.51,272.95
2022-01-14,273.0,273.12,257.25,264.42
2022-01-21,262.02,263.51,248.25,252.56
2022-01-28,246.79,256.14,240.08,248.13
2022-02-04,247.09,258.04,244.89,247.8
2022-02-11,249.17,254.19,240.03,244.59
2022-02-18,245.47,255.25,243.98,247.6
2022-02-25,248.19,249.4,225.244,237.81
2022-03-04,233.87,262.11,231.04,261.95
2022-03-11,261.81,268.21,237.41,244.72
2022-03-18,246.94,252.55,240.6,252.21
2022-03-25,253.08,260.87,252.11,260.74
2022-04-01,261.04,268.93,241.91,243.22
2022-04-08,242.55,250.13,229.945,235.53
2022-04-14,235.47,242.12,232.005,240.44
2022-04-22,239.37,254.03,235.84,235.97
2022-04-29,234.96,246.43,230.39,235.26
2022-05-06,235.53,242.7,228.46,234.36
2022-05-13,231.71,233.01,219.0,227.94
2022-05-20,227.56,231.405,201.16,207.48
2022-05-27,209.48,220.56,205.826,219.65
2022-06-03,219.7,226.24,216.68,223.28
2022-06-10,224.26,228.67,206.67,207.98
2022-06-17,203.29,207.54,197.93,200.09
2022-06-24,203.86,209.7,198.7,209.05
2022-07-01,209.32,212.5,201.82,207.17
2022-07-08,204.28,207.785,200.09,204.82
2022-07-15,203.34,208.92,195.62,206.51
2022-07-22,208.07,223.87,207.09,221.72
2022-07-29,221.16,230.72,214.74,229.79
2022-08-05,227.65,233.06,226.41,230.88
2022-08-12,232.61,243.97,228.93,241.7
2022-08-19,240.53,241.22,233.49,235.61
2022-08-26,232.72,244.08,231.28,232.85
