日期,Open,High,Low,Close
2023-07-24,216.78,220.26,216.78,219.17
2023-07-25,218.47,221.345,217.78,220.98
2023-07-26,222.55,222.8,217.91,220.73
2023-07-27,220.74,221.535,215.85,219.14
2023-07-28,220.03,221.695,218.42,220.46
2023-07-31,219.5,220.145,217.01,217.39
2023-08-01,217.03,219.354,216.06,217.77
2023-08-02,216.72,217.11,213.58,214.02
2023-08-03,213.38,213.79,211.905,212.43
2023-08-04,212.03,214.46,208.46,209.79
2023-08-07,211.28,211.507,207.91,209.43
2023-08-08,207.8,208.14,204.32,204.73
2023-08-09,204.36,204.51,202.53,203.15
2023-08-10,203.92,204.66,202.06,202.64
2023-08-11,201.72,202.12,199.85,201.06
2023-08-14,199.85,200.89,198.23,200.58
2023-08-15,199.79,199.79,193.64,194.0
2023-08-16,193.71,195.53,192.15,192.79
2023-08-17,193.06,196.14,193.034,193.64
2023-08-18,192.79,198.09,192.79,197.26
2023-08-21,196.19,197.641,194.39,195.24
2023-08-22,195.81,196.61,192.81,193.87
2023-08-23,193.87,195.97,193.76,195.75
2023-08-24,194.95,196.43,193.62,193.71
2023-08-25,194.75,196.705,194.0,195.8
2023-08-28,195.2,199.68,195.2,196.35
2023-08-29,196.1,196.48,192.47,192.88
2023-08-30,193.73,196.27,193.415,194.58
2023-08-31,194.73,194.73,190.04,190.16
2023-09-01,191.23,193.79,189.94,191.53
2023-09-05,190.55,190.55,185.96,186.24
2023-09-06,186.32,186.95,182.87,183.57
2023-09-07,183.08,184.77,180.81,181.34
2023-09-08,181.57,183.0,179.75,180.79
2023-09-11,181.98,182.84,180.56,181.12
2023-09-12,180.21,184.72,179.2,183.7
2023-09-13,183.89,186.73,182.27,185.88
2023-09-14,187.76,192.13,187.39,191.75
2023-09-15,191.12,191.825,188.36,189.18
2023-09-18,189.54,190.9,187.21,189.28
2023-09-19,188.71,190.047,184.65,187.06
2023-09-20,188.01,191.8,188.01,190.44
2023-09-21,189.3,189.544,186.265,186.43
2023-09-22,185.82,190.01,185.795,187.65
2023-09-25,186.44,188.46,186.44,188.03
2023-09-26,186.74,187.47,183.32,183.42
2023-09-27,184.36,185.04,179.54,181.37
2023-09-28,181.24,184.16,180.51,182.53
2023-09-29,184.43,184.682,181.46,182.08
2023-10-02,174.32,177.16,171.97,176.65
2023-10-03,175.23,179.79,175.15,177.57
2023-10-04,177.28,179.15,175.96,178.11
2023-10-05,177.24,177.99,173.783,175.84
2023-10-06,174.58,178.73,173.65,176.66
2023-10-09,176.66,182.072,176.48,180.9
2023-10-10,182.37,186.32,181.77,185.96
2023-10-11,186.16,188.55,185.7,187.15
2023-10-12,187.53,187.65,183.43,186.13
2023-10-13,186.86,189.255,185.71,186.09
2023-10-16,187.71,195.32,187.07,192.7
2023-10-17,191.57,195.39,191.57,192.98
2023-10-18,191.53,192.23,188.44,188.59
2023-10-19,190.67,191.24,185.07,185.24
2023-10-20,185.56,188.42,184.7,186.85
2023-10-23,185.52,186.69,181.55,182.05
2023-10-24,183.3,184.19,179.49,181.39
2023-10-25,171.2,180.15,168.24,170.94
2023-10-26,171.26,174.86,169.685,170.45
2023-10-27,169.3,171.93,168.91,169.68
2023-10-30,170.63,174.72,169.77,172.72
2023-10-31,173.41,177.07,172.9,175.94
2023-11-01,176.73,177.958,174.15,175.34
2023-11-02,177.12,179.48,176.51,178.36
2023-11-03,181.23,182.315,180.35,181.06
2023-11-06,180.96,182.53,179.03,181.78
2023-11-07,180.89,181.765,179.5,180.9
2023-11-08,182.02,182.48,180.715,181.31
2023-11-09,182.16,182.5,179.65,180.31
2023-11-10,181.08,183.69,180.32,183.38
2023-11-13,182.47,185.855,182.26,185.57
2023-11-14,188.3,192.99,187.94,190.62
2023-11-15,191.4,195.63,191.4,193.51
2023-11-16,194.5,195.49,192.2,194.84
2023-11-17,196.5,198.12,194.727,197.54
2023-11-20,197.01,199.055,195.11,198.62
2023-11-21,198.32,199.81,196.06,199.6
2023-11-22,200.68,201.06,198.96,200.41
2023-11-24,200.71,202.61,199.9,202.36
2023-11-27,201.11,201.32,197.63,198.38
2023-11-28,199.15,201.61,198.78,198.9
2023-11-29,199.43,202.0,198.3,201.58
2023-11-30,202.58,204.98,200.822,204.66
2023-12-01,208.5,213.454,206.62,212.97
2023-12-04,212.19,215.74,211.51,214.53
2023-12-05,213.13,213.47,210.01,210.41
2023-12-06,211.61,215.24,210.37,214.58
2023-12-07,215.54,215.61,211.76,213.89
2023-12-08,213.96,214.14,207.37,207.5
2023-12-11,208.44,209.46,207.34,208.25
2023-12-12,208.58,209.62,207.52,208.77
2023-12-13,208.22,214.29,206.76,214.11
2023-12-14,214.39,220.39,213.585,220.27
2023-12-15,217.15,221.25,217.06,218.77
2023-12-18,220.06,222.53,218.57,218.69
2023-12-19,218.94,220.39,217.28,220.12
2023-12-20,217.95,222.185,216.02,216.28
