日期,Open,High,Low,Close
2021-12-10,11.25,12.24,9.8,11.85
2021-12-17,11.1,11.29,9.14,9.8
2021-12-23,9.2,10.0,8.75,9.83
2021-12-31,9.79,9.89,9.25,9.38
2022-01-07,9.6,10.22,8.46,9.36
2022-01-14,9.02,9.45,8.11,8.12
2022-01-21,8.0,8.55,7.32,7.54
2022-01-28,7.14,7.96,6.4,6.75
2022-02-04,6.75,7.63,6.65,7.36
2022-02-11,7.22,10.28,7.16,8.54
2022-02-18,8.57,11.83,8.45,9.85
2022-02-25,10.0,10.02,7.16,7.78
2022-03-04,7.64,8.18,7.05,7.16
2022-03-11,7.1,8.33,6.51,6.54
2022-03-18,6.5,8.13,5.55,7.86
2022-03-25,7.96,8.475,7.31,7.95
2022-04-01,7.92,8.46,7.72,8.06
2022-04-08,8.12,8.34,6.98,7.28
2022-04-14,7.2,7.69,6.87,7.03
2022-04-22,6.99,7.48,6.63,6.68
2022-04-29,6.65,6.945,5.9,6.01
2022-05-06,6.02,6.28,5.02,5.23
2022-05-13,5.0,5.046,3.322,4.82
2022-05-20,4.8,5.01,3.545,3.81
2022-05-27,3.83,4.05,3.26,4.03
2022-06-03,4.07,4.54,3.66,4.5
2022-06-10,4.6,4.75,3.615,3.64
2022-06-17,3.48,3.65,3.26,3.47
2022-06-24,3.59,4.24,3.58,4.06
2022-07-01,4.09,4.15,3.6,3.91
2022-07-08,3.84,4.265,3.71,3.98
2022-07-15,3.9,4.1,3.61,3.85
2022-07-22,3.96,4.69,3.87,4.22
2022-07-29,4.23,4.29,3.77,4.21
2022-08-05,4.13,4.705,3.93,4.49
2022-08-12,4.62,4.96,4.03,4.25
2022-08-19,4.24,5.88,4.138,4.65
2022-08-26,4.54,5.18,4.4,4.94
2022-09-02,4.84,5.09,4.62,4.94
2022-09-09,5.0,5.4,4.68,5.39
2022-09-16,5.485,5.81,5.0,5.28
2022-09-23,5.1,5.42,4.6,4.72
2022-09-30,4.57,4.87,4.32,4.4
2022-10-07,4.58,5.11,4.34,4.39
2022-10-14,4.39,4.39,3.79,4.12
2022-10-21,4.24,4.595,4.15,4.53
2022-10-28,4.46,4.7,4.15,4.59
2022-11-04,4.53,5.235,4.51,4.87
2022-11-11,4.9,5.28,4.31,4.44
2022-11-18,4.55,5.25,4.25,4.32
2022-11-25,4.35,4.51,4.13,4.45
2022-12-02,4.4,4.5,4.08,4.46
2022-12-09,4.24,4.31,3.895,3.93
2022-12-16,3.91,4.21,3.72,3.9
2022-12-23,3.88,3.95,3.725,3.89
2022-12-30,3.84,4.17,3.76,4.07
2023-01-06,3.915,4.025,3.39,3.56
2023-01-13,3.57,3.805,3.535,3.68
2023-01-20,3.65,3.86,3.56,3.81
2023-01-27,3.81,4.419,3.795,4.37
2023-02-03,4.33,5.007,4.26,4.9
2023-02-10,4.83,5.11,4.66,4.74
2023-02-17,4.77,5.53,4.73,4.99
2023-02-24,4.96,5.02,4.73,4.94
2023-03-03,4.98,5.11,4.56,4.68
2023-03-10,4.69,5.1,4.45,4.49
2023-03-17,4.24,4.73,4.14,4.69
2023-03-24,4.67,4.68,4.13,4.17
2023-03-31,4.24,4.925,4.212,4.76
2023-04-06,4.64,4.7,4.34,4.48
2023-04-14,4.45,4.78,4.39,4.66
2023-04-21,4.63,5.016,4.51,4.99
2023-04-28,4.94,5.2,4.85,5.16
2023-05-05,5.19,5.59,5.14,5.46
2023-05-12,5.49,5.99,5.48,5.81
2023-05-19,5.85,6.92,5.79,6.52
2023-05-26,6.46,7.09,6.45,6.79
2023-06-02,6.83,7.03,6.6,6.97
2023-06-09,6.95,7.56,6.77,7.49
2023-06-16,7.52,7.68,7.195,7.54
2023-06-23,7.55,7.76,7.36,7.56
2023-06-30,7.52,8.06,7.22,7.89
2023-07-07,7.93,8.005,7.61,7.78
2023-07-14,7.75,8.29,7.665,7.72
2023-07-21,7.75,7.97,7.54,7.92
2023-07-28,7.95,8.01,7.71,7.9
2023-08-04,7.93,8.11,7.65,7.85
2023-08-11,7.8,8.0,7.65,7.76
2023-08-18,7.7,8.205,6.61,7.21
2023-08-25,7.27,7.42,6.935,7.11
2023-09-01,6.94,7.21,6.625,7.11
2023-09-08,7.06,7.1,6.67,6.81
2023-09-15,7.05,7.66,6.92,7.36
2023-09-22,7.36,7.43,6.785,6.85
2023-09-29,6.84,7.415,6.77,7.25
2023-10-06,7.24,7.46,6.8,7.38
2023-10-13,7.27,7.995,7.195,7.76
2023-10-20,7.77,8.29,7.685,8.17
2023-10-27,8.12,8.42,7.74,8.01
2023-11-03,8.1,8.619,7.93,8.48
2023-11-10,8.57,8.58,8.22,8.52
2023-11-17,8.55,8.87,7.745,8.07
2023-11-24,8.12,8.3,8.06,8.21
2023-12-01,8.2,8.36,8.04,8.3
2023-12-08,8.2,8.31,8.08,8.22
2023-12-15,8.21,8.68,8.12,8.3
2023-12-22,8.31,8.5,8.09,8.22
2023-12-29,8.24,8.46,8.22,8.33
2024-01-05,8.27,8.62,8.06,8.57
2024-01-12,8.66,9.27,8.585,9.26
2024-01-19,9.31,9.495,8.9,9.17
2024-01-26,9.17,9.5,8.84,9.5
2024-02-02,9.43,9.51,8.51,9.37
2024-02-09,9.35,9.93,9.09,9.89
2024-02-16,9.88,10.495,9.54,10.36
2024-02-23,10.24,10.48,9.94,10.22
2024-03-01,10.29,11.33,10.24,11.27
2024-03-08,11.09,11.61,10.93,11.07
2024-03-15,11.12,11.715,11.11,11.61
2024-03-22,11.74,12.385,11.545,12.25
2024-03-28,12.25,12.33,11.72,11.93
2024-04-05,12.0,12.13,11.52,11.98
2024-04-12,12.07,12.155,11.23,11.29
2024-04-19,11.27,11.4,10.43,10.48
2024-04-26,10.58,11.16,10.48,11.05
2024-05-03,11.06,11.77,10.56,11.68
2024-05-10,11.74,12.105,11.7,11.76
2024-05-17,11.84,12.495,11.2,11.66
2024-05-24,11.73,12.19,11.5,11.73
2024-05-31,11.8,12.305,11.7,11.88
2024-06-07,11.885,12.18,11.265,11.89
2024-06-14,11.81,11.885,11.44,11.76
2024-06-21,11.64,12.29,11.63,12.25
2024-06-28,12.435,13.01,11.61,12.89
2024-07-05,12.92,12.92,12.09,12.82
2024-07-12,12.8,13.59,12.64,13.41
2024-07-19,13.5,13.64,12.9,13.47
2024-07-26,13.14,13.165,12.25,12.41
2024-08-02,12.46,12.66,10.73,10.92
2024-08-09,9.71,12.42,9.67,12.4
2024-08-16,12.54,14.3,12.35,14.09
2024-08-23,14.11,14.65,14.07,14.42
2024-08-30,14.41,15.06,13.9,14.97
2024-09-06,14.74,15.105,13.42,13.7
2024-09-13,13.87,14.775,13.67,14.74
2024-09-20,14.75,15.16,14.44,14.63
2024-09-27,14.61,15.003,13.64,13.87
2024-10-04,13.79,13.83,12.89,13.23
2024-10-11,13.18,13.75,13.0,13.71
2024-10-18,14.03,14.76,13.95,14.45
2024-10-25,14.39,15.155,14.335,14.94
2024-11-01,15.03,15.98,14.28,14.34
2024-11-08,14.4,15.435,14.291,15.23
2024-11-15,15.28,16.145,13.96,14.06
2024-11-22,14.17,14.23,13.19,13.91
2024-11-29,13.955,14.51,12.37,12.53
2024-12-06,12.13,12.285,11.475,12.03
2024-12-13,12.15,12.38,11.66,11.94
2024-12-20,11.88,11.89,10.2,10.38
2024-12-27,10.31,10.44,10.175,10.33
2025-01-03,10.25,11.05,10.22,10.97
2025-01-10,11.4,11.495,10.835,10.95
2025-01-17,10.79,11.6,10.724,11.53
2025-01-24,11.795,12.56,11.46,12.34
2025-01-31,12.01,13.575,11.98,13.24
2025-02-07,12.92,14.08,12.76,13.73
2025-02-14,13.88,14.06,13.445,13.7
2025-02-21,13.55,13.75,10.74,10.82
2025-02-28,11.215,11.8,10.68,10.75
2025-03-07,11.0,11.2,9.895,10.81
2025-03-14,10.69,11.88,9.99,11.73
2025-03-21,11.68,12.07,11.22,11.59
2025-03-28,11.635,11.82,10.28,10.35
2025-04-04,10.18,10.67,9.01,9.6
2025-04-11,9.14,10.955,9.06,10.55
2025-04-17,10.855,11.09,10.5,11.0
2025-04-25,10.82,12.04,10.55,12.01
2025-05-02,12.06,12.585,11.94,12.45
2025-05-09,12.4,13.04,12.28,12.83
2025-05-16,13.14,13.73,12.44,13.05
2025-05-23,12.73,13.135,11.72,11.99
2025-05-30,12.04,12.26,11.71,12.01
2025-06-06,12.06,12.25,11.71,12.15
2025-06-13,12.17,12.78,11.83,11.9
2025-06-20,12.13,12.51,11.85,12.14
2025-06-27,12.07,13.72,11.83,13.25
2025-07-03,13.43,13.985,13.3,13.6
2025-07-11,13.45,13.85,12.72,12.83
2025-07-18,12.89,14.135,12.8,13.02
2025-07-25,13.15,13.18,12.69,12.73
2025-08-01,12.75,12.78,12.02,12.05
2025-08-08,12.13,12.6,11.9,12.3
2025-08-15,12.3,14.07,11.89,13.1
2025-08-22,13.1,13.98,12.77,13.94
2025-08-29,14.0,15.115,13.935,14.8
2025-09-05,14.58,15.175,14.34,14.74
2025-09-12,14.78,15.815,14.71,15.69
2025-09-19,15.75,16.35,15.66,16.17
2025-09-26,16.11,16.425,15.55,15.78
2025-10-03,15.95,16.19,15.02,15.31
2025-10-10,15.37,15.58,14.88,14.92
2025-10-17,15.08,15.31,14.56,15.0
2025-10-24,15.13,16.14,15.035,15.84
2025-10-31,16.23,16.35,15.82,16.11
2025-11-07,16.19,16.5,15.45,15.87
2025-11-14,16.1,16.55,15.32,15.82
2025-11-21,15.735,16.075,15.19,15.89
2025-11-28,16.0,17.555,15.68,17.39
2025-12-05,17.43,17.84,16.6,16.7
2025-12-12,16.87,17.11,16.293,16.9
2025-12-19,17.025,17.07,15.59,16.34
2025-12-26,16.42,16.83,16.35,16.76
2026-01-02,16.665,17.105,16.54,17.02
2026-01-09,17.18,18.37,17.165,17.46
2026-01-16,17.35,17.42,16.305,16.6
2026-01-23,16.36,18.065,16.35,18.04
2026-01-30,18.05,18.98,17.71,17.75
2026-02-06,17.74,18.65,16.55,17.4
2026-02-13,17.44,17.99,16.37,16.82
2026-02-20,16.75,17.59,16.59,17.53
2026-02-27,17.25,17.41,14.7,14.98
2026-03-06,14.46,15.355,14.17,14.58
2026-03-13,14.41,15.145,13.815,13.89
2026-03-20,14.12,14.54,13.53,13.94
2026-03-27,14.315,14.92,13.54,13.6
2026-04-02,13.71,14.8,13.41,14.15
2026-04-10,14.13,15.399,13.84,14.96
2026-04-17,14.84,15.81,14.6,15.34
2026-04-24,15.24,15.35,14.19,14.51
2026-05-01,14.64,14.835,14.04,14.44
2026-05-08,14.39,14.6,13.75,13.8
2026-05-15,13.88,13.955,11.78,12.19
2026-05-22,12.4,13.3,11.96,12.73
2026-05-29,13.015,13.25,12.65,13.13
2026-06-05,13.0,13.15,11.2,11.97
2026-06-12,12.01,12.29,11.51,12.19
2026-06-18,12.34,13.515,12.28,12.71
2026-06-26,12.78,13.34,12.23,13.17
2026-07-02,13.26,13.93,12.94,13.61
2026-07-10,13.68,14.38,13.085,13.76
2026-07-17,13.75,14.28,13.33,13.59
2026-07-22,13.61,14.55,13.57,14.51
