日期,Open,High,Low,Close
2023-07-24,78.274,78.356,77.419,77.424
2023-07-25,76.679,77.879,76.629,77.544
2023-07-26,75.944,75.959,74.764,75.529
2023-07-27,75.669,75.764,74.704,74.719
2023-07-28,74.709,75.439,74.344,75.299
2023-07-31,76.774,77.244,76.329,76.939
2023-08-01,77.074,77.422,76.774,77.254
2023-08-02,76.179,76.624,75.458,75.559
2023-08-03,75.019,75.691,74.689,75.154
2023-08-04,74.909,75.454,74.584,74.689
2023-08-07,76.484,77.334,76.039,77.069
2023-08-08,89.449,92.479,88.179,90.974
2023-08-09,88.964,91.614,88.839,90.184
2023-08-10,88.829,89.744,87.269,87.434
2023-08-11,87.624,88.214,86.484,87.189
2023-08-14,87.024,87.719,85.994,86.109
2023-08-15,88.634,89.309,87.249,88.944
2023-08-16,88.664,89.914,88.554,88.714
2023-08-17,89.279,90.009,88.504,88.749
2023-08-18,88.192,88.697,87.552,88.392
2023-08-21,89.502,90.012,88.862,89.762
2023-08-22,89.047,89.712,88.757,89.332
2023-08-23,90.497,92.422,90.492,91.847
2023-08-24,90.702,91.332,89.477,89.502
2023-08-25,89.187,90.379,89.007,90.042
2023-08-28,89.872,91.072,89.727,90.572
2023-08-29,90.522,92.264,90.522,92.012
2023-08-30,91.327,91.669,90.782,90.862
2023-08-31,90.367,90.393,89.247,89.637
2023-09-01,90.782,92.192,90.497,91.482
2023-09-05,92.897,93.052,91.837,91.882
2023-09-06,92.467,92.736,91.702,92.452
2023-09-07,92.897,95.597,92.897,94.517
2023-09-08,94.027,94.882,93.682,94.527
2023-09-11,94.512,97.707,94.327,96.597
2023-09-12,94.967,95.659,93.847,95.202
2023-09-13,93.032,94.212,92.783,93.142
2023-09-14,94.032,94.692,93.152,93.262
2023-09-15,93.577,93.667,91.842,92.042
2023-09-18,89.537,91.156,88.852,90.132
2023-09-19,89.612,90.637,89.412,90.352
2023-09-20,91.527,93.247,90.367,91.557
2023-09-21,89.737,90.307,87.324,88.117
2023-09-22,88.627,89.462,87.957,88.127
2023-09-25,87.727,88.027,87.227,87.957
2023-09-26,89.607,89.797,88.367,88.617
2023-09-27,88.147,88.717,87.437,88.527
2023-09-28,88.807,89.727,88.137,88.347
2023-09-29,89.327,89.397,87.447,87.767
2023-10-02,86.997,89.817,85.667,88.627
2023-10-03,86.427,86.627,83.787,84.607
2023-10-04,86.257,86.787,85.307,85.867
2023-10-05,85.797,87.077,83.847,86.817
2023-10-06,87.377,89.377,87.302,88.947
2023-10-09,87.957,89.007,87.327,88.887
2023-10-10,88.967,90.267,88.727,89.837
2023-10-11,93.327,96.047,91.847,95.667
2023-10-12,96.347,98.892,95.898,97.007
2023-10-13,98.417,100.827,97.367,98.967
2023-10-16,98.107,98.297,96.757,97.977
2023-10-17,98.017,98.657,97.107,97.987
2023-10-18,97.627,98.047,96.947,97.397
2023-10-19,95.597,95.787,93.087,94.487
2023-10-20,94.327,95.057,92.887,93.117
2023-10-23,93.907,94.747,93.157,93.947
2023-10-24,93.177,94.537,93.067,94.347
2023-10-25,95.097,95.406,93.327,94.257
2023-10-26,92.827,93.037,91.407,92.027
2023-10-27,90.597,91.327,89.767,90.327
2023-10-30,93.547,94.235,92.751,93.227
2023-10-31,93.527,93.617,92.477,93.397
2023-11-01,94.237,94.947,93.827,94.507
2023-11-02,98.107,99.077,97.127,97.757
2023-11-03,95.507,95.667,93.617,94.997
2023-11-06,96.657,98.327,96.227,97.907
2023-11-07,97.587,98.827,97.382,98.517
2023-11-08,98.807,100.077,96.257,98.587
2023-11-09,97.697,98.477,96.577,96.857
2023-11-10,97.027,98.237,95.347,98.017
2023-11-13,96.277,98.797,94.597,97.607
2023-11-14,96.527,96.617,95.337,96.027
2023-11-15,95.127,95.632,92.827,93.257
2023-11-16,95.787,96.452,94.937,96.357
2023-11-17,98.077,98.537,97.372,98.217
2023-11-20,98.327,100.567,98.317,100.417
2023-11-21,100.187,100.447,98.687,99.607
2023-11-22,99.887,100.537,98.967,100.087
2023-11-24,101.057,102.517,100.974,102.277
2023-11-27,101.707,102.267,100.517,100.697
2023-11-28,98.697,99.077,97.857,98.257
2023-11-29,98.377,99.137,97.687,98.827
2023-11-30,98.317,98.817,97.837,98.667
2023-12-01,97.927,98.587,97.137,97.227
2023-12-04,97.397,97.972,96.407,97.747
2023-12-05,96.197,96.707,95.737,96.457
2023-12-06,96.077,96.087,94.417,94.417
2023-12-07,94.107,94.127,92.564,93.637
2023-12-08,93.227,93.877,93.042,93.467
2023-12-11,93.257,93.917,91.558,93.477
2023-12-12,91.877,93.157,91.787,93.037
2023-12-13,93.757,95.757,93.667,95.727
2023-12-14,95.347,95.557,93.787,94.827
2023-12-15,94.357,94.357,93.357,93.927
2023-12-18,96.347,96.627,95.347,95.807
2023-12-19,96.707,97.427,96.367,96.817
2023-12-20,98.027,99.696,97.877,98.137
2023-12-21,99.687,100.307,99.397,100.307
2023-12-22,99.987,100.387,99.407,99.537
2023-12-26,99.387,99.957,99.237,99.507
2023-12-27,99.487,100.637,99.177,100.507
2023-12-28,101.377,101.817,100.297,100.297
2023-12-29,100.377,100.507,99.557,100.277
2024-01-02,98.537,99.457,98.537,98.937
2024-01-03,98.877,100.667,98.857,100.447
2024-01-04,101.937,105.807,101.857,104.457
2024-01-05,103.387,104.017,102.549,102.807
2024-01-08,103.007,103.367,102.097,103.227
2024-01-09,102.957,103.797,102.542,103.777
2024-01-10,104.657,105.597,104.507,105.497
2024-01-11,105.137,105.517,102.807,103.517
2024-01-12,103.767,104.297,103.547,103.987
2024-01-16,103.687,103.867,102.691,103.177
2024-01-17,103.147,103.939,102.367,103.507
2024-01-18,103.127,104.527,102.747,104.377
2024-01-19,104.017,104.732,103.327,103.787
2024-01-22,103.147,103.437,102.317,102.317
2024-01-23,100.527,102.317,100.207,102.197
2024-01-24,103.477,103.857,102.037,102.037
2024-01-25,102.557,102.557,101.637,102.507
2024-01-26,103.357,105.022,103.247,104.897
2024-01-29,104.957,105.847,104.527,105.847
2024-01-30,106.017,106.157,105.287,105.847
2024-01-31,108.977,112.947,108.977,111.567
2024-02-01,110.827,112.687,110.167,112.617
2024-02-02,110.587,111.427,110.067,110.527
2024-02-05,113.217,115.427,113.097,115.087
2024-02-06,115.157,115.527,113.487,114.437
2024-02-07,113.797,116.497,113.637,115.487
