日期,Open,High,Low,Close
2023-07-24,1.54,1.65,1.54,1.64
2023-07-25,1.58,1.66,1.58,1.64
2023-07-26,1.65,1.67,1.63,1.64
2023-07-27,1.68,1.68,1.61,1.65
2023-07-28,1.65,1.73,1.58,1.72
2023-07-31,1.69,1.73,1.64,1.71
2023-08-01,1.68,1.745,1.65,1.67
2023-08-02,1.66,1.68,1.63,1.68
2023-08-03,1.65,1.8,1.64,1.8
2023-08-04,1.76,1.83,1.69,1.76
2023-08-07,1.76,1.8,1.722,1.78
2023-08-08,1.73,1.81,1.73,1.81
2023-08-09,1.74,1.89,1.74,1.87
2023-08-10,1.98,1.99,1.875,1.94
2023-08-11,1.89,2.03,1.89,2.03
2023-08-14,2.03,2.26,2.03,2.19
2023-08-15,2.24,2.25,2.11,2.22
2023-08-16,2.28,2.28,2.13,2.15
2023-08-17,2.14,2.145,2.03,2.05
2023-08-18,2.03,2.1,2.0,2.09
2023-08-21,2.09,2.12,2.01,2.06
2023-08-22,2.05,2.13,2.02,2.08
2023-08-23,2.08,2.13,2.041,2.11
2023-08-24,2.12,2.13,2.04,2.13
2023-08-25,2.19,2.19,2.104,2.15
2023-08-28,2.19,2.35,2.18,2.24
2023-08-29,2.24,2.29,2.21,2.28
2023-08-30,2.26,2.28,2.23,2.26
2023-08-31,2.2,2.23,2.14,2.21
2023-09-01,2.22,2.23,2.19,2.22
2023-09-05,2.29,2.31,2.195,2.2
2023-09-06,2.22,2.3,2.2,2.29
2023-09-07,2.37,2.37,2.23,2.28
2023-09-08,2.29,2.3,2.25,2.28
2023-09-11,2.36,2.36,2.28,2.33
2023-09-12,2.33,2.36,2.31,2.33
2023-09-13,2.33,2.35,2.21,2.24
2023-09-14,2.31,2.31,2.013,2.03
2023-09-15,2.02,2.11,1.91,1.91
2023-09-18,1.9,2.18,1.9,2.12
2023-09-19,2.13,2.29,2.04,2.25
2023-09-20,2.31,2.36,2.21,2.24
2023-09-21,2.18,2.24,2.13,2.19
2023-09-22,2.25,2.325,2.15,2.16
2023-09-25,2.16,2.27,2.16,2.19
2023-09-26,2.18,2.26,2.13,2.15
2023-09-27,2.17,2.23,2.14,2.19
2023-09-28,2.2,2.26,2.132,2.17
2023-09-29,2.19,2.22,2.13,2.15
2023-10-02,2.21,2.21,2.111,2.17
2023-10-03,2.13,2.142,2.05,2.09
2023-10-04,2.07,2.07,1.94,1.95
2023-10-05,1.95,2.03,1.94,2.01
2023-10-06,2.0,2.0,1.85,1.96
2023-10-09,2.0,2.16,2.0,2.16
2023-10-10,2.14,2.16,1.975,2.03
2023-10-11,2.07,2.08,1.95,1.96
2023-10-12,1.97,2.028,1.86,1.86
2023-10-13,1.86,1.95,1.83,1.84
2023-10-16,1.82,1.95,1.807,1.87
2023-10-17,1.87,1.95,1.84,1.86
2023-10-18,1.87,1.92,1.67,1.72
2023-10-19,1.83,1.927,1.75,1.88
2023-10-20,1.89,2.01,1.88,1.97
2023-10-23,1.95,2.03,1.945,1.97
2023-10-24,1.99,2.02,1.93,1.94
2023-10-25,1.91,1.98,1.84,1.85
2023-10-26,1.85,1.91,1.83,1.88
2023-10-27,1.9,1.93,1.86,1.87
