日期,Open,High,Low,Close
2020-11-30,9.53,9.73,9.41,9.51
2020-12-31,9.49,10.1,9.49,9.81
2021-01-29,9.91,10.95,9.77,10.47
2021-02-26,10.52,11.23,9.63,9.78
2021-03-31,9.83,10.03,9.42,9.82
2021-04-30,9.84,10.04,9.68,9.8
2021-05-28,9.83,9.84,9.66,9.73
2021-06-30,9.75,9.89,9.73,9.84
2021-07-30,9.86,11.03,9.17,9.57
2021-08-31,9.55,9.71,5.64,8.07
2021-09-30,7.94,10.03,6.64,7.49
2021-10-29,7.45,7.63,5.77,6.03
2021-11-30,6.13,8.06,4.38,4.53
2021-12-31,4.63,4.946,3.74,4.17
2022-01-31,4.23,6.31,3.67,4.3
2022-02-28,4.3,4.67,3.05,3.21
2022-03-31,3.19,3.93,2.61,3.06
2022-04-29,3.12,3.27,2.33,2.6
2022-05-31,2.56,3.41,2.09,3.28
2022-06-30,3.26,3.35,2.63,2.92
2022-07-29,3.033,3.27,2.44,2.69
2022-08-31,2.64,3.33,1.96,2.34
2022-09-30,2.34,2.51,1.66,1.93
2022-10-31,1.94,2.16,1.55,1.9
2022-11-30,1.96,2.21,1.5,2.12
2022-12-30,2.14,2.27,1.54,1.68
2023-01-31,1.7,1.95,1.57,1.93
2023-02-28,1.95,2.11,1.73,1.74
2023-03-31,1.73,1.78,1.33,1.68
2023-04-28,1.67,1.82,1.5,1.53
2023-05-31,1.53,1.93,1.44,1.67
2023-06-30,1.7,2.0,1.61,1.67
2023-07-31,1.68,1.77,1.54,1.71
2023-08-31,1.68,2.35,1.63,2.21
2023-09-29,2.22,2.37,1.9,2.15
2023-10-31,2.21,2.21,1.67,1.86
2023-11-30,1.86,3.62,1.86,3.17
2023-12-29,3.21,4.97,3.21,4.75
2024-01-31,4.76,4.76,2.84,2.84
2024-02-29,2.79,3.53,2.62,3.15
2024-03-28,3.17,3.46,1.98,2.13
2024-04-30,2.13,3.06,2.005,2.42
2024-05-31,2.41,3.309,2.361,2.98
2024-06-28,3.01,3.27,2.795,3.14
2024-07-31,3.15,3.94,3.06,3.61
2024-08-30,3.65,4.63,2.841,4.52
2024-09-30,4.48,4.75,3.68,4.48
2024-10-31,4.57,5.33,4.13,4.87
2024-11-29,4.89,8.29,4.58,7.91
2024-12-31,7.95,7.98,6.4,7.41
2025-01-31,7.53,14.6,6.56,13.46
2025-02-28,12.37,17.478,9.28,9.61
2025-03-31,10.02,11.03,8.43,9.05
2025-04-30,9.05,9.65,7.29,9.35
2025-05-30,9.56,13.7,9.29,12.67
2025-06-30,12.55,15.03,11.6,13.99
2025-07-31,13.85,14.97,10.52,10.64
2025-08-29,10.225,12.6,9.32,10.21
2025-09-30,9.93,12.45,9.81,11.33
2025-10-31,11.31,11.5,9.0,9.75
2025-11-28,9.85,10.325,9.04,9.9
2025-12-31,9.8,11.69,9.64,10.46
2026-01-30,10.44,10.7,9.46,9.52
2026-02-27,9.48,9.92,8.7,9.18
2026-03-31,9.02,9.52,7.499,7.71
2026-04-30,7.83,9.89,7.36,9.51
2026-05-29,9.6,10.95,8.06,8.49
2026-06-30,8.36,10.035,7.811,9.93
2026-07-22,10.04,10.17,8.84,9.24
