日期,Open,High,Low,Close
2023-07-24,121.91,122.995,119.87,121.665
2023-07-25,122.5,123.425,121.365,121.455
2023-07-26,119.855,124.325,119.435,122.505
2023-07-27,124.0,124.915,121.624,122.64
2023-07-28,123.75,124.645,122.405,124.22
2023-07-31,125.0,126.67,123.86,124.98
2023-08-01,124.945,127.015,124.005,126.585
2023-08-02,124.525,124.7,117.02,118.085
2023-08-03,117.405,119.375,116.905,118.725
2023-08-04,112.25,112.75,106.675,109.16
2023-08-07,109.535,109.725,106.65,107.62
2023-08-08,105.425,106.45,104.01,105.74
2023-08-09,105.685,106.895,105.05,106.735
2023-08-10,108.165,109.21,106.45,107.03
2023-08-11,106.42,110.225,106.42,108.98
2023-08-14,109.22,110.885,107.75,109.67
2023-08-15,109.245,109.77,107.48,107.83
2023-08-16,107.995,108.47,106.79,106.985
2023-08-17,106.5,106.5,103.445,103.785
2023-08-18,101.01,105.57,100.585,104.845
2023-08-21,118.25,123.15,118.15,120.405
2023-08-22,120.825,121.043,115.515,117.28
2023-08-23,117.755,118.623,115.88,117.83
2023-08-24,119.0,119.1,113.465,113.725
2023-08-25,114.865,116.011,113.16,115.38
2023-08-28,115.385,116.54,114.475,116.21
2023-08-29,116.385,117.095,115.71,116.96
2023-08-30,117.91,119.7,117.5,118.95
2023-08-31,119.79,121.915,119.79,121.65
2023-09-01,121.625,122.385,120.234,121.36
2023-09-05,121.355,122.625,120.125,122.535
2023-09-06,122.545,122.967,121.36,122.605
2023-09-07,122.095,123.52,121.175,122.72
2023-09-08,122.5,124.945,122.44,124.37
2023-09-11,124.95,127.115,124.5,126.57
2023-09-12,125.995,126.455,122.82,122.865
2023-09-13,121.605,123.885,121.215,123.145
2023-09-14,123.995,124.16,122.317,122.91
2023-09-15,122.665,122.843,119.285,120.1
2023-09-18,120.17,121.63,119.39,119.945
2023-09-19,119.155,119.395,115.675,118.085
2023-09-20,117.565,119.438,117.245,117.65
2023-09-21,115.815,116.59,113.593,113.72
2023-09-22,114.275,115.365,113.32,114.255
2023-09-25,113.765,113.975,112.32,113.265
2023-09-26,112.98,113.9,112.375,113.395
2023-09-27,114.435,116.763,114.16,115.95
2023-09-28,116.235,118.65,115.335,117.59
2023-09-29,119.0,119.17,117.018,117.22
2023-10-02,117.5,119.095,116.945,118.385
2023-10-03,117.34,118.805,115.045,115.855
2023-10-04,116.675,118.785,116.675,118.22
2023-10-05,118.22,118.65,117.175,118.39
2023-10-06,117.68,124.954,117.52,123.345
2023-10-09,123.035,128.245,122.915,126.39
2023-10-10,127.16,129.274,126.41,128.39
2023-10-11,128.5,130.94,127.885,129.605
2023-10-12,130.075,132.171,129.583,130.31
2023-10-13,131.175,132.95,129.155,129.7
2023-10-16,129.875,132.585,129.455,130.76
2023-10-17,130.43,132.909,130.005,130.87
2023-10-18,130.055,132.925,130.0,130.67
2023-10-19,131.75,132.34,126.09,126.565
2023-10-20,126.5,126.5,120.14,121.55
2023-10-23,120.605,124.158,119.41,123.085
2023-10-24,124.335,126.095,123.75,126.035
2023-10-25,126.0,127.16,121.86,122.395
2023-10-26,122.395,123.47,118.01,118.595
2023-10-27,119.33,121.196,118.64,119.395
2023-10-30,120.385,121.11,118.853,119.275
2023-10-31,121.255,122.018,119.06,121.51
2023-11-01,122.5,123.725,120.03,122.43
2023-11-02,123.78,126.04,123.54,125.18
2023-11-03,122.26,123.125,120.525,121.765
2023-11-06,123.32,123.643,116.905,118.5
2023-11-07,120.975,121.71,118.76,121.04
2023-11-08,121.735,122.0,120.255,120.54
2023-11-09,121.195,123.87,119.8,121.295
2023-11-10,123.0,126.99,122.3,126.755
2023-11-13,127.185,128.7,126.88,127.82
2023-11-14,129.76,130.835,128.845,130.585
2023-11-15,132.255,132.375,127.31,128.09
2023-11-16,119.995,122.4,117.075,121.15
2023-11-17,121.52,126.015,121.49,123.795
2023-11-20,125.0,130.725,124.78,130.285
2023-11-21,129.775,132.28,129.083,132.015
2023-11-22,132.5,134.05,131.035,131.57
2023-11-24,131.485,133.205,131.375,133.04
2023-11-27,133.0,134.97,132.94,134.545
2023-11-28,134.365,139.345,134.323,138.915
2023-11-29,139.73,146.165,139.255,144.455
2023-11-30,144.345,148.08,143.515,147.545
2023-12-01,146.155,148.424,145.525,148.08
2023-12-04,147.12,147.5,141.395,143.305
2023-12-05,141.27,146.405,140.33,146.39
2023-12-06,146.9,148.075,143.456,143.6
2023-12-07,144.09,147.185,143.345,146.805
2023-12-08,145.32,149.455,145.32,149.21
2023-12-11,148.95,150.055,147.66,149.94
2023-12-12,149.785,153.94,149.705,152.79
2023-12-13,152.52,158.095,152.52,156.93
2023-12-14,157.5,159.0,149.064,150.22
2023-12-15,150.515,154.525,149.625,153.65
2023-12-18,152.125,154.71,152.005,153.79
2023-12-19,153.79,155.44,153.09,154.305
2023-12-20,152.73,154.0,150.225,150.49
2023-12-21,151.39,152.055,147.955,149.7
2023-12-22,150.165,150.375,148.75,149.105
2023-12-26,149.435,150.995,149.25,150.41
2023-12-27,150.24,150.445,147.91,148.75
2023-12-28,148.49,148.83,146.9,147.79
2023-12-29,148.355,148.36,145.975,147.44
2024-01-02,145.97,146.06,142.415,144.46
2024-01-03,142.34,144.56,141.41,143.235
2024-01-04,143.0,143.74,141.45,141.65
2024-01-05,142.095,143.225,140.92,141.465
2024-01-08,141.76,145.37,141.75,144.75
2024-01-09,143.805,150.5,143.45,150.21
2024-01-10,152.6,158.245,152.55,158.045
2024-01-11,160.265,162.685,158.26,161.745
2024-01-12,162.255,165.2,160.698,162.62
2024-01-16,164.15,166.65,162.75,166.025
2024-01-17,165.27,166.235,161.305,165.03
2024-01-18,168.205,169.297,166.28,167.885
2024-01-19,169.765,170.2,167.155,168.87
2024-01-22,173.145,175.3,171.225,172.825
2024-01-23,172.785,173.0,169.16,172.09
2024-01-24,173.91,173.995,169.92,170.12
2024-01-25,172.23,172.23,168.285,170.095
2024-01-26,170.0,172.15,169.03,171.22
2024-01-29,170.995,172.747,170.385,172.625
2024-01-30,172.415,173.815,171.38,172.945
2024-01-31,171.115,171.995,166.335,169.255
2024-02-01,169.5,170.223,167.72,169.985
2024-02-02,169.78,173.215,169.5,172.53
2024-02-05,172.14,172.75,168.97,172.24
2024-02-06,172.745,173.875,168.0,170.745
2024-02-07,175.7,183.07,174.7,182.25
2024-02-08,181.61,185.86,181.5,183.51
2024-02-09,186.525,190.42,184.5,188.45
2024-02-12,187.725,188.15,183.765,185.985
2024-02-13,179.56,187.19,176.905,184.13
2024-02-14,184.405,187.585,183.063,184.165
2024-02-15,184.09,184.895,180.81,183.44
2024-02-16,184.75,185.495,181.025,183.205
2024-02-20,181.425,184.644,179.909,183.045
2024-02-21,137.6,137.99,130.045,130.985
2024-02-22,137.063,138.405,132.5,133.91
2024-02-23,138.475,142.16,135.81,141.045
2024-02-26,144.26,156.94,143.395,151.39
2024-02-27,158.7,163.785,153.775,157.375
2024-02-28,155.64,158.425,153.905,158.075
2024-02-29,157.89,160.345,154.365,155.275
2024-03-01,155.765,155.765,148.405,151.2
2024-03-04,151.0,151.188,146.03,149.72
2024-03-05,147.945,148.775,142.34,145.565
2024-03-06,149.49,150.0,138.405,139.43
2024-03-07,140.0,144.065,138.876,143.243
2024-03-08,143.09,144.225,139.85,140.1
2024-03-11,139.15,143.4,138.805,141.665
2024-03-12,142.665,143.718,140.701,142.365
2024-03-13,142.81,146.395,140.865,145.06
2024-03-14,146.18,146.37,141.68,143.79
2024-03-15,142.12,143.645,140.805,141.08
2024-03-18,142.685,143.315,140.59,142.62
2024-03-19,141.55,142.07,138.275,140.29
2024-03-20,140.865,141.86,139.135,141.025
