日期,Open,High,Low,Close
2014-04-30,13.025,13.045,9.635,10.535
2014-05-30,10.415,11.175,8.225,8.475
2014-06-30,8.615,10.345,8.135,9.715
2014-07-31,9.745,9.855,7.405,7.905
2014-08-29,7.965,13.465,7.475,13.045
2014-09-30,13.265,14.355,10.935,11.685
2014-10-31,11.335,13.005,9.445,12.875
2014-11-28,12.945,24.545,12.705,23.875
2014-12-31,23.955,24.385,18.605,21.455
2015-01-30,21.415,25.325,17.705,21.295
2015-02-27,21.195,30.245,20.405,27.005
2015-03-31,26.985,30.985,24.265,27.185
2015-04-30,27.245,29.105,24.485,26.735
2015-05-29,27.045,34.875,25.965,29.885
2015-06-30,30.115,34.295,28.425,29.275
2015-07-31,29.695,32.105,24.925,27.125
2015-08-31,27.135,36.705,26.395,33.665
2015-09-30,32.855,36.105,28.125,31.035
2015-10-30,30.935,37.785,29.975,33.135
2015-11-30,33.225,41.475,33.135,38.725
2015-12-31,38.695,39.295,32.285,32.755
2016-01-29,32.235,32.865,23.455,25.275
2016-02-29,25.035,27.715,17.545,27.005
2016-03-31,27.465,31.015,26.225,30.725
2016-04-29,30.415,33.715,27.545,33.335
2016-05-31,33.725,37.725,31.505,35.565
2016-06-30,35.695,38.375,34.735,38.335
2016-07-29,38.215,42.895,37.855,42.335
2016-08-31,43.125,47.185,41.975,46.465
2016-09-30,46.235,48.055,41.605,45.255
2016-10-31,44.995,47.925,43.235,46.855
2016-11-30,47.075,47.645,34.275,39.995
2016-12-30,40.175,42.725,37.105,40.615
2017-01-31,41.325,46.085,40.665,41.365
2017-02-28,41.275,50.535,37.645,48.955
2017-03-31,49.625,52.845,48.825,52.635
2017-04-28,52.885,56.325,52.215,55.375
2017-05-31,55.715,62.005,55.005,60.565
2017-06-30,60.785,68.735,57.285,63.535
2017-07-31,63.715,67.085,60.805,65.215
2017-08-31,66.135,69.945,59.625,69.735
2017-09-29,69.825,71.875,68.035,70.085
2017-10-31,70.135,77.715,68.735,77.325
2017-11-30,74.035,81.225,69.475,77.125
2017-12-29,76.805,78.965,70.515,75.455
2018-01-31,75.595,88.735,74.305,86.765
2018-02-28,86.365,96.555,75.515,94.045
2018-03-29,94.385,110.605,91.785,102.515
2018-04-30,101.435,113.575,96.675,109.335
2018-05-31,109.125,109.125,93.135,100.595
2018-06-29,101.115,110.665,91.565,93.955
2018-07-31,93.015,109.035,92.315,101.375
2018-08-31,111.175,150.255,110.125,150.245
2018-09-28,150.645,159.205,141.525,150.535
2018-10-31,149.385,152.575,115.125,120.325
2018-11-30,120.445,128.415,102.585,127.895
2018-12-31,131.145,132.335,106.605,117.575
2019-01-31,115.005,144.405,110.155,143.365
2019-02-28,143.175,181.125,142.515,176.855
2019-03-29,178.825,185.765,164.185,184.255
2019-04-30,186.205,198.165,174.695,197.655
2019-05-31,198.325,210.775,189.125,207.225
2019-06-28,206.425,228.555,189.965,221.845
2019-07-31,225.745,241.975,218.865,235.875
2019-08-30,235.745,254.835,211.675,245.245
2019-09-30,243.325,249.655,196.415,204.615
2019-10-31,204.625,218.125,184.335,206.655
2019-11-29,206.645,275.075,204.055,271.935
2019-12-31,271.935,272.975,248.225,259.885
2020-01-31,262.045,320.885,260.775,313.285
2020-02-28,316.245,337.125,259.635,277.775
2020-03-31,281.105,292.765,168.775,197.135
2020-04-30,188.125,267.985,158.545,256.145
2020-05-29,248.125,293.625,228.395,292.355
2020-06-30,291.825,331.985,286.415,304.855
2020-07-31,306.325,324.545,271.715,279.495
2020-08-31,281.255,304.455,276.575,294.585
2020-09-30,298.075,307.845,252.995,306.425
2020-10-30,310.685,392.635,308.655,359.215
2020-11-30,359.215,417.625,349.595,412.205
2020-12-31,414.395,466.205,400.055,447.375
2021-01-29,445.125,445.285,368.815,374.865
2021-02-26,380.125,438.265,351.065,369.365
2021-03-31,376.725,392.465,335.965,365.185
2021-04-30,375.175,399.895,364.845,379.535
2021-05-28,381.905,382.11,297.565,324.725
2021-06-30,325.705,371.375,310.565,358.595
2021-07-30,357.255,400.032,353.935,395.125
2021-08-31,396.635,486.395,390.745,484.025
2021-09-30,481.275,510.645,456.255,490.875
