日期,Open,High,Low,Close
2011-07-29,31.508,31.964,28.35,29.087
2011-08-31,29.438,29.824,22.456,25.438
2011-09-30,25.473,25.684,19.385,19.385
2011-10-31,19.207,22.764,17.429,21.448
2011-11-30,20.701,21.555,17.891,19.634
2011-12-30,19.598,20.203,17.161,18.127
2012-01-31,18.448,21.487,18.448,20.594
2012-02-29,21.166,23.168,20.558,20.594
2012-03-30,20.665,21.036,19.128,19.959
2012-04-30,19.923,19.995,17.662,18.236
2012-05-31,18.164,18.846,14.898,15.292
2012-06-29,14.898,16.513,14.503,16.292
2012-07-31,16.476,16.844,14.449,14.707
2012-08-31,14.854,16.328,14.375,15.296
2012-09-28,15.333,16.586,14.965,15.428
2012-10-31,15.577,15.614,14.279,14.575
2012-11-30,14.538,14.909,12.832,14.204
2012-12-31,14.242,15.503,13.945,15.132
2013-01-31,15.577,16.615,15.577,16.467
2013-02-28,16.467,17.987,16.133,16.318
2013-03-28,16.281,17.097,15.91,16.133
2013-04-30,16.096,17.839,15.243,17.765
2013-05-31,17.802,21.77,17.283,20.25
2013-06-28,20.101,20.435,18.489,20.214
2013-07-31,20.476,22.689,20.214,22.201
2013-08-30,22.389,22.464,19.989,20.626
2013-09-30,20.851,24.062,20.776,23.911
2013-10-31,23.874,25.982,23.083,24.175
2013-11-29,24.476,25.945,23.158,23.987
2013-12-31,23.949,24.476,22.179,24.286
2014-01-31,24.248,26.415,23.906,24.97
2014-02-28,25.008,28.163,23.298,27.897
2014-03-31,27.593,30.481,25.816,26.958
2014-04-30,27.149,28.177,23.988,25.092
2014-05-30,25.016,25.587,22.465,24.559
2014-06-30,24.445,26.539,23.493,26.381
2014-07-31,26.572,26.802,24.045,24.084
2014-08-29,23.931,26.458,23.356,26.151
2014-09-30,26.19,27.108,24.328,24.405
2014-10-31,24.405,24.405,20.048,23.287
2014-11-28,23.287,23.711,21.244,21.244
2014-12-31,21.205,21.398,19.046,20.543
2015-01-30,20.543,20.582,18.516,19.178
2015-02-27,19.178,21.829,19.178,21.4
2015-03-31,21.361,22.458,21.01,21.794
2015-04-30,21.833,23.434,21.598,22.458
2015-05-29,22.614,22.887,21.755,22.028
2015-06-30,22.223,22.783,21.094,21.29
2015-07-31,21.408,21.408,18.659,19.287
2015-08-31,19.444,19.562,14.338,17.244
2015-09-30,17.048,17.912,15.673,16.186
2015-10-30,16.186,18.515,15.91,17.607
2015-11-30,17.528,18.278,15.91,16.897
2015-12-31,16.975,19.408,16.778,18.736
2016-01-29,18.301,18.618,14.032,15.969
2016-02-29,15.851,16.167,13.874,16.048
2016-03-31,16.048,16.954,15.811,16.231
2016-04-29,16.191,17.235,15.789,16.472
2016-05-31,16.552,16.753,14.785,15.628
2016-06-30,15.628,16.07,14.533,15.638
2016-07-29,15.638,16.416,15.27,16.088
2016-08-31,16.007,16.416,15.597,15.679
2016-09-30,15.679,16.17,14.86,16.035
2016-10-31,16.035,16.242,15.124,15.165
2016-11-30,15.206,15.621,14.129,15.165
2016-12-30,15.206,15.979,14.833,15.313
2017-01-31,15.396,16.145,15.355,15.646
2017-02-28,15.646,16.936,15.438,16.478
2017-03-31,16.645,16.798,15.918,16.756
2017-04-28,16.798,17.761,16.421,17.426
2017-05-31,17.51,17.594,16.546,17.342
2017-06-30,17.426,18.562,17.3,18.309
2017-07-31,18.394,19.322,17.719,19.153
2017-08-31,19.237,19.279,17.719,18.562
2017-09-29,18.562,20.109,18.394,19.898
2017-10-31,19.94,20.99,19.813,20.829
2017-11-30,20.956,21.54,20.33,21.1
2017-12-29,21.193,21.734,20.355,21.497
2018-01-31,21.539,22.336,21.022,21.056
2018-02-28,21.09,21.615,18.877,20.7
2018-03-29,20.632,22.037,20.03,21.23
2018-04-30,21.094,22.062,20.517,20.916
2018-05-31,20.967,23.064,20.704,22.292
2018-06-29,22.334,22.334,21.035,21.335
2018-07-31,21.215,22.121,21.164,21.574
2018-08-31,21.531,22.309,21.035,22.096
2018-09-28,22.053,22.378,21.229,21.298
2018-10-31,21.512,21.59,18.738,19.932
2018-11-30,19.846,21.323,19.383,20.954
2018-12-31,21.22,21.289,17.333,18.464
2019-01-31,18.136,22.132,18.127,22.029
2019-02-28,22.107,24.817,21.666,24.282
2019-03-29,24.411,24.662,22.4,23.125
2019-04-30,23.341,24.972,23.28,24.42
2019-05-31,24.653,24.964,23.099,23.177
2019-06-28,23.177,25.818,23.177,25.784
2019-07-31,26.278,26.825,25.818,26.417
2019-08-30,26.608,27.146,24.725,25.436
2019-09-30,25.245,27.545,24.803,25.448
2019-10-31,25.527,26.146,24.096,25.317
2019-11-29,25.396,27.394,25.282,27.176
2019-12-31,27.263,30.116,26.486,30.019
2020-01-31,30.256,33.746,29.94,31.536
2020-02-28,31.571,39.701,31.317,32.992
2020-03-31,33.466,35.193,19.469,23.628
2020-04-30,22.676,29.357,21.381,28.158
2020-05-29,27.427,31.454,25.479,30.705
2020-06-30,30.873,36.097,30.873,35.85
2020-07-31,35.911,43.879,35.426,41.055
2020-08-31,41.558,50.62,41.338,50.108
2020-09-30,50.373,54.726,44.179,53.64
2020-10-30,54.487,63.207,52.952,55.882
2020-11-30,57.241,85.367,56.791,81.087
2020-12-31,82.252,98.805,74.177,91.504
2021-01-29,92.884,119.152,89.468,105.753
2021-02-26,108.337,122.666,87.441,95.637
2021-03-31,99.044,101.301,75.09,87.202
2021-04-30,90.206,90.454,72.046,77.896
2021-05-28,78.596,78.596,62.389,73.641
2021-06-30,74.829,85.332,73.721,82.834
2021-07-30,83.554,83.714,68.177,74.372
2021-08-31,74.968,77.679,65.146,72.683
2021-09-30,72.674,75.239,67.363,68.888
2021-10-29,69.628,79.376,63.929,79.18
2021-11-30,80.268,86.044,73.9,76.157
2021-12-31,77.004,77.78,61.12,64.184
2022-01-31,65.047,66.332,44.112,50.758
2022-02-28,51.423,54.173,43.676,53.346
2022-03-31,53.292,61.143,48.322,58.779
2022-04-29,59.365,62.226,44.928,45.974
2022-05-31,45.749,50.649,36.563,48.23
2022-06-30,48.456,50.748,40.177,41.521
2022-07-29,41.439,50.923,39.123,50.805
2022-08-31,50.55,59.143,49.324,52.231
2022-09-30,51.459,54.865,43.653,44.078
2022-10-31,44.563,48.122,37.839,42.203
2022-11-30,43.355,45.505,39.309,43.154
2022-12-30,43.236,43.428,33.584,35.59
2023-01-31,36.203,43.569,34.281,42.758
2023-02-28,42.832,45.581,38.533,39.861
2023-03-31,40.065,41.096,33.795,37.988
2023-04-28,37.903,38.204,32.244,33.306
2023-05-31,33.24,36.061,31.652,34.397
2023-06-30,34.397,38.918,33.917,37.961
2023-07-31,38.312,42.234,36.509,41.235
2023-08-31,40.942,41.15,32.502,34.366
2023-09-29,34.99,35.34,29.247,29.903
2023-10-31,29.741,29.827,23.234,23.767
2023-11-30,23.757,26.968,23.062,25.222
2023-12-29,25.165,29.628,24.746,28.46
