日期,Open,High,Low,Close
2014-03-31,31.0,31.0,22.11,24.05
2014-04-30,24.08,25.07,18.28,18.91
2014-05-30,19.03,19.76,15.24,19.47
2014-06-30,19.59,23.83,18.5,21.63
2014-07-31,21.64,21.85,19.57,19.58
2014-08-29,19.61,26.0,18.5,22.73
2014-09-30,22.72,24.03,18.75,19.65
2014-10-31,19.65,24.9,19.2,24.5
2014-11-28,24.68,30.41,24.23,29.09
2014-12-31,29.0,29.5,24.41,26.11
2015-01-30,26.13,26.97,22.21,23.57
2015-02-27,23.55,30.8,22.51,29.89
2015-03-31,29.77,33.22,27.7,28.64
2015-04-30,28.47,31.62,26.16,28.16
2015-05-29,28.16,34.83,26.6,33.47
2015-06-30,33.0,37.96,31.79,35.9
2015-07-31,36.12,37.68,32.8,35.91
2015-08-31,35.73,38.59,29.02,33.01
2015-09-30,31.84,34.95,28.47,30.0
2015-10-30,30.08,34.39,28.66,33.58
2015-11-30,33.6,46.9,33.24,43.89
2015-12-31,44.2,45.15,38.83,40.54
2016-01-29,39.85,40.0,29.24,31.12
2016-02-29,30.91,36.97,24.0,29.62
2016-03-31,30.05,33.06,29.02,32.74
2016-04-29,32.44,40.6,32.23,38.27
2016-05-31,38.56,39.06,31.82,36.71
2016-06-30,36.45,43.28,35.97,43.2
2016-07-29,43.28,45.89,40.96,44.64
2016-08-31,44.87,49.65,42.02,45.03
2016-09-30,44.82,46.29,41.27,44.46
2016-10-31,44.26,46.3,42.28,43.49
2016-11-30,43.41,43.91,31.61,33.11
2016-12-30,32.96,33.83,29.84,30.01
2017-01-31,30.45,34.0,29.93,30.86
2017-02-28,31.07,37.57,29.69,35.26
2017-03-31,35.82,39.66,34.13,38.63
2017-04-28,38.57,40.52,37.6,39.44
2017-05-31,39.51,47.98,39.21,46.85
2017-06-30,46.95,49.65,43.92,45.18
2017-07-31,45.36,48.84,43.52,45.47
2017-08-31,45.87,49.14,42.54,49.14
2017-09-29,49.15,49.23,45.28,48.82
2017-10-31,48.8,53.49,48.8,53.41
2017-11-30,53.83,53.96,45.06,46.14
2017-12-29,45.97,48.59,44.11,47.16
2018-01-31,47.41,52.72,47.0,52.29
2018-02-28,52.05,53.2,41.15,46.77
2018-03-29,46.76,57.16,45.73,51.23
2018-04-30,51.22,56.98,47.29,54.63
2018-05-31,54.5,60.55,52.0,59.75
2018-06-29,60.03,64.21,57.02,58.86
2018-07-31,58.36,66.14,56.78,58.0
2018-08-31,58.04,80.96,58.04,79.44
2018-09-28,79.23,88.47,77.34,80.32
2018-10-31,80.84,81.3,60.5,65.79
2018-11-30,66.25,69.82,56.58,67.08
2018-12-31,67.98,68.51,53.46,60.21
2019-01-31,58.89,71.41,56.7,71.03
2019-02-28,71.03,92.5,71.03,87.57
2019-03-29,88.0,90.56,78.77,89.19
2019-04-30,89.85,97.97,82.81,96.55
2019-05-31,97.0,103.8,91.3,100.22
2019-06-28,99.92,103.52,87.39,93.82
2019-07-31,95.88,107.94,94.83,102.09
2019-08-30,102.14,112.46,90.05,109.22
2019-09-30,108.05,109.99,92.93,97.58
2019-10-31,97.74,105.0,92.12,102.6
2019-11-29,103.75,122.65,99.07,122.32
2019-12-31,122.45,122.47,112.72,120.82
2020-01-31,121.34,145.2,121.34,141.89
2020-02-28,142.99,150.73,122.44,129.52
2020-03-31,128.9,137.84,67.19,88.32
2020-04-30,84.46,118.77,73.06,114.53
