日期,Open,High,Low,Close
2020-07-24,27.67,29.6,26.5,27.84
2020-07-31,27.54,29.63,27.41,29.04
2020-08-07,29.17,29.66,28.65,29.01
2020-08-14,29.11,29.22,28.24,28.62
2020-08-21,28.6,29.56,28.51,29.44
2020-08-28,29.58,29.6,27.96,28.47
2020-09-04,28.4,28.58,26.43,26.92
2020-09-11,27.09,27.21,26.01,26.63
2020-09-18,26.92,28.1,26.84,27.19
2020-09-25,26.93,27.04,25.94,26.61
2020-10-02,26.72,27.65,26.59,26.94
2020-10-09,27.09,27.74,26.59,27.35
2020-10-16,27.26,28.68,26.97,28.51
2020-10-23,28.98,29.41,27.59,28.74
2020-10-30,28.43,28.68,25.16,26.04
2020-11-06,26.49,28.68,26.1,27.34
2020-11-13,32.8,32.93,28.18,29.56
2020-11-20,28.8,28.89,26.76,27.64
2020-11-27,27.97,28.2,26.96,28.17
2020-12-04,28.89,32.35,28.54,31.28
2020-12-11,31.6,34.02,31.31,32.06
2020-12-18,32.56,32.6,28.25,28.62
2020-12-24,28.22,28.59,27.55,28.21
2020-12-31,28.3,28.52,27.23,27.75
2021-01-08,27.81,28.47,27.21,28.07
2021-01-15,28.16,28.77,27.34,27.64
2021-01-22,27.7,27.94,27.09,27.49
2021-01-29,27.49,28.54,26.95,27.23
2021-02-05,27.26,27.52,25.6,26.25
2021-02-12,26.29,26.41,25.61,26.05
2021-02-19,26.18,26.327,25.73,25.77
2021-02-26,25.66,25.7,24.69,24.82
2021-03-05,24.92,26.415,24.77,25.72
2021-03-12,25.81,26.47,25.66,26.27
2021-03-19,26.34,27.3,26.29,26.86
2021-03-26,26.81,27.62,26.58,27.58
2021-04-01,27.36,28.07,27.23,27.63
2021-04-09,27.77,28.14,27.09,27.93
2021-04-16,27.81,30.03,27.66,29.9
2021-04-23,29.93,31.0,29.661,29.99
2021-04-30,30.06,30.33,29.635,29.98
2021-05-07,30.37,32.42,29.68,31.3
2021-05-14,31.55,32.04,30.95,31.74
2021-05-21,31.79,32.32,31.15,31.67
2021-05-28,31.8,31.86,30.32,30.45
2021-06-04,30.66,31.22,30.2,30.87
2021-06-11,30.8,32.44,30.195,31.87
2021-06-18,31.75,31.79,30.42,30.53
2021-06-25,30.6,31.41,30.6,30.7
2021-07-02,30.73,31.55,30.54,31.45
2021-07-09,31.2,31.82,30.65,31.33
2021-07-16,31.38,32.07,31.25,32.07
