日期,Open,High,Low,Close
2020-07-24,149.95,152.07,146.44,149.14
2020-07-31,149.15,152.4,141.3,145.2
2020-08-07,145.93,164.32,144.96,163.88
2020-08-14,163.84,180.14,163.65,175.9
2020-08-21,175.71,177.61,169.25,172.6
2020-08-28,173.65,178.85,172.42,177.63
2020-09-04,176.52,182.37,170.73,174.46
2020-09-11,172.39,177.12,170.02,176.29
2020-09-18,178.32,184.75,174.95,175.57
2020-09-25,170.01,171.56,159.41,167.14
2020-10-02,170.3,178.14,164.14,174.46
2020-10-09,177.99,188.32,176.59,185.27
2020-10-16,186.35,193.75,178.98,190.02
2020-10-23,189.92,195.83,187.92,193.32
2020-10-30,190.14,190.16,167.19,175.52
2020-11-06,179.61,207.6,178.19,205.6
2020-11-13,228.04,237.16,219.81,227.03
2020-11-20,233.31,237.84,227.41,235.16
2020-11-27,237.62,248.33,236.21,240.89
2020-12-04,238.78,245.09,233.34,243.78
2020-12-11,242.14,244.97,236.89,242.72
2020-12-18,246.15,246.66,238.04,240.04
2020-12-24,234.26,241.18,232.29,237.49
2020-12-31,239.03,240.79,231.04,240.45
2021-01-08,241.55,254.41,232.24,248.7
2021-01-15,245.21,261.84,244.78,253.21
2021-01-22,256.66,259.22,239.72,243.21
2021-01-29,242.04,243.01,215.45,232.65
2021-02-05,235.81,255.89,231.63,247.51
2021-02-12,249.5,249.785,235.64,245.16
2021-02-19,247.77,249.66,235.18,248.65
2021-02-26,248.65,266.78,245.66,255.88
2021-03-05,261.07,271.82,257.04,268.91
2021-03-12,270.82,282.71,264.38,281.48
2021-03-19,280.77,290.66,275.99,279.97
2021-03-26,279.97,287.84,271.65,286.51
2021-04-01,287.42,289.64,282.6,285.13
2021-04-09,288.45,292.724,282.72,290.01
2021-04-16,291.36,292.4,283.32,290.03
2021-04-23,288.92,288.92,277.37,287.04
2021-04-30,287.92,291.02,278.18,282.73
2021-05-07,285.92,291.25,274.4,289.21
2021-05-14,290.99,294.63,273.95,291.79
2021-05-21,290.9,291.48,270.95,275.77
2021-05-28,277.73,280.95,272.17,278.1
2021-06-04,282.32,284.59,276.04,278.99
2021-06-11,279.54,282.13,270.64,271.93
2021-06-18,271.41,271.9,250.45,250.94
2021-06-25,254.84,273.76,252.51,271.69
2021-07-02,270.8,279.95,267.02,278.22
2021-07-09,276.77,283.56,271.155,281.52
2021-07-16,278.95,283.56,269.45,269.95
2021-07-23,263.81,277.67,256.18,276.63
2021-07-30,276.86,282.11,275.36,281.98
2021-08-06,275.95,288.45,262.8,268.48
2021-08-13,268.63,271.86,260.15,262.95
2021-08-20,261.67,272.15,255.45,257.8
2021-08-27,259.83,279.34,258.69,275.51
2021-09-03,275.77,275.77,260.23,260.89
2021-09-10,260.35,264.74,254.12,255.03
2021-09-17,258.56,264.835,255.14,258.61
2021-09-24,251.97,264.6,250.1,258.82
2021-10-01,259.96,267.13,250.44,262.67
2021-10-08,261.33,269.22,255.68,261.93
2021-10-15,262.47,272.63,253.98,268.93
2021-10-22,265.65,273.525,264.62,270.23
2021-10-29,269.87,278.98,267.23,267.57
2021-11-05,268.32,301.58,266.95,296.73
2021-11-12,299.82,306.35,296.31,306.01
2021-11-19,306.75,306.99,299.63,301.76
2021-11-26,302.95,304.34,279.04,281.65
2021-12-03,285.57,286.57,265.07,277.41
2021-12-10,281.85,294.75,279.123,290.94
2021-12-17,292.01,292.51,274.15,274.62
2021-12-23,269.6,285.21,261.78,283.9
2021-12-31,284.56,291.97,283.87,290.13
2022-01-07,290.42,300.24,286.14,295.75
2022-01-14,292.74,302.51,283.998,298.94
2022-01-21,295.63,302.21,280.82,285.49
2022-01-28,278.81,294.4,269.72,280.57
2022-02-04,278.25,312.01,269.94,274.98
2022-02-11,275.01,287.03,271.018,273.57
2022-02-18,273.92,284.14,270.08,273.07
2022-02-25,272.98,275.25,253.39,271.03
2022-03-04,266.32,273.26,255.63,256.89
2022-03-11,256.04,259.24,241.55,244.02
2022-03-18,247.66,263.74,244.06,263.43
2022-03-25,261.76,266.18,259.12,263.47
2022-04-01,262.48,272.605,253.0,255.24
2022-04-08,254.54,258.085,239.98,247.1
2022-04-14,246.94,250.98,242.13,246.91
2022-04-22,245.72,268.029,242.57,250.11
2022-04-29,247.62,253.85,241.27,243.86
2022-05-06,243.27,264.28,233.27,244.58
2022-05-13,239.84,249.05,228.22,239.72
2022-05-20,237.66,248.64,227.7,233.14
2022-05-27,237.1,247.755,228.43,247.09
2022-06-03,244.58,253.65,242.39,251.21
2022-06-10,253.06,258.46,237.85,237.98
2022-06-17,226.58,232.93,204.81,210.74
2022-06-24,214.55,227.87,209.87,227.47
2022-07-01,228.92,231.29,215.15,223.43
2022-07-08,218.92,225.55,213.29,222.41
2022-07-15,221.39,228.376,213.0,222.73
2022-07-22,225.67,244.73,221.04,242.24
2022-07-29,242.12,264.465,240.024,263.46
2022-08-05,260.04,271.36,258.46,267.19
2022-08-12,269.93,282.57,262.673,282.37
2022-08-19,279.44,282.13,268.72,270.13
2022-08-26,264.92,267.42,251.765,251.9
2022-09-02,249.54,253.4,237.93,240.57
2022-09-09,241.46,255.86,238.3,254.69
2022-09-16,256.24,260.86,234.34,235.8
2022-09-23,234.3,241.79,216.98,220.32
2022-09-30,217.97,225.63,211.39,218.01
2022-10-07,222.04,241.19,219.98,229.89
2022-10-14,232.48,237.68,220.555,229.94
2022-10-21,240.42,246.96,234.591,245.09
2022-10-28,247.3,268.035,246.7,267.35
