日期,Open,High,Low,Close
2020-07-24,74.59,80.27,74.26,79.57
2020-07-31,79.22,86.39,78.08,85.08
2020-08-07,85.14,86.16,83.66,84.73
2020-08-14,84.97,85.3,79.74,81.98
2020-08-21,81.96,83.98,80.91,82.7
2020-08-28,82.19,82.34,79.96,82.15
2020-09-04,82.1,84.32,77.85,80.42
2020-09-11,79.73,81.26,77.97,79.87
2020-09-18,80.58,83.5,78.94,79.76
2020-09-25,78.36,80.23,75.0,77.91
2020-10-02,79.37,84.98,78.61,84.46
2020-10-09,85.24,89.35,83.67,87.15
2020-10-16,88.04,89.09,83.32,84.5
2020-10-23,85.36,85.48,82.51,83.48
2020-10-30,82.19,82.37,76.81,79.44
2020-11-06,80.96,87.87,80.6,85.13
2020-11-13,91.8,92.61,78.38,83.77
2020-11-20,84.7,84.92,78.86,80.51
2020-11-27,80.2,81.12,78.74,80.84
2020-12-04,80.71,82.15,76.83,78.9
2020-12-11,78.29,79.03,75.4,77.61
2020-12-18,78.14,81.58,76.86,78.89
2020-12-24,77.13,79.74,76.81,78.06
2020-12-31,78.71,80.62,78.1,80.48
2021-01-08,80.37,80.71,74.21,77.42
2021-01-15,76.79,78.55,73.9,78.5
2021-01-22,79.22,82.59,77.77,82.04
2021-01-29,82.21,87.77,81.64,84.02
2021-02-05,84.83,88.26,83.07,87.52
2021-02-12,87.57,89.91,86.73,88.49
2021-02-19,88.86,89.11,85.72,86.12
2021-02-26,85.32,86.69,79.83,79.89
2021-03-05,80.93,81.92,74.96,78.19
2021-03-12,78.16,82.11,76.74,82.11
2021-03-19,82.06,85.51,81.115,81.83
2021-03-26,82.1,88.41,81.49,88.23
2021-04-01,88.18,90.06,86.44,89.95
2021-04-09,90.45,91.77,89.215,90.96
2021-04-16,91.03,94.48,89.79,94.01
2021-04-23,93.45,97.305,92.14,96.32
2021-04-30,96.68,98.42,96.16,97.98
2021-05-07,98.29,98.38,93.92,97.47
2021-05-14,97.51,99.06,93.45,96.1
2021-05-21,96.2,99.45,94.84,98.98
2021-05-28,99.56,100.49,98.16,99.29
2021-06-04,99.905,104.18,98.96,103.84
2021-06-11,104.27,107.77,103.845,106.16
2021-06-18,106.38,108.0,101.5,101.65
2021-06-25,102.04,104.96,101.58,104.08
2021-07-02,104.55,104.78,101.23,103.11
2021-07-09,103.34,107.53,102.325,107.47
2021-07-16,107.92,110.84,107.12,109.36
2021-07-23,109.15,110.95,107.87,109.97
2021-07-30,109.52,111.57,109.098,110.12
2021-08-06,110.8,112.6,110.13,111.79
2021-08-13,111.85,114.16,110.51,114.06
2021-08-20,114.26,116.74,113.96,116.33
2021-08-27,116.23,116.78,111.748,113.39
2021-09-03,113.39,121.41,113.36,121.07
2021-09-10,120.29,121.68,115.6,115.71
2021-09-17,116.85,117.03,112.48,112.82
2021-09-24,111.67,113.55,110.17,110.61
2021-10-01,109.97,111.23,106.61,109.14
2021-10-08,108.54,113.79,107.21,111.24
