日期,Open,High,Low,Close
2011-07-29,2.3,2.63,2.02,2.35
2011-08-31,2.4,2.42,1.35,1.82
2011-09-30,1.83,2.18,1.62,1.82
2011-10-31,1.8,2.35,1.5,2.25
2011-11-30,2.23,2.71,1.92,2.22
2011-12-30,2.2,2.4,1.95,2.04
2012-01-31,2.06,2.09,1.8,1.94
2012-02-29,1.97,2.58,1.94,2.22
2012-03-30,2.22,2.27,1.26,1.31
2012-04-30,1.34,1.41,1.11,1.32
2012-05-31,1.3,1.33,1.12,1.15
2012-06-28,1.15,1.22,1.1,1.12
2012-07-31,1.16,1.25,1.1,1.2
2012-08-31,1.21,1.3,0.92,0.96
2012-09-28,0.93,0.97,0.76,0.82
2012-10-31,0.82,0.92,0.66,0.74
2012-11-30,0.75,0.81,0.58,0.61
2012-12-31,0.69,0.69,0.47,0.5
2013-01-31,0.5,0.76,0.44,0.45
2013-02-28,0.46,0.47,0.11,0.17
2013-03-28,0.17,0.31,0.14,0.21
2013-04-30,0.18,0.21,0.15,0.16
2013-05-31,0.16,0.47,0.15,0.38
2013-06-28,0.41,0.53,0.34,0.38
2013-07-31,0.4,0.48,0.26,0.43
2013-08-30,0.44,0.57,0.36,0.52
2013-09-30,0.53,0.8,0.52,0.74
2013-10-31,0.75,0.77,0.54,0.58
2013-11-29,0.6,0.74,0.45,0.73
2013-12-31,0.75,2.24,0.74,1.55
2014-01-31,2.06,4.9,1.89,3.02
2014-02-28,3.1,4.84,2.8,4.67
2014-03-31,4.6,11.72,4.5,7.1
2014-04-30,7.01,8.37,4.11,4.65
2014-05-30,4.67,4.98,3.62,4.35
2014-06-30,4.49,5.25,4.03,4.68
2014-07-31,4.7,6.33,4.14,5.42
2014-08-29,5.4,6.47,5.13,5.58
2014-09-30,5.58,5.64,4.0,4.59
2014-10-31,4.55,4.75,4.15,4.7
2014-11-28,4.82,5.48,3.6,3.82
2014-12-31,3.75,4.02,2.6,3.0
2015-01-30,2.97,3.3,2.48,2.67
2015-02-27,2.67,3.38,2.62,3.07
2015-03-31,3.06,3.14,2.42,2.59
2015-04-30,2.57,2.82,2.47,2.54
2015-05-29,2.54,2.8,2.32,2.71
2015-06-30,2.72,2.85,2.41,2.45
2015-07-31,2.46,2.62,2.17,2.59
2015-08-31,2.68,2.85,1.55,1.7
2015-09-30,1.66,2.33,1.64,1.84
2015-10-30,1.86,2.56,1.8,2.41
2015-11-30,2.42,2.98,1.76,2.2
2015-12-31,2.22,2.35,1.92,2.1
2016-01-29,2.0,2.11,1.3,1.87
2016-02-29,1.9,2.13,1.55,2.08
2016-03-31,2.1,2.25,1.9,2.05
2016-04-29,2.05,2.28,1.98,2.06
2016-05-31,2.04,2.08,1.65,1.92
2016-06-30,1.91,2.04,1.66,1.86
2016-07-29,1.86,1.95,1.66,1.79
2016-08-31,1.8,1.84,1.51,1.55
2016-09-30,1.55,1.75,1.34,1.71
2016-10-31,1.7,1.76,1.49,1.53
2016-11-30,1.51,1.58,1.18,1.36
2016-12-30,1.37,1.6,1.18,1.2
2017-01-31,1.2,1.32,1.02,1.06
2017-02-28,1.06,1.31,0.83,1.08
2017-03-31,1.09,1.52,0.92,1.38
2017-04-28,1.37,2.7,1.25,2.24
2017-05-31,2.26,2.35,1.72,1.86
2017-06-30,1.86,2.39,1.81,2.04
2017-07-31,2.03,2.52,2.0,2.26
2017-08-31,2.27,2.42,1.98,2.14
2017-09-29,2.14,2.82,2.09,2.61
2017-10-31,2.61,3.07,2.43,2.85
