日期,Open,High,Low,Close
2020-07-24,65.9,72.77,65.45,70.74
2020-07-31,69.65,73.2,67.74,70.57
2020-08-07,70.44,73.93,68.73,73.6
2020-08-14,74.05,79.19,73.28,75.65
2020-08-21,74.3,74.95,68.31,70.35
2020-08-28,70.79,77.38,70.4,76.25
2020-09-04,75.94,80.57,73.44,77.0
2020-09-11,75.51,76.01,72.09,74.65
2020-09-18,75.4,79.03,74.57,75.66
2020-09-25,72.82,74.47,65.48,68.8
2020-10-02,70.72,76.9,69.06,76.06
2020-10-09,77.37,81.12,76.4,79.38
2020-10-16,79.41,80.73,72.6,76.53
2020-10-23,76.96,81.57,74.81,79.86
2020-10-30,78.41,78.45,71.9,76.93
2020-11-06,78.54,85.13,77.24,79.73
2020-11-13,90.61,94.61,83.84,87.83
2020-11-20,90.82,96.36,88.32,93.95
2020-11-27,97.27,106.87,95.71,104.84
2020-12-04,103.33,108.55,102.82,107.58
2020-12-11,106.49,109.2,104.35,108.71
2020-12-18,110.42,110.74,106.08,109.96
2020-12-24,111.1,112.72,107.55,111.2
2020-12-31,112.07,114.36,109.69,114.05
2021-01-08,114.73,127.79,111.1,123.24
2021-01-15,122.25,127.7,120.51,120.98
2021-01-22,121.96,122.72,117.53,118.77
2021-01-29,116.56,117.89,107.8,109.72
2021-02-05,110.94,124.7,109.89,123.14
2021-02-12,123.01,128.7,122.82,128.47
2021-02-19,129.72,137.42,128.95,136.61
2021-02-26,136.18,147.05,134.48,134.56
2021-03-05,137.57,144.01,135.28,142.66
2021-03-12,143.94,147.73,138.24,147.61
2021-03-19,146.99,150.53,139.94,141.99
2021-03-26,138.91,146.51,134.64,145.88
2021-04-01,143.02,145.265,139.4,143.61
2021-04-09,145.73,146.564,140.7,146.41
2021-04-16,146.83,147.6,139.47,146.21
2021-04-23,146.7,148.13,137.49,145.39
2021-04-30,146.62,156.775,146.35,154.3
2021-05-07,156.02,166.54,153.43,166.26
2021-05-14,170.36,171.228,156.99,166.73
2021-05-21,165.59,167.496,156.03,160.83
2021-05-28,161.79,163.45,157.8,162.03
2021-06-04,165.12,165.73,160.661,161.35
2021-06-11,162.12,162.12,155.14,156.55
2021-06-18,156.27,159.39,145.035,145.68
2021-06-25,147.79,161.005,147.091,160.71
2021-07-02,159.76,161.84,156.82,160.14
2021-07-09,158.17,159.79,149.03,157.02
2021-07-16,155.03,160.38,151.405,152.03
2021-07-23,147.8,154.85,145.03,151.62
2021-07-30,152.25,155.0,149.47,151.01
2021-08-06,152.13,160.63,149.03,158.87
2021-08-13,158.19,163.93,156.8,158.98
2021-08-20,157.56,158.39,151.64,154.42
2021-08-27,155.6,163.34,155.425,163.11
2021-09-03,163.6,163.6,156.78,160.12
2021-09-10,161.0,163.33,159.02,160.26
2021-09-17,162.44,164.66,154.62,157.52
2021-09-24,152.33,164.85,150.28,163.1
