日期,Open,High,Low,Close
2015-07-31,41.04,42.13,35.8,38.31
2015-08-31,38.83,39.49,29.58,34.58
2015-09-30,33.73,35.04,29.88,30.61
2015-10-30,30.4,36.23,30.33,35.61
2015-11-30,35.16,38.1,34.08,34.91
2015-12-31,34.99,37.26,33.43,35.78
2016-01-29,34.71,35.84,30.1,35.72
2016-02-29,35.23,38.51,31.22,37.72
2016-03-31,38.1,41.33,36.58,38.18
2016-04-29,38.09,41.07,36.92,38.76
2016-05-31,38.65,39.89,36.89,37.37
2016-06-30,37.39,38.26,33.81,36.09
2016-07-29,36.18,40.03,35.29,36.82
2016-08-31,37.01,38.23,35.86,36.73
2016-09-30,36.85,40.88,35.88,40.55
2016-10-31,40.45,44.1,38.33,41.24
2016-11-30,41.26,41.87,38.03,38.86
2016-12-30,39.14,40.32,37.64,39.05
2017-01-31,39.87,42.08,39.0,39.36
2017-02-28,39.54,42.65,38.6,41.58
2017-03-31,41.89,43.38,41.32,42.6
2017-04-28,42.78,47.68,41.64,47.3
2017-05-31,46.97,51.82,46.9,51.79
2017-06-30,52.06,54.72,50.41,53.25
2017-07-31,53.72,60.88,52.41,58.13
2017-08-31,58.58,61.61,57.16,61.26
2017-09-29,61.56,64.82,60.16,63.61
2017-10-31,64.08,72.32,63.27,72.14
2017-11-30,72.36,78.97,71.25,75.31
2017-12-29,74.8,76.02,68.19,73.2
2018-01-31,73.81,85.9,73.01,84.9
2018-02-28,79.53,81.75,71.21,78.99
2018-03-29,79.18,83.57,74.13,75.45
2018-04-30,74.81,80.47,72.1,74.19
2018-05-31,73.73,82.64,69.8,81.65
2018-06-29,82.13,87.13,79.74,82.85
2018-07-31,82.33,91.93,80.88,81.72
2018-08-31,81.82,92.59,81.59,91.91
2018-09-28,91.52,93.28,86.97,87.42
2018-10-31,87.71,88.38,74.24,83.77
2018-11-30,83.76,88.64,75.05,85.39
2018-12-31,86.87,88.42,76.28,83.67
2019-01-31,81.96,94.16,81.49,88.34
2019-02-28,87.94,98.11,87.83,97.65
2019-03-29,98.5,104.28,94.09,103.42
2019-04-30,104.57,112.8,102.23,112.35
2019-05-31,112.79,114.24,106.1,109.33
2019-06-28,110.67,119.53,103.54,114.04
2019-07-31,116.3,121.06,108.35,109.98
2019-08-30,110.03,112.03,101.79,108.63
2019-09-30,107.5,111.25,100.68,103.17
2019-10-31,103.58,108.04,94.35,103.68
2019-11-29,104.28,107.97,99.18,107.59
2019-12-31,107.54,109.76,102.84,107.75
2020-01-31,109.05,119.18,107.02,113.47
2020-02-28,113.88,124.03,103.3,107.57
2020-03-31,107.04,114.97,81.65,95.32
2020-04-30,92.3,123.61,89.46,122.58
2020-05-29,119.43,154.91,119.01,154.59
2020-06-30,154.48,174.98,149.58,173.81
2020-07-31,174.21,198.24,163.91,195.65
2020-08-31,197.83,206.58,186.1,203.72
2020-09-30,205.17,212.03,171.21,196.61
2020-10-30,198.84,215.41,182.5,185.71
2020-11-30,188.59,215.65,174.39,213.7
2020-12-31,216.73,243.83,206.23,233.78
2021-01-29,237.38,253.97,224.58,233.89
2021-02-26,237.95,308.72,234.98,259.43
2021-03-31,268.475,277.08,222.67,242.42
2021-04-30,247.62,277.44,245.28,261.87
2021-05-28,264.64,265.38,233.19,259.6
2021-06-30,260.66,295.59,255.73,291.06
2021-07-30,289.91,309.74,273.79,275.11
2021-08-31,276.465,292.23,266.183,288.24
2021-09-30,289.68,296.28,256.47,259.79
2021-10-29,261.035,273.09,231.29,232.17
2021-11-30,232.28,233.13,180.08,184.47
2021-12-31,187.35,197.27,178.73,188.16
2022-01-31,190.99,195.68,151.66,171.52
2022-02-28,172.35,175.78,94.08,111.51
2022-03-31,112.31,122.39,91.83,115.23
2022-04-29,115.58,122.498,81.7,87.51
2022-05-31,87.13,92.43,71.411,84.79
2022-06-30,85.05,88.9,67.16,69.42
2022-07-29,69.42,87.2,68.09,86.11
2022-08-31,86.63,102.61,84.85,93.02
2022-09-30,91.832,98.88,83.71,85.65
2022-10-31,87.11,95.15,78.93,83.16
2022-11-30,84.58,92.2,70.748,77.99
2022-12-30,78.69,80.326,65.965,70.8
2023-01-31,73.27,82.115,72.96,81.07
2023-02-28,80.92,88.205,72.56,73.18
2023-03-31,73.21,78.845,70.666,75.52
2023-04-28,75.205,77.53,70.61,75.58
2023-05-31,75.61,76.08,58.53,61.57
2023-06-30,61.99,68.78,61.41,66.31
2023-07-31,66.7,76.12,65.21,75.4
2023-08-31,75.77,75.86,56.87,62.09
2023-09-29,62.71,65.31,56.11,58.04
2023-10-31,58.2,59.22,49.83,51.38
2023-11-30,51.49,59.78,50.675,57.19
2023-12-29,57.21,63.71,56.9,60.99
2024-01-31,60.8,67.79,56.051,60.93
2024-02-29,61.09,64.48,55.35,59.92
2024-03-28,60.11,67.79,57.45,66.57
2024-04-30,66.58,70.242,61.305,67.5
2024-05-31,66.58,67.47,60.43,62.57
2024-06-28,62.62,67.879,56.79,57.61
2024-07-31,57.94,66.57,56.55,65.36
2024-08-30,65.36,73.51,58.23,72.01
2024-09-30,71.335,80.21,66.73,77.61
2024-10-31,77.79,83.28,75.62,78.88
2024-11-29,77.445,88.32,76.04,86.35
2024-12-31,86.13,93.24,84.08,84.93
2025-01-31,85.415,92.825,81.37,88.16
2025-02-28,86.08,89.29,69.262,70.63
2025-03-31,70.68,71.29,62.98,64.83
2025-04-30,64.2,67.15,55.43,65.42
2025-05-30,65.2,73.73,64.43,69.86
2025-06-30,68.855,74.887,67.1,73.9
2025-07-31,73.53,79.08,68.04,68.34
2025-08-29,67.58,70.31,66.15,69.77
2025-09-30,68.5,70.84,64.815,66.64
2025-10-31,66.48,78.795,65.0,68.85
2025-11-28,69.105,69.93,57.72,62.41
2025-12-31,61.77,63.65,58.06,58.1
2026-01-30,58.39,59.855,51.78,52.41
2026-02-27,52.22,53.16,38.18,45.93
2026-03-31,44.54,47.775,43.19,45.09
2026-04-30,45.15,52.16,43.535,50.0
2026-05-29,50.43,50.92,42.79,44.61
2026-06-30,44.39,45.845,40.2,43.18
2026-07-22,43.86,57.67,43.56,55.51
