日期,Open,High,Low,Close
2015-01-30,71.23,78.05,63.02,73.87
2015-02-27,73.08,74.0,63.17,69.4
2015-03-31,69.39,85.62,68.35,79.7
2015-04-30,78.53,79.3,65.44,65.91
2015-05-29,66.8,86.75,66.02,82.1
2015-06-30,82.5,88.35,77.6,80.27
2015-07-31,81.25,82.25,57.1,57.99
2015-08-31,57.52,59.68,45.0,55.51
2015-09-30,53.89,59.45,42.73,45.04
2015-10-30,44.46,51.62,42.24,43.92
2015-11-30,44.13,58.43,43.96,58.08
2015-12-31,58.31,60.0,49.48,50.9
2016-01-29,49.68,50.97,35.16,39.6
2016-02-29,39.45,46.64,33.3,45.08
2016-03-31,45.52,51.95,45.5,50.41
2016-04-29,50.15,51.27,43.97,45.03
2016-05-31,45.07,51.56,43.79,50.97
2016-06-30,50.65,58.3,50.5,55.26
2016-07-29,54.4,64.8,50.45,63.23
2016-08-31,63.5,64.48,52.46,57.43
2016-09-30,57.46,58.33,51.19,55.74
2016-10-31,55.4,57.49,52.6,55.65
2016-11-30,55.66,57.68,48.28,53.41
2016-12-30,53.41,59.12,49.53,52.73
2017-01-31,53.18,64.51,52.12,64.21
2017-02-28,65.15,68.66,61.12,66.1
2017-03-31,66.5,69.71,64.79,68.56
2017-04-28,68.56,72.42,67.06,68.03
2017-05-31,68.26,79.33,65.39,77.95
2017-06-30,78.07,79.11,63.03,63.32
2017-07-31,63.49,70.27,62.68,68.56
2017-08-31,68.67,73.66,64.7,73.22
2017-09-29,73.39,76.47,67.7,70.68
2017-10-31,70.84,77.06,69.12,75.81
2017-11-30,76.16,81.2,71.19,76.58
2017-12-29,76.09,76.3,64.53,66.6
2018-01-31,67.06,75.08,65.56,71.77
2018-02-28,79.32,85.24,74.11,80.71
2018-03-29,80.83,86.84,68.13,70.45
2018-04-30,70.07,73.83,66.3,67.4
2018-05-31,68.65,83.42,68.34,80.25
2018-06-29,80.63,86.5,78.42,80.17
2018-07-31,79.75,85.24,77.0,81.76
2018-08-31,82.66,86.5,78.12,80.09
2018-09-28,79.88,80.84,71.54,76.89
2018-10-31,77.19,78.69,68.0,73.51
2018-11-30,75.04,78.89,61.0,65.81
2018-12-31,67.68,68.53,56.33,60.73
2019-01-31,59.62,66.3,54.74,65.36
2019-02-28,65.47,70.69,59.56,70.14
