日期,Open,High,Low,Close
2023-07-24,70.54,70.76,69.42,69.61
2023-07-25,69.4,69.65,68.89,69.29
2023-07-26,69.1,69.92,68.48,69.7
2023-07-27,69.87,70.27,69.393,69.49
2023-07-28,69.77,70.2,69.37,69.71
2023-07-31,69.71,69.919,69.23,69.36
2023-08-01,68.7,69.13,67.85,68.13
2023-08-02,67.81,68.09,66.85,66.97
2023-08-03,66.62,66.83,65.2,65.62
2023-08-04,65.81,67.04,65.66,66.26
2023-08-07,66.5,67.46,66.5,67.35
2023-08-08,67.59,69.5,66.85,67.09
2023-08-09,67.65,67.65,65.26,66.09
2023-08-10,66.22,67.07,65.88,66.11
2023-08-11,65.93,66.37,65.575,65.77
2023-08-14,65.6,65.75,65.05,65.28
2023-08-15,64.94,65.17,63.72,63.77
2023-08-16,63.57,63.943,63.18,63.41
2023-08-17,63.51,63.8,62.34,62.38
2023-08-18,62.17,62.305,61.283,61.49
2023-08-21,61.92,62.368,61.626,62.14
2023-08-22,62.49,62.76,61.78,61.86
2023-08-23,61.88,62.72,61.8,62.37
2023-08-24,62.29,62.3,61.06,61.08
2023-08-25,61.36,61.44,60.65,60.69
2023-08-28,60.71,61.24,60.37,60.49
2023-08-29,60.34,61.5,60.32,61.48
2023-08-30,61.43,62.39,61.43,61.97
2023-08-31,62.11,63.19,62.03,62.25
2023-09-01,63.37,63.56,62.41,62.7
2023-09-05,62.8,62.98,61.12,61.39
2023-09-06,61.15,61.355,59.435,59.73
2023-09-07,59.74,60.36,59.42,60.22
2023-09-08,60.23,60.975,60.22,60.47
2023-09-11,60.6,60.7,59.1,59.68
2023-09-12,59.25,60.13,58.99,59.6
2023-09-13,59.89,60.91,59.88,60.39
2023-09-14,60.42,62.19,60.22,61.83
2023-09-15,61.47,62.16,61.18,61.38
2023-09-18,61.64,62.78,61.54,62.65
2023-09-19,62.43,62.94,61.2,61.89
2023-09-20,62.02,63.08,62.01,62.37
2023-09-21,62.11,62.13,60.45,60.46
2023-09-22,60.67,61.5,60.53,61.17
2023-09-25,60.84,61.18,60.62,60.63
2023-09-26,60.22,60.48,59.21,59.53
2023-09-27,59.59,59.885,58.505,59.27
2023-09-28,59.25,60.22,58.56,60.08
2023-09-29,61.43,61.7,59.91,59.97
2023-10-02,59.68,60.005,58.26,58.37
2023-10-03,57.77,58.2,56.45,57.02
2023-10-04,57.27,57.82,56.88,57.42
2023-10-05,57.47,58.28,57.25,57.69
2023-10-06,57.49,57.89,55.12,56.33
2023-10-09,55.59,56.45,55.26,56.15
2023-10-10,56.61,57.915,56.26,57.2
2023-10-11,57.33,57.94,57.175,57.86
2023-10-12,57.9,58.11,55.91,56.24
2023-10-13,56.06,56.6,55.57,56.02
2023-10-16,56.2,56.783,55.998,56.73
2023-10-17,56.42,57.95,56.115,57.59
2023-10-18,57.48,58.015,56.95,57.66
2023-10-19,58.1,59.6,57.7,59.33
2023-10-20,59.26,60.42,58.81,58.83
2023-10-23,58.59,59.99,58.26,59.01
2023-10-24,59.49,60.69,59.11,60.36
2023-10-25,60.29,61.51,60.29,60.63
2023-10-26,60.66,61.01,59.735,59.79
2023-10-27,59.79,60.09,58.32,59.23
2023-10-30,59.99,60.45,58.8,59.77
2023-10-31,59.92,61.1,59.78,60.55
2023-11-01,60.425,61.19,59.96,60.41
2023-11-02,61.44,62.76,61.12,62.44
2023-11-03,59.8,61.87,58.86,61.15
2023-11-06,61.04,61.04,59.1,60.36
2023-11-07,60.38,61.79,60.24,61.73
2023-11-08,62.1,62.15,60.96,61.52
2023-11-09,61.82,62.38,61.404,61.95
2023-11-10,61.83,62.14,61.02,62.09
2023-11-13,62.07,62.54,61.67,61.93
2023-11-14,62.42,63.78,62.42,63.54
2023-11-15,63.68,63.9,63.08,63.74
2023-11-16,63.62,64.37,63.25,64.16
2023-11-17,64.68,64.8,64.22,64.47
2023-11-20,64.2,64.47,63.69,64.38
2023-11-21,64.64,64.85,62.98,63.55
2023-11-22,63.99,64.205,63.445,63.72
2023-11-24,63.25,64.06,62.06,62.72
2023-11-27,62.49,63.96,62.38,63.71
2023-11-28,63.8,63.935,63.28,63.56
2023-11-29,63.58,63.63,62.63,63.01
2023-11-30,64.23,64.72,63.11,64.43
