日期,Open,High,Low,Close
2021-07-30,6.6,10.43,6.21,9.34
2021-08-31,9.47,9.47,6.13,7.56
2021-09-30,7.5,7.64,5.601,6.225
2021-10-29,6.25,6.89,5.03,6.25
2021-11-30,6.21,8.9,5.19,5.3
2021-12-31,5.354,5.55,3.24,3.41
2022-01-31,3.48,3.75,2.05,2.69
2022-02-28,2.73,3.075,2.3,2.74
2022-03-31,2.79,3.09,1.933,2.6
2022-04-29,2.6,2.75,1.47,1.53
2022-05-31,1.54,2.45,1.42,2.27
2022-06-30,2.26,4.4,2.13,2.38
2022-07-29,2.4,3.44,2.27,3.07
2022-08-31,3.11,4.3,2.794,2.96
2022-09-30,2.92,3.08,2.11,2.51
2022-10-31,2.5,2.67,1.836,2.23
2022-11-30,2.22,2.45,1.98,2.21
2022-12-30,2.24,2.32,1.43,1.51
2023-01-31,1.57,1.97,1.5,1.76
2023-02-28,1.85,3.49,1.427,1.44
2023-03-31,1.44,1.58,1.15,1.31
2023-04-28,1.36,1.58,1.13,1.15
2023-05-31,1.17,1.65,1.04,1.17
2023-06-30,1.19,1.81,1.17,1.18
2023-07-31,1.21,1.49,1.15,1.42
2023-08-31,1.59,1.63,1.06,1.18
2023-09-29,1.2,1.37,1.06,1.08
2023-10-31,1.08,1.09,0.634,0.727
2023-11-30,0.757,0.975,0.67,0.891
2023-12-29,0.88,1.0,0.76,0.913
2024-01-31,0.929,0.96,0.75,0.811
2024-02-29,0.82,0.96,0.712,0.831
2024-03-28,0.865,1.32,0.79,0.99
2024-04-30,1.03,1.03,0.68,0.768
2024-05-31,0.763,0.89,0.7,0.724
2024-06-28,0.729,0.73,0.502,0.502
2024-07-31,0.513,0.82,0.355,0.682
2024-08-30,0.691,0.709,0.53,0.647
2024-09-30,0.628,0.75,0.581,0.653
2024-10-31,0.652,1.65,0.639,1.12
2024-11-29,1.11,9.2,1.03,7.06
2024-12-31,7.33,27.15,5.15,16.55
2025-01-31,16.69,20.36,6.41,10.38
2025-02-28,9.75,10.55,5.86,6.065
2025-03-31,6.14,9.3,4.373,8.0
2025-04-30,8.2,8.4,5.76,6.74
2025-05-30,7.03,14.68,6.83,11.325
2025-06-30,11.31,21.735,10.85,19.17
2025-07-31,18.73,21.88,14.625,14.84
2025-08-29,14.2,17.24,13.721,15.78
2025-09-30,15.25,23.98,14.202,18.41
2025-10-31,18.34,25.84,13.88,16.71
2025-11-28,16.64,16.68,9.5,11.7
2025-12-31,11.32,13.64,10.13,10.26
2026-01-30,10.55,13.307,9.0,9.27
2026-02-27,9.27,9.725,7.63,8.41
2026-03-31,8.09,8.61,6.18,6.85
2026-04-30,6.965,10.17,6.34,9.02
2026-05-29,9.01,14.45,8.84,11.96
2026-06-30,11.67,13.0,8.83,9.7
2026-07-22,9.69,10.02,7.41,7.91
