日期,Open,High,Low,Close
2021-03-31,64.5,79.1,60.5,64.83
2021-04-30,66.8,83.41,65.9,74.55
2021-05-28,74.86,98.95,63.83,93.77
2021-06-30,94.77,103.866,78.56,89.98
2021-07-30,89.89,89.99,71.96,76.98
2021-08-31,77.0,90.95,73.46,82.05
2021-09-30,81.05,90.43,74.05,75.55
2021-10-29,75.99,86.15,69.77,84.02
2021-11-30,83.95,141.6,76.83,126.1
2021-12-31,128.14,130.74,93.27,103.16
2022-01-31,101.91,103.79,53.63,65.86
2022-02-28,66.31,73.71,43.1,51.57
2022-03-31,51.84,53.0,36.044,46.24
2022-04-29,46.97,50.72,29.52,30.65
2022-05-31,30.28,36.43,21.65,29.94
2022-06-30,29.84,37.48,23.88,32.86
2022-07-29,34.06,44.5,33.9,42.93
2022-08-31,42.37,53.88,37.79,39.11
2022-09-30,38.58,47.05,33.565,35.84
2022-10-31,34.89,47.67,33.2,44.74
2022-11-30,45.51,46.94,29.46,31.77
2022-12-30,32.13,35.37,25.32,28.46
2023-01-31,28.91,38.3,27.24,37.21
2023-02-28,37.08,46.05,33.68,36.64
2023-03-31,37.27,45.49,36.51,44.98
2023-04-28,44.45,47.65,34.52,35.6
2023-05-31,35.51,42.68,33.703,41.86
2023-06-30,41.62,42.99,37.19,40.3
2023-07-31,40.32,46.25,37.61,39.25
2023-08-31,38.9,39.49,26.241,28.29
2023-09-29,28.62,29.575,24.88,28.96
2023-10-31,28.97,33.19,27.9,31.81
2023-11-30,31.83,42.2,31.32,39.31
2023-12-29,39.13,47.2,38.99,45.72
2024-01-31,44.65,44.96,37.755,38.81
2024-02-29,39.12,47.11,38.57,39.9
2024-03-28,39.92,42.655,35.85,38.18
2024-04-30,37.99,40.8,33.71,35.56
2024-05-31,35.66,41.04,29.55,33.62
2024-06-28,34.0,37.79,33.88,37.21
2024-07-31,37.11,42.04,36.37,41.52
2024-08-30,40.09,44.85,35.3,43.99
2024-09-30,43.88,48.43,42.325,44.26
2024-10-31,44.38,52.65,37.5,51.72
2024-11-29,51.11,55.1,47.95,50.13
2024-12-31,50.99,61.77,50.94,57.86
2025-01-31,58.5,71.89,57.02,71.07
2025-02-28,69.63,75.74,58.51,63.64
2025-03-31,64.4,65.17,52.3,58.29
2025-04-30,62.23,67.1,50.1,67.05
2025-05-30,70.11,87.16,66.5,86.98
2025-06-30,87.2,106.17,87.18,105.2
2025-07-31,104.61,150.59,100.0,137.79
2025-08-29,132.41,135.08,112.0,124.59
2025-09-30,121.21,142.0,119.16,138.52
2025-10-31,136.135,141.95,111.2,113.72
2025-11-28,112.935,113.6,87.08,95.03
2025-12-31,93.01,99.98,80.3,81.03
2026-01-30,81.45,91.09,64.54,65.76
2026-02-27,67.02,76.58,59.7,68.66
2026-03-31,66.5,69.91,51.23,56.56
2026-04-30,57.065,64.42,52.62,55.26
2026-05-29,42.38,48.53,40.15,47.15
2026-06-30,47.76,55.99,40.68,54.38
2026-07-22,55.46,58.43,49.61,49.64
