日期,Open,High,Low,Close
2024-03-05,138.89,139.63,138.1,139.46
2024-03-06,140.59,141.47,139.32,139.66
2024-03-07,139.94,139.94,136.2,137.75
2024-03-08,138.32,138.93,136.938,137.87
2024-03-11,137.51,138.455,136.39,137.03
2024-03-12,136.59,138.51,135.54,138.06
2024-03-13,137.84,140.31,137.395,139.85
2024-03-14,140.34,140.34,138.17,139.48
2024-03-15,138.99,140.7,138.63,138.94
2024-03-18,114.84,127.685,113.986,124.7
2024-03-19,124.99,126.635,121.93,123.02
2024-03-20,123.68,124.84,122.795,123.3
2024-03-21,123.3,124.14,122.42,124.09
2024-03-22,124.44,124.49,122.615,122.81
2024-03-25,123.07,124.18,122.76,123.55
2024-03-26,123.63,124.54,123.52,123.75
2024-03-27,124.67,126.506,124.67,126.38
2024-03-28,126.38,127.694,126.31,126.69
2024-04-01,126.54,127.08,125.46,126.61
2024-04-02,126.37,127.55,124.54,124.685
2024-04-03,124.7,126.45,124.19,125.73
2024-04-04,126.29,127.47,125.33,125.77
2024-04-05,125.44,127.03,125.37,125.96
2024-04-08,125.49,126.785,125.46,126.47
2024-04-09,126.41,126.41,123.75,123.95
2024-04-10,123.3,123.67,121.96,122.64
2024-04-11,122.94,124.11,122.2,123.03
2024-04-12,122.31,123.35,119.8,120.25
2024-04-15,120.88,121.47,117.55,117.83
2024-04-16,119.77,121.305,119.38,120.71
2024-04-17,121.73,122.28,120.605,121.35
2024-04-18,121.79,121.83,119.635,119.85
2024-04-19,119.57,122.54,119.57,121.61
2024-04-22,121.87,122.64,120.469,121.8
2024-04-23,122.04,125.06,122.04,124.75
2024-04-24,124.59,125.51,123.62,125.14
2024-04-25,124.61,126.79,124.295,125.79
2024-04-26,125.76,127.26,125.18,126.14
2024-04-29,126.24,128.49,126.24,126.79
2024-04-30,126.47,126.941,125.14,125.37
2024-05-01,125.7,127.05,124.795,125.63
2024-05-02,126.47,127.32,125.45,126.51
2024-05-03,127.34,128.3,126.65,128.22
2024-05-06,128.74,130.57,128.56,130.49
2024-05-07,130.67,132.33,130.124,131.34
2024-05-08,131.34,132.158,129.44,130.37
2024-05-09,131.25,132.49,130.44,132.42
2024-05-10,132.92,133.045,131.13,131.76
2024-05-13,132.17,132.915,130.94,131.05
2024-05-14,131.19,131.84,130.44,131.67
2024-05-15,132.46,133.18,132.05,132.49
2024-05-16,132.44,133.82,132.05,133.35
2024-05-17,133.29,133.715,131.61,133.42
2024-05-20,133.58,134.52,132.66,133.87
2024-05-21,134.0,134.31,133.31,134.11
2024-05-22,133.63,134.07,132.735,133.96
2024-05-23,134.53,134.67,133.25,133.38
2024-05-24,134.19,134.945,133.515,134.3
2024-05-28,134.43,134.43,131.48,131.74
2024-05-29,131.09,131.705,128.63,129.36
2024-05-30,129.76,130.475,129.27,129.77
2024-05-31,130.45,131.42,129.65,131.32
2024-06-03,126.68,128.62,113.75,115.475
2024-06-04,112.5,116.14,112.35,113.89
2024-06-05,113.72,115.515,113.03,114.76
2024-06-06,114.37,116.05,112.56,113.47
2024-06-07,112.83,113.66,111.84,112.37
2024-06-10,111.52,113.185,111.494,112.3
2024-06-11,113.43,113.84,112.485,113.61
2024-06-12,114.54,115.11,113.265,113.41
2024-06-13,112.92,113.53,111.38,111.73
2024-06-14,110.26,111.42,108.67,110.17
2024-06-17,109.44,111.79,109.02,111.74
2024-06-18,111.37,112.28,111.03,111.88
2024-06-20,111.6,113.353,111.34,112.66
2024-06-21,113.07,114.02,112.22,113.98
2024-06-24,114.13,115.11,113.68,113.76
2024-06-25,113.76,114.92,112.48,114.3
2024-06-26,113.67,115.27,113.21,114.69
2024-06-27,115.49,115.49,113.5,113.83
2024-06-28,114.67,115.333,113.42,114.22
2024-07-01,114.48,114.66,112.41,112.44
2024-07-02,112.6,113.23,112.36,113.13
2024-07-03,113.69,114.0,112.78,112.99
2024-07-05,113.2,113.24,110.35,110.92
2024-07-08,111.73,113.01,111.0,111.14
2024-07-09,111.09,111.09,109.9,110.07
2024-07-10,110.24,111.118,110.24,110.64
2024-07-11,111.85,113.18,111.425,113.06
2024-07-12,114.42,115.925,113.92,114.78
2024-07-15,114.72,117.175,114.72,115.41
2024-07-16,116.52,120.05,116.52,120.035
2024-07-17,119.8,121.235,119.8,120.77
2024-07-18,120.77,120.77,118.82,118.93
2024-07-19,119.26,119.88,117.8,117.94
2024-07-22,117.66,120.04,117.66,119.77
2024-07-23,119.77,121.41,119.42,120.86
2024-07-24,120.75,121.02,117.79,117.92
2024-07-25,118.66,120.55,118.111,119.71
2024-07-26,119.84,120.52,118.6,119.17
2024-07-29,119.66,121.2,119.04,120.47
2024-07-30,121.03,121.33,119.48,119.71
2024-07-31,120.36,123.24,119.955,121.44
2024-08-01,121.38,122.19,119.5,120.36
2024-08-02,118.62,120.26,117.82,120.07
2024-08-05,117.27,117.73,115.05,116.88
2024-08-06,116.88,119.055,115.975,117.14
2024-08-07,118.13,118.684,115.93,116.34
2024-08-08,117.27,119.04,116.645,118.68
2024-08-09,118.5,120.38,116.865,119.0
2024-08-12,119.26,120.35,118.73,119.52
2024-08-13,120.38,121.44,119.54,120.58
2024-08-14,120.56,121.51,120.39,121.0
2024-08-15,122.04,122.6,120.94,122.13
2024-08-16,121.87,123.17,121.8,122.09
2024-08-19,122.09,123.39,122.09,123.37
2024-08-20,123.03,123.58,122.1,122.23
2024-08-21,123.25,123.87,122.1,123.72
2024-08-22,124.27,124.86,123.73,123.9
2024-08-23,124.87,126.84,124.22,126.6
2024-08-26,127.01,127.92,125.31,125.76
2024-08-27,125.1,126.61,125.1,125.64
2024-08-28,125.47,126.86,124.57,125.48
2024-08-29,126.15,127.92,125.75,126.26
2024-08-30,126.41,127.75,126.24,127.63
2024-09-03,127.24,128.175,124.94,125.15
2024-09-04,125.58,126.39,124.825,126.25
2024-09-05,127.25,133.255,124.14,132.32
2024-09-06,131.95,133.2,129.93,130.19
2024-09-09,130.29,132.4,130.29,131.62
2024-09-10,131.71,132.23,130.76,131.99
2024-09-11,131.09,131.18,127.81,130.98
2024-09-12,131.02,132.17,130.09,131.98
2024-09-13,132.87,134.15,131.9,133.66
2024-09-16,134.31,135.74,133.895,134.67
2024-09-17,135.6,135.62,130.57,131.09
2024-09-18,131.16,133.95,130.04,131.55
2024-09-19,132.4,133.779,130.45,131.78
2024-09-20,131.65,133.055,130.51,132.52
2024-09-23,132.91,134.85,132.09,134.82
2024-09-24,134.79,134.79,133.28,134.49
2024-09-25,134.32,134.51,132.705,133.07
2024-09-26,132.87,134.057,132.11,133.66
2024-09-27,134.6,135.045,132.96,134.79
2024-09-30,134.93,136.53,134.395,136.31
2024-10-01,136.36,138.24,134.461,137.81
2024-10-02,140.18,140.968,138.64,140.35
2024-10-03,139.78,141.51,139.42,141.08
2024-10-04,141.55,143.01,140.5,142.68
2024-10-07,142.47,142.47,140.795,141.06
2024-10-08,141.0,141.405,140.18,140.2
2024-10-09,139.08,141.81,139.04,140.39
2024-10-10,140.23,140.54,138.79,139.78
2024-10-11,140.18,142.566,139.991,141.91
2024-10-14,142.16,143.83,142.15,143.49
2024-10-15,143.71,145.47,142.33,143.76
2024-10-16,143.42,145.49,143.42,144.6
2024-10-17,144.78,145.985,143.92,145.05
2024-10-18,144.82,145.28,143.96,145.105
2024-10-21,145.3,146.06,143.63,144.43
2024-10-22,144.13,144.13,142.31,142.97
2024-10-23,141.92,142.79,140.73,141.35
2024-10-24,141.57,143.22,141.19,141.46
2024-10-25,142.38,142.93,140.81,141.14
2024-10-28,141.75,142.615,141.405,142.24
2024-10-29,142.17,144.54,141.895,144.06
2024-10-30,143.24,145.435,143.24,143.74
2024-10-31,143.24,145.779,141.54,141.7
2024-11-01,141.82,143.83,141.82,142.08
2024-11-04,142.3,144.17,142.06,143.55
2024-11-05,143.47,146.35,142.86,146.31
2024-11-06,151.6,153.75,146.245,146.57
2024-11-07,146.51,148.005,145.955,146.35
2024-11-08,147.01,149.825,146.21,149.38
2024-11-11,149.89,152.468,149.89,151.51
2024-11-12,151.44,151.836,150.195,150.74
2024-11-13,150.9,152.5,145.31,145.42
2024-11-14,144.45,145.34,122.33,123.32
2024-11-15,122.91,123.39,115.44,119.81
2024-11-18,120.0,120.41,115.39,117.44
2024-11-19,117.65,118.91,115.54,116.91
2024-11-20,116.59,120.52,115.18,120.46
2024-11-21,120.82,124.39,120.27,122.19
2024-11-22,122.09,122.915,120.68,121.61
2024-11-25,122.36,122.576,118.4,119.63
2024-11-26,121.86,122.285,120.06,121.42
2024-11-27,121.49,121.57,119.82,120.7
2024-11-29,121.04,122.4,120.83,121.66
2024-12-02,121.14,122.32,119.71,121.77
2024-12-03,122.32,122.38,119.36,120.42
2024-12-04,119.84,122.0,119.38,121.32
2024-12-05,129.91,130.41,117.79,118.19
2024-12-06,118.62,118.625,114.46,115.47
2024-12-09,116.61,116.61,113.33,113.48
2024-12-10,113.66,114.6,111.6,113.37
2024-12-11,113.77,113.91,108.75,110.88
2024-12-12,110.95,112.38,109.42,110.92
2024-12-13,111.11,112.285,109.77,110.47
2024-12-16,110.0,112.14,110.0,112.03
2024-12-17,111.07,111.92,110.34,111.79
2024-12-18,111.87,112.36,108.015,108.53
2024-12-19,109.14,109.99,106.31,107.52
2024-12-20,107.33,109.58,107.28,108.83
2024-12-23,108.53,109.245,107.28,108.73
2024-12-24,108.77,108.9,108.05,108.67
2024-12-26,108.42,109.83,108.39,109.07
2024-12-27,108.24,109.83,107.665,108.55
2024-12-30,107.89,109.0,106.91,108.22
2024-12-31,108.87,109.21,108.12,109.19
2025-01-02,108.29,111.11,108.29,109.56
2025-01-03,109.21,111.77,109.21,111.59
2025-01-06,111.84,113.38,111.12,111.23
2025-01-07,110.75,112.43,110.162,111.36
2025-01-08,110.27,111.27,108.13,111.17
2025-01-10,111.08,115.26,110.63,113.92
2025-01-13,113.48,116.13,112.32,116.04
2025-01-14,115.47,115.89,113.08,114.43
2025-01-15,115.6,115.83,112.53,113.85
2025-01-16,113.83,115.21,113.275,114.44
2025-01-17,114.49,115.08,113.44,113.65
2025-01-21,114.17,117.85,113.81,117.6
2025-01-22,117.27,119.2,117.15,117.54
2025-01-23,117.66,117.94,108.15,108.35
2025-01-24,108.42,109.51,105.37,106.74
2025-01-27,107.06,109.86,106.78,108.27
2025-01-28,108.04,109.09,102.14,103.67
2025-01-29,103.67,105.23,103.23,104.4
2025-01-30,104.57,107.21,103.97,107.04
2025-01-31,106.27,107.01,102.695,106.06
2025-02-03,104.82,106.63,103.285,105.26
2025-02-04,105.08,106.58,104.4,105.67
2025-02-05,106.67,106.67,104.23,104.81
2025-02-06,104.59,104.87,101.68,103.94
2025-02-07,103.73,104.78,102.19,103.345
2025-02-10,103.71,104.7,102.92,103.42
2025-02-11,103.23,103.26,100.53,102.88
2025-02-12,101.99,103.92,101.39,101.71
2025-02-13,101.57,102.51,97.1,98.0
2025-02-14,98.13,100.47,97.77,98.71
2025-02-18,99.9,101.597,98.125,100.91
2025-02-19,99.59,102.78,99.59,101.08
2025-02-20,100.35,101.04,98.78,100.57
