日期,Open,High,Low,Close
2020-07-24,61.29,64.46,60.76,62.91
2020-07-31,63.02,65.62,61.69,63.66
2020-08-07,63.61,63.73,61.89,63.33
2020-08-14,63.36,67.52,63.35,65.91
2020-08-21,66.14,66.93,64.0,64.61
2020-08-28,65.25,72.83,64.79,72.54
2020-09-04,72.17,76.52,71.57,73.81
2020-09-11,72.81,75.12,71.69,72.81
2020-09-18,73.29,76.97,72.14,72.49
2020-09-25,70.4,72.44,69.29,71.84
2020-10-02,73.06,74.99,72.17,74.11
2020-10-09,74.81,77.87,74.34,77.55
2020-10-16,78.0,78.64,75.21,76.06
2020-10-23,76.24,78.5,74.9,78.34
2020-10-30,77.57,78.67,73.17,74.5
2020-11-06,75.08,78.83,72.99,78.19
2020-11-13,84.86,85.19,80.65,83.55
2020-11-20,84.78,87.32,84.01,85.0
2020-11-27,85.61,86.96,84.41,86.65
2020-12-04,86.19,90.93,84.95,90.27
2020-12-11,90.0,94.08,88.0,90.99
2020-12-18,91.82,92.85,90.6,91.27
2020-12-24,89.21,91.16,88.01,90.0
2020-12-31,90.91,95.13,90.3,94.97
2021-01-08,95.65,95.74,90.13,93.66
2021-01-15,93.09,93.63,89.2,90.32
2021-01-22,90.79,93.84,89.33,91.9
2021-01-29,91.74,93.2,83.91,84.8
2021-02-05,84.98,95.53,84.91,94.47
2021-02-12,94.41,94.89,92.71,93.29
2021-02-19,92.87,94.58,91.66,91.81
2021-02-26,91.43,97.92,88.37,96.47
2021-03-05,97.04,98.91,91.19,93.64
2021-03-12,93.24,97.51,92.67,96.25
2021-03-19,96.33,100.78,94.265,94.78
2021-03-26,94.84,98.44,92.5,98.34
2021-04-01,97.45,100.06,95.03,97.82
2021-04-09,98.35,102.4,98.31,101.62
2021-04-16,101.46,106.94,101.21,106.78
2021-04-23,106.61,107.42,103.665,106.0
2021-04-30,105.39,105.69,100.05,102.93
2021-05-07,103.62,105.18,101.54,102.78
2021-05-14,103.01,104.525,98.045,100.09
2021-05-21,100.11,101.11,97.77,99.81
2021-05-28,100.688,103.24,100.41,102.77
2021-06-04,103.448,103.514,99.04,100.88
2021-06-11,100.87,101.72,99.75,101.45
2021-06-18,101.67,102.115,98.152,98.59
2021-06-25,98.89,102.11,98.57,101.93
2021-07-02,101.82,104.19,100.16,103.86
2021-07-09,103.97,106.66,103.21,106.36
2021-07-16,106.64,109.715,106.28,107.62
2021-07-23,106.43,115.21,103.22,114.86
2021-07-30,114.63,115.05,109.99,110.32
2021-08-06,110.917,111.87,106.41,107.94
2021-08-13,107.88,107.91,104.74,106.1
2021-08-20,106.033,107.07,102.95,103.97
2021-08-27,104.05,105.33,103.2,104.46
2021-09-03,104.95,107.7,103.97,106.53
2021-09-10,106.43,110.1,104.81,108.68
2021-09-17,109.23,109.49,102.46,102.75
2021-09-24,100.694,104.2,99.72,103.45
2021-10-01,102.952,104.01,99.65,102.26
2021-10-08,101.77,102.42,98.82,100.56
2021-10-15,102.23,102.9,98.75,100.79
2021-10-22,100.78,104.453,100.3,103.89
2021-10-29,104.08,104.91,93.36,95.41
2021-11-05,96.565,106.67,96.54,106.25
2021-11-12,105.86,106.81,100.365,101.55
2021-11-19,101.95,103.48,99.6,100.61
2021-11-26,100.94,104.09,99.081,100.49
2021-12-03,101.19,103.18,98.38,101.07
2021-12-10,101.84,107.02,101.54,106.56
2021-12-17,105.99,106.66,98.05,98.46
2021-12-23,96.9,102.74,96.44,102.2
2021-12-31,102.43,107.31,102.22,106.8
2022-01-07,106.3,107.63,97.305,97.4
2022-01-14,96.445,96.84,88.92,89.95
2022-01-21,89.0,89.19,85.3,86.14
2022-01-28,84.58,88.47,83.62,87.04
2022-02-04,86.86,88.98,83.66,84.83
2022-02-11,85.18,87.802,83.68,84.05
2022-02-18,84.07,85.87,82.74,83.66
2022-02-25,83.915,84.36,77.57,82.9
2022-03-04,81.61,83.82,79.765,80.35
2022-03-11,80.36,80.37,72.86,73.05
2022-03-18,72.635,80.41,69.24,79.92
2022-03-25,79.925,80.04,75.88,77.77
2022-04-01,77.8,82.95,77.073,81.81
2022-04-08,78.21,78.78,71.66,71.84
2022-04-14,71.2,72.06,69.565,69.82
2022-04-22,69.36,71.86,68.101,68.24
2022-04-29,67.7,68.4,64.8,64.96
2022-05-06,65.57,73.19,63.7,66.84
2022-05-13,65.56,66.87,59.2,66.41
2022-05-20,65.755,66.25,61.14,64.2
2022-05-27,64.54,67.53,62.075,67.52
2022-06-03,67.78,70.71,66.66,69.86
2022-06-10,70.51,72.11,66.47,66.48
2022-06-17,63.9,66.08,61.16,62.68
2022-06-24,63.87,68.96,62.84,68.92
2022-07-01,68.81,70.7,65.68,70.07
2022-07-08,68.83,71.285,68.17,70.09
2022-07-15,69.66,71.02,66.54,70.43
2022-07-22,70.84,75.24,70.81,74.4
2022-07-29,74.4,75.79,70.81,75.59
2022-08-05,75.0,79.085,74.43,76.54
2022-08-12,76.96,79.695,75.27,79.61
2022-08-19,79.41,81.23,77.85,78.22
2022-08-26,76.682,79.29,75.26,75.36
2022-09-02,74.5,77.07,73.852,74.24
2022-09-09,74.37,81.25,72.97,79.99
2022-09-16,81.07,84.78,77.37,82.61
2022-09-23,82.185,83.85,74.525,75.47
2022-09-30,75.61,78.78,74.47,75.56
2022-10-07,76.05,82.2,75.1,78.33
2022-10-14,78.31,82.0,76.01,77.67
2022-10-21,79.2,81.765,77.77,79.91
2022-10-28,78.2,79.53,73.73,78.4
2022-11-04,77.9,84.9,74.27,83.16
2022-11-11,82.97,90.5,80.58,89.21
2022-11-18,88.96,91.36,86.93,89.78
2022-11-25,88.82,91.91,88.53,91.39
2022-12-02,90.82,97.37,90.03,96.88
2022-12-09,95.22,96.07,92.89,93.62
2022-12-16,92.96,97.03,89.85,90.66
2022-12-23,90.26,90.9,88.0,90.1
2022-12-30,90.4,92.48,90.04,91.03
2023-01-06,92.39,98.83,91.3,98.52
2023-01-13,98.35,99.13,96.0,99.06
2023-01-20,98.78,99.425,95.715,96.87
2023-01-27,96.87,101.59,96.23,100.85
2023-02-03,100.09,102.66,94.87,96.13
2023-02-10,95.83,99.62,95.13,99.45
2023-02-17,99.81,101.46,98.59,99.46
2023-02-24,97.86,98.31,93.18,93.96
2023-03-03,94.69,97.052,93.265,96.91
2023-03-10,96.81,98.3,91.385,91.74
2023-03-17,91.27,93.07,89.64,91.06
2023-03-24,91.46,93.84,89.55,90.7
2023-03-31,91.278,96.64,90.44,96.49
2023-04-06,96.42,98.06,95.71,97.04
2023-04-14,95.905,100.53,95.43,99.83
2023-04-21,100.318,101.59,98.55,100.55
2023-04-28,100.55,106.67,100.4,106.65
2023-05-05,106.612,107.84,96.16,99.57
2023-05-12,99.83,100.48,97.72,99.01
2023-05-19,99.0,100.038,97.835,98.4
2023-05-26,98.41,98.59,90.62,91.42
2023-06-02,91.78,92.55,89.41,92.39
2023-06-09,92.93,93.76,89.81,90.85
2023-06-16,90.85,95.4,90.41,94.76
2023-06-23,94.75,95.38,90.41,91.23
2023-06-30,91.23,92.348,90.19,91.95
2023-07-07,91.62,92.46,88.44,88.94
2023-07-14,89.19,95.09,89.12,94.5
2023-07-21,93.72,96.44,92.751,95.71
2023-07-28,95.765,96.66,93.425,94.14
2023-08-04,94.2,97.35,92.18,93.57
2023-08-11,94.31,95.79,92.36,94.41
2023-08-18,93.9,94.635,89.21,90.65
2023-08-25,90.74,90.985,87.13,88.9
2023-09-01,89.36,93.14,89.25,91.42
2023-09-08,90.94,91.23,88.17,88.7
2023-09-15,89.07,91.2,88.615,89.65
2023-09-22,89.72,90.39,86.45,87.1
2023-09-29,86.31,86.89,83.63,84.69
2023-10-06,84.47,86.76,82.63,86.27
2023-10-13,85.87,87.39,84.19,84.9
2023-10-20,85.59,89.08,85.27,87.61
2023-10-27,87.35,88.78,85.19,85.44
2023-11-03,86.54,97.19,83.97,96.07
2023-11-10,96.29,98.45,95.39,98.32
2023-11-17,97.91,101.65,96.945,99.56
2023-11-24,99.2,99.46,96.455,96.77
2023-12-01,96.28,97.08,91.51,93.19
2023-12-08,92.38,92.87,88.835,90.6
2023-12-15,91.21,92.995,90.55,90.74
2023-12-22,91.23,92.035,88.33,89.27
2023-12-29,89.33,90.34,88.78,90.0
2024-01-05,89.44,89.94,86.47,86.98
2024-01-12,87.01,88.56,85.762,85.97
2024-01-19,86.65,88.23,85.39,87.85
2024-01-26,87.79,87.91,85.705,86.79
2024-02-02,87.01,92.35,85.66,86.98
