日期,Open,High,Low,Close
2015-03-31,20.05,22.5,19.49,22.09
2015-04-30,21.93,27.31,21.71,24.97
2015-05-29,27.0,39.54,25.22,37.4
2015-06-30,39.29,43.0,35.2,36.39
2015-07-31,36.9,38.11,27.27,30.92
2015-08-31,30.72,33.7,15.6,25.15
2015-09-30,24.5,29.26,21.35,22.89
2015-10-30,22.06,25.8,16.58,18.49
2015-11-30,19.0,22.74,15.02,19.66
2015-12-31,19.9,29.5,18.32,28.17
2016-01-29,25.88,30.06,21.92,28.27
2016-02-29,28.33,30.5,22.25,24.47
2016-03-31,24.72,28.99,23.05,25.14
2016-04-29,24.9,28.8,24.15,26.79
2016-05-31,26.82,27.12,17.1,21.85
2016-06-30,21.52,22.95,18.24,19.6
2016-07-29,19.47,20.54,17.74,17.9
2016-08-31,17.9,19.02,16.03,17.02
2016-09-30,16.9,17.82,14.41,17.23
2016-10-31,17.28,17.33,13.0,13.7
2016-11-30,13.7,14.95,11.35,13.2
2016-12-30,13.1,14.2,12.0,12.4
2017-01-31,12.55,14.57,12.55,12.95
2017-02-28,13.05,15.8,12.25,14.65
2017-03-31,14.7,16.0,13.5,15.6
2017-04-28,15.75,16.65,15.05,16.15
2017-05-31,16.2,19.2,15.4,18.6
2017-06-30,18.45,21.85,18.05,20.0
2017-07-31,20.0,23.4,19.05,22.95
2017-08-31,23.15,28.77,21.95,26.75
2017-09-29,26.75,29.8,24.7,28.55
2017-10-31,28.75,33.35,28.15,32.85
2017-11-30,33.1,39.9,31.5,36.4
2017-12-29,36.25,39.35,32.9,37.55
2018-01-31,37.65,39.65,34.4,35.9
2018-02-28,35.8,51.2,30.8,50.05
2018-03-29,49.9,58.2,47.2,52.6
2018-04-30,52.35,59.2,50.9,52.65
2018-05-31,52.65,70.74,50.59,55.85
2018-06-29,56.2,56.94,45.85,47.85
2018-07-31,47.2,58.0,46.55,53.25
2018-08-31,53.45,58.3,43.6,47.95
2018-09-28,47.5,48.19,36.85,37.65
2018-10-31,38.17,42.72,35.12,38.73
2018-11-30,39.16,42.9,34.79,38.93
2018-12-31,39.96,41.65,32.43,35.1
2019-01-31,34.41,43.87,34.05,43.79
2019-02-28,43.79,45.32,39.2,42.26
2019-03-29,42.5,43.2,36.28,37.68
2019-04-30,38.2,46.72,37.6,44.3
2019-05-31,44.9,56.95,43.1,53.58
2019-06-28,53.29,62.7,52.03,62.46
2019-07-31,63.22,67.19,59.84,65.23
2019-08-30,66.59,89.43,60.93,81.92
2019-09-30,80.94,91.45,70.88,83.72
2019-10-31,84.27,96.69,78.42,84.96
2019-11-29,85.37,85.75,74.07,81.61
2019-12-31,83.0,96.64,79.5,95.09
2020-01-31,97.0,112.99,96.0,97.86
2020-02-28,98.16,143.73,97.66,124.72
2020-03-31,128.06,138.82,67.02,81.88
2020-04-30,79.2,122.78,72.8,111.59
2020-05-29,107.12,143.29,101.19,141.9
2020-06-30,138.71,156.92,127.19,138.78
2020-07-31,139.25,181.81,135.97,175.1
2020-08-31,172.67,229.49,162.6,221.15
2020-09-30,222.03,245.78,178.32,238.35
2020-10-30,243.0,317.88,235.22,257.69
2020-11-30,262.5,298.81,190.1,277.98
2020-12-31,281.33,335.8,254.65,319.12
2021-01-29,321.81,377.0,266.01,288.33
2021-02-26,294.9,349.39,264.53,298.31
2021-03-31,301.2,310.5,230.08,287.44
2021-04-30,293.15,298.08,237.31,263.54
2021-05-28,266.31,267.49,199.33,258.01
2021-06-30,260.89,291.18,230.15,276.37
