Date,Open,High,Low,Close
2021-08-01,6.000000212225132e-06,9.000000318337698e-06,6.000000212225132e-06,7.000000096013537e-06
2021-09-01,7.000000096013537e-06,9.000000318337698e-06,4.999999873689376e-06,7.000000096013537e-06
2021-10-01,7.000000096013537e-06,8.800000068731606e-05,7.000000096013537e-06,6.70000008540228e-05
2021-11-01,6.70000008540228e-05,7.500000356230885e-05,3.600000127335079e-05,4.70000013592653e-05
2021-12-01,4.70000013592653e-05,4.8999998398358e-05,2.8000000384054147e-05,3.300000025774352e-05
2022-01-01,3.300000025774352e-05,3.400000059627928e-05,1.700000029813964e-05,2.099999983329326e-05
2022-02-01,2.099999983329326e-05,3.5000000934815034e-05,1.9999999494757503e-05,2.5999999706982635e-05
2022-03-01,2.5999999706982635e-05,2.9000000722589903e-05,2.099999983329326e-05,2.5999999706982635e-05
2022-04-01,2.5999999706982635e-05,2.9999999242136255e-05,1.8999999156221747e-05,1.9999999494757503e-05
2022-05-01,1.9999999494757503e-05,2.2000000171829015e-05,9.000000318337698e-06,1.2000000424450263e-05
2022-06-01,1.2000000424450263e-05,1.2000000424450263e-05,7.000000096013537e-06,9.999999747378752e-06
2022-07-01,9.999999747378752e-06,1.2999999853491317e-05,9.999999747378752e-06,1.2000000424450263e-05
2022-08-01,1.2000000424450263e-05,1.8000000636675395e-05,1.2000000424450263e-05,1.2000000424450263e-05
2022-09-01,1.2000000424450263e-05,1.4000000192027073e-05,9.999999747378752e-06,1.1000000085914508e-05
2022-10-01,1.1000000085914508e-05,1.4999999621068127e-05,9.000000318337698e-06,1.2000000424450263e-05
2022-11-01,1.2000000424450263e-05,1.2999999853491317e-05,7.999999979801942e-06,9.000000318337698e-06
2022-12-01,9.000000318337698e-06,9.999999747378752e-06,7.999999979801942e-06,7.999999979801942e-06
2023-01-01,7.999999979801942e-06,1.2999999853491317e-05,7.999999979801942e-06,1.2000000424450263e-05
2023-02-01,1.2000000424450263e-05,1.5999999959603883e-05,1.1000000085914508e-05,1.2000000424450263e-05
2023-03-01,1.2000000424450263e-05,1.2000000424450263e-05,9.999999747378752e-06,1.1000000085914508e-05
2023-04-01,1.1000000085914508e-05,1.2000000424450263e-05,9.999999747378752e-06,9.999999747378752e-06
2023-05-01,9.999999747378752e-06,9.999999747378752e-06,7.999999979801942e-06,9.000000318337698e-06
2023-06-01,9.000000318337698e-06,9.000000318337698e-06,6.000000212225132e-06,7.999999979801942e-06
2023-07-01,7.999999979801942e-06,9.000000318337698e-06,7.000000096013537e-06,7.999999979801942e-06
2023-08-01,7.999999979801942e-06,1.1000000085914508e-05,7.999999979801942e-06,7.999999979801942e-06
2023-09-01,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06
2023-10-01,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06
2023-11-01,7.999999979801942e-06,9.999999747378752e-06,7.999999979801942e-06,7.999999979801942e-06
2023-12-01,7.999999979801942e-06,1.2000000424450263e-05,7.999999979801942e-06,9.999999747378752e-06
2024-01-01,9.999999747378752e-06,1.1000000085914508e-05,7.999999979801942e-06,9.000000318337698e-06
2024-02-01,9.000000318337698e-06,1.4999999621068127e-05,9.000000318337698e-06,1.2999999853491317e-05
2024-03-01,1.2999999853491317e-05,4.5000000682193786e-05,1.2000000424450263e-05,3.099999958067201e-05
2024-04-01,3.099999958067201e-05,3.099999958067201e-05,1.8999999156221747e-05,2.2000000171829015e-05
2024-05-01,2.2000000171829015e-05,2.9000000722589903e-05,2.099999983329326e-05,2.499999936844688e-05
2024-06-01,2.499999936844688e-05,2.5999999706982635e-05,1.5999999959603883e-05,1.700000029813964e-05
2024-07-01,1.700000029813964e-05,1.9999999494757503e-05,1.2999999853491317e-05,1.5999999959603883e-05
2024-08-01,1.5999999959603883e-05,1.5999999959603883e-05,1.1000000085914508e-05,1.4000000192027073e-05
2024-09-01,1.4000000192027073e-05,2.2000000171829015e-05,1.2000000424450263e-05,1.8000000636675395e-05
2024-10-01,1.8000000636675395e-05,1.9999999494757503e-05,1.5999999959603883e-05,1.8000000636675395e-05
2024-11-01,1.8000000636675395e-05,2.9999999242136255e-05,1.5999999959603883e-05,2.700000004551839e-05
2024-12-01,2.700000004551839e-05,3.300000025774352e-05,1.8999999156221747e-05,2.099999983329326e-05
2025-01-01,2.099999983329326e-05,2.499999936844688e-05,1.700000029813964e-05,1.8999999156221747e-05
2025-02-01,1.8999999156221747e-05,1.8999999156221747e-05,1.2000000424450263e-05,1.4000000192027073e-05
2025-03-01,1.4000000192027073e-05,1.5999999959603883e-05,1.1000000085914508e-05,1.2000000424450263e-05
2025-04-01,1.2000000424450263e-05,1.4999999621068127e-05,9.999999747378752e-06,1.2999999853491317e-05
2025-05-01,1.2999999853491317e-05,1.8000000636675395e-05,1.2000000424450263e-05,1.2999999853491317e-05
2025-06-01,1.2999999853491317e-05,1.4000000192027073e-05,9.999999747378752e-06,1.1000000085914508e-05
2025-07-01,1.1000000085914508e-05,1.5999999959603883e-05,1.1000000085914508e-05,1.2000000424450263e-05
2025-08-01,1.2000000424450263e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.2000000424450263e-05
2025-09-01,1.2000000424450263e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.2000000424450263e-05
2025-10-01,1.2000000424450263e-05,1.2999999853491317e-05,7.000000096013537e-06,9.999999747378752e-06
2025-11-01,9.999999747378752e-06,9.999999747378752e-06,7.999999979801942e-06,7.999999979801942e-06
2025-12-01,7.999999979801942e-06,9.000000318337698e-06,7.000000096013537e-06,7.000000096013537e-06
2026-01-01,7.000000096013537e-06,9.999999747378752e-06,6.000000212225132e-06,7.000000096013537e-06
2026-02-01,7.000000096013537e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06
2026-03-01,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,6.000000212225132e-06
2026-04-01,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06
2026-05-01,6.000000212225132e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06
