Date,Open,High,Low,Close
2021-07-19,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06
2021-07-26,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06
2021-08-02,6.000000212225132e-06,9.000000318337698e-06,6.000000212225132e-06,7.000000096013537e-06
2021-08-09,7.000000096013537e-06,9.000000318337698e-06,7.000000096013537e-06,9.000000318337698e-06
2021-08-16,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06
2021-08-23,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06
2021-08-30,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06
2021-09-06,7.999999979801942e-06,7.999999979801942e-06,4.999999873689376e-06,7.000000096013537e-06
2021-09-13,7.000000096013537e-06,9.000000318337698e-06,6.000000212225132e-06,7.999999979801942e-06
2021-09-20,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06
2021-09-27,7.000000096013537e-06,9.000000318337698e-06,7.000000096013537e-06,9.000000318337698e-06
2021-10-04,9.000000318337698e-06,3.5000000934815034e-05,7.999999979801942e-06,2.5999999706982635e-05
2021-10-11,2.5999999706982635e-05,3.199999991920777e-05,2.300000051036477e-05,2.8000000384054147e-05
2021-10-18,2.8000000384054147e-05,4.400000034365803e-05,2.5999999706982635e-05,3.600000127335079e-05
2021-10-25,3.600000127335079e-05,8.800000068731606e-05,3.5000000934815034e-05,6.70000008540228e-05
2021-11-01,6.70000008540228e-05,7.500000356230885e-05,4.3000000005122274e-05,5.700000110664405e-05
2021-11-08,5.700000110664405e-05,5.900000178371556e-05,4.600000102072954e-05,5.2999999752501026e-05
2021-11-15,5.2999999752501026e-05,5.6000000768108293e-05,4.099999932805076e-05,4.400000034365803e-05
2021-11-22,4.400000034365803e-05,4.8000001697801054e-05,3.600000127335079e-05,3.899999865097925e-05
2021-11-29,3.899999865097925e-05,5.400000009103678e-05,2.9999999242136255e-05,3.600000127335079e-05
2021-12-06,3.600000127335079e-05,3.899999865097925e-05,3.300000025774352e-05,3.7000001611886546e-05
2021-12-13,3.7000001611886546e-05,3.7000001611886546e-05,2.9999999242136255e-05,3.099999958067201e-05
2021-12-20,3.099999958067201e-05,3.9999998989515007e-05,2.8000000384054147e-05,3.7999998312443495e-05
2021-12-27,3.7999998312443495e-05,3.899999865097925e-05,3.300000025774352e-05,3.400000059627928e-05
2022-01-03,3.400000059627928e-05,3.400000059627928e-05,2.700000004551839e-05,2.8000000384054147e-05
2022-01-10,2.8000000384054147e-05,3.300000025774352e-05,2.5999999706982635e-05,3.099999958067201e-05
2022-01-17,3.099999958067201e-05,3.099999958067201e-05,1.700000029813964e-05,2.2000000171829015e-05
2022-01-24,2.2000000171829015e-05,2.300000051036477e-05,1.8999999156221747e-05,2.099999983329326e-05
