日期,Open,High,Low,Close
2011-07-29,65.585,75.225,64.945,70.065
2011-08-31,71.555,71.915,51.795,58.065
2011-09-30,58.135,59.485,38.715,39.675
2011-10-31,38.845,56.875,34.735,53.415
2011-11-30,49.755,57.095,46.005,55.525
2011-12-30,55.355,57.845,45.145,48.635
2012-01-31,50.595,57.945,47.315,55.365
2012-02-29,56.545,61.25,55.305,58.08
2012-03-30,58.61,59.36,48.8,50.4
2012-04-30,50.07,55.39,46.92,54.61
2012-05-31,54.63,56.66,41.975,43.995
2012-06-29,42.375,48.435,39.865,45.655
2012-07-31,45.605,54.215,44.935,52.005
2012-08-31,52.155,56.425,50.595,53.4
2012-09-28,53.14,59.49,51.69,53.35
2012-10-31,54.01,56.72,50.08,50.55
2012-11-30,50.79,53.185,47.87,52.915
2012-12-31,53.295,54.805,48.895,50.585
2013-01-31,52.095,61.285,51.415,59.345
2013-02-28,60.235,63.295,56.598,59.458
2013-03-28,58.958,61.338,54.618,56.498
2013-04-30,56.688,59.168,50.688,56.038
2013-05-31,55.538,59.448,54.628,54.638
2013-06-28,55.11,56.71,52.17,53.58
2013-07-31,54.11,66.94,53.75,63.25
2013-08-30,64.27,65.62,61.72,63.173
2013-09-30,63.923,71.953,63.913,70.593
2013-10-31,70.223,77.143,68.533,75.953
2013-11-29,76.183,77.043,69.023,70.653
2013-12-31,71.185,72.805,67.455,72.655
2014-01-31,72.025,74.655,68.315,70.115
2014-02-28,70.345,76.785,68.435,75.945
2014-03-31,75.205,81.395,71.825,80.445
2014-04-30,80.135,86.525,79.605,84.495
2014-05-30,84.525,87.155,81.285,86.985
2014-06-30,87.415,101.475,86.255,101.295
2014-07-31,101.645,102.105,91.285,91.735
2014-08-29,91.205,95.345,88.735,93.385
2014-09-30,93.375,93.675,84.045,85.435
2014-10-31,85.155,86.145,69.745,82.405
2014-11-28,81.765,84.285,66.995,69.695
2014-12-31,68.675,72.305,62.615,69.555
2015-01-30,68.955,70.345,59.745,66.535
2015-02-27,68.135,73.645,66.645,68.805
2015-03-31,68.335,70.145,64.035,68.085
2015-04-30,68.645,79.775,68.245,79.255
2015-05-29,79.125,79.535,74.215,75.415
2015-06-30,75.335,77.755,70.155,71.335
2015-07-31,71.565,71.835,66.295,67.965
2015-08-31,67.185,70.265,53.155,63.015
2015-09-30,60.945,63.165,53.395,54.615
2015-10-30,55.755,65.595,52.215,63.805
2015-11-30,63.295,68.075,61.355,63.295
2015-12-31,62.955,64.365,53.295,55.895
2016-01-29,55.595,58.645,45.745,58.415
2016-02-29,57.265,61.415,52.245,58.365
2016-03-31,59.105,62.805,57.985,60.395
2016-04-29,59.015,68.605,58.335,66.985
2016-05-31,66.595,67.355,58.645,63.445
2016-06-30,62.555,68.555,61.755,66.225
2016-07-29,66.285,68.755,63.975,67.665
2016-08-31,66.935,71.115,65.055,66.145
2016-09-30,65.585,67.405,61.975,66.285
2016-10-31,66.465,71.945,65.675,65.875
2016-11-30,66.305,72.015,64.565,71.695
2016-12-30,72.635,75.145,71.305,72.095
2017-01-31,73.005,75.985,71.255,71.855
2017-02-28,72.205,72.585,67.665,69.005
2017-03-31,69.555,71.335,64.785,66.745
2017-04-28,66.945,69.535,60.745,61.235
2017-05-31,61.345,61.845,57.375,58.735
2017-06-30,58.815,59.835,54.245,54.985
2017-07-31,55.265,58.185,53.295,57.745
2017-08-31,57.725,58.515,51.705,52.655
2017-09-29,52.845,59.655,52.615,59.405
2017-10-31,58.375,59.215,51.045,53.645
2017-11-30,54.265,57.325,50.665,52.495
2017-12-29,52.875,58.545,51.925,57.535
2018-01-31,58.215,70.495,57.745,63.725
2018-02-28,63.935,65.705,54.015,56.285
2018-03-29,56.135,59.855,53.315,55.425
2018-04-30,55.015,61.895,52.665,59.205
2018-05-31,58.755,66.075,57.535,59.315
2018-06-29,59.285,61.615,55.655,58.175
2018-07-31,57.595,60.755,55.875,58.665
2018-08-31,58.145,58.455,52.965,54.305
2018-09-28,54.705,54.785,50.895,52.565
2018-10-31,52.845,55.295,42.445,42.955
2018-11-30,43.245,44.585,36.325,36.745
2018-12-31,37.925,38.255,27.135,28.225
2019-01-31,27.635,37.195,27.485,36.355
2019-02-28,36.545,38.995,34.375,36.705
2019-03-29,36.865,38.305,33.525,36.215
2019-04-30,36.625,41.525,35.035,35.325
2019-05-31,35.275,35.535,27.105,27.335
2019-06-28,27.635,32.925,27.475,32.885
2019-07-31,33.565,34.545,30.435,33.115
2019-08-30,32.525,32.595,24.175,25.575
2019-09-30,24.825,33.895,24.755,27.815
2019-10-31,28.005,29.295,24.295,26.335
2019-11-29,26.695,30.865,26.615,29.845
2019-12-31,30.095,35.075,28.665,34.345
2020-01-31,34.665,35.285,27.145,27.655
2020-02-28,27.585,30.025,20.095,21.735
2020-03-31,22.295,22.555,6.515,8.135
2020-04-30,7.735,13.245,6.815,11.465
2020-05-29,10.965,14.005,9.755,13.115
2020-06-30,13.155,18.51,12.07,13.16
2020-07-31,13.27,14.69,11.73,12.91
2020-08-31,12.87,16.04,12.64,13.78
2020-09-30,13.415,14.575,10.315,10.455
2020-10-30,10.255,11.495,8.595,9.835
2020-11-30,10.015,17.395,9.675,15.685
2020-12-31,16.39,18.91,15.89,16.85
2021-01-29,17.1,21.75,16.25,17.23
2021-02-26,17.52,25.015,16.82,23.055
2021-03-31,23.905,25.555,21.335,22.335
2021-04-30,22.595,23.485,19.665,22.195
2021-05-28,22.675,29.475,22.625,26.475
2021-06-30,27.23,32.14,26.55,27.28
2021-07-30,28.27,28.83,21.18,24.1
2021-08-31,24.12,24.98,21.165,23.435
2021-09-30,23.465,26.97,21.835,25.035
2021-10-29,25.235,30.385,24.875,27.655
2021-11-30,28.145,30.035,23.805,24.2
2021-12-31,25.1,26.785,23.17,25.47
2022-01-31,25.59,36.56,25.5,34.59
2022-02-28,34.29,38.285,32.939,34.885
2022-03-31,35.285,41.915,32.315,36.955
2022-04-29,36.845,40.155,32.595,34.655
2022-05-31,33.985,44.51,32.605,41.78
2022-06-30,42.86,45.65,30.19,31.58
2022-07-29,31.78,33.02,26.47,32.85
2022-08-31,32.06,36.715,29.25,33.97
2022-09-30,33.37,36.472,29.795,31.895
2022-10-31,33.575,49.885,33.315,48.025
2022-11-30,48.695,52.035,44.855,47.545
2022-12-30,48.315,50.175,43.0,49.63
2023-01-31,49.03,58.95,46.36,53.15
2023-02-28,53.08,54.215,48.14,49.63
2023-03-31,49.67,52.56,40.24,45.52
2023-04-28,48.69,50.23,43.4,45.77
2023-05-31,45.26,46.0,39.15,39.25
2023-06-30,39.48,46.38,39.315,45.79
2023-07-31,45.97,55.365,44.98,55.01
2023-08-31,54.69,56.79,52.19,55.63
2023-09-29,56.52,59.04,55.12,55.22
2023-10-31,55.24,58.12,51.73,52.58
2023-11-30,52.92,54.67,47.7,48.96
2023-12-29,48.9,51.54,45.255,49.21
2024-01-31,49.61,50.52,44.34,45.87
2024-02-29,46.22,47.045,44.355,45.775
2024-03-28,46.445,53.135,46.25,52.255
2024-04-30,52.595,53.094,44.875,44.925
2024-05-31,44.845,46.565,42.858,43.335
