日期,Open,High,Low,Close
2023-07-24,151.919,152.462,150.844,151.85
2023-07-25,152.383,155.234,152.383,154.287
2023-07-26,152.936,153.784,150.893,152.6
2023-07-27,156.517,158.756,154.563,155.343
2023-07-28,158.006,158.875,156.694,158.342
2023-07-31,158.539,159.003,157.523,158.46
2023-08-01,157.523,158.727,156.813,158.371
2023-08-02,156.635,156.655,151.397,152.561
2023-08-03,150.43,153.103,150.114,152.117
2023-08-04,152.146,154.435,150.696,152.176
2023-08-07,153.409,154.041,152.294,153.814
2023-08-08,151.831,151.831,149.493,151.278
2023-08-09,151.11,151.258,147.717,148.279
2023-08-10,149.108,151.1,146.898,147.953
2023-08-11,146.02,146.128,144.076,144.244
2023-08-14,143.494,148.703,143.07,148.634
2023-08-15,148.526,149.058,146.646,146.849
2023-08-16,146.967,147.135,144.441,144.53
2023-08-17,145.783,145.813,143.08,143.553
2023-08-18,141.857,144.688,141.422,144.165
2023-08-21,145.201,149.201,144.984,149.009
2023-08-22,150.992,151.18,146.888,147.519
2023-08-23,147.342,151.16,146.858,150.716
2023-08-24,154.356,154.484,146.582,146.819
2023-08-25,146.612,148.723,144.303,147.085
2023-08-28,148.338,149.058,146.898,148.901
2023-08-29,148.338,153.212,147.914,152.719
2023-08-30,152.649,154.119,151.604,153.498
2023-08-31,152.768,155.042,152.768,154.119
2023-09-01,155.313,155.51,153.172,154.11
2023-09-05,153.537,155.501,152.995,154.475
2023-09-06,153.912,154.692,151.199,152.679
2023-09-07,149.197,149.69,147.44,149.295
2023-09-08,148.91,150.124,147.736,148.358
2023-09-11,150.144,150.144,146.503,148.466
2023-09-12,147.401,149.611,147.154,147.352
2023-09-13,147.302,149.788,147.036,148.545
2023-09-14,150.045,150.114,148.151,149.354
2023-09-15,148.21,148.516,144.205,144.836
2023-09-18,143.475,145.832,143.021,145.319
2023-09-19,144.777,145.014,143.119,144.066
2023-09-20,144.678,145.26,141.62,141.699
2023-09-21,139.671,140.653,138.798,138.867
2023-09-22,140.219,141.472,139.647,140.051
2023-09-25,139.41,141.186,138.769,141.038
2023-09-26,139.735,140.475,138.221,138.808
2023-09-27,139.943,140.998,137.881,140.081
2023-09-28,139.824,143.692,139.183,142.35
2023-09-29,144.56,144.954,142.518,143.031
2023-10-02,143.317,145.29,142.646,144.264
2023-10-03,143.336,144.885,140.248,141.057
2023-10-04,141.916,143.524,141.038,143.257
2023-10-05,143.336,143.938,141.738,143.257
2023-10-06,142.695,146.942,141.6,146.355
2023-10-09,144.816,146.459,143.682,145.98
2023-10-10,146.503,148.945,145.842,147.786
2023-10-11,148.614,149.404,147.48,149.384
2023-10-12,149.798,151.988,148.693,150.144
2023-10-13,150.371,150.58,146.059,146.385
2023-10-16,146.553,148.659,146.424,148.072
2023-10-17,144.619,147.46,142.527,146.326
2023-10-18,143.475,144.737,142.685,143.396
2023-10-19,145.27,145.684,141.945,142.419
2023-10-20,142.281,143.435,140.022,140.189
2023-10-23,139.242,142.592,138.078,140.683
2023-10-24,141.077,142.552,140.614,142.33
2023-10-25,140.88,141.225,136.174,136.815
2023-10-26,137.23,138.759,134.793,135.612
2023-10-27,137.17,137.851,135.819,136.45
2023-10-30,136.549,137.762,134.674,136.105
2023-10-31,136.105,137.402,134.27,137.082
2023-11-01,137.328,140.663,137.19,140.495
2023-11-02,143.662,145.058,142.35,144.136
2023-11-03,145.605,148.511,145.201,147.5
2023-11-06,147.736,148.417,146.296,147.934
2023-11-07,147.648,149.483,147.302,148.861
2023-11-08,149.335,150.065,148.417,149.394
2023-11-09,150.903,152.432,148.97,149.127
2023-11-10,151.189,155.55,150.637,155.165
2023-11-13,154.198,154.909,153.103,154.218
2023-11-14,157.74,159.368,157.375,158.924
2023-11-15,160.049,160.049,157.937,159.042
2023-11-16,158.48,159.989,158.085,159.634
2023-11-17,159.013,160.769,158.717,160.384
2023-11-20,160.601,163.215,160.335,162.683
2023-11-21,161.489,161.77,159.526,160.285
2023-11-22,161.065,162.712,159.161,159.94
2023-11-24,160.058,160.266,159.171,159.585
2023-11-27,159.047,160.7,158.569,159.486
2023-11-28,158.697,159.328,157.474,158.569
2023-11-29,160.611,162.12,159.827,160.029
2023-11-30,160.65,160.65,157.109,158.322
2023-12-01,157.849,159.545,156.724,158.963
2023-12-04,157.109,157.355,154.455,156.645
2023-12-05,155.402,156.813,154.953,156.645
2023-12-06,158.51,158.806,155.175,155.382
2023-12-07,156.734,159.269,156.093,158.934
2023-12-08,158.677,160.749,158.5,160.295
