日期,Open,High,Low,Close
2020-07-24,89.326,91.733,86.62,87.982
2020-07-31,89.094,92.866,88.792,92.215
2020-08-07,92.777,95.591,92.765,94.06
2020-08-14,94.343,96.337,92.695,95.07
2020-08-21,95.855,96.756,93.543,94.883
2020-08-28,95.982,97.817,95.121,97.779
2020-09-04,97.712,102.971,92.257,95.667
2020-09-11,92.231,95.226,91.063,92.384
2020-09-18,94.235,96.661,92.209,93.425
2020-09-25,91.666,94.751,90.878,94.098
2020-10-02,95.433,99.347,94.815,96.185
2020-10-09,97.062,103.936,96.931,103.646
2020-10-16,105.017,105.893,102.41,103.796
2020-10-23,104.647,105.265,101.128,102.094
2020-10-30,101.221,101.584,96.071,97.358
2020-11-06,98.27,109.81,96.867,109.412
2020-11-13,112.35,112.748,104.621,108.647
2020-11-20,109.536,112.207,108.717,110.709
2020-11-27,111.203,114.657,110.846,113.991
2020-12-04,114.183,120.993,112.739,120.92
2020-12-11,121.605,122.399,115.884,117.172
2020-12-18,118.263,120.991,118.001,119.707
2020-12-24,118.193,119.391,117.193,119.157
2020-12-31,120.556,121.281,117.404,121.093
2021-01-08,121.878,129.693,119.713,127.346
2021-01-15,126.241,133.892,126.145,129.68
2021-01-22,131.813,136.125,131.504,133.282
2021-01-29,134.397,134.742,123.983,125.002
2021-02-05,127.132,132.931,126.71,129.533
2021-02-12,130.405,139.88,130.399,139.609
2021-02-19,141.272,141.784,134.78,139.778
2021-02-26,137.961,138.932,128.406,133.142
2021-03-05,135.16,137.942,119.934,126.659
2021-03-12,126.496,130.865,119.777,128.751
2021-03-19,129.441,135.898,127.869,130.859
2021-03-26,132.465,135.192,125.045,134.807
2021-04-01,133.546,140.726,130.859,140.646
2021-04-09,142.959,143.903,140.47,142.956
2021-04-16,142.208,142.7,138.88,141.318
2021-04-23,140.278,140.749,134.842,138.653
2021-04-30,138.832,141.849,134.705,135.031
2021-05-07,135.991,136.132,128.945,135.111
2021-05-14,133.93,133.93,123.509,129.477
2021-05-21,128.277,134.202,124.319,132.475
2021-05-28,133.86,139.104,133.742,138.438
2021-06-04,139.485,140.585,135.866,139.821
2021-06-11,139.158,140.058,136.9,139.539
2021-06-18,139.892,142.006,136.422,137.178
2021-06-25,137.335,142.099,136.169,140.888
2021-07-02,141.759,145.783,141.759,144.293
2021-07-09,144.684,145.152,137.813,142.326
2021-07-16,142.935,145.783,136.378,136.704
2021-07-23,134.837,142.746,134.065,142.56
2021-07-30,142.012,146.664,137.031,146.366
2021-08-06,147.769,151.001,145.892,149.204
2021-08-13,149.806,149.893,143.694,145.805
2021-08-20,145.254,145.639,138.604,142.784
2021-08-27,144.268,151.065,144.268,150.886
2021-09-03,151.501,152.651,148.81,150.841
2021-09-10,150.918,152.346,147.067,150.066
2021-09-17,151.578,153.183,149.454,150.239
2021-09-24,147.035,152.481,144.36,151.826
2021-10-01,150.202,152.051,140.918,143.271
2021-10-08,142.53,145.818,139.155,142.436
2021-10-15,141.871,146.287,139.129,145.85
2021-10-22,144.983,150.766,144.151,148.332
2021-10-29,149.09,152.433,147.863,152.414
2021-11-05,152.597,167.063,152.211,165.792
2021-11-12,166.819,169.902,162.368,168.155
2021-11-19,169.414,173.839,166.302,172.67
2021-11-26,173.662,176.013,165.352,166.578
2021-12-03,169.048,175.486,165.58,168.409
2021-12-10,168.081,177.028,162.93,173.113
2021-12-17,173.796,175.047,164.076,165.871
2021-12-23,163.458,175.073,162.777,173.947
2021-12-31,174.584,179.566,174.463,174.482
2022-01-07,175.656,179.855,167.175,167.7
2022-01-14,165.625,176.261,162.153,172.178
2022-01-21,169.428,169.451,151.726,152.064
2022-01-28,148.885,156.61,139.4,146.398
2022-02-04,147.131,159.875,146.321,153.408
2022-02-11,153.788,163.401,148.219,149.29
2022-02-18,149.799,158.315,147.482,150.111
2022-02-25,148.489,153.486,139.643,153.486
2022-03-04,151.488,153.907,142.946,144.574
2022-03-11,145.005,146.919,135.951,139.761
2022-03-18,139.342,153.193,134.6,152.575
2022-03-25,151.986,157.044,149.216,156.438
2022-04-01,155.5,161.522,147.368,149.601
2022-04-08,149.991,152.245,137.997,138.22
2022-04-14,136.176,139.264,133.884,134.058
2022-04-22,133.388,142.8,132.114,132.337
2022-04-29,131.257,136.395,126.902,129.188
2022-05-06,129.307,140.06,128.295,131.869
2022-05-13,129.02,132.272,121.629,131.354
2022-05-20,130.019,135.986,122.222,127.953
2022-05-27,126.96,138.3,123.946,138.071
2022-06-03,137.833,140.031,133.314,135.709
2022-06-10,138.561,139.019,125.415,125.677
2022-06-17,121.06,123.262,111.673,114.294
2022-06-24,116.705,120.382,113.461,120.382
2022-07-01,121.47,122.171,107.463,108.87
2022-07-08,106.113,116.541,105.468,115.75
2022-07-15,113.997,119.427,110.859,119.236
2022-07-22,121.212,129.422,118.1,126.151
2022-07-29,125.183,131.865,122.807,131.497
2022-08-05,130.564,136.801,129.706,135.329
2022-08-12,133.463,136.521,125.425,136.153
2022-08-19,135.546,137.04,130.148,131.359
2022-08-26,128.695,132.188,124.347,124.544
2022-09-02,123.22,124.647,113.501,115.847
2022-09-09,115.827,121.876,113.632,121.251
2022-09-16,121.774,122.445,111.55,114.336
2022-09-23,112.877,117.299,105.794,107.747
2022-09-30,107.371,109.062,103.294,103.453
2022-10-07,104.632,114.927,103.882,105.764
2022-10-14,105.352,105.479,93.421,96.946
2022-10-21,99.526,104.595,97.588,104.336
2022-10-28,104.687,108.643,102.34,108.329
2022-11-04,107.352,109.377,100.451,106.787
2022-11-11,107.777,123.467,106.368,122.746
2022-11-18,122.081,126.778,117.066,120.971
2022-11-25,119.653,125.184,118.589,122.337
2022-12-02,120.818,126.823,118.092,123.629
2022-12-09,122.789,123.973,117.998,121.552
2022-12-16,120.955,129.85,116.638,117.8
2022-12-23,117.677,118.627,111.069,113.556
2022-12-30,112.654,113.895,109.413,113.263
2023-01-06,115.18,118.992,111.479,118.37
2023-01-13,120.541,125.944,119.512,125.706
2023-01-20,125.277,128.154,121.283,125.485
2023-01-27,126.657,133.652,126.455,132.506
2023-02-03,130.699,142.599,128.616,138.687
2023-02-10,136.519,141.769,134.423,135.901
2023-02-17,136.542,141.047,134.15,135.377
2023-02-24,133.271,135.292,129.576,132.239
2023-03-03,134.449,136.721,130.335,136.571
2023-03-10,136.952,139.058,131.165,131.79
2023-03-17,130.413,140.685,129.049,138.475
2023-03-24,138.745,144.518,137.6,140.133
2023-03-31,140.639,145.318,135.356,145.099
2023-04-06,144.251,144.799,136.387,138.002
2023-04-14,136.814,141.314,136.357,138.061
2023-04-21,136.576,140.338,134.811,136.008
2023-04-28,135.764,136.537,128.758,134.484
2023-05-05,135.023,136.527,131.251,135.385
2023-05-12,135.235,136.051,132.732,133.995
2023-05-19,134.377,145.569,133.982,144.469
2023-05-26,143.168,160.605,139.131,159.783
2023-06-02,163.48,164.139,154.898,157.855
2023-06-09,157.277,161.547,154.079,159.081
2023-06-16,160.947,169.073,160.751,165.825
2023-06-23,165.064,166.514,157.66,158.382
2023-06-30,159.493,166.41,158.849,165.747
2023-07-07,166.508,167.622,159.427,161.532
2023-07-14,162.038,172.997,161.875,169.298
2023-07-21,169.36,174.242,164.616,166.861
2023-07-28,166.858,174.778,165.488,174.187
2023-08-04,174.824,175.425,165.685,167.625
2023-08-11,168.831,169.606,158.738,159.025
2023-08-18,158.414,163.652,154.199,157.065
2023-08-25,157.807,166.599,155.532,158.705
2023-09-01,160.267,168.357,159.078,167.295
2023-09-08,166.704,168.55,160.185,161.391
2023-09-15,163.417,163.446,156.431,157.228
2023-09-22,156.023,158.342,150.958,152.285
2023-09-29,151.572,157.562,149.682,155.316
2023-10-06,155.653,158.228,151.791,157.46
2023-10-13,155.768,162.992,154.614,156.313
2023-10-20,156.84,159.113,149.679,149.951
2023-10-27,149.062,151.666,143.498,145.701
2023-11-03,144.662,156.975,142.055,155.844
2023-11-10,156.096,162.746,154.083,162.241
2023-11-17,160.966,169.403,159.615,169.075
2023-11-24,168.891,172.154,167.494,169.019
2023-12-01,168.393,172.164,166.252,169.222
2023-12-08,167.498,171.872,164.914,171.124
2023-12-15,172.728,188.789,172.544,186.69
2023-12-22,186.687,188.363,181.618,187.242
2023-12-29,188.098,191.849,188.098,189.283
2024-01-05,186.079,186.079,175.332,178.026
2024-01-12,179.252,185.301,179.203,183.135
2024-01-19,183.362,197.796,180.908,197.539
2024-01-26,199.176,206.266,195.723,196.403
2024-02-02,196.79,198.469,190.834,195.976
2024-02-09,197.648,207.133,194.132,206.805
2024-02-16,206.828,210.25,199.468,205.389
2024-02-23,203.463,213.557,198.594,209.118
2024-03-01,211.227,224.33,207.62,223.368
2024-03-08,225.845,236.572,218.715,224.862
2024-03-15,222.27,226.597,213.99,215.627
2024-03-22,219.313,226.227,209.608,222.448
2024-03-28,219.29,223.977,218.452,222.912
2024-04-05,223.05,228.368,215.65,218.679
2024-04-12,219.971,222.862,214.742,215.166
2024-04-19,218.106,218.906,194.801,195.748
2024-04-26,197.771,214.919,195.383,214.012
2024-05-03,213.637,217.07,202.852,213.291
2024-05-10,215.107,219.458,213.489,217.307
2024-05-17,218.254,229.345,217.386,225.201
2024-05-24,226.217,237.712,225.798,235.383
2024-05-31,238.136,240.386,224.471,230.894
2024-06-07,234.633,239.735,227.135,236.824
2024-06-14,234.989,251.017,234.658,249.001
2024-06-21,250.671,257.507,243.963,246.768
2024-06-28,244.545,248.428,238.87,243.656
2024-07-05,243.518,253.728,239.053,251.688
2024-07-12,253.615,264.018,252.884,256.756
2024-07-19,258.199,260.451,233.194,233.589
2024-07-26,238.608,243.468,217.97,226.604
2024-08-02,228.808,232.759,201.748,204.316
2024-08-09,190.762,211.099,190.545,209.227
2024-08-16,209.543,229.815,207.764,228.442
2024-08-23,227.553,234.636,223.888,230.576
2024-08-30,229.667,230.398,220.924,228.353
2024-09-06,224.065,224.095,200.414,201.471
2024-09-13,204.741,220.756,202.094,220.163
2024-09-20,217.021,227.286,214.423,220.973
2024-09-27,222.04,236.08,220.262,230.435
2024-10-04,227.573,230.633,220.185,228.85
2024-10-11,227.384,233.911,226.567,233.188
2024-10-18,234.673,238.149,223.542,227.147
2024-10-25,226.236,230.821,220.719,227.365
2024-11-01,227.285,234.173,214.47,218.451
2024-11-08,217.808,231.153,216.391,229.127
2024-11-15,226.968,226.968,208.553,209.172
2024-11-22,209.112,215.163,207.627,214.084
2024-11-29,216.857,218.461,206.874,213.321
2024-12-06,214.609,222.155,214.43,217.709
2024-12-13,216.391,222.492,210.142,221.145
2024-12-20,221.848,226.374,208.599,213.082
2024-12-27,214.719,223.13,214.719,219.847
2025-01-03,216.078,221.236,212.904,220.67
2025-01-10,225.422,230.014,215.026,216.435
2025-01-17,212.12,228.457,211.932,227.882
2025-01-24,229.935,236.412,227.852,228.774
2025-01-31,217.228,222.476,207.289,216.365
2025-02-07,210.672,220.283,209.253,215.116
2025-02-14,216.683,221.96,214.203,221.265
2025-02-21,222.882,231.552,221.325,222.168
2025-02-28,223.15,223.517,201.477,206.833
2025-03-07,209.799,209.938,194.891,202.201
2025-03-14,197.212,200.073,187.58,199.493
2025-03-21,198.69,205.022,195.031,198.02
2025-03-28,202.181,205.25,186.161,187.393
2025-04-04,183.44,190.71,153.555,156.555
2025-04-11,150.993,184.294,147.298,171.085
2025-04-17,176.339,176.339,160.726,165.414
2025-04-25,162.027,184.85,159.167,183.549
2025-05-02,182.636,190.561,175.563,188.734
2025-05-09,186.906,194.296,183.011,192.617
2025-05-16,205.389,215.222,203.592,211.676
2025-05-23,206.8,212.441,198.566,201.178
2025-05-30,205.548,211.716,199.743,203.542
2025-06-06,203.026,218.777,202.897,215.858
2025-06-13,217.829,228.233,217.635,219.453
2025-06-20,222.547,228.574,221.128,224.065
2025-06-27,223.97,240.114,220.83,237.751
2025-07-03,239.05,243.064,232.993,242.21
2025-07-11,240.169,246.371,236.646,245.027
2025-07-18,243.016,248.799,238.104,245.584
2025-07-25,246.206,249.028,237.95,240.418
2025-08-01,243.076,248.371,231.251,236.138
2025-08-08,237.651,242.24,232.585,241.742
2025-08-15,242.648,253.876,240.826,247.167
2025-08-22,246.39,250.82,235.999,247.933
2025-08-29,247.694,253.139,243.036,244.181
2025-09-05,237.562,247.346,237.044,245.903
2025-09-12,247.251,255.319,246.082,254.453
2025-09-19,254.015,268.294,253.348,265.182
2025-09-26,265.97,271.436,261.132,268.144
2025-10-03,271.027,283.614,267.077,279.246
2025-10-10,290.247,291.764,270.767,271.296
2025-10-17,282.058,291.514,276.652,287.435
2025-10-24,289.868,297.459,277.749,295.105
2025-10-31,300.661,311.992,299.638,305.768
2025-11-07,309.608,310.957,282.866,293.629
2025-11-14,301.668,302.586,278.697,287.784
2025-11-21,285.34,290.786,259.775,270.139
2025-11-28,273.081,296.232,272.064,295.983
2025-12-05,292.123,312.032,291.784,308.61
2025-12-12,311.129,316.54,297.2,298.716
2025-12-19,301.823,302.726,284.12,299.483
2025-12-26,306.391,307.205,301.042,305.707
2026-01-02,303.04,315.466,300.782,313.348
2026-01-09,320.351,330.31,316.055,328.422
2026-01-16,325.34,345.034,325.175,342.097
2026-01-23,335.834,354.214,335.594,344.334
2026-01-30,342.916,363.404,340.758,345.923
2026-02-06,341.997,356.731,322.978,348.13
2026-02-13,344.464,364.982,343.505,354.274
2026-02-20,349.424,361.271,344.944,359.038
2026-02-27,357.18,368.418,347.961,351.906
2026-03-06,343.415,351.946,321.14,323.158
2026-03-13,317.963,345.184,315.876,330.959
2026-03-20,338.521,343.277,326.605,332.352
2026-03-27,339.954,347.515,322.007,323.327
2026-04-02,326.595,342.488,307.109,339.449
2026-04-10,341.358,389.418,338.31,386.417
2026-04-17,384.698,415.533,384.188,415.513
2026-04-24,417.232,463.65,411.595,461.381
2026-05-01,461.531,466.689,431.535,465.529
2026-05-08,467.708,520.213,457.593,520.053
2026-05-15,523.831,533.487,495.475,508.279
2026-05-22,517.774,541.633,477.723,537.075
2026-05-29,556.726,584.223,551.628,568.81
2026-06-05,563.403,618.547,539.314,539.514
2026-06-12,569.495,602.404,521.992,595.967
2026-06-18,622.61,644.43,590.63,639.45
2026-06-26,653.955,655.95,586.66,589.94
2026-07-02,593.71,644.94,554.91,566.32
2026-07-10,583.153,598.0,536.12,581.34
2026-07-17,563.58,580.67,498.542,521.81
2026-07-22,534.0,561.18,522.84,555.52
