日期,Open,High,Low,Close
2016-04-29,75.832,75.832,72.645,73.543
2016-05-31,74.243,79.465,64.841,78.575
2016-06-30,77.828,77.847,67.281,74.272
2016-07-29,74.13,88.886,71.897,88.403
2016-08-31,88.413,90.967,85.376,90.011
2016-09-30,89.992,94.608,87.561,92.868
2016-10-31,92.395,93.303,87.561,88.413
2016-11-30,88.772,93.927,85.235,86.048
2016-12-30,86.436,86.691,74.905,75.218
2017-01-31,76.04,89.094,75.53,87.174
2017-02-28,87.637,98.042,85.859,96.349
2017-03-31,97.891,99.764,94.277,97.55
2017-04-28,97.304,103.235,94.58,100.813
2017-05-31,101.211,109.468,100.747,109.355
2017-06-30,109.733,116.534,109.61,112.363
2017-07-31,112.77,124.054,112.107,119.552
2017-08-31,120.356,121.68,113.384,120.639
2017-09-29,120.942,123.61,116.865,122.512
2017-10-31,123.023,131.839,119.618,122.664
2017-11-30,123.241,133.835,120.989,131.574
2017-12-29,131.366,139.699,128.519,135.282
2018-01-31,135.603,150.359,133.91,146.349
2018-02-28,145.687,160.849,131.11,156.943
2018-03-29,156.319,162.58,150.331,156.243
2018-04-30,155.429,160.499,149.328,153.916
2018-05-31,154.294,167.3,150.615,162.807
2018-06-29,165.049,173.666,163.952,168.852
2018-07-31,167.603,181.546,164.728,165.588
2018-08-31,164.084,172.645,161.417,172.314
2018-09-28,172.72,179.834,161.237,161.285
2018-10-31,162.334,165.21,133.589,148.922
2018-11-30,148.865,154.758,140.219,149.905
2018-12-31,152.63,153.169,125.142,137.684
2019-01-31,137.051,158.409,132.056,158.22
2019-02-28,158.645,170.696,154.115,167.007
2019-03-29,168.672,177.317,161.88,176.636
2019-04-30,178.027,186.445,176.268,186.199
2019-05-31,186.512,187.467,172.266,180.325
2019-06-28,180.808,200.851,177.119,193.483
2019-07-31,196.131,213.271,195.356,209.714
2019-08-30,217.007,229.834,206.782,224.669
2019-09-30,223.96,233.541,208.447,210.282
2019-10-31,210.017,223.714,199.414,222.588
2019-11-29,224.499,236.455,214.16,229.427
2019-12-31,229.956,239.926,224.508,237.372
2020-01-31,238.81,263.536,238.006,256.933
2020-02-28,257.804,275.104,222.824,231.252
2020-03-31,236.114,261.266,155.723,211.521
2020-04-30,201.031,271.453,197.389,256.763
2020-05-29,251.835,288.725,245.592,287.798
2020-06-30,288.772,296.916,270.28,292.017
2020-07-31,292.906,320.885,291.269,311.663
2020-08-31,314.037,330.297,302.421,327.592
2020-09-30,327.403,340.314,297.919,322.087
2020-10-30,326.145,329.219,282.775,286.266
2020-11-30,291.79,329.342,289.141,314.378
2020-12-31,315.276,315.276,276.447,292.575
2021-01-29,295.393,300.142,268.71,281.479
2021-02-26,284.081,305.127,281.65,293.899
2021-03-31,295.942,324.914,290.248,316.137
2021-04-30,322.352,355.926,318.634,351.627
2021-05-28,352.213,359.345,326.778,342.026
2021-06-30,344.589,375.416,335.849,371.33
2021-07-30,372.739,389.756,367.215,388.611
2021-08-31,390.39,406.281,383.002,403.623
2021-09-30,405.07,415.74,381.12,385.717
2021-10-29,386.795,433.74,376.301,432.321
2021-11-30,432.283,434.222,408.333,415.617
2021-12-31,420.649,442.556,405.779,430.94
2022-01-31,431.792,431.792,354.342,377.299
2022-02-28,380.354,385.045,329.143,340.645
2022-03-31,342.821,385.901,338.261,373.26
2022-04-29,373.07,380.061,338.734,341.402
2022-05-31,329.578,337.155,290.04,316.648
2022-06-30,282.151,313.914,281.073,304.9
2022-07-29,304.588,344.088,302.421,342.613
2022-08-31,339.283,360.457,319.845,320.006
2022-09-30,317.556,340.863,275.454,275.709
2022-10-31,277.336,296.784,251.088,290.749
2022-11-30,294.552,329.342,275.426,321.396
2022-12-30,325.265,334.298,298.316,304.502
2023-01-31,311.218,342.603,301.854,342.338
2023-02-28,340.134,355.089,308.948,311.275
2023-03-31,310.216,322.503,292.305,314.652
2023-04-28,312.505,331.848,300.17,331.498
2023-05-31,330.666,342.357,316.402,336.937
2023-06-30,336.086,373.089,335.036,368.587
2023-07-31,366.203,394.845,356.432,362.552
2023-08-31,362.448,366.676,345.791,359.951
