日期,Open,High,Low,Close
2023-07-24,169.52,169.52,159.67,163.72
2023-07-25,150.1,152.65,139.153,140.38
2023-07-26,141.69,149.21,141.1,149.13
2023-07-27,151.47,151.8,142.885,144.52
2023-07-28,146.05,149.33,142.63,148.6
2023-07-31,149.7,151.31,148.09,149.41
2023-08-01,148.61,152.8,148.05,150.84
2023-08-02,149.21,150.19,143.84,146.51
2023-08-03,144.57,147.42,143.74,145.42
2023-08-04,145.27,146.5,143.04,144.12
2023-08-07,145.1,145.1,141.1,141.99
2023-08-08,141.14,141.42,137.22,138.37
2023-08-09,138.47,140.18,137.42,139.09
2023-08-10,140.34,140.699,135.22,136.43
2023-08-11,136.39,139.195,135.895,138.68
2023-08-14,137.3,139.665,135.34,139.38
2023-08-15,138.38,138.58,133.27,133.43
2023-08-16,132.6,136.14,132.28,134.35
2023-08-17,134.35,134.854,131.19,131.57
2023-08-18,129.9,132.475,129.23,131.87
2023-08-21,131.92,132.97,130.0,132.49
2023-08-22,133.0,134.03,131.045,133.44
2023-08-23,133.22,139.01,133.11,138.24
2023-08-24,139.18,140.32,135.26,135.76
2023-08-25,138.81,138.81,133.69,137.22
2023-08-28,138.89,142.15,138.26,141.26
2023-08-29,140.61,144.8,140.5,144.51
2023-08-30,144.64,149.6,144.395,149.45
2023-08-31,149.95,154.92,149.82,153.97
2023-09-01,155.56,158.51,155.2,157.56
2023-09-05,156.03,160.845,154.87,159.32
2023-09-06,161.9,163.65,159.055,160.47
2023-09-07,158.57,161.95,157.79,160.1
2023-09-08,159.83,161.19,154.4,155.47
2023-09-11,155.99,158.07,154.815,157.66
2023-09-12,156.65,158.27,154.02,154.65
2023-09-13,153.14,155.57,151.11,155.49
2023-09-14,155.29,158.8,154.65,157.15
2023-09-15,156.68,158.66,153.91,158.58
2023-09-18,157.36,160.2,155.54,159.24
2023-09-19,158.5,160.9,156.28,160.17
2023-09-20,163.03,167.74,160.71,160.77
2023-09-21,158.52,158.79,153.69,154.06
2023-09-22,156.38,159.55,155.93,156.35
2023-09-25,155.67,156.35,151.49,155.52
2023-09-26,154.02,157.0,151.28,152.36
2023-09-27,153.33,155.48,152.05,153.75
2023-09-28,150.8,154.55,147.86,153.53
2023-09-29,157.35,158.9,154.52,154.64
2023-10-02,155.29,159.61,154.69,158.11
2023-10-03,157.44,159.56,152.32,154.51
2023-10-04,154.21,159.98,154.12,159.58
2023-10-05,158.73,159.57,154.62,157.31
2023-10-06,155.64,161.38,154.83,160.53
2023-10-09,155.84,157.83,153.165,156.45
2023-10-10,156.21,160.15,155.215,157.6
2023-10-11,157.42,159.74,153.31,156.57
2023-10-12,159.52,162.46,156.02,158.12
2023-10-13,156.86,157.69,152.9,153.56
2023-10-16,153.52,158.26,152.79,158.12
2023-10-17,157.45,159.36,156.57,157.33
2023-10-18,156.0,156.175,148.66,148.92
2023-10-19,152.61,154.53,149.56,149.97
2023-10-20,149.3,151.45,145.76,149.92
2023-10-23,146.06,155.83,145.79,154.61
2023-10-24,163.98,173.45,163.0,170.63
2023-10-25,169.94,170.5,160.05,161.82
2023-10-26,162.75,165.35,155.0,158.38
2023-10-27,158.59,162.06,158.1,159.35
2023-10-30,161.2,164.27,159.75,162.67
2023-10-31,163.03,165.57,161.39,164.76
2023-11-01,165.0,167.9,163.65,167.63
2023-11-02,170.5,171.0,167.24,167.31
2023-11-03,167.5,170.95,167.05,169.98
2023-11-06,169.58,169.695,165.59,167.24
2023-11-07,168.45,168.77,165.28,165.5
2023-11-08,165.87,170.3,164.83,169.97
2023-11-09,171.2,175.15,170.21,170.28
2023-11-10,169.52,171.67,167.64,170.98
2023-11-13,170.0,173.23,169.02,171.17
2023-11-14,174.56,175.0,171.05,174.41
2023-11-15,174.43,176.65,173.68,173.76
2023-11-16,171.85,176.34,170.62,175.28
2023-11-17,175.72,177.02,174.67,176.05
2023-11-20,175.04,180.95,175.0,179.86
2023-11-21,178.54,180.18,178.01,178.68
2023-11-22,179.63,182.5,179.0,181.2
2023-11-24,179.22,182.305,178.73,181.7
2023-11-27,182.0,184.485,181.36,183.04
2023-11-28,183.0,184.92,182.04,182.61
2023-11-29,183.0,184.28,180.42,182.31
2023-11-30,183.03,185.59,180.646,185.11
2023-12-01,180.73,183.34,179.66,180.69
2023-12-04,193.0,201.415,192.0,194.17
2023-12-05,192.9,199.97,191.26,199.32
2023-12-06,199.0,202.88,193.58,193.79
2023-12-07,193.95,196.3,193.02,195.82
2023-12-08,192.26,198.39,191.0,198.05
2023-12-11,200.0,200.0,196.32,197.76
2023-12-12,197.13,199.99,195.7,199.0
2023-12-13,199.02,202.33,196.301,199.49
2023-12-14,198.35,200.82,195.52,196.15
2023-12-15,195.1,195.455,191.42,192.17
2023-12-18,190.74,194.75,189.17,193.04
2023-12-19,192.58,193.972,190.211,190.83
2023-12-20,190.24,192.25,188.01,188.71
2023-12-21,195.31,195.715,192.605,192.85
