日期,Open,High,Low,Close
2023-07-24,70.475,71.022,69.799,70.505
2023-07-25,70.644,71.32,70.495,70.625
2023-07-26,68.596,70.167,68.497,69.611
2023-07-27,69.591,69.611,67.165,67.732
2023-07-28,67.821,68.159,66.568,67.861
2023-07-31,67.742,69.036,67.602,68.139
2023-08-01,66.708,67.403,66.568,66.668
2023-08-02,64.441,64.469,62.671,63.009
2023-08-03,63.288,64.6,63.119,63.258
2023-08-04,63.705,63.825,62.224,62.353
2023-08-07,62.423,62.433,61.598,61.846
2023-08-08,61.041,61.727,60.792,61.677
2023-08-09,62.323,63.556,62.134,63.029
2023-08-10,63.029,63.755,62.149,62.413
2023-08-11,61.647,61.756,60.942,61.458
2023-08-14,60.773,61.816,59.749,61.657
2023-08-15,60.723,61.016,59.107,59.232
2023-08-16,58.655,59.028,57.74,57.85
2023-08-17,58.148,58.257,56.806,56.935
2023-08-18,56.09,57.034,55.742,56.677
2023-08-21,56.687,56.687,55.608,56.05
2023-08-22,56.468,56.468,55.046,55.464
2023-08-23,55.414,56.726,55.372,56.428
2023-08-24,56.696,56.696,55.116,55.175
2023-08-25,55.205,56.17,55.126,55.842
2023-08-28,56.269,56.557,55.812,56.15
2023-08-29,56.229,58.655,56.229,58.377
2023-08-30,58.287,58.546,57.701,57.939
2023-08-31,57.959,58.426,57.765,57.889
2023-09-01,58.257,59.112,57.87,58.068
2023-09-05,57.86,58.188,57.522,57.681
2023-09-06,57.343,57.661,56.084,56.478
2023-09-07,55.245,55.364,54.4,55.235
2023-09-08,55.325,55.414,54.748,55.245
2023-09-11,55.673,56.11,55.225,55.404
2023-09-12,55.165,56.627,55.006,56.458
2023-09-13,56.339,56.667,55.036,55.295
2023-09-14,55.533,56.885,55.295,56.766
2023-09-15,56.07,56.612,55.275,55.593
2023-09-18,55.225,55.225,53.853,53.923
2023-09-19,53.923,54.987,53.923,54.281
2023-09-20,54.678,55.284,54.072,54.221
2023-09-21,53.644,53.744,52.924,53.277
2023-09-22,53.684,53.784,52.501,52.511
2023-09-25,51.865,53.088,51.767,52.263
2023-09-26,51.427,52.163,51.358,51.437
2023-09-27,51.805,52.422,51.08,51.378
2023-09-28,51.606,51.805,50.364,51.547
2023-09-29,52.213,53.221,51.169,51.487
2023-10-02,50.901,51.03,48.952,49.141
2023-10-03,48.604,48.604,46.894,47.312
2023-10-04,47.53,47.799,46.099,47.62
2023-10-05,47.322,47.615,46.034,46.387
2023-10-06,45.731,47.759,45.562,47.451
2023-10-09,46.546,47.182,46.139,46.815
2023-10-10,47.153,49.678,46.924,49.469
2023-10-11,50.503,50.898,49.479,50.105
2023-10-12,50.105,50.165,48.117,48.713
2023-10-13,48.912,49.051,47.868,48.047
2023-10-16,47.839,48.873,47.351,48.684
2023-10-17,47.898,50.055,47.898,49.389
2023-10-18,48.843,48.843,47.709,47.948
2023-10-19,47.58,47.789,46.347,46.477
2023-10-20,42.599,44.409,42.54,43.663
2023-10-23,42.937,44.041,42.301,43.425
2023-10-24,43.693,44.896,43.653,44.001
2023-10-25,42.967,43.136,41.794,42.391
2023-10-26,42.271,43.435,42.271,42.798
2023-10-27,41.754,42.092,40.646,40.711
2023-10-30,41.387,42.336,40.583,41.108
2023-10-31,41.108,41.774,40.959,41.734
2023-11-01,41.774,41.913,40.502,41.277
2023-11-02,41.516,43.186,41.436,42.788
2023-11-03,44.16,45.323,43.872,44.439
2023-11-06,45.035,45.035,43.275,43.623
2023-11-07,43.017,43.872,42.808,43.653
2023-11-08,43.057,43.146,42.013,42.291
2023-11-09,42.261,42.808,41.158,41.317
2023-11-10,40.86,41.218,40.313,41.158
2023-11-13,40.969,41.864,40.63,41.466
2023-11-14,43.335,45.865,43.335,45.761
2023-11-15,46.089,47.809,45.83,46.377
2023-11-16,45.602,46.168,45.005,45.214
2023-11-17,45.642,45.642,44.289,45.363
2023-11-20,46.019,47.083,45.323,46.755
2023-11-21,46.278,46.528,45.651,45.771
2023-11-22,46.337,46.457,45.632,45.791
2023-11-24,45.343,45.542,45.075,45.214
2023-11-27,44.826,45.075,44.279,44.369
2023-11-28,44.2,45.224,43.792,45.025
2023-11-29,45.492,46.318,45.284,45.572
2023-11-30,45.453,45.9,44.767,45.572
2023-12-01,45.105,47.67,44.876,47.59
2023-12-04,47.461,48.346,47.113,47.461
2023-12-05,46.785,47.66,46.566,46.954
2023-12-06,47.182,47.908,46.278,46.308
2023-12-07,46.248,46.651,46.079,46.377
2023-12-08,46.208,46.964,45.045,45.552
2023-12-11,44.946,45.88,44.747,45.542
2023-12-12,45.005,45.204,43.385,44.2
2023-12-13,43.633,46.715,43.246,46.665
2023-12-14,48.614,51.454,48.614,50.463
2023-12-15,51.626,52.074,50.234,51.477
2023-12-18,50.53,51.525,49.505,50.351
2023-12-19,51.326,52.868,51.167,52.69
2023-12-20,52.948,52.948,50.311,50.391
2023-12-21,51.535,52.957,51.535,52.799
2023-12-22,52.839,53.107,51.918,52.331
2023-12-26,52.232,53.64,52.177,53.396
2023-12-27,53.635,53.734,53.051,53.416
2023-12-28,53.326,54.351,53.326,53.953
2023-12-29,53.585,54.125,53.008,53.088
2024-01-02,52.142,53.157,51.476,51.814
