日期,Open,High,Low,Close
2011-07-29,-295.65,-291.81,-298.14,-296.78
2011-08-31,-296.04,-294.88,-313.09,-294.99
2011-09-30,-294.4,-293.56,-307.2,-305.18
2011-10-31,-305.99,-291.86,-312.55,-292.93
2011-11-30,-296.35,-284.12,-297.51,-290.43
2011-12-30,-290.78,-287.94,-294.85,-290.86
2012-01-31,-287.96,-281.75,-294.88,-282.32
2012-02-29,-281.59,-265.37,-281.6,-268.06
2012-03-30,-267.85,-267.19,-276.25,-271.09
2012-04-30,-270.81,-258.56,-275.29,-260.73
2012-05-31,-260.35,-254.16,-268.42,-263.85
2012-06-28,-265.51,-256.54,-266.56,-259.28
2012-07-31,-251.92,-250.52,-269.08,-263.49
2012-08-31,-262.78,-243.7,-267.89,-248.23
2012-09-28,-247.83,-240.13,-250.45,-244.98
2012-10-31,-244.95,-234.23,-247.71,-240.79
2012-11-30,-241.33,-233.51,-257.39,-237.98
2012-12-31,-237.58,-237.18,-249.21,-237.64
2013-01-31,-235.2,-232.72,-241.0,-238.56
2013-02-28,-237.55,-227.55,-239.54,-231.66
2013-03-28,-232.29,-220.88,-233.46,-221.08
2013-04-30,-220.81,-218.83,-231.07,-227.2
2013-05-31,-227.27,-218.03,-228.87,-227.9
2013-06-28,-227.58,-209.38,-231.08,-217.23
2013-07-31,-217.43,-206.18,-223.86,-207.41
2013-08-30,-206.3,-201.95,-216.17,-215.0
2013-09-30,-214.17,-205.92,-217.52,-213.3
2013-10-31,-213.69,-203.4,-215.14,-206.59
2013-11-29,-206.59,-192.81,-208.81,-195.48
2013-12-31,-195.16,-189.06,-198.9,-190.98
2014-01-31,-191.4,-175.74,-193.13,-184.97
2014-02-28,-184.45,-171.17,-187.18,-173.86
2014-03-31,-174.31,-164.36,-175.4,-166.8
2014-04-30,-166.05,-164.41,-179.89,-174.13
2014-05-30,-174.4,-163.17,-176.95,-163.29
2014-06-30,-162.92,-153.71,-164.81,-159.74
2014-07-31,-159.8,-151.94,-162.26,-159.08
2014-08-29,-159.35,-137.02,-159.35,-139.01
2014-09-30,-139.0,-134.76,-145.3,-142.67
2014-10-31,-143.01,-138.5,-160.39,-139.97
2014-11-28,-139.88,-127.32,-142.4,-129.21
2014-12-31,-130.33,-125.96,-136.94,-130.65
2015-01-30,-130.24,-117.96,-132.7,-121.47
2015-02-27,-120.6,-100.79,-123.99,-110.14
2015-03-31,-109.54,-106.36,-114.8,-108.28
2015-04-30,-109.54,-103.0,-115.67,-114.87
2015-05-29,-112.5,-96.64,-114.53,-100.96
2015-06-30,-100.0,-94.82,-102.89,-102.33
2015-07-31,-101.19,-92.09,-112.19,-100.7
2015-08-31,-100.18,-82.1,-112.26,-97.17
2015-09-30,-101.33,-92.03,-118.65,-114.59
2015-10-30,-115.38,-102.98,-116.78,-107.15
2015-11-30,-107.33,-89.06,-108.33,-92.37
2015-12-31,-91.43,-88.49,-113.05,-98.55
2016-01-29,-98.8,-94.58,-116.8,-102.27
2016-02-29,-103.52,-97.0,-146.24,-113.42
2016-03-31,-111.84,-97.0,-114.31,-106.66
2016-04-29,-108.59,-93.23,-109.96,-99.13
2016-05-31,-98.89,-61.13,-106.89,-63.46
2016-06-30,-65.26,-59.0,-73.54,-63.31
2016-07-29,-63.4,-46.72,-69.72,-47.48
2016-08-31,-48.47,-37.04,-50.88,-41.81
2016-09-30,-41.56,-32.62,-48.48,-37.88
2016-10-31,-39.15,-29.01,-52.0,-30.54
2016-11-30,-29.59,-25.67,-53.72,-51.57
2016-12-30,-51.88,-45.51,-67.86,-54.04
2017-01-31,-51.65,-45.62,-88.35,-86.6
2017-02-28,-85.87,-45.93,-86.69,-48.8
2017-03-31,-48.64,-43.43,-99.28,-82.84
2017-04-28,-83.8,-50.88,-85.59,-56.27
2017-05-31,-55.56,-34.66,-65.46,-34.92
2017-06-30,-35.29,-28.01,-52.82,-34.13
2017-07-31,-34.09,-13.35,-39.95,-20.86
2017-08-31,-19.98,-8.0,-35.63,-20.34
2017-09-29,-19.75,-13.59,-31.43,-25.35
2017-10-31,-24.36,-2.23,-26.06,-3.5
2017-11-30,-1.36,4.57,-20.17,2.79
2017-12-29,2.35,3.64,-12.6,-6.38
2018-01-31,-5.54,40.38,-15.71,35.91
2018-02-28,34.96,37.47,-12.6,7.31
2018-03-29,7.28,32.93,-2.01,25.94
2018-04-30,24.41,52.62,17.36,39.57
2018-05-31,40.81,57.99,30.11,53.11
2018-06-29,55.39,66.66,50.76,64.14
2018-07-31,62.22,96.67,57.04,94.54
2018-08-31,93.32,95.39,65.92,69.0
2018-09-28,68.32,94.4,65.97,91.3
2018-10-31,94.09,94.35,26.36,49.25
2018-11-30,51.39,89.63,36.44,80.67
2018-12-31,88.15,93.35,30.46,59.06
2019-01-31,54.51,112.56,43.86,110.0
2019-02-28,110.5,159.25,105.03,153.09
2019-03-29,155.94,174.72,140.98,172.99
2019-04-30,176.55,206.04,172.05,201.52
2019-05-31,205.97,208.95,159.61,159.95
2019-06-28,159.25,220.17,156.98,202.8
2019-07-31,208.88,221.67,193.49,204.44
2019-08-30,204.19,289.47,174.4,287.32
2019-09-30,288.0,291.1,242.01,269.67
2019-10-31,270.62,288.68,246.33,275.28
2019-11-29,280.03,330.07,276.8,316.1
2019-12-31,316.49,351.53,299.01,341.5
2020-01-31,342.3,448.79,340.6,424.78
2020-02-28,427.99,455.01,297.91,339.31
2020-03-31,341.2,367.99,-18.44,101.69
2020-04-30,84.08,160.5,41.5,144.58
2020-05-29,137.02,227.65,85.01,206.32
2020-06-30,205.27,319.06,194.63,223.55
2020-07-31,223.32,237.85,186.51,213.08
2020-08-31,211.51,289.39,202.97,281.17
2020-09-30,277.67,310.7,249.41,256.62
2020-10-30,263.03,285.39,235.26,258.91
2020-11-30,263.86,400.82,260.61,360.69
2020-12-31,369.34,404.07,364.99,400.35
2021-01-29,393.44,401.26,298.87,334.78
2021-02-26,340.96,406.55,337.0,358.17
2021-03-31,369.56,407.5,344.25,369.42
2021-04-30,371.86,414.54,365.23,395.24
2021-05-28,398.72,432.18,358.03,430.34
2021-06-30,435.18,469.53,421.29,428.79
2021-07-30,430.82,443.81,375.315,422.59
2021-08-31,430.35,432.23,368.58,388.97
2021-09-30,392.37,435.82,362.53,406.07
2021-10-29,412.46,439.736,399.48,405.32
2021-11-30,405.59,467.56,339.61,359.55
2021-12-31,374.11,423.74,334.215,417.78
2022-01-31,420.42,450.53,356.53,397.69
2022-02-28,397.32,455.99,390.335,448.09
2022-03-31,445.28,466.22,368.33,433.04
2022-04-29,437.8,459.58,375.105,376.31
2022-05-31,376.49,405.685,312.73,386.87
2022-06-30,389.14,414.84,281.58,318.17
