日期,Open,High,Low,Close
2020-07-24,5.55,6.13,4.92,5.3
2020-07-31,5.36,5.48,5.0,5.27
2020-08-07,5.4,5.83,5.31,5.4
2020-08-14,5.8,7.2,5.4,6.52
2020-08-21,6.65,7.01,5.77,5.9
2020-08-28,5.93,5.95,5.44,5.58
2020-09-04,5.57,5.57,4.6,4.94
2020-09-11,4.75,4.89,4.63,4.69
2020-09-18,4.75,5.14,4.71,4.93
2020-09-25,4.8,4.85,4.33,4.72
2020-10-02,4.78,4.89,4.56,4.69
2020-10-09,4.69,5.38,4.66,5.23
2020-10-16,5.3,5.35,4.56,4.74
2020-10-23,4.74,5.08,4.62,5.06
2020-10-30,4.96,5.0,4.48,4.55
2020-11-06,4.61,5.13,4.3,4.97
2020-11-13,5.26,5.42,4.83,5.38
2020-11-20,6.05,7.38,5.6,7.15
2020-11-27,7.35,7.41,5.81,6.24
2020-12-04,6.18,6.24,5.28,5.51
2020-12-11,5.51,5.78,5.12,5.35
2020-12-18,5.39,6.47,5.39,6.11
2020-12-24,5.99,8.32,5.62,6.79
2020-12-31,6.84,8.45,6.43,7.94
2021-01-08,8.12,10.98,7.32,10.75
2021-01-15,10.23,15.25,9.81,13.91
2021-01-22,14.68,18.88,14.1,17.76
2021-01-29,19.1,20.09,15.1,15.78
2021-02-05,16.15,27.98,15.91,26.15
2021-02-12,25.85,31.85,25.7,29.97
2021-02-19,31.313,38.5,29.52,34.98
2021-02-26,33.2,34.76,22.6,23.85
2021-03-05,25.7,27.18,16.271,19.3
2021-03-12,18.76,24.58,16.51,23.74
2021-03-19,24.27,24.34,19.7,20.76
2021-03-26,20.96,20.97,13.01,14.47
2021-04-01,14.918,19.85,12.87,17.58
2021-04-09,18.0,20.25,16.15,19.96
2021-04-16,19.54,21.35,17.26,19.17
2021-04-23,18.77,21.1,16.42,20.93
2021-04-30,21.33,23.3,20.11,21.36
2021-05-07,21.16,21.24,16.665,17.06
2021-05-14,16.66,17.05,14.21,16.79
2021-05-21,16.66,18.18,16.18,17.39
2021-05-28,17.34,23.95,16.58,22.79
2021-06-04,23.84,28.38,22.03,26.7
2021-06-11,26.867,28.9,24.49,28.56
2021-06-18,29.143,29.93,22.65,25.04
2021-06-25,25.14,28.71,22.259,27.08
2021-07-02,27.445,29.7,25.2,25.57
2021-07-09,22.92,23.08,18.86,20.51
2021-07-16,20.51,21.06,17.59,17.92
2021-07-23,17.45,20.31,16.1,16.88
2021-07-30,15.7,17.93,13.66,15.95
2021-08-06,16.32,18.44,16.19,17.24
2021-08-13,17.67,19.08,16.02,16.07
2021-08-20,15.79,15.9,12.56,13.27
2021-08-27,13.62,15.0,12.701,12.91
2021-09-03,12.8,15.12,11.96,13.75
2021-09-10,14.27,15.8,12.74,14.53
2021-09-17,14.826,14.88,12.66,12.9
2021-09-24,12.2,12.9,11.37,11.49
2021-10-01,11.31,11.58,10.147,10.42
2021-10-08,10.13,11.3,9.63,10.7
2021-10-15,11.12,11.44,7.68,7.91
2021-10-22,7.36,9.5,7.27,8.66
2021-10-29,8.68,10.8,6.46,6.47
2021-11-05,6.68,7.46,6.55,6.81
2021-11-12,6.75,7.38,6.55,7.34
2021-11-19,7.36,7.77,6.495,6.52
2021-11-26,6.59,6.67,5.84,5.91
2021-12-03,6.02,6.18,4.625,5.57
2021-12-10,5.378,6.32,5.26,5.77
2021-12-17,5.72,5.74,4.16,4.95
2021-12-23,4.7,5.09,4.65,4.9
2021-12-31,4.955,5.27,4.5,4.91
2022-01-07,4.96,5.06,4.08,4.33
2022-01-14,4.33,4.98,4.175,4.38
2022-01-21,4.27,5.21,4.262,4.71
2022-01-28,4.51,4.54,3.61,3.85
2022-02-04,3.95,4.495,3.93,4.17
2022-02-11,4.16,4.73,3.985,4.58
2022-02-18,4.47,5.18,4.36,4.64
2022-02-25,4.474,4.605,3.69,4.52
2022-03-04,4.39,4.695,3.945,3.98
2022-03-11,3.95,4.083,3.15,3.16
2022-03-18,2.87,5.9,2.68,5.48
2022-03-25,5.24,7.07,5.181,5.65
2022-04-01,5.8,6.188,4.8,4.95
2022-04-08,5.35,5.7,4.76,4.83
2022-04-14,4.69,4.955,4.511,4.7
2022-04-22,4.62,4.86,4.06,4.08
2022-04-29,3.9,4.33,3.6,3.88
2022-05-06,3.91,4.09,3.585,3.68
2022-05-13,3.48,3.6,3.03,3.48
2022-05-20,3.49,4.14,3.46,3.86
2022-05-27,3.88,4.04,3.35,4.01
2022-06-03,4.12,4.28,3.857,4.07
2022-06-10,4.4,5.398,4.12,4.13
2022-06-17,3.81,4.489,3.675,4.05
2022-06-24,4.17,4.9,4.16,4.88
2022-07-01,5.0,5.12,4.46,4.69
2022-07-08,4.6,4.98,4.525,4.65
2022-07-15,4.56,4.56,4.08,4.28
2022-07-22,4.38,4.52,3.865,3.9
2022-07-29,3.93,3.999,3.78,3.78
2022-08-05,3.76,3.95,3.46,3.66
2022-08-12,3.67,3.99,3.48,3.88
2022-08-19,3.8,3.9,3.44,3.45
2022-08-26,3.42,4.36,3.308,3.81
2022-09-02,3.81,4.0,3.5,3.61
2022-09-09,3.61,3.915,3.48,3.87
2022-09-16,3.88,3.93,3.5,3.57
2022-09-23,3.52,3.65,3.17,3.22
2022-09-30,3.25,3.445,3.214,3.29
2022-10-07,3.3,3.52,3.22,3.32
2022-10-14,3.3,3.46,3.1,3.37
2022-10-21,3.43,3.74,3.345,3.64
2022-10-28,3.23,3.86,3.13,3.76
2022-11-04,3.74,4.195,3.675,4.17
2022-11-11,4.2,4.44,3.77,4.39
2022-11-18,4.46,5.2,4.41,4.61
2022-11-25,4.57,5.037,4.45,4.48
2022-12-02,4.6,5.515,4.55,5.39
2022-12-09,5.75,5.79,5.11,5.34
2022-12-16,5.26,5.52,4.91,5.08
2022-12-23,5.12,5.13,4.81,4.92
2022-12-30,4.94,5.08,3.35,3.41
2023-01-06,3.53,3.94,3.2,3.68
2023-01-13,3.81,4.15,3.65,4.14
2023-01-20,4.03,4.11,3.82,4.01
2023-01-27,4.04,4.25,3.93,4.2
2023-02-03,3.96,4.52,3.95,4.35
2023-02-10,4.23,4.24,3.76,3.81
2023-02-17,3.82,4.13,3.76,3.87
2023-02-24,3.8,3.92,3.58,3.65
2023-03-03,3.72,3.86,3.61,3.79
2023-03-10,3.76,3.775,3.09,3.12
2023-03-17,3.24,3.245,2.975,3.03
2023-03-24,3.01,3.268,2.95,3.1
2023-03-31,3.12,3.38,2.98,3.33
2023-04-06,3.3,3.4,3.12,3.21
2023-04-14,3.2,3.49,3.195,3.25
2023-04-21,3.31,3.33,3.07,3.07
2023-04-28,3.09,3.09,2.84,2.92
2023-05-05,2.92,2.94,2.65,2.87
2023-05-12,2.91,2.945,2.76,2.76
2023-05-19,2.83,2.869,2.31,2.4
2023-05-26,2.39,2.7,2.39,2.59
2023-06-02,2.91,3.26,2.61,3.11
2023-06-09,3.08,3.215,2.97,3.19
2023-06-16,3.2,3.31,3.05,3.07
2023-06-23,3.07,3.07,2.74,2.76
2023-06-30,2.77,2.945,2.74,2.84
2023-07-07,2.87,2.96,2.75,2.88
2023-07-14,2.83,3.29,2.83,3.14
2023-07-21,3.13,3.3,3.01,3.02
2023-07-28,3.02,4.04,3.01,4.02
2023-08-04,4.0,4.6,3.76,4.11
2023-08-11,4.12,4.18,3.515,3.53
2023-08-18,3.52,3.55,3.21,3.34
2023-08-25,3.26,3.58,3.26,3.48
2023-09-01,3.58,5.561,3.495,5.21
2023-09-08,5.12,5.8,4.89,5.11
2023-09-15,5.25,5.605,5.11,5.28
2023-09-22,5.13,5.27,4.66,4.99
2023-09-29,4.86,5.55,4.86,5.12
2023-10-06,5.12,5.18,4.741,5.09
2023-10-13,5.02,5.722,4.92,5.08
2023-10-20,5.05,5.175,4.45,4.54
2023-10-27,4.44,4.915,4.4,4.6
2023-11-03,4.7,4.87,4.41,4.79
2023-11-10,4.88,4.99,4.533,4.71
2023-11-17,4.75,5.1,4.61,4.7
2023-11-24,4.74,5.06,4.68,4.86
2023-12-01,5.24,5.5,4.26,4.48
2023-12-08,4.32,4.41,4.13,4.32
2023-12-15,4.27,4.45,4.045,4.24
2023-12-22,4.2,4.25,4.03,4.06
2023-12-29,4.1,4.52,4.07,4.42
2024-01-05,4.33,4.38,4.07,4.22
2024-01-12,4.14,4.213,3.83,3.86
2024-01-19,3.8,3.85,3.46,3.59
2024-01-26,3.5,4.32,3.43,3.91
2024-02-02,3.87,3.9,3.661,3.7
2024-02-09,3.69,3.85,3.565,3.82
2024-02-16,3.84,4.09,3.71,4.03
2024-02-23,4.0,4.03,3.855,3.93
2024-03-01,3.9,4.4,3.88,4.32
2024-03-08,4.31,4.32,4.015,4.13
2024-03-15,4.2,5.05,4.18,4.32
2024-03-22,4.37,4.59,3.6,3.6
2024-03-28,3.67,3.72,3.4,3.44
2024-04-05,3.46,3.59,3.298,3.35
2024-04-12,3.38,3.57,3.28,3.29
2024-04-19,3.31,3.33,3.1,3.15
