日期,Open,High,Low,Close
2023-07-24,14.361,15.556,14.227,15.504
2023-07-25,15.781,15.808,15.132,15.158
2023-07-26,14.98,15.392,14.855,15.088
2023-07-27,15.418,15.478,14.296,14.335
2023-07-28,14.673,15.296,14.547,15.244
2023-07-31,15.314,15.448,14.993,15.305
2023-08-01,15.21,15.218,14.694,14.768
2023-08-02,14.292,14.621,13.859,14.179
2023-08-03,13.988,14.699,13.98,14.603
2023-08-04,14.733,15.045,14.071,14.127
2023-08-07,13.928,14.101,13.205,13.919
2023-08-08,13.59,13.885,13.391,13.781
2023-08-09,13.885,13.885,13.131,13.166
2023-08-10,13.408,13.925,13.217,13.417
2023-08-11,13.105,13.27,12.81,13.174
2023-08-14,12.603,13.01,12.455,12.949
2023-08-15,12.862,12.992,12.36,12.395
2023-08-16,11.996,12.455,11.78,11.797
2023-08-17,11.84,11.875,11.251,11.286
2023-08-18,10.888,11.156,10.749,11.0
2023-08-21,11.468,12.273,11.377,12.213
2023-08-22,12.914,12.949,12.057,12.36
2023-08-23,12.04,12.802,12.04,12.637
2023-08-24,12.785,12.793,11.94,12.092
2023-08-25,12.187,12.784,12.109,12.759
2023-08-28,13.079,13.209,12.501,12.785
2023-08-29,12.741,14.248,12.698,14.24
2023-08-30,13.997,14.517,13.685,14.231
2023-08-31,14.153,14.551,14.058,14.309
2023-09-01,14.24,14.378,13.01,13.218
2023-09-05,13.192,14.266,13.192,14.144
2023-09-06,14.032,14.049,13.196,13.772
2023-09-07,13.192,13.824,13.044,13.711
2023-09-08,13.703,14.118,13.313,13.469
2023-09-11,14.733,15.608,14.456,15.513
2023-09-12,15.262,15.903,14.907,14.985
2023-09-13,15.21,15.613,15.028,15.305
2023-09-14,15.288,15.755,15.218,15.695
2023-09-15,15.825,15.937,15.262,15.556
2023-09-18,15.279,15.296,14.638,14.777
2023-09-19,14.709,14.988,14.43,14.866
2023-09-20,14.927,15.494,14.535,14.552
2023-09-21,14.134,14.387,13.842,13.968
2023-09-22,14.099,14.129,13.044,13.07
2023-09-25,12.939,13.245,12.547,13.236
2023-09-26,12.922,13.445,12.81,13.018
2023-09-27,13.035,13.096,12.242,12.704
2023-09-28,12.686,13.262,12.564,13.175
2023-09-29,13.471,13.846,13.17,13.488
2023-10-02,13.044,13.802,12.861,13.593
2023-10-03,13.358,13.454,13.009,13.183
2023-10-04,13.323,14.4,13.263,14.352
2023-10-05,14.238,14.535,13.933,14.23
2023-10-06,13.715,14.376,13.471,14.273
2023-10-09,13.846,14.343,13.584,14.195
2023-10-10,14.055,14.962,14.038,14.517
2023-10-11,14.744,14.935,14.3,14.482
2023-10-12,14.474,14.666,13.946,14.142
2023-10-13,14.134,14.185,13.414,13.48
2023-10-16,13.401,13.829,13.279,13.724
2023-10-17,13.384,13.977,13.157,13.794
2023-10-18,13.619,13.767,12.747,12.8
2023-10-19,11.466,11.836,10.742,11.012
2023-10-20,10.768,10.904,10.271,10.393
2023-10-23,10.236,10.746,9.691,10.393
2023-10-24,10.716,11.126,10.541,10.725
2023-10-25,10.672,10.982,10.393,10.419
2023-10-26,10.323,10.585,9.853,9.914
2023-10-27,10.271,10.393,9.918,10.027
2023-10-30,10.175,10.28,9.103,9.303
2023-10-31,9.207,9.687,9.068,9.547
2023-11-01,9.774,9.913,9.329,9.896
2023-11-02,10.411,10.864,10.306,10.82
2023-11-03,11.004,11.396,10.803,10.908
2023-11-06,11.222,11.387,10.541,10.855
2023-11-07,10.908,11.143,10.594,11.082
2023-11-08,11.143,11.213,10.733,11.073
2023-11-09,10.89,10.964,9.914,10.158
2023-11-10,10.158,10.541,9.844,10.489
2023-11-13,10.559,11.274,10.262,11.152
2023-11-14,12.006,12.231,11.675,12.172
2023-11-15,12.329,12.887,12.102,12.599
2023-11-16,12.32,12.433,11.657,11.858
2023-11-17,11.736,12.154,11.326,11.936
2023-11-20,11.902,12.128,11.666,12.015
2023-11-21,11.963,12.625,11.841,12.433
2023-11-22,12.503,12.651,11.675,11.893
2023-11-24,11.849,12.233,11.753,11.989
2023-11-27,12.085,12.207,11.727,12.032
2023-11-28,12.076,12.856,11.871,12.843
2023-11-29,13.035,13.305,12.529,12.643
2023-11-30,12.721,12.721,12.067,12.303
2023-12-01,11.771,12.32,11.684,12.207
2023-12-04,11.971,12.254,11.793,11.963
2023-12-05,11.823,12.808,11.814,12.215
2023-12-06,12.529,12.8,12.233,12.25
2023-12-07,12.425,12.607,12.059,12.495
2023-12-08,12.302,12.7,12.231,12.569
2023-12-11,12.515,12.551,12.093,12.249
2023-12-12,12.16,12.195,11.813,12.044
2023-12-13,11.831,12.302,11.378,12.222
2023-12-14,12.364,13.342,12.346,13.12
2023-12-15,13.129,13.36,12.906,13.289
2023-12-18,13.342,13.724,13.142,13.2
2023-12-19,13.289,13.689,13.28,13.591
2023-12-20,13.538,13.809,12.782,12.8
2023-12-21,13.181,13.387,12.902,13.369
2023-12-22,13.549,13.653,13.109,13.208
2023-12-26,13.352,13.629,13.235,13.522
2023-12-27,13.656,14.06,13.594,13.907
2023-12-28,14.078,14.194,13.199,13.244
2023-12-29,13.387,13.396,12.787,12.876
2024-01-02,12.993,13.074,12.549,12.867
2024-01-03,12.589,12.639,11.925,12.078
2024-01-04,12.132,12.401,12.025,12.042
2024-01-05,11.944,12.195,11.809,11.989
2024-01-08,11.899,12.28,11.836,12.222
2024-01-09,12.042,12.105,11.576,11.791
2024-01-10,11.809,11.836,11.531,11.72
2024-01-11,11.469,11.486,11.074,11.208
2024-01-12,10.688,11.065,10.464,10.59
2024-01-16,10.33,10.922,10.106,10.67
2024-01-17,10.294,10.348,10.079,10.348
2024-01-18,10.446,10.473,9.846,10.079
2024-01-19,9.926,10.159,9.765,10.097
2024-01-22,10.092,10.491,9.666,9.846
2024-01-23,10.016,10.33,9.774,9.872
2024-01-24,10.07,10.123,9.702,9.774
2024-01-25,8.483,8.707,7.81,8.007
2024-01-26,8.173,8.24,7.961,8.034
2024-01-29,8.196,8.566,8.052,8.536
2024-01-30,8.823,8.895,8.509,8.572
2024-01-31,8.267,8.73,8.187,8.285
2024-02-01,8.357,8.451,8.079,8.375
2024-02-02,8.119,8.37,7.936,8.321
2024-02-05,8.07,8.097,7.46,7.864
2024-02-06,7.617,8.214,7.613,8.115
2024-02-07,8.339,8.429,7.962,8.294
2024-02-08,8.375,8.554,8.151,8.411
2024-02-09,8.465,8.716,8.411,8.68
2024-02-12,8.59,8.752,8.249,8.303
2024-02-13,8.034,8.249,7.909,8.034
2024-02-14,8.106,8.357,7.996,8.348
2024-02-15,8.375,9.146,8.348,9.11
2024-02-16,9.245,9.294,8.895,9.074
2024-02-20,8.823,8.976,8.339,8.653
2024-02-21,8.617,9.03,8.527,8.716
2024-02-22,8.671,8.949,8.483,8.877
2024-02-23,8.752,8.895,8.501,8.518
2024-02-26,8.527,9.173,8.527,9.021
2024-02-27,9.325,9.433,8.933,9.039
2024-02-28,9.074,9.412,8.949,9.191
2024-02-29,9.334,9.402,8.94,9.173
2024-03-01,9.074,9.351,8.94,9.218
2024-03-04,8.949,9.012,8.133,8.232
2024-03-05,7.891,7.998,7.541,7.747
2024-03-06,7.685,7.783,7.293,7.478
2024-03-07,7.326,7.689,7.29,7.604
2024-03-08,7.792,7.864,7.344,7.389
2024-03-11,7.389,7.864,7.362,7.541
2024-03-12,7.541,7.644,7.2,7.532
2024-03-13,7.236,7.424,6.994,7.012
2024-03-14,6.895,7.111,6.451,6.582
2024-03-15,6.617,6.734,6.465,6.635
2024-03-18,7.03,7.317,6.779,7.263
2024-03-19,7.153,7.19,6.855,7.108
2024-03-20,7.208,7.407,7.066,7.371
2024-03-21,7.407,7.516,7.117,7.19
2024-03-22,6.8,7.081,6.778,7.054
2024-03-25,6.927,7.325,6.927,7.171
2024-03-26,7.538,7.896,7.461,7.488
2024-03-27,7.724,7.737,7.371,7.606
2024-03-28,7.452,7.584,7.316,7.344
2024-04-01,7.38,7.407,6.999,7.316
2024-04-02,6.438,6.683,6.338,6.601
2024-04-03,6.393,6.764,6.338,6.737
2024-04-04,6.864,7.434,6.696,6.945
2024-04-05,6.782,6.918,6.085,6.438
2024-04-08,6.782,7.181,6.655,7.072
2024-04-09,7.063,7.57,6.972,7.38
2024-04-10,7.072,7.217,6.8,6.945
2024-04-11,7.018,7.277,6.683,7.181
2024-04-12,6.981,7.108,6.818,6.873
2024-04-15,6.809,6.845,6.094,6.112
2024-04-16,5.759,5.859,5.523,5.777
2024-04-17,5.804,5.863,5.523,5.65
2024-04-18,5.342,5.41,5.161,5.243
