日期,Open,High,Low,Close
2016-12-30,31.25,33.45,29.0,29.05
2017-01-31,29.34,31.06,20.8,21.49
2017-02-28,21.65,22.34,20.44,20.62
2017-03-31,20.73,21.04,18.4,19.78
2017-04-28,19.97,22.12,18.81,21.49
2017-05-31,21.52,21.61,18.34,19.16
2017-06-30,19.24,23.46,19.05,21.76
2017-07-31,21.94,22.37,19.13,20.02
2017-08-31,19.07,19.45,16.12,16.15
2017-09-29,16.21,18.19,15.92,16.48
2017-10-31,16.46,17.61,12.48,12.52
2017-11-30,12.47,13.88,11.4,13.29
2017-12-29,13.3,16.19,12.73,14.43
2018-01-31,14.59,16.85,13.48,13.86
2018-02-28,13.78,18.75,12.5,16.58
2018-03-29,16.69,17.73,15.6,16.35
2018-04-30,16.0,18.28,15.85,17.76
2018-05-31,16.85,21.81,16.41,20.9
2018-06-29,21.2,24.69,21.07,22.48
2018-07-31,22.29,22.86,19.76,19.97
2018-08-31,19.84,22.08,18.9,20.45
2018-09-28,20.51,21.61,18.45,21.22
2018-10-31,21.38,23.88,17.34,22.11
2018-11-30,22.11,24.58,20.29,23.88
2018-12-31,24.43,24.96,16.52,17.67
2019-01-31,17.44,21.52,17.11,20.74
2019-02-28,20.69,23.08,19.75,22.55
2019-03-29,22.91,23.41,20.45,21.14
2019-04-30,21.28,23.17,20.56,23.09
2019-05-31,23.16,24.31,20.84,22.8
2019-06-28,22.73,27.5,22.71,25.35
2019-07-31,25.81,27.72,22.05,23.07
2019-08-30,23.05,23.16,17.64,18.61
2019-09-30,18.61,21.88,18.24,19.94
2019-10-31,20.01,21.47,18.68,20.65
2019-11-29,20.81,21.31,16.74,18.89
2019-12-31,18.95,21.89,17.91,21.6
2020-01-31,21.83,21.96,19.55,20.18
2020-02-28,20.33,21.16,13.51,14.19
2020-03-31,14.36,14.37,7.61,9.21
2020-04-30,8.78,11.31,7.39,10.42
2020-05-29,10.08,10.16,7.15,8.75
2020-06-30,8.82,11.8,8.73,9.74
2020-07-31,9.68,11.9,9.07,10.52
2020-08-31,10.62,11.32,9.63,9.81
2020-09-30,9.72,12.42,9.66,11.23
2020-10-30,11.37,15.39,11.34,13.84
2020-11-30,14.14,17.14,14.01,16.57
2020-12-31,16.78,17.94,16.22,17.17
2021-01-29,17.58,19.55,17.05,17.5
2021-02-26,17.65,23.495,17.37,21.89
2021-03-31,22.32,24.39,20.72,22.16
2021-04-30,22.13,24.749,20.73,24.31
2021-05-28,24.54,26.45,21.102,22.58
2021-06-30,22.86,23.21,19.28,21.15
2021-07-30,21.15,21.635,18.47,20.45
2021-08-31,21.17,26.02,20.995,23.14
2021-09-30,23.23,23.655,19.895,20.18
2021-10-29,20.43,22.73,19.925,21.96
2021-11-30,22.0,27.28,21.88,23.59
2021-12-31,24.08,24.91,19.83,21.19
2022-01-31,21.37,22.01,17.52,18.83
2022-02-28,19.06,20.645,15.21,17.89
2022-03-31,17.75,18.175,13.7,17.02
2022-04-29,17.08,17.204,14.63,15.36
2022-05-31,15.45,15.75,8.965,10.58
2022-06-30,10.72,11.29,8.27,8.33
2022-07-29,8.28,9.26,8.1,9.26
2022-08-31,9.09,10.465,8.42,8.42
2022-09-30,8.31,9.31,6.38,6.65
2022-10-31,6.76,7.565,6.49,7.45
2022-11-30,7.63,10.0,7.085,10.0
2022-12-30,9.98,10.87,9.25,10.16
2023-01-31,10.37,12.41,10.09,12.39
2023-02-28,12.4,13.045,9.66,9.93
2023-03-31,9.9,10.15,7.94,9.49
2023-04-28,9.5,9.585,8.56,8.87
2023-05-31,8.86,8.94,6.97,7.21
2023-06-30,7.21,7.95,6.97,7.22
2023-07-31,7.29,8.44,7.03,8.06
2023-08-31,8.0,8.12,6.99,7.64
2023-09-29,7.75,7.88,6.29,6.85
2023-10-31,6.8,7.57,6.445,6.85
2023-11-30,6.83,8.32,6.57,8.14
2023-12-29,8.11,9.5,8.09,8.79
2024-01-31,8.73,8.82,7.19,7.62
2024-02-29,7.7,9.08,7.44,8.96
2024-03-28,8.96,9.04,6.96,7.38
2024-04-30,7.39,7.43,6.425,6.73
2024-05-31,6.74,7.205,6.18,7.19
2024-06-28,7.2,7.279,6.58,6.67
2024-07-31,6.67,7.14,6.33,6.97
2024-08-30,6.95,8.63,6.17,7.69
2024-09-30,7.65,9.025,6.65,8.91
2024-10-31,8.88,9.58,8.234,8.55
2024-11-29,8.57,11.89,8.485,9.71
2024-12-31,9.72,10.53,8.05,8.28
2025-01-31,8.4,8.72,7.71,8.35
2025-02-28,8.07,8.65,6.75,6.81
2025-03-31,6.91,7.48,6.1,6.25
2025-04-30,6.3,6.685,4.78,5.72
2025-05-30,5.73,7.01,5.61,6.71
2025-06-30,6.68,7.17,6.15,6.83
2025-07-31,6.82,7.57,6.59,6.64
2025-08-29,6.53,6.861,4.85,5.0
2025-09-30,4.95,5.31,4.72,4.99
2025-10-31,5.01,5.15,4.45,4.61
2025-11-28,4.61,4.86,4.13,4.62
2025-12-31,4.57,5.2,4.26,4.97
2026-01-30,5.155,6.5,5.14,6.17
2026-02-27,6.11,8.15,5.92,7.42
2026-03-31,7.3,7.357,5.58,5.91
2026-04-30,5.81,6.845,5.415,6.29
2026-05-29,6.33,6.63,4.81,5.87
2026-06-30,5.78,6.4,5.36,6.39
2026-07-22,6.385,7.5,6.295,7.26
