日期,Open,High,Low,Close
2011-07-29,696.96,742.4,656.64,672.0
2011-08-31,679.04,680.32,616.32,654.08
2011-09-30,654.72,665.6,574.72,576.64
2011-10-31,570.88,585.6,540.8,576.64
2011-11-30,555.52,567.04,488.32,503.68
2011-12-30,501.76,519.68,411.52,413.44
2012-01-31,415.36,432.0,318.72,336.0
2012-02-29,329.6,363.52,319.2,329.12
2012-03-30,322.72,323.68,254.72,254.72
2012-04-30,252.32,265.28,228.0,262.56
2012-05-31,265.76,316.16,256.16,268.64
2012-06-29,263.52,320.64,242.88,308.64
2012-07-31,302.4,358.72,296.96,352.64
2012-08-31,344.8,356.8,283.04,301.12
2012-09-28,306.72,342.72,287.84,341.44
2012-10-31,351.68,374.08,343.52,347.84
2012-11-30,348.8,368.96,323.84,326.24
2012-12-31,326.72,342.08,298.08,302.4
2013-01-31,291.52,323.2,278.08,300.16
2013-02-28,301.6,313.12,282.4,306.88
2013-03-28,306.72,358.08,303.2,350.08
2013-04-30,345.6,385.44,336.64,375.52
2013-05-31,379.2,384.0,335.36,340.96
2013-06-28,340.48,344.8,299.04,303.2
2013-07-31,303.84,324.64,289.6,291.36
2013-08-30,291.36,306.4,265.44,303.2
2013-09-30,307.2,319.68,284.96,292.48
2013-10-31,295.84,317.6,281.92,284.32
2013-11-29,279.68,309.12,270.56,306.4
2013-12-31,306.08,355.04,305.6,331.04
2014-01-31,335.36,432.8,311.52,386.88
2014-02-28,383.2,446.24,360.0,408.16
2014-03-31,410.88,415.84,379.36,390.72
2014-04-30,385.92,430.08,380.64,424.8
2014-05-30,425.44,426.24,381.6,403.2
2014-06-30,401.12,422.72,385.76,393.6
2014-07-31,390.88,395.52,329.44,337.6
2014-08-29,334.72,356.96,331.36,356.16
2014-09-30,345.12,357.12,329.92,353.76
2014-10-31,355.84,356.48,303.2,324.48
2014-11-28,336.0,379.68,329.76,340.16
2014-12-31,324.48,329.44,233.6,236.32
2015-01-30,241.12,270.88,216.48,218.72
2015-02-27,217.12,243.84,209.92,219.84
2015-03-31,221.92,237.12,210.4,211.84
2015-04-30,210.4,218.72,196.48,215.36
2015-05-29,217.12,244.48,204.32,205.92
2015-06-30,204.32,228.8,198.72,216.96
2015-07-31,216.16,226.72,203.2,208.64
2015-08-31,210.56,224.96,200.0,203.2
2015-09-30,205.28,209.44,184.64,185.76
2015-10-30,182.88,188.96,149.6,156.96
2015-11-30,151.68,161.6,137.92,139.52
2015-12-31,140.16,141.92,110.56,138.72
2016-01-29,140.16,148.32,122.08,135.84
2016-02-29,127.04,127.52,96.32,96.32
2016-03-31,97.12,110.08,92.48,106.56
2016-04-29,105.92,118.08,102.88,110.88
2016-05-31,109.28,112.96,101.76,110.24
2016-06-30,114.08,139.2,112.16,138.24
2016-07-29,137.12,141.92,124.48,136.8
2016-08-31,135.84,138.56,120.8,135.2
2016-09-30,133.44,144.32,125.44,133.76
2016-10-31,132.32,154.24,127.52,129.28
2016-11-30,124.32,135.68,109.6,134.88
2016-12-30,138.72,155.68,131.36,149.44
2017-01-31,137.28,140.0,123.68,125.76
2017-02-28,126.4,128.48,103.68,107.04
2017-03-31,107.84,123.52,105.92,121.12
2017-04-28,119.84,126.56,115.52,121.12
2017-05-31,120.64,126.88,110.4,110.72
2017-06-30,111.04,111.68,102.88,108.48
2017-07-31,108.16,111.2,99.84,101.12
2017-08-31,99.68,108.0,99.2,107.36
