日期,Open,High,Low,Close
2011-07-29,10.73,13.44,6.0,6.86
2011-08-31,7.5,7.5,-1.62,5.55
2011-09-30,5.49,6.58,-0.72,1.31
2011-10-31,1.27,10.2,-0.57,8.4
2011-11-30,7.36,10.47,5.14,10.43
2011-12-30,10.25,12.49,9.06,11.9
2012-01-31,12.69,15.61,10.83,14.33
2012-02-29,15.05,16.54,14.43,16.24
2012-03-30,16.4,21.04,14.63,19.97
2012-04-30,19.56,20.22,15.81,17.39
2012-05-31,17.39,18.16,13.38,14.76
2012-06-29,13.82,18.58,11.97,18.58
2012-07-31,18.05,20.35,13.33,15.43
2012-08-31,15.63,17.27,13.89,14.2
2012-09-28,13.96,15.64,11.57,11.96
2012-10-31,12.48,14.53,11.41,13.64
2012-11-30,13.77,14.89,10.46,14.07
2012-12-31,14.46,17.16,12.91,14.69
2013-01-31,16.05,23.72,15.98,20.25
2013-02-28,20.16,25.83,19.96,24.23
2013-03-28,24.13,27.5,23.86,27.48
2013-04-30,27.39,28.04,23.53,27.42
2013-05-31,27.4,31.73,26.23,28.1
2013-06-28,28.07,30.02,26.4,28.68
2013-07-31,29.12,33.98,27.45,29.0
2013-08-30,29.57,30.89,28.0,28.4
2013-09-30,29.05,34.94,28.52,34.19
2013-10-31,34.25,41.81,31.27,41.06
2013-11-29,41.1,46.48,40.57,45.82
2013-12-31,45.58,48.81,44.09,48.52
2014-01-31,48.07,48.35,37.46,38.67
2014-02-28,38.54,41.35,36.63,39.88
2014-03-31,39.37,43.18,38.92,41.49
2014-04-30,41.85,43.96,39.56,42.61
2014-05-30,42.61,48.96,41.45,48.66
2014-06-30,48.91,49.08,45.3,47.44
2014-07-31,48.18,49.87,41.8,41.87
2014-08-29,41.45,44.61,39.65,42.78
2014-09-30,43.08,45.84,41.96,43.74
2014-10-31,43.89,51.29,39.5,50.36
2014-11-28,50.36,57.21,50.11,56.04
2014-12-31,56.42,59.22,52.59,57.29
2015-01-30,57.39,60.52,44.41,44.96
2015-02-27,45.12,49.43,44.46,48.58
2015-03-31,48.52,49.22,43.17,43.79
2015-04-30,43.34,48.83,41.73,47.38
2015-05-29,47.8,50.42,45.43,46.8
2015-06-30,47.35,49.26,44.39,44.49
2015-07-31,45.1,50.34,41.73,49.94
2015-08-31,50.07,51.64,41.95,45.96
2015-09-30,44.12,50.1,42.96,47.0
2015-10-30,47.31,55.63,45.27,51.33
2015-11-30,51.32,54.04,50.47,52.05
2015-12-31,52.5,53.54,44.86,45.27
2016-01-29,44.38,45.14,36.34,42.24
2016-02-29,41.08,48.73,41.08,46.37
2016-03-31,47.25,56.43,46.85,55.29
2016-04-29,54.74,57.03,53.23,54.89
2016-05-31,55.14,55.42,50.46,53.69
2016-06-30,53.68,58.34,52.55,58.32
2016-07-29,58.2,62.43,56.56,58.7
2016-08-31,58.74,62.13,57.52,60.6
2016-09-30,60.89,62.09,57.45,60.74
2016-10-31,60.74,60.99,57.25,59.14
2016-11-30,59.4,69.12,57.54,68.08
2016-12-30,68.2,72.6,66.52,66.8
