日期,Open,High,Low,Close
2020-07-24,83.4,85.28,82.04,83.33
2020-07-31,83.1,110.48,82.52,107.74
2020-08-07,108.45,121.88,105.52,121.88
2020-08-14,122.45,127.68,119.86,125.72
2020-08-21,126.09,127.12,122.29,125.02
2020-08-28,125.71,128.6,123.85,128.35
2020-09-04,127.72,132.19,120.62,126.77
2020-09-11,126.02,127.25,121.95,124.86
2020-09-18,126.89,133.35,122.96,125.65
2020-09-25,127.41,132.99,123.37,132.11
2020-10-02,135.9,137.97,131.49,132.95
2020-10-09,134.15,141.97,133.43,140.68
2020-10-16,140.85,143.14,138.0,140.43
2020-10-23,140.75,144.0,137.1,137.89
2020-10-30,136.91,137.66,121.24,123.1
2020-11-06,124.87,134.29,122.96,133.67
2020-11-13,130.09,134.21,124.7,130.67
2020-11-20,130.16,138.57,128.25,130.76
2020-11-27,132.5,140.11,130.91,135.89
2020-12-04,136.57,141.2,133.34,134.25
2020-12-11,135.13,136.85,130.63,135.4
2020-12-18,138.78,142.49,133.14,142.18
2020-12-24,139.44,142.94,138.03,139.19
2020-12-31,139.6,140.2,132.44,135.4
2021-01-08,135.4,135.54,124.47,125.39
2021-01-15,125.87,132.59,124.74,125.9
2021-01-22,126.7,128.7,123.03,125.99
2021-01-29,126.71,131.14,121.76,122.0
2021-02-05,123.2,131.54,121.91,131.38
2021-02-12,131.44,135.23,128.19,130.39
2021-02-19,130.95,130.97,125.62,128.56
2021-02-26,127.74,130.53,124.61,125.85
2021-03-05,127.57,133.2,125.57,132.42
2021-03-12,133.25,136.7,128.78,135.71
2021-03-19,135.92,135.945,126.71,127.31
2021-03-26,127.71,136.12,126.56,136.0
2021-04-01,135.63,140.16,134.68,139.3
2021-04-09,140.12,143.97,139.13,143.96
2021-04-16,143.46,149.21,142.77,147.73
2021-04-23,147.93,148.81,144.855,146.98
2021-04-30,147.8,173.79,142.72,171.88
2021-05-07,175.44,186.36,175.14,185.52
2021-05-14,185.52,187.61,178.38,184.4
2021-05-21,183.53,185.04,178.66,180.91
2021-05-28,183.12,185.9,180.21,183.64
2021-06-04,184.63,185.59,177.67,179.67
2021-06-11,179.63,184.45,166.04,172.24
2021-06-18,171.99,172.9,164.51,166.81
2021-06-25,168.4,175.68,168.015,174.65
2021-07-02,174.73,181.14,171.79,180.57
2021-07-09,179.5,183.972,177.23,182.96
2021-07-16,180.04,183.23,178.67,179.61
2021-07-23,177.5,183.75,175.71,180.68
2021-07-30,180.24,181.29,157.36,160.4
2021-08-06,161.39,163.29,159.14,161.64
2021-08-13,160.11,163.94,159.44,163.02
2021-08-20,163.06,168.55,161.54,163.3
2021-08-27,164.3,165.39,162.13,163.36
2021-09-03,163.94,169.31,162.92,167.4
2021-09-10,167.705,168.01,158.11,163.32
2021-09-17,164.77,166.31,159.73,160.09
2021-09-24,158.41,160.78,152.18,158.08
2021-10-01,157.43,158.66,148.891,151.55
2021-10-08,150.56,154.56,147.19,153.55
2021-10-15,154.36,164.07,150.69,163.81
2021-10-22,163.53,174.22,163.11,173.87
2021-10-29,173.08,190.3,171.9,183.53
2021-11-05,184.92,184.92,177.12,178.28
2021-11-12,178.82,186.55,177.33,183.25
