日期,Open,High,Low,Close
2023-07-24,13.634,13.748,13.606,13.729
2023-07-25,13.634,13.729,13.615,13.653
2023-07-26,13.71,13.795,13.691,13.795
2023-07-27,13.842,13.842,13.662,13.672
2023-07-28,13.899,14.032,13.833,14.022
2023-07-31,14.202,14.287,14.183,14.25
2023-08-01,14.107,14.126,13.977,14.013
2023-08-02,13.975,14.003,13.823,13.842
2023-08-03,13.724,13.871,13.719,13.871
2023-08-04,14.098,14.392,14.098,14.278
2023-08-07,14.467,14.524,14.417,14.515
2023-08-08,14.515,14.524,14.41,14.458
2023-08-09,14.392,14.439,14.24,14.259
2023-08-10,14.231,14.237,14.126,14.126
2023-08-11,14.183,14.373,14.183,14.368
2023-08-14,14.486,14.666,14.439,14.666
2023-08-15,14.571,14.571,14.363,14.392
2023-08-16,14.448,14.576,14.442,14.477
2023-08-17,14.486,14.486,14.25,14.306
2023-08-18,13.539,13.568,13.35,13.426
2023-08-21,13.511,13.596,13.483,13.577
2023-08-22,13.634,13.666,13.577,13.615
2023-08-23,13.596,13.7,13.464,13.558
2023-08-24,13.71,13.819,13.7,13.729
2023-08-25,13.805,13.88,13.748,13.805
2023-08-28,13.994,14.141,13.994,14.117
2023-08-29,14.107,14.136,14.051,14.126
2023-08-30,14.155,14.267,14.145,14.193
2023-08-31,14.344,14.429,14.335,14.354
2023-09-01,14.429,14.453,14.325,14.325
2023-09-05,14.429,14.496,14.412,14.429
2023-09-06,14.562,14.676,14.562,14.666
2023-09-07,14.562,14.619,14.486,14.609
2023-09-08,14.638,14.653,14.534,14.638
2023-09-11,14.486,14.52,14.392,14.448
2023-09-12,14.695,14.813,14.657,14.78
2023-09-13,14.638,14.657,14.515,14.515
2023-09-14,14.335,14.392,14.24,14.259
2023-09-15,14.202,14.231,14.145,14.155
2023-09-18,14.07,14.07,13.909,14.022
2023-09-19,14.022,14.07,13.88,13.928
2023-09-20,14.155,14.25,14.117,14.126
2023-09-21,13.937,13.975,13.89,13.899
2023-09-22,13.577,13.632,13.393,13.426
2023-09-25,12.858,12.858,12.725,12.754
2023-09-26,12.63,12.63,12.507,12.526
2023-09-27,12.791,12.886,12.791,12.867
2023-09-28,12.782,12.866,12.701,12.801
2023-09-29,12.924,12.947,12.81,12.82
2023-10-02,12.886,12.962,12.829,12.933
2023-10-03,12.356,12.384,12.223,12.223
2023-10-04,12.432,12.545,12.422,12.479
2023-10-05,12.337,12.365,12.28,12.337
2023-10-06,12.441,12.692,12.441,12.659
2023-10-09,12.744,12.782,12.687,12.782
2023-10-10,12.801,12.858,12.772,12.829
2023-10-11,12.943,13.019,12.914,12.924
2023-10-12,12.99,12.998,12.877,12.952
2023-10-13,13.019,13.066,12.933,12.971
2023-10-16,12.82,12.848,12.744,12.782
2023-10-17,12.479,12.574,12.346,12.441
2023-10-18,12.242,12.242,12.1,12.1
2023-10-19,11.93,11.963,11.693,11.703
2023-10-20,12.043,12.138,12.039,12.081
2023-10-23,11.939,12.048,11.939,11.996
2023-10-24,12.138,12.299,12.125,12.261
2023-10-25,12.185,12.204,12.025,12.025
2023-10-26,11.542,11.551,11.371,11.395
2023-10-27,11.437,11.504,11.39,11.409
2023-10-30,11.277,11.277,11.172,11.196
2023-10-31,10.974,10.983,10.898,10.945
2023-11-01,11.172,11.201,11.116,11.201
2023-11-02,11.636,11.821,11.627,11.797
2023-11-03,11.864,11.881,11.807,11.859
2023-11-06,12.034,12.072,11.996,12.072
2023-11-07,11.968,11.987,11.882,11.911
2023-11-08,12.337,12.422,12.337,12.399
2023-11-09,12.451,12.517,12.432,12.47
2023-11-10,12.441,12.479,12.422,12.479
2023-11-13,12.432,12.441,12.346,12.413
2023-11-14,12.612,12.687,12.583,12.659
2023-11-15,12.697,12.725,12.649,12.697
2023-11-16,12.744,12.772,12.725,12.763
2023-11-17,12.493,12.555,12.375,12.413
2023-11-20,12.526,12.583,12.488,12.574
2023-11-21,12.621,12.723,12.612,12.659
2023-11-22,12.763,12.839,12.755,12.829
2023-11-24,12.574,12.697,12.441,12.441
2023-11-27,12.384,12.413,12.318,12.365
2023-11-28,12.432,12.503,12.432,12.46
2023-11-29,12.574,12.612,12.545,12.555
2023-11-30,12.479,12.479,12.337,12.403
2023-12-01,12.46,12.621,12.451,12.602
2023-12-04,12.782,12.886,12.782,12.867
2023-12-05,12.829,12.877,12.81,12.839
2023-12-06,12.924,13.0,12.898,12.952
2023-12-07,12.877,12.922,12.782,12.82
2023-12-08,12.744,12.801,12.744,12.763
2023-12-11,12.81,12.915,12.81,12.905
2023-12-12,12.877,12.886,12.791,12.829
2023-12-13,12.687,12.716,12.578,12.687
2023-12-14,12.63,12.648,12.536,12.593
2023-12-15,12.451,12.47,12.394,12.441
2023-12-18,12.416,12.456,12.307,12.347
2023-12-19,12.396,12.466,12.386,12.466
2023-12-20,12.476,12.566,12.416,12.456
2023-12-21,12.506,12.586,12.499,12.546
2023-12-22,12.606,12.635,12.556,12.576
2023-12-26,12.755,12.905,12.656,12.835
2023-12-27,12.843,12.863,12.744,12.794
2023-12-28,12.883,12.913,12.863,12.883
2023-12-29,12.923,12.923,12.853,12.893
2024-01-02,12.794,12.803,12.674,12.694
2024-01-03,12.794,12.863,12.789,12.823
2024-01-04,12.903,12.933,12.873,12.903
2024-01-05,12.953,13.093,12.953,13.088
2024-01-08,13.138,13.163,13.073,13.133
2024-01-09,13.003,13.05,12.973,13.023
2024-01-10,12.973,12.973,12.863,12.898
2024-01-11,12.933,12.933,12.808,12.883
2024-01-12,12.794,12.794,12.664,12.704
2024-01-16,12.724,12.784,12.684,12.724
2024-01-17,12.694,12.694,12.584,12.604
2024-01-18,12.754,12.883,12.67,12.878
2024-01-19,12.913,12.923,12.833,12.903
2024-01-22,12.913,12.966,12.855,12.893
2024-01-23,12.863,12.87,12.754,12.789
2024-01-24,12.754,12.903,12.754,12.813
2024-01-25,12.803,12.823,12.744,12.784
2024-01-26,12.823,12.855,12.813,12.843
2024-01-29,12.784,12.823,12.744,12.774
2024-01-30,12.853,12.933,12.839,12.913
2024-01-31,12.774,12.802,12.674,12.674
2024-02-01,12.853,12.913,12.784,12.863
2024-02-02,12.853,12.923,12.843,12.913
2024-02-05,12.923,12.933,12.843,12.873
2024-02-06,12.913,12.943,12.803,12.923
2024-02-07,12.983,13.063,12.963,13.023
2024-02-08,13.053,13.093,13.013,13.053
2024-02-09,13.033,13.053,13.023,13.038
2024-02-12,13.073,13.133,13.053,13.118
2024-02-13,12.983,13.013,12.925,12.963
2024-02-14,13.023,13.033,12.954,13.003
2024-02-15,13.043,13.077,12.993,13.053
