日期,Open,High,Low,Close
2020-07-24,292.69,304.0,276.5,278.49
2020-07-31,280.84,285.57,268.25,272.0
2020-08-07,274.2,280.59,268.58,272.99
2020-08-14,271.58,272.73,261.3,267.29
2020-08-21,267.9,275.0,267.84,271.28
2020-08-28,269.9,275.63,263.47,269.96
2020-09-04,270.35,283.45,263.01,266.5
2020-09-11,261.78,264.84,253.97,257.96
2020-09-18,261.24,273.59,257.42,265.39
2020-09-25,264.14,270.08,257.5,268.18
2020-10-02,269.9,275.4,260.13,260.8
2020-10-09,262.86,270.5,260.26,269.95
2020-10-16,273.14,280.99,213.17,218.08
2020-10-23,219.08,225.97,208.23,211.58
2020-10-30,209.75,214.24,203.51,208.36
2020-11-06,211.14,223.77,202.57,220.28
2020-11-13,224.41,229.08,213.65,225.52
2020-11-20,225.99,227.36,210.04,215.21
2020-11-27,216.78,226.72,214.14,226.71
2020-12-04,231.0,232.45,224.3,228.32
2020-12-11,231.0,231.42,220.93,224.17
2020-12-18,226.79,239.71,226.0,236.72
2020-12-24,233.02,238.57,228.8,234.46
2020-12-31,235.4,237.5,230.33,236.34
2021-01-08,237.91,238.08,222.31,237.0
2021-01-15,235.58,238.26,224.39,225.55
2021-01-22,227.0,241.83,223.31,237.59
2021-01-29,240.99,242.99,224.7,229.08
2021-02-05,231.0,232.38,210.99,215.26
2021-02-12,217.13,218.22,209.72,213.98
2021-02-19,213.8,215.0,206.79,207.02
2021-02-26,206.72,220.415,204.62,212.55
2021-03-05,212.68,214.13,205.85,211.98
2021-03-12,212.27,219.3,211.26,214.33
2021-03-19,213.71,220.632,212.65,216.11
2021-03-26,215.84,220.33,209.22,214.64
2021-04-01,213.93,218.46,212.21,213.04
2021-04-09,214.38,218.47,209.53,213.35
2021-04-16,212.68,222.78,211.21,219.39
2021-04-23,220.86,222.59,214.0,217.9
2021-04-30,217.74,221.41,210.27,218.2
2021-05-07,217.27,219.69,211.06,215.01
2021-05-14,215.63,218.18,211.39,217.09
2021-05-21,215.62,218.97,211.0,213.43
2021-05-28,215.02,215.695,204.62,208.63
2021-06-04,209.49,212.98,207.2,209.93
2021-06-11,210.58,217.26,192.88,193.02
2021-06-18,195.66,196.32,185.64,187.85
2021-06-25,188.106,194.78,185.325,194.34
2021-07-02,197.0,203.24,194.42,200.54
2021-07-09,201.47,201.9,196.3,198.16
2021-07-16,198.0,204.46,195.75,202.28
2021-07-23,202.16,204.26,193.88,200.5
2021-07-30,199.43,204.88,197.31,201.58
2021-08-06,200.65,204.0,197.45,200.67
2021-08-13,201.38,201.54,193.7,194.36
2021-08-20,194.67,198.72,188.84,195.85
2021-08-27,197.27,202.77,195.85,199.92
2021-09-03,199.3,202.55,196.35,198.05
2021-09-10,196.2,197.05,186.15,188.57
2021-09-17,190.07,193.25,184.78,188.3
2021-09-24,186.89,188.89,181.98,183.61
2021-10-01,183.2,184.25,178.35,180.35
2021-10-08,179.0,182.58,176.36,178.94
2021-10-15,179.23,184.19,178.21,181.77
2021-10-22,182.5,187.88,177.71,183.52
2021-10-29,183.52,186.58,180.395,184.93
2021-11-05,184.18,195.23,180.71,192.85
2021-11-12,192.99,194.46,185.1,187.29
2021-11-19,187.29,198.53,181.02,182.88
2021-11-26,182.65,189.8,179.96,183.59
2021-12-03,187.45,208.155,185.46,203.81
2021-12-10,203.73,209.0,203.04,208.06
2021-12-17,208.49,218.32,205.14,214.54
2021-12-23,215.92,224.4,213.25,223.45
2021-12-31,223.34,224.49,219.04,219.6
2022-01-07,218.38,224.89,214.66,221.85
2022-01-14,222.91,234.58,219.1,234.06
2022-01-21,231.43,234.41,227.26,228.08
2022-01-28,225.132,243.3,221.69,243.02
2022-02-04,240.87,254.93,238.48,241.96
2022-02-11,243.32,245.61,233.17,233.89
2022-02-18,233.75,236.89,228.55,229.61
2022-02-25,229.21,233.53,225.28,230.3
2022-03-04,227.99,243.18,226.18,238.66
2022-03-11,237.46,247.49,232.97,236.48
2022-03-18,239.72,251.325,238.659,249.08
2022-03-25,248.032,254.15,246.73,253.95
2022-04-01,253.83,267.13,252.52,266.15
2022-04-08,266.84,281.5,264.69,280.28
2022-04-14,279.86,292.75,278.785,287.97
2022-04-22,287.67,287.86,270.19,270.42
2022-04-29,270.0,279.71,262.22,273.22
2022-05-06,264.155,275.26,252.69,253.93
2022-05-13,251.0,251.0,233.01,246.72
2022-05-20,245.85,262.95,244.61,258.59
2022-05-27,260.05,274.165,259.19,273.73
2022-06-03,274.03,276.0,260.66,269.44
2022-06-10,271.44,279.13,252.87,254.88
2022-06-17,250.81,264.9,243.17,263.09
2022-06-24,266.22,293.17,265.98,292.55
2022-07-01,289.81,291.14,275.83,287.32
2022-07-08,285.92,295.74,284.5,294.29
2022-07-15,294.0,296.841,282.25,292.84
2022-07-22,292.87,295.77,278.73,280.29
2022-07-29,282.0,290.73,275.65,280.41
2022-08-05,279.79,288.7,271.61,288.03
2022-08-12,288.65,301.8,288.65,294.52
2022-08-19,293.71,305.95,291.45,299.04
2022-08-26,299.73,302.215,281.31,281.68
2022-09-02,278.75,292.0,277.2,281.04
2022-09-09,281.7,292.93,277.5,292.11
2022-09-16,294.0,296.14,279.62,289.71
2022-09-23,284.32,288.92,277.67,283.45
2022-09-30,282.7,294.618,276.57,289.54
2022-10-07,293.71,304.26,289.64,295.23
2022-10-14,295.45,300.94,283.58,293.21
2022-10-21,297.08,303.29,287.96,300.0
2022-10-28,302.74,316.48,287.2,313.89
2022-11-04,310.35,318.38,304.04,308.82
2022-11-11,305.36,316.18,288.83,303.26
2022-11-18,305.11,315.54,300.0,314.63
2022-11-25,315.0,323.61,312.01,312.98
2022-12-02,313.78,322.74,312.47,321.37
2022-12-09,318.85,324.75,310.04,312.22
2022-12-16,315.22,317.33,302.85,304.8
2022-12-23,301.55,302.59,288.07,289.69
2022-12-30,290.0,291.73,284.4,288.78
2023-01-06,288.61,293.645,283.5,290.21
2023-01-13,290.09,301.26,282.21,300.94
2023-01-20,303.49,312.66,302.52,309.84
2023-01-27,309.59,323.67,308.53,321.45
2023-02-03,321.21,325.19,300.75,301.02
2023-02-10,299.81,310.28,289.58,297.4
2023-02-17,295.53,301.35,290.0,293.66
2023-02-24,290.76,296.66,286.48,287.37
2023-03-03,286.615,293.145,285.31,290.51
2023-03-10,290.0,296.395,283.6,287.24
2023-03-17,288.31,301.545,288.31,295.77
2023-03-24,296.72,315.0,296.09,314.39
2023-03-31,314.68,316.31,307.93,315.07
2023-04-06,315.0,324.65,313.47,321.66
2023-04-14,320.48,334.175,318.02,333.52
2023-04-21,335.0,335.28,323.38,331.09
2023-04-28,331.05,346.29,316.43,340.73
2023-05-05,340.22,354.46,339.78,348.09
2023-05-12,347.62,352.47,340.79,347.41
2023-05-19,348.0,351.74,334.27,341.7
2023-05-26,344.06,346.0,325.82,329.99
2023-06-02,329.82,334.53,320.01,333.78
2023-06-09,334.0,337.98,323.02,334.11
2023-06-16,335.91,352.19,331.87,347.89
2023-06-23,350.39,350.39,341.25,347.0
2023-06-30,351.0,354.94,341.9,351.91
2023-07-07,348.77,349.99,335.82,338.18
2023-07-14,339.02,353.4,339.02,352.74
2023-07-21,351.74,367.0,351.63,362.46
2023-07-28,361.82,362.86,348.67,354.05
2023-08-04,353.42,360.98,340.2,340.48
2023-08-11,342.38,350.71,340.68,349.86
2023-08-18,348.77,351.93,342.275,344.82
2023-08-25,344.77,355.9,344.44,350.06
2023-09-01,352.41,354.6,346.565,351.1
2023-09-08,352.66,353.42,340.83,343.05
2023-09-15,343.42,352.745,343.045,348.9
2023-09-22,349.75,358.59,347.205,349.53
2023-09-29,350.0,354.52,344.62,347.74
2023-10-06,346.76,362.99,341.85,360.62
2023-10-13,361.22,372.78,352.625,371.0
2023-10-20,372.12,375.93,361.59,361.86
2023-10-27,363.25,371.02,353.76,355.28
2023-11-03,357.15,381.0,353.13,376.2
2023-11-10,379.27,387.42,367.02,373.65
2023-11-17,373.16,381.59,341.9,350.5
2023-11-24,349.76,358.5,349.32,353.04
2023-12-01,353.95,356.71,346.285,351.16
2023-12-08,349.0,356.33,347.51,350.15
2023-12-15,352.58,411.6,351.443,410.68
2023-12-22,411.74,413.0,395.01,405.25
2023-12-29,406.97,412.57,404.48,406.89
2024-01-05,405.0,418.71,403.43,416.5
2024-01-12,416.07,434.85,412.85,433.4
2024-01-19,431.78,439.77,425.41,435.02
2024-01-26,437.64,443.82,424.34,430.17
2024-02-02,431.33,448.4,424.31,424.68
2024-02-09,424.99,430.99,410.8,422.91
2024-02-16,420.24,427.41,412.77,422.2
2024-02-23,420.79,434.5,414.8,430.11
2024-03-01,425.7,437.0,420.24,432.76
2024-03-08,432.73,433.99,410.23,413.59
2024-03-15,414.0,416.705,406.97,407.69
2024-03-22,410.49,419.26,409.023,415.66
2024-03-28,415.66,420.67,412.65,418.01
2024-04-05,420.43,421.45,400.83,406.67
2024-04-12,403.45,406.45,393.76,396.55
2024-04-19,400.0,402.487,391.01,394.28
2024-04-26,397.3,406.86,393.0,397.48
2024-05-03,397.48,406.95,391.7,401.08
2024-05-10,402.77,425.65,394.032,422.78
2024-05-17,425.99,446.1,422.44,445.21
2024-05-24,444.72,457.66,437.46,456.95
2024-05-31,454.79,456.91,435.57,455.34
2024-06-07,455.0,486.425,453.73,483.04
2024-06-14,480.18,485.4,472.61,480.73
2024-06-21,479.13,479.15,463.23,468.71
2024-06-28,472.72,483.922,467.67,468.72
2024-07-05,467.94,478.96,466.01,474.57
2024-07-12,473.0,496.71,471.82,488.74
2024-07-19,488.445,496.93,478.78,491.57
2024-07-26,497.0,503.99,486.25,495.26
2024-08-02,495.12,510.635,491.0,494.46
2024-08-09,469.56,483.81,462.13,468.45
2024-08-16,466.96,477.67,458.04,477.37
2024-08-23,477.01,491.88,476.0,481.24
2024-08-30,481.98,500.25,476.38,495.89
2024-09-06,492.65,493.0,463.04,468.0
2024-09-13,472.23,486.06,460.69,485.37
2024-09-20,490.0,490.15,463.81,464.92
2024-09-27,464.92,467.566,456.07,462.88
2024-10-04,463.16,472.31,452.26,455.31
2024-10-11,454.17,482.89,447.7,481.71
2024-10-18,481.64,499.09,478.9,483.0
2024-10-25,480.17,487.88,464.78,477.7
2024-11-01,477.95,478.315,463.145,471.12
2024-11-08,473.91,519.88,468.77,516.74
2024-11-15,518.27,518.35,458.1,465.7
2024-11-22,465.19,468.875,445.0,450.97
2024-11-29,456.58,470.93,455.825,468.13
2024-12-06,467.48,468.51,450.0,462.1
2024-12-13,467.33,476.458,459.79,463.73
2024-12-20,463.37,474.185,377.85,397.27
2024-12-27,391.87,411.29,390.915,408.76
2025-01-03,404.54,411.65,399.06,407.11
2025-01-10,401.31,413.52,399.0,409.56
2025-01-17,408.0,428.25,397.245,422.0
2025-01-24,427.94,442.89,423.49,439.62
2025-01-31,436.72,472.04,430.81,461.68
2025-02-07,463.36,491.805,458.735,469.32
2025-02-14,470.58,471.94,446.0,459.0
2025-02-21,455.06,487.38,451.99,484.24
2025-02-28,482.84,487.5,473.51,479.79
2025-03-07,477.82,495.54,477.73,488.29
2025-03-14,483.39,519.68,480.28,504.77
2025-03-21,505.2,517.2,501.07,503.2
2025-03-28,505.0,513.975,491.37,492.69
2025-04-04,487.125,499.07,471.5,474.62
