日期,Open,High,Low,Close
2023-07-24,93.743,94.089,93.601,93.96
2023-07-25,93.998,94.441,93.988,94.243
2023-07-26,93.941,94.659,93.932,94.413
2023-07-27,95.065,95.065,93.615,93.79
2023-07-28,94.602,94.923,94.441,94.762
2023-07-31,94.885,95.098,94.753,94.97
2023-08-01,94.484,94.611,94.163,94.394
2023-08-02,93.507,93.545,92.667,92.818
2023-08-03,92.374,92.94,92.254,92.619
2023-08-04,93.063,93.554,92.364,92.449
2023-08-07,92.903,93.134,92.553,93.129
2023-08-08,92.27,92.6,91.822,92.553
2023-08-09,92.6,92.685,91.991,92.176
2023-08-10,92.808,93.45,92.091,92.317
2023-08-11,91.779,92.204,91.647,91.987
2023-08-14,91.543,92.072,91.315,92.062
2023-08-15,91.656,91.675,90.844,90.977
2023-08-16,90.807,91.137,90.268,90.287
2023-08-17,90.646,90.693,89.571,89.693
2023-08-18,89.032,89.834,88.966,89.636
2023-08-21,89.825,90.212,89.4,90.08
2023-08-22,90.438,90.476,89.792,89.891
2023-08-23,90.183,91.061,90.174,90.92
2023-08-24,91.061,91.165,89.749,89.787
2023-08-25,90.136,90.571,89.389,90.306
2023-08-28,90.844,91.137,90.717,91.052
2023-08-29,90.958,92.336,90.91,92.279
2023-08-30,92.355,92.695,92.185,92.506
2023-08-31,92.591,92.723,92.204,92.27
2023-09-01,93.025,93.129,92.322,92.591
2023-09-05,92.43,92.43,91.958,92.006
2023-09-06,91.845,91.954,91.085,91.477
2023-09-07,90.929,91.203,90.74,91.099
2023-09-08,91.118,91.43,91.005,91.137
2023-09-11,91.798,91.911,91.552,91.873
2023-09-12,91.534,91.911,91.411,91.486
2023-09-13,91.449,91.628,91.165,91.382
2023-09-14,91.968,92.402,91.77,92.308
2023-09-15,92.128,92.185,91.472,91.543
2023-09-18,91.415,91.634,91.198,91.434
2023-09-19,91.321,91.444,90.842,91.264
2023-09-20,91.501,91.747,90.61,90.638
2023-09-21,89.936,89.965,89.074,89.15
2023-09-22,89.519,89.775,89.074,89.131
2023-09-25,88.732,89.235,88.619,89.225
2023-09-26,88.581,88.761,87.851,87.974
2023-09-27,88.296,88.382,87.348,87.983
2023-09-28,87.945,88.875,87.813,88.59
2023-09-29,89.311,89.33,88.116,88.344
2023-10-02,88.164,88.268,87.457,87.87
2023-10-03,87.291,87.528,86.391,86.675
2023-10-04,86.703,87.14,86.258,87.035
2023-10-05,87.14,87.396,86.618,87.244
2023-10-06,86.855,88.538,86.57,88.211
2023-10-09,87.623,88.609,87.557,88.476
2023-10-10,88.894,89.68,88.837,89.263
2023-10-11,89.643,89.785,89.093,89.671
2023-10-12,89.794,89.794,88.448,88.875
2023-10-13,89.036,89.23,88.021,88.287
2023-10-16,88.694,89.292,88.581,89.187
2023-10-17,88.495,89.605,88.486,89.187
2023-10-18,88.713,88.808,87.656,87.832
2023-10-19,87.822,88.211,86.926,87.073
2023-10-20,86.855,86.969,86.045,86.078
2023-10-23,85.689,86.628,85.338,85.917
2023-10-24,86.267,86.77,86.059,86.571
2023-10-25,86.163,86.173,85.352,85.442
2023-10-26,85.215,85.405,84.447,84.722
2023-10-27,85.205,85.243,84.129,84.352
2023-10-30,85.073,85.514,84.769,85.348
2023-10-31,85.424,85.789,85.044,85.765
2023-11-01,85.945,86.699,85.822,86.609
2023-11-02,87.699,88.405,87.642,88.372
2023-11-03,89.102,89.756,89.069,89.453
2023-11-06,89.614,89.756,89.131,89.443
2023-11-07,89.216,89.534,88.941,89.387
2023-11-08,89.462,89.595,88.941,89.33
2023-11-09,89.643,89.723,88.704,88.761
2023-11-10,89.045,89.813,88.628,89.804
2023-11-13,89.472,89.984,89.33,89.794
2023-11-14,91.084,92.06,91.084,91.871
2023-11-15,92.136,92.487,91.932,92.051
2023-11-16,91.861,92.074,91.539,91.88
2023-11-17,92.155,92.454,92.055,92.392
2023-11-20,92.373,93.174,92.335,92.999
2023-11-21,92.819,92.97,92.62,92.752
2023-11-22,92.923,93.15,92.662,92.98
2023-11-24,92.999,93.25,92.989,93.226
2023-11-27,93.103,93.174,92.947,93.046
2023-11-28,92.98,93.454,92.857,93.198
2023-11-29,93.549,93.767,93.169,93.217
2023-11-30,93.388,93.558,93.046,93.492
2023-12-01,93.35,94.355,93.274,94.298
2023-12-04,93.425,93.862,93.312,93.719
2023-12-05,93.425,93.696,93.226,93.511
2023-12-06,94.08,94.155,93.297,93.34
2023-12-07,93.7,94.061,93.511,93.966
2023-12-08,93.729,94.331,93.681,94.231
2023-12-11,94.165,94.592,94.108,94.582
2023-12-12,94.449,94.857,94.179,94.819
2023-12-13,94.867,96.256,94.611,96.222
2023-12-14,96.753,97.246,96.497,96.971
2023-12-15,96.763,96.933,96.426,96.526
2023-12-18,96.861,97.033,96.651,96.909
2023-12-19,97.157,97.654,97.157,97.635
2023-12-20,97.511,97.802,96.268,96.297
2023-12-21,97.148,97.559,96.804,97.539
2023-12-22,97.711,97.96,97.329,97.683
2023-12-26,97.817,98.347,97.797,98.17
2023-12-27,98.237,98.533,98.199,98.457
2023-12-28,98.6,98.81,98.457,98.524
