日期,Open,High,Low,Close
2023-07-24,224.14,226.61,221.2,223.12
2023-07-25,223.48,228.65,223.15,227.4
2023-07-26,225.63,232.0,225.63,230.05
2023-07-27,233.22,234.82,228.255,229.8
2023-07-28,231.82,236.27,231.75,235.0
2023-07-31,235.15,238.67,234.71,237.13
2023-08-01,235.84,240.18,233.51,239.8
2023-08-02,236.02,236.29,226.03,229.22
2023-08-03,228.45,230.6,225.82,229.34
2023-08-04,230.59,233.45,227.15,230.12
2023-08-07,229.3,233.73,229.05,233.55
2023-08-08,230.28,230.575,226.1,227.54
2023-08-09,227.75,228.65,224.0,225.56
2023-08-10,229.89,230.974,226.0,227.87
2023-08-11,226.64,229.69,225.7,226.46
2023-08-14,225.08,229.78,224.96,228.11
2023-08-15,226.48,232.4,226.367,230.89
2023-08-16,231.78,234.9,230.211,230.41
2023-08-17,231.98,232.04,222.92,224.06
2023-08-18,220.23,225.56,218.44,224.42
2023-08-21,224.85,228.335,224.49,227.23
2023-08-22,228.0,228.955,225.725,226.26
2023-08-23,226.61,231.77,226.61,230.22
2023-08-24,234.37,235.69,224.87,224.87
2023-08-25,228.38,239.33,226.08,236.97
2023-08-28,237.33,238.5,234.76,236.3
2023-08-29,236.7,241.82,236.05,241.67
2023-08-30,241.92,244.93,241.92,243.14
2023-08-31,243.49,245.6,242.222,244.5
2023-09-01,246.54,249.26,244.175,248.49
2023-09-05,246.65,247.751,244.65,247.21
2023-09-06,245.68,248.7,245.485,248.41
2023-09-07,247.76,251.625,246.74,250.47
2023-09-08,249.95,252.29,249.01,250.63
2023-09-11,249.82,252.72,248.06,252.21
2023-09-12,250.3,250.951,246.83,247.73
2023-09-13,247.65,249.82,244.88,245.19
2023-09-14,246.15,246.99,242.32,245.08
2023-09-15,245.08,245.08,239.59,240.86
2023-09-18,240.39,244.61,239.9,244.33
2023-09-19,242.53,243.4,240.18,243.1
2023-09-20,243.4,244.145,237.66,237.8
2023-09-21,235.3,235.86,229.71,230.17
2023-09-22,230.71,232.34,230.26,230.82
2023-09-25,229.64,232.155,229.01,231.59
2023-09-26,230.9,232.699,228.56,229.24
2023-09-27,230.72,233.84,227.02,230.81
