日期,Open,High,Low,Close
2018-02-28,31.93,31.93,28.88,29.53
2018-03-29,29.08,32.45,28.66,31.46
2018-04-30,31.4,32.9,26.61,30.47
2018-05-31,30.59,35.7,30.39,35.55
2018-06-29,35.44,41.35,34.5,40.59
2018-07-31,40.41,42.46,38.64,40.5
2018-08-31,40.2,46.12,39.45,45.48
2018-09-28,45.32,46.47,41.69,43.09
2018-10-31,42.87,48.62,39.7,44.84
2018-11-30,45.36,51.98,43.2,51.97
2018-12-31,51.97,54.39,45.58,49.05
2019-01-31,48.43,57.54,46.46,57.13
2019-02-28,57.2,57.54,53.62,54.82
2019-03-29,54.97,59.92,53.13,58.11
2019-04-30,58.18,58.31,51.69,55.04
2019-05-31,55.31,63.56,54.93,62.6
2019-06-28,63.01,66.64,60.8,62.91
2019-07-31,63.51,68.29,61.41,64.5
2019-08-30,64.15,72.5,62.74,71.81
2019-09-30,71.63,74.75,67.44,72.9
2019-10-31,72.52,75.42,69.01,72.94
2019-11-29,73.09,73.35,64.76,67.69
2019-12-31,67.38,67.86,59.87,64.9
2020-01-31,65.21,71.23,62.67,68.03
2020-02-28,68.23,73.11,55.96,58.81
2020-03-31,59.24,63.75,8.26,29.77
2020-04-30,26.88,41.99,20.22,35.22
2020-05-29,32.75,38.57,20.07,35.27
2020-06-30,35.06,49.29,31.78,36.35
2020-07-31,36.79,39.85,32.64,38.16
2020-08-31,37.33,44.68,36.51,42.73
2020-09-30,42.21,47.01,36.43,40.3
2020-10-30,40.43,43.78,36.87,38.98
2020-11-30,39.31,58.06,38.69,48.8
2020-12-31,49.9,52.94,47.34,50.44
2021-01-29,50.46,50.79,45.2,46.42
2021-02-26,46.81,60.56,45.68,54.33
2021-03-31,55.62,62.43,53.84,58.06
2021-04-30,58.46,63.97,57.77,61.46
2021-05-28,61.93,63.49,57.78,61.81
2021-06-30,62.065,71.27,61.63,70.14
2021-07-30,70.45,76.84,69.86,73.9
2021-08-31,74.42,76.22,70.31,75.18
2021-09-30,75.57,76.63,69.25,70.05
2021-10-29,70.75,72.84,67.17,68.05
2021-11-30,68.02,75.525,67.36,67.88
2021-12-31,68.89,74.95,67.52,74.03
2022-01-31,74.42,77.83,68.915,74.89
2022-02-28,74.26,74.62,67.18,72.16
2022-03-31,72.26,87.34,69.935,85.01
2022-04-29,85.87,88.3,79.46,79.68
2022-05-31,80.25,81.195,73.71,78.57
2022-06-30,78.43,78.93,66.04,71.83
2022-07-29,71.42,76.31,68.696,75.82
2022-08-31,75.64,76.19,66.05,66.74
2022-09-30,66.32,69.37,52.74,54.41
2022-10-31,55.19,56.42,46.59,51.13
2022-11-30,50.8,62.23,47.19,61.73
2022-12-30,62.15,62.9,53.32,56.25
2023-01-31,57.21,66.27,56.18,65.74
2023-02-28,65.67,69.24,64.23,65.43
2023-03-31,64.86,67.29,56.49,63.0
2023-04-28,63.27,70.58,61.395,70.53
2023-05-31,70.31,72.22,64.39,66.53
2023-06-30,66.0,74.84,65.2,72.81
2023-07-31,72.27,75.895,69.82,74.07
2023-08-31,73.7,78.31,72.16,75.41
2023-09-29,75.85,79.25,72.55,74.45
2023-10-31,74.04,79.5,70.91,76.14
2023-11-30,76.37,83.77,75.6,82.24
2023-12-29,82.23,86.56,79.95,83.31
2024-01-31,83.45,85.37,79.47,79.65
2024-02-29,79.45,88.28,78.54,85.91
2024-03-28,85.62,87.57,84.54,87.19
2024-04-30,87.19,91.94,81.62,89.03
2024-05-31,88.77,98.41,87.465,98.03
2024-06-28,98.12,100.05,94.49,98.61
2024-07-31,98.6,109.69,97.28,105.61
2024-08-30,106.76,116.73,105.1,115.71
2024-09-30,115.26,126.34,115.26,123.06
2024-10-31,123.34,134.83,117.37,129.91
2024-11-29,130.57,136.45,126.24,133.88
2024-12-31,133.09,133.5,118.95,121.73
2025-01-31,121.34,135.6,118.81,132.18
2025-02-28,131.7,150.27,131.45,149.88
2025-03-31,149.86,154.92,139.95,149.58
2025-04-30,150.42,153.77,126.66,148.96
2025-05-30,147.87,151.95,139.35,151.32
2025-06-30,150.24,153.26,145.64,150.77
2025-07-31,151.2,165.88,146.012,162.11
2025-08-29,163.895,168.125,159.04,166.06
2025-09-30,165.87,176.315,162.11,175.92
2025-10-31,176.15,187.31,161.53,178.82
2025-11-28,177.56,207.57,177.015,206.74
2025-12-31,206.12,206.64,182.12,184.13
2026-01-30,184.13,190.708,180.03,186.88
2026-02-27,186.98,214.95,179.99,206.38
2026-03-31,207.115,213.813,191.92,196.97
2026-04-30,197.01,218.846,196.191,216.6
2026-05-29,216.62,221.675,205.33,205.33
2026-06-30,205.03,230.07,194.674,226.97
2026-07-22,227.6,247.45,226.97,245.04
