日期,Open,High,Low,Close
2020-07-24,8.79,9.24,8.16,8.33
2020-07-31,8.24,8.97,7.73,8.25
2020-08-07,8.32,10.95,8.12,9.97
2020-08-14,9.93,11.45,9.93,11.25
2020-08-21,11.25,11.55,10.24,10.53
2020-08-28,10.63,10.97,9.86,10.19
2020-09-04,10.28,10.52,9.52,9.81
2020-09-11,9.59,10.44,9.34,9.75
2020-09-18,9.87,11.16,9.68,10.26
2020-09-25,9.82,10.53,8.86,9.5
2020-10-02,9.71,10.16,7.83,8.61
2020-10-09,8.84,9.63,8.66,8.94
2020-10-16,9.06,9.68,8.53,8.79
2020-10-23,8.95,9.96,8.65,9.48
2020-10-30,9.18,9.19,7.84,8.71
2020-11-06,9.02,9.15,7.78,7.78
2020-11-13,9.3,9.73,8.59,9.56
2020-11-20,10.15,10.48,9.09,9.86
2020-11-27,10.13,11.54,9.87,10.98
2020-12-04,10.93,12.07,10.2,12.01
2020-12-11,11.82,12.37,10.93,11.85
2020-12-18,12.05,12.45,10.94,11.1
2020-12-24,10.62,11.0,10.4,10.66
2020-12-31,10.73,10.84,9.77,9.97
2021-01-08,10.22,11.62,9.79,11.22
2021-01-15,10.82,12.8,10.71,12.42
2021-01-22,12.57,12.64,11.03,11.52
2021-01-29,11.52,12.09,10.97,11.15
2021-02-05,11.35,12.245,11.0,12.01
2021-02-12,12.19,12.85,11.97,12.76
2021-02-19,13.02,13.215,12.1,12.56
2021-02-26,12.72,14.02,12.42,12.76
2021-03-05,13.04,14.55,13.04,14.18
2021-03-12,14.24,14.61,13.4,14.26
2021-03-19,14.25,14.43,13.05,13.28
2021-03-26,13.22,14.91,12.92,14.89
2021-04-01,14.83,14.83,13.78,14.23
2021-04-09,14.31,14.48,13.69,13.93
2021-04-16,14.04,14.36,13.61,13.95
2021-04-23,14.03,14.085,13.54,13.94
2021-04-30,14.06,15.108,13.96,14.69
2021-05-07,14.89,15.66,14.795,15.63
2021-05-14,15.82,16.265,15.33,16.21
2021-05-21,16.32,17.055,15.961,16.72
2021-05-28,16.89,16.92,16.16,16.67
2021-06-04,17.05,18.33,16.945,18.28
2021-06-11,18.19,18.82,18.19,18.53
2021-06-18,18.57,18.69,16.79,16.8
2021-06-25,16.98,17.72,16.95,17.52
2021-07-02,17.52,17.75,16.78,17.68
2021-07-09,17.68,17.7,16.64,17.44
2021-07-16,17.33,17.44,15.95,16.02
2021-07-23,15.49,16.286,15.085,15.89
2021-07-30,15.99,16.45,15.61,15.79
2021-08-06,15.79,16.265,14.98,15.8
2021-08-13,15.6,15.89,15.48,15.57
2021-08-20,15.39,15.66,14.27,14.78
2021-08-27,15.18,15.58,14.88,15.35
2021-09-03,15.41,15.91,15.18,15.71
2021-09-10,15.6,15.92,15.13,15.43
2021-09-17,15.66,16.965,15.66,16.43
2021-09-24,16.06,16.76,15.77,16.55
2021-10-01,16.91,17.76,16.89,17.55
2021-10-08,17.91,19.5,17.79,19.47
2021-10-15,19.95,20.9,19.6,20.7
2021-10-22,20.89,21.04,19.51,19.8
2021-10-29,19.94,20.14,19.09,19.24
2021-11-05,19.47,20.08,19.15,19.71
2021-11-12,19.87,20.15,19.16,19.79
2021-11-19,19.79,19.97,18.52,18.57
2021-11-26,18.55,19.73,18.49,19.39
2021-12-03,19.73,19.81,17.69,18.26
2021-12-10,18.6,19.175,17.815,18.2
2021-12-17,18.04,18.14,16.925,17.35
2021-12-23,17.04,17.58,16.42,17.41
2021-12-31,17.38,17.955,17.18,17.6
2022-01-07,17.69,19.615,17.58,19.57
2022-01-14,19.64,20.98,19.2,20.85
2022-01-21,21.03,21.404,19.88,20.32
2022-01-28,19.98,21.475,18.88,21.2
2022-02-04,21.08,22.48,20.785,22.14
2022-02-11,22.11,22.58,21.56,22.27
2022-02-18,22.27,22.3,20.865,21.18
2022-02-25,22.31,22.31,20.495,22.25
2022-03-04,22.05,25.09,21.95,25.03
2022-03-11,25.29,25.95,23.61,23.885
2022-03-18,23.565,23.855,22.345,23.445
2022-03-25,23.755,25.895,23.74,25.865
2022-04-01,25.385,26.005,24.575,25.815
2022-04-08,25.985,26.505,24.83,26.405
2022-04-14,26.205,27.785,25.875,27.505
2022-04-22,27.575,28.355,26.995,27.085
2022-04-29,26.345,27.055,25.005,26.275
2022-05-06,26.175,29.035,25.765,28.655
2022-05-13,28.005,28.165,25.53,26.775
2022-05-20,27.135,28.155,26.455,27.365
2022-05-27,27.665,29.58,27.385,29.445
2022-06-03,29.685,29.955,28.54,29.495
2022-06-10,29.635,29.885,27.02,27.3
2022-06-17,26.45,26.55,21.43,22.15
2022-06-24,22.74,23.53,22.21,22.46
2022-07-01,22.76,24.62,22.63,23.7
2022-07-08,23.15,24.11,21.465,23.73
2022-07-15,23.46,24.285,22.36,23.79
2022-07-22,24.24,25.3,23.811,24.75
2022-07-29,24.97,26.75,24.62,26.5
2022-08-05,26.18,26.74,23.81,24.63
2022-08-12,24.63,26.605,24.63,26.57
2022-08-19,25.81,27.79,25.42,27.34
2022-08-26,27.21,28.2,26.855,27.44
2022-09-02,27.41,28.015,25.49,26.13
2022-09-09,26.34,26.41,24.415,25.605
2022-09-16,25.935,26.765,24.155,24.525
2022-09-23,23.935,25.295,21.655,21.985
