日期,Open,High,Low,Close
2020-07-24,44.9,50.2,44.57,49.81
2020-07-31,51.74,53.42,48.12,50.52
2020-08-07,50.17,54.08,48.37,49.07
2020-08-14,49.69,50.97,44.7,46.74
2020-08-21,48.58,50.64,47.1,48.05
2020-08-28,48.8,50.19,46.24,49.33
2020-09-04,49.66,50.89,46.67,47.93
2020-09-11,46.88,51.92,45.95,49.14
2020-09-18,49.81,51.12,47.4,47.48
2020-09-25,46.62,47.43,43.02,44.63
2020-10-02,45.35,47.12,44.24,45.26
2020-10-09,45.63,47.34,43.57,47.32
2020-10-16,47.32,47.72,45.71,46.15
2020-10-23,46.49,46.64,44.01,44.86
2020-10-30,44.4,45.53,40.12,42.4
2020-11-06,43.24,46.91,42.19,46.62
2020-11-13,44.18,44.93,39.71,41.74
2020-11-20,41.27,41.59,36.98,37.59
2020-11-27,37.23,37.5,34.52,35.42
2020-12-04,35.34,38.25,34.61,36.53
2020-12-11,36.35,38.83,36.32,37.44
2020-12-18,37.29,40.19,36.54,38.39
2020-12-24,38.64,39.31,37.17,38.83
2020-12-31,39.55,39.75,38.03,38.15
2021-01-08,39.97,43.53,38.93,39.81
2021-01-15,38.74,39.65,36.13,36.3
2021-01-22,36.85,37.96,35.88,36.83
2021-01-29,37.12,38.66,33.62,37.48
2021-02-05,42.66,43.02,35.6,37.05
2021-02-12,37.89,38.53,35.54,36.62
2021-02-19,36.46,36.975,33.63,34.06
2021-02-26,34.53,36.66,32.01,32.15
2021-03-05,32.91,33.55,31.26,32.62
2021-03-12,32.86,35.9,32.03,35.64
2021-03-19,35.91,36.918,35.26,35.64
2021-03-26,35.65,36.22,33.637,34.62
2021-04-01,34.47,36.515,33.25,36.44
2021-04-09,36.75,38.6,36.13,38.56
2021-04-16,38.44,39.17,36.74,38.91
2021-04-23,38.73,40.13,38.53,39.31
2021-04-30,39.4,39.46,37.53,37.86
2021-05-07,38.65,41.03,38.51,40.28
2021-05-14,40.84,41.975,39.37,41.74
2021-05-21,42.21,44.76,41.99,43.92
2021-05-28,43.92,45.57,43.57,44.7
2021-06-04,45.23,45.78,43.6,45.05
2021-06-11,44.72,45.61,43.83,44.64
2021-06-18,43.81,44.56,40.3,40.33
2021-06-25,40.74,41.78,40.25,40.71
2021-07-02,40.77,41.59,39.6,41.44
