日期,Open,High,Low,Close
2020-07-24,118.938,120.028,110.044,111.274
2020-07-31,111.968,114.476,106.772,108.398
2020-08-07,109.063,114.555,108.904,112.949
2020-08-14,113.673,113.673,107.268,109.261
2020-08-21,109.479,113.614,109.102,110.51
2020-08-28,111.095,111.105,105.86,107.863
2020-09-04,109.182,111.393,99.782,104.393
2020-09-11,102.043,107.119,101.289,103.55
2020-09-18,107.328,115.646,107.09,115.249
2020-09-25,113.671,113.681,105.068,109.95
2020-10-02,110.883,112.351,108.968,109.503
2020-10-09,111.041,119.575,111.041,119.317
2020-10-16,120.368,121.867,116.677,119.684
2020-10-23,120.497,120.736,112.956,116.717
2020-10-30,115.437,117.064,110.674,111.895
2020-11-06,112.639,125.022,109.216,118.94
2020-11-13,123.107,124.695,117.937,124.069
2020-11-20,125.538,126.818,122.522,125.062
2020-11-27,126.352,130.519,124.288,130.44
2020-12-04,131.511,135.47,128.753,135.143
2020-12-11,136.522,142.872,134.23,141.166
2020-12-18,143.805,148.756,142.198,146.405
2020-12-24,144.623,151.696,144.245,149.023
2020-12-31,150.106,150.563,139.308,139.854
2021-01-08,140.708,151.119,137.996,148.556
2021-01-15,147.593,154.805,144.791,150.732
2021-01-22,152.54,155.64,147.831,151.557
2021-01-29,152.371,157.984,147.901,151.874
2021-02-05,155.292,166.408,153.752,165.683
2021-02-12,167.491,173.64,162.117,163.239
2021-02-19,164.342,164.4,154.289,158.024
2021-02-26,157.825,158.302,142.566,147.027
2021-03-05,149.182,151.278,127.595,137.857
2021-03-12,138.881,146.252,133.427,145.546
2021-03-19,145.924,148.253,139.258,144.116
2021-03-26,144.782,147.455,127.864,132.221
2021-04-01,131.794,138.929,125.464,136.166
2021-04-09,138.024,138.482,128.376,128.813
2021-04-16,129.111,134.566,125.295,130.721
2021-04-23,129.608,136.204,125.106,133.453
2021-04-30,133.453,139.992,133.364,135.759
2021-05-07,137.061,137.329,122.11,126.935
2021-05-14,126.517,128.068,117.485,126.12
2021-05-21,125.653,129.499,123.049,125.872
2021-05-28,126.736,130.472,123.392,127.293
2021-06-04,127.909,127.909,124.292,125.961
2021-06-11,126.458,135.59,126.08,134.974
2021-06-18,135.242,136.852,129.638,132.738
2021-06-25,133.082,137.9,131.059,137.806
2021-07-02,139.793,140.608,132.659,135.669
2021-07-09,135.779,136.305,127.432,132.957
2021-07-16,133.056,133.791,122.89,125.146
2021-07-23,123.566,129.677,123.159,125.713
2021-07-30,125.573,127.76,119.86,122.632
2021-08-06,123.447,128.843,121.628,126.488
2021-08-13,126.299,128.117,123.507,123.835
2021-08-20,123.437,123.636,117.743,121.36
2021-08-27,123.089,132.152,122.871,131.198
2021-09-03,131.814,135.749,130.264,133.344
2021-09-10,133.394,134.964,130.174,130.89
2021-09-17,131.178,132.549,127.889,132.042
2021-09-24,129.528,132.35,126.329,129.548
2021-10-01,129.558,131.913,121.728,125.375
2021-10-08,124.421,124.649,120.993,122.662
2021-10-15,122.433,127.471,122.115,124.292
2021-10-22,123.338,124.242,121.191,123.397
2021-10-29,123.298,126.011,121.291,124.023
2021-11-05,124.401,133.94,124.174,130.492
2021-11-12,130.8,131.635,124.461,125.742
2021-11-19,126.14,126.339,120.625,121.152
2021-11-26,121.887,121.887,114.285,116.044
2021-12-03,118.101,118.697,108.025,108.84
2021-12-10,108.502,116.402,106.246,109.217
2021-12-17,109.804,115.825,106.201,114.881
2021-12-23,113.798,118.459,111.443,117.475
2021-12-31,116.64,116.829,110.902,111.254
2022-01-07,111.89,114.911,101.814,102.341
2022-01-14,101.387,104.388,95.166,99.857
2022-01-21,98.177,98.346,89.304,89.463
2022-01-28,87.445,95.017,83.361,88.022
2022-02-04,88.28,94.997,87.873,90.218
2022-02-11,90.257,98.535,90.257,92.762
2022-02-18,92.762,95.36,88.061,88.827
2022-02-25,87.664,90.108,81.195,89.234
2022-03-04,88.25,90.784,83.053,83.371
2022-03-11,83.331,88.469,81.419,84.077
2022-03-18,84.136,92.195,79.834,91.579
