日期,Open,High,Low,Close
2020-07-24,44.692,47.088,44.369,46.099
2020-07-31,46.318,47.735,46.128,47.164
2020-08-07,47.392,48.514,47.231,48.495
2020-08-14,48.533,50.083,48.533,49.826
2020-08-21,50.073,51.29,49.826,51.062
2020-08-28,51.613,52.013,50.644,50.796
2020-09-04,50.815,51.813,47.715,48.78
2020-09-11,48.105,50.254,47.754,49.902
2020-09-18,50.511,52.117,50.102,50.539
2020-09-25,49.558,50.891,48.32,49.491
2020-10-02,50.158,52.796,50.149,52.472
2020-10-09,52.929,54.701,52.082,54.224
2020-10-16,54.567,55.558,53.567,54.586
2020-10-23,54.92,54.92,51.872,53.158
2020-10-30,52.491,52.606,49.025,49.501
2020-11-06,50.263,55.158,50.263,54.005
2020-11-13,54.777,55.51,50.882,53.377
2020-11-20,53.853,54.92,53.244,54.424
2020-11-27,54.805,56.262,54.682,55.158
2020-12-04,55.043,55.167,53.072,54.024
2020-12-11,54.053,54.777,53.529,53.844
2020-12-18,54.186,56.872,53.805,56.577
2020-12-24,55.735,56.794,55.287,56.651
2020-12-31,57.033,57.109,54.714,55.0
2021-01-08,55.115,57.195,53.579,55.964
2021-01-15,55.411,58.436,55.315,57.72
2021-01-22,58.226,60.792,58.083,60.649
2021-01-29,60.649,61.67,56.537,57.539
2021-02-05,57.968,60.754,57.281,60.697
2021-02-12,60.955,62.491,60.683,62.081
2021-02-19,62.214,62.214,59.857,61.451
2021-02-26,61.117,61.427,58.192,59.199
2021-03-05,60.067,60.964,56.718,60.287
2021-03-12,60.506,63.607,60.296,63.063
2021-03-19,63.178,65.735,62.892,64.962
2021-03-26,65.304,67.751,62.838,67.713
2021-04-01,67.856,68.506,66.166,68.429
2021-04-09,69.213,70.504,68.382,70.494
2021-04-16,70.418,72.014,69.394,71.794
2021-04-23,71.784,71.976,68.917,71.804
2021-04-30,72.253,73.534,71.698,72.023
2021-05-07,72.807,75.962,72.799,75.876
2021-05-14,75.981,77.252,69.452,72.626
2021-05-21,72.348,72.387,68.038,69.385
2021-05-28,69.758,72.339,69.576,71.66
2021-06-04,72.243,72.425,69.118,70.312
2021-06-11,70.427,70.829,68.745,69.357
2021-06-18,69.271,69.376,66.379,67.034
2021-06-25,67.565,69.341,67.398,69.106
2021-07-02,69.279,71.317,68.858,70.791
2021-07-09,70.829,71.222,68.456,70.073
2021-07-16,69.805,70.341,67.805,67.891
2021-07-23,66.675,71.227,66.369,71.164
2021-07-30,70.925,72.858,69.547,72.16
2021-08-06,72.581,73.605,71.643,72.514
2021-08-13,72.466,75.395,71.825,74.189
2021-08-20,73.873,74.926,71.002,72.945
2021-08-27,73.251,75.625,72.385,75.271
2021-09-03,75.5,75.845,74.227,74.983
2021-09-10,74.869,74.993,72.59,73.308
2021-09-17,73.806,73.988,71.624,72.686
2021-09-24,71.163,72.725,70.415,71.901
2021-10-01,71.728,72.61,68.192,69.007
2021-10-08,68.825,71.014,68.034,69.515
2021-10-15,69.543,72.447,69.131,71.604
2021-10-22,71.259,74.699,71.259,73.999
2021-10-29,73.721,75.331,73.3,74.344
2021-11-05,74.632,77.353,74.105,76.721
2021-11-12,77.008,79.126,76.251,79.011
2021-11-19,79.423,81.579,78.561,80.544
2021-11-26,80.842,81.493,78.264,78.877
